,rsi_window,rsi_upper,rsi_lower,rsi_train_acc,rsi_train_cov,rsi_cov
0,13,90,20,1,0.000791452,0
64,13,90,20,1,0.000791452,0
128,13,90,20,1,0.000791452,0
192,13,90,20,1,0.000791452,0
256,13,90,20,1,0.000791452,0
1,15,90,20,0,0,0
65,15,90,20,0,0,0
129,15,90,20,0,0,0
193,15,90,20,0,0,0
257,15,90,20,0,0,0
2,17,90,20,0,0,0
66,17,90,20,0,0,0
130,17,90,20,0,0,0
194,17,90,20,0,0,0
258,17,90,20,0,0,0
3,19,90,20,0,0,0
67,19,90,20,0,0,0
131,19,90,20,0,0,0
195,19,90,20,0,0,0
259,19,90,20,0,0,0
4,21,90,20,0,0,0
68,21,90,20,0,0,0
132,21,90,20,0,0,0
196,21,90,20,0,0,0
260,21,90,20,0,0,0
5,23,90,20,0,0,0
69,23,90,20,0,0,0
133,23,90,20,0,0,0
197,23,90,20,0,0,0
261,23,90,20,0,0,0
6,25,80,20,1,0.000791452,0
70,25,80,20,1,0.000791452,0
134,25,80,20,1,0.000791452,0
198,25,80,20,1,0.000791452,0
262,25,80,20,1,0.000791452,0
7,25,80,30,0.777777778,0.003561535,0.007751938
71,25,80,30,0.777777778,0.003561535,0
135,25,80,30,0.777777778,0.003561535,0
199,25,80,30,0.777777778,0.003561535,0
263,25,80,30,0.777777778,0.003561535,0
8,25,90,20,0,0,0
72,25,90,20,0,0,0
136,25,90,20,0,0,0
200,25,90,20,0,0,0
264,25,90,20,0,0,0
9,25,90,30,0.714285714,0.002770083,0.007751938
73,25,90,30,0.714285714,0.002770083,0
137,25,90,30,0.714285714,0.002770083,0
201,25,90,30,0.714285714,0.002770083,0
265,25,90,30,0.714285714,0.002770083,0
10,27,80,20,1,0.000791452,0
74,27,80,20,1,0.000791452,0
138,27,80,20,1,0.000791452,0
202,27,80,20,1,0.000791452,0
266,27,80,20,1,0.000791452,0
11,27,80,30,1,0.001978631,0
75,27,80,30,1,0.001978631,0
139,27,80,30,1,0.001978631,0
203,27,80,30,1,0.001978631,0
267,27,80,30,1,0.001978631,0
12,27,90,20,0,0,0
76,27,90,20,0,0,0
140,27,90,20,0,0,0
204,27,90,20,0,0,0
268,27,90,20,0,0,0
13,27,90,30,1,0.001187178,0
77,27,90,30,1,0.001187178,0
141,27,90,30,1,0.001187178,0
205,27,90,30,1,0.001187178,0
269,27,90,30,1,0.001187178,0
14,29,80,20,1,0.000395726,0
78,29,80,20,1,0.000395726,0
142,29,80,20,1,0.000395726,0
206,29,80,20,1,0.000395726,0
270,29,80,20,1,0.000395726,0
15,29,80,30,1,0.000791452,0
79,29,80,30,1,0.000791452,0
143,29,80,30,1,0.000791452,0
207,29,80,30,1,0.000791452,0
271,29,80,30,1,0.000791452,0
16,29,90,20,0,0,0
80,29,90,20,0,0,0
144,29,90,20,0,0,0
208,29,90,20,0,0,0
272,29,90,20,0,0,0
17,29,90,30,1,0.000395726,0
81,29,90,30,1,0.000395726,0
145,29,90,30,1,0.000395726,0
209,29,90,30,1,0.000395726,0
273,29,90,30,1,0.000395726,0
18,31,80,20,1,0.000395726,0
82,31,80,20,1,0.000395726,0
146,31,80,20,1,0.000395726,0
210,31,80,20,1,0.000395726,0
274,31,80,20,1,0.000395726,0
