"Index","LMPBDS03"
"2003-12-11",70
"2003-12-12",70
"2003-12-15",53
"2003-12-16",179
"2003-12-17",90
"2003-12-18",147
"2003-12-19",80
"2003-12-22",35
"2003-12-23",61
"2003-12-26",58
"2003-12-29",61
"2003-12-30",61
"2003-12-31",413
"2004-01-02",308
"2004-01-05",140
"2004-01-06",232
"2004-01-07",123
"2004-01-08",72
"2004-01-09",72
"2004-01-12",151
"2004-01-13",130
"2004-01-14",213
"2004-01-15",111
"2004-01-16",58
"2004-01-20",147
"2004-01-21",227
"2004-01-22",132
"2004-01-28",266
"2004-01-29",95
"2004-01-30",391
"2004-02-02",165
"2004-02-03",335
"2004-02-04",221
"2004-02-05",130
"2004-02-06",118
"2004-02-09",191
"2004-02-10",173
"2004-02-11",175
"2004-02-12",219
"2004-02-13",247
"2004-02-17",446
"2004-02-18",468
"2004-02-19",241
"2004-02-20",867
"2004-02-23",467
"2004-02-24",527
"2004-02-25",250
"2004-02-26",43
"2004-02-27",108
"2004-03-01",219
"2004-03-02",250
"2004-03-03",496
"2004-03-04",236
"2004-03-05",95
"2004-03-08",326
"2004-03-09",66
"2004-03-10",134
"2004-03-11",106
"2004-03-12",106
"2004-03-15",240
"2004-03-16",148
"2004-03-17",168
"2004-03-18",112
"2004-03-19",201
"2004-03-22",828
"2004-03-23",125
"2004-03-24",185
"2004-03-25",412
"2004-03-26",81
"2004-03-29",93
"2004-03-30",158
"2004-03-31",358
"2004-04-01",140
"2004-04-02",242
"2004-04-05",212
"2004-04-06",249
"2004-04-07",149
"2004-04-12",802
"2004-04-13",226
"2004-04-14",162
"2004-04-15",75
"2004-04-16",96
"2004-04-19",236
"2004-04-20",356
"2004-04-21",234
"2004-04-22",220
"2004-04-23",28
"2004-04-26",84
"2004-04-27",246
"2004-04-28",48
"2004-04-29",85
"2004-05-03",68
"2004-05-04",100
"2004-05-05",415
"2004-05-06",124
"2004-05-07",143
"2004-05-10",58
"2004-05-11",61
"2004-05-12",58
"2004-05-13",53
"2004-05-14",86
"2004-05-17",117
"2004-05-18",326
"2004-05-19",363
"2004-05-20",503
"2004-05-21",492
"2004-05-24",152
"2004-05-25",528
"2004-05-26",196
"2004-05-27",232
"2004-05-28",392
"2004-06-01",136
"2004-06-02",234
"2004-06-03",51
"2004-06-04",83
"2004-06-07",525
"2004-06-08",314
"2004-06-09",1071
"2004-06-10",243
"2004-06-11",132
"2004-06-14",245
"2004-06-15",153
"2004-06-16",230
"2004-06-17",278
"2004-06-18",154
"2004-06-21",348
"2004-06-22",159
"2004-06-23",378
"2004-06-24",181
"2004-06-25",90
"2004-06-28",406
"2004-06-29",408
"2004-06-30",253
"2004-07-01",414
"2004-07-02",295
"2004-07-06",305
"2004-07-07",292
"2004-07-08",204
"2004-07-09",98
"2004-07-12",259
"2004-07-13",94
"2004-07-14",80
"2004-07-15",141
"2004-07-16",68
"2004-07-19",154
"2004-07-20",294
"2004-07-21",102
"2004-07-22",735
"2004-07-23",203
"2004-07-26",449
"2004-07-27",858
"2004-07-28",539
"2004-07-29",184
"2004-07-30",306
"2004-08-02",158
"2004-08-03",282
"2004-08-04",199
"2004-08-05",417
"2004-08-06",399
"2004-08-09",249
"2004-08-10",106
"2004-08-11",295
"2004-08-12",197
"2004-08-13",232
"2004-08-16",135
"2004-08-17",923
"2004-08-18",178
"2004-08-19",35
"2004-08-20",205
"2004-08-23",60
"2004-08-24",108
"2004-08-25",17
"2004-08-26",76
"2004-08-30",94
"2004-08-31",146
"2004-09-01",177
"2004-09-02",80
"2004-09-03",368
"2004-09-07",264
"2004-09-08",184
"2004-09-09",167
"2004-09-10",1033
"2004-09-13",277
"2004-09-14",334
"2004-09-15",93
"2004-09-16",249
"2004-09-17",386
"2004-09-20",235
"2004-09-21",693
"2004-09-22",118
"2004-09-23",217
"2004-09-24",201
"2004-09-27",88
"2004-09-28",213
"2004-09-29",205
"2004-09-30",245
"2004-10-01",160
"2004-10-04",151
"2004-10-05",79
"2004-10-06",410
"2004-10-07",170
"2004-10-08",119
"2004-10-11",273
"2004-10-12",550
"2004-10-13",3347
"2004-10-14",627
"2004-10-15",156
"2004-10-18",205
"2004-10-19",179
"2004-10-20",186
"2004-10-21",66
"2004-10-22",167
"2004-10-25",157
"2004-10-26",193
"2004-10-27",258
"2004-10-28",80
"2004-10-29",155
"2004-11-01",105
"2004-11-02",97
"2004-11-03",271
"2004-11-04",254
"2004-11-05",770
"2004-11-08",374
"2004-11-09",262
"2004-11-10",193
"2004-11-11",196
"2004-11-12",118
"2004-11-15",354
"2004-11-16",152
"2004-11-17",980
"2004-11-18",387
"2004-11-19",358
"2004-11-22",130
"2004-11-23",109
"2004-11-24",270
"2004-11-26",116
"2004-11-29",307
"2004-11-30",306
"2004-12-01",235
"2004-12-02",348
"2004-12-03",145
"2004-12-06",201
"2004-12-07",914
"2004-12-08",771
"2004-12-09",1211
"2004-12-10",388
"2004-12-13",205
"2004-12-14",125
"2004-12-15",284
"2004-12-16",88
"2004-12-17",85
"2004-12-20",87
"2004-12-21",303
"2004-12-22",41
"2004-12-28",78
"2004-12-29",606
"2004-12-30",687
"2005-01-03",1786
"2005-01-04",1513
"2005-01-05",1140
"2005-01-06",587
"2005-01-07",230
"2005-01-10",146
"2005-01-11",90
"2005-01-12",78
"2005-01-13",231
"2005-01-14",208
"2005-01-18",393
"2005-01-19",121
"2005-01-20",370
"2005-01-21",157
"2005-01-24",181
"2005-01-25",146
