,Open,High,Low,Close,Volume,Open.Interest
1990-01-02,,,,,,
1990-01-03,406.5,409.3,405.3,407.1,146.0,
1990-01-04,404.0,404.0,399.5,401.3,1035.0,
1990-01-05,403.0,406.0,402.3,405.8,66.0,
1990-01-08,409.6,414.6,407.6,413.5,24.0,
1990-01-09,411.5,412.6,409.5,410.0,51.0,
1990-01-10,410.0,411.4,409.2,411.2,89.0,
1990-01-11,413.5,421.0,413.3,419.4,594.0,
1990-01-12,420.0,421.3,418.5,420.9,3972.0,18525.0
1990-01-15,423.0,425.5,419.0,420.1,8180.0,20963.0
1990-01-16,423.0,424.0,418.3,420.6,4820.0,22100.0
1990-01-17,420.0,421.5,415.0,417.6,5611.0,23706.0
1990-01-18,417.4,419.5,415.7,419.1,4628.0,24358.0
1990-01-19,420.3,422.0,416.3,416.7,6002.0,25339.0
1990-01-22,417.0,418.4,414.5,416.4,6197.0,25692.0
1990-01-23,415.0,415.0,410.4,413.6,10081.0,25565.0
1990-01-24,414.3,420.8,413.7,419.4,16930.0,32434.0
1990-01-25,423.4,431.5,421.0,423.5,25093.0,39993.0
1990-01-26,422.8,424.0,418.5,422.0,14741.0,41948.0
1990-01-29,426.0,427.0,422.6,426.1,17022.0,44646.0
1990-01-30,427.5,427.5,422.2,425.1,25719.0,51472.0
1990-01-31,424.3,427.0,422.7,423.9,44344.0,57547.0
1990-02-01,421.0,422.0,417.0,417.8,56596.0,54468.0
1990-02-02,418.8,423.5,418.7,423.3,40159.0,55085.0
1990-02-05,423.3,424.3,421.3,423.4,30777.0,57758.0
1990-02-06,425.3,430.3,424.8,427.5,50202.0,63232.0
1990-02-07,427.0,427.4,425.4,426.4,29320.0,62886.0
1990-02-08,425.4,429.7,422.2,423.1,60685.0,66220.0
1990-02-09,423.1,424.7,421.2,423.5,36378.0,67310.0
1990-02-12,423.0,423.8,419.5,420.6,47125.0,65601.0
1990-02-13,420.2,424.9,419.3,423.6,41834.0,66049.0
1990-02-14,424.5,425.8,421.2,422.0,40139.0,64740.0
1990-02-15,420.0,421.3,417.5,420.7,47663.0,67675.0
1990-02-16,421.3,422.0,415.5,416.2,48715.0,63706.0
1990-02-19,418.5,421.5,416.3,420.8,57122.0,59797.0
1990-02-20,,,,,,
1990-02-21,422.5,424.7,421.3,423.6,35469.0,59851.0
1990-02-22,425.0,426.4,421.2,421.6,45874.0,60394.0
1990-02-23,420.4,422.4,418.1,419.0,37958.0,56373.0
1990-02-26,418.0,421.1,417.5,418.2,36121.0,56757.0
1990-02-27,415.8,416.0,409.6,411.8,55106.0,54976.0
