,Open,High,Low,Close,Volume,Open.Interest
1990-01-02,,,,,,
1990-01-03,,,,,,
1990-01-04,,,,,,
1990-01-05,,,,,,
1990-01-08,,,,,,
1990-01-09,,,,,,
1990-01-10,,,,,,
1990-01-11,,,,,,
1990-01-12,,,,,,
1990-01-15,,,,,,
1990-01-16,,,,,,
1990-01-17,,,,,,
1990-01-18,,,,,,
1990-01-19,,,,,,
1990-01-22,,,,,,
1990-01-23,,,,,,
1990-01-24,,,,,,
1990-01-25,,,,,,
1990-01-26,,,,,,
1990-01-29,,,,,,
1990-01-30,,,,,,
1990-01-31,,,,,,
1990-02-01,,,,,,
1990-02-02,,,,,,
1990-02-05,,,,,,
1990-02-06,,,,,,
1990-02-07,,,,,,
1990-02-08,,,,,,
1990-02-09,,,,,,
1990-02-12,,,,,,
1990-02-13,,,,,,
1990-02-14,,,,,,
1990-02-15,,,,,,
1990-02-16,,,,,,
1990-02-19,,,,,,
1990-02-20,,,,,,
1990-02-21,106.8,109.3,106.8,107.3,147.0,
1990-02-22,105.7,108.2,105.3,108.2,164.0,
1990-02-23,109.1,109.3,107.0,108.0,223.0,
1990-02-26,107.3,107.9,106.4,107.5,255.0,
1990-02-27,106.1,107.6,106.1,107.05,192.0,
1990-02-28,106.9,107.4,105.8,106.75,420.0,
1990-03-01,106.85,108.6,106.75,108.25,,
1990-03-02,109.2,109.9,108.6,109.2,476.0,
1990-03-05,111.5,114.1,111.2,113.7,426.0,
1990-03-06,114.3,117.1,113.9,116.8,275.0,
1990-03-07,116.7,117.4,114.25,115.35,229.0,
1990-03-08,115.2,116.5,114.5,114.65,212.0,
1990-03-09,115.1,116.1,115.0,115.9,672.0,
1990-03-12,117.8,117.95,115.0,115.5,329.0,
1990-03-13,114.0,115.8,113.3,114.95,397.0,
1990-03-14,114.5,115.6,112.2,112.7,674.0,
1990-03-15,113.5,118.75,113.1,117.4,510.0,
1990-03-16,119.5,119.9,117.9,119.55,452.0,
1990-03-19,120.4,120.6,118.5,119.75,427.0,
1990-03-20,120.25,120.9,118.1,119.1,399.0,
1990-03-21,118.4,119.0,116.7,117.3,650.0,
1990-03-22,117.6,122.4,117.6,121.2,363.0,
1990-03-23,120.4,120.4,117.5,118.1,520.0,
1990-03-26,116.6,118.3,116.2,117.9,517.0,
1990-03-27,115.7,116.4,113.5,114.7,705.0,
1990-03-28,116.3,116.4,112.0,112.25,756.0,
1990-03-29,112.7,117.4,111.7,116.5,435.0,
1990-03-30,119.0,119.3,117.1,117.9,855.0,
1990-04-02,120.7,122.7,119.5,122.4,,
1990-04-03,123.1,123.4,120.5,120.9,520.0,
1990-04-04,121.8,125.0,121.5,124.85,556.0,
1990-04-05,123.6,123.8,119.6,120.15,457.0,
1990-04-06,120.9,121.9,118.25,118.9,653.0,
1990-04-09,119.5,123.1,118.5,121.1,654.0,
1990-04-10,120.2,120.2,116.5,116.7,616.0,
1990-04-11,118.0,119.5,116.75,119.35,418.0,
1990-04-12,118.0,120.2,117.2,118.1,579.0,
1990-04-13,118.8,120.0,116.2,116.85,279.0,
1990-04-16,,,,,,
1990-04-17,116.1,117.6,115.5,116.5,603.0,
1990-04-18,116.4,117.1,114.5,116.25,485.0,
1990-04-19,116.7,117.4,114.8,116.2,353.0,
1990-04-20,115.2,116.9,114.9,116.6,509.0,
1990-04-23,108.4,108.8,106.2,106.5,909.0,
1990-04-24,107.4,108.15,105.4,105.7,510.0,
1990-04-25,106.2,109.0,105.6,108.5,437.0,
1990-04-26,110.1,111.9,109.6,111.1,288.0,
1990-04-27,110.5,112.85,110.0,112.1,112.0,
1990-04-30,111.0,111.6,109.3,111.6,228.0,
1990-05-01,109.0,109.5,107.2,108.9,,
1990-05-02,110.6,114.5,110.4,113.3,325.0,
1990-05-03,112.0,112.9,110.9,112.15,473.0,
1990-05-04,114.0,114.4,111.4,111.6,342.0,
1990-05-07,112.0,112.0,109.8,111.25,304.0,
1990-05-08,110.2,111.8,109.5,109.65,308.0,
1990-05-09,110.3,112.4,110.1,112.15,809.0,
1990-05-10,113.65,118.0,113.55,117.5,663.0,
1990-05-11,117.5,119.25,117.1,118.4,448.0,
1990-05-14,117.5,118.9,117.1,117.65,406.0,
1990-05-15,116.7,117.75,114.0,115.0,407.0,
1990-05-16,114.6,115.1,112.65,114.1,353.0,
1990-05-17,113.5,115.0,113.1,114.4,355.0,
1990-05-18,115.4,116.4,113.9,114.9,,
1990-05-21,114.0,115.1,113.0,114.85,390.0,
1990-05-22,113.2,113.75,112.2,113.45,433.0,
1990-05-23,114.2,116.85,113.9,116.15,562.0,
1990-05-24,115.6,116.3,114.1,115.05,266.0,
1990-05-25,116.0,116.9,115.55,116.55,327.0,
1990-05-28,115.7,115.7,114.1,115.25,514.0,
1990-05-29,,,,,,
1990-05-30,115.25,115.8,112.3,112.5,829.0,
1990-05-31,111.2,112.8,111.0,111.5,606.0,
1990-06-01,112.7,113.0,109.9,110.85,,
1990-06-04,110.5,112.5,110.3,111.8,572.0,
1990-06-05,112.3,113.0,111.0,111.15,463.0,
1990-06-06,110.5,113.8,110.2,113.1,271.0,
1990-06-07,112.4,112.9,111.5,112.1,297.0,
1990-06-08,111.3,113.0,110.9,112.15,351.0,
1990-06-11,112.7,113.5,111.45,111.75,685.0,
1990-06-12,111.9,112.5,109.4,109.65,543.0,
1990-06-13,110.6,111.15,109.2,110.6,543.0,
1990-06-14,109.1,109.7,108.9,109.6,521.0,
1990-06-15,110.0,111.3,108.9,110.8,413.0,
1990-06-18,111.4,112.5,110.6,111.8,838.0,
1990-06-19,111.6,115.4,111.5,113.9,299.0,
1990-06-20,114.2,115.3,112.8,113.0,468.0,
1990-06-21,109.0,109.2,107.1,107.4,121.0,
1990-06-22,107.8,108.7,107.3,108.6,158.0,
1990-06-25,109.2,109.7,108.7,109.1,203.0,
1990-06-26,108.65,109.0,107.1,107.4,766.0,
1990-06-27,105.5,106.9,105.25,106.85,144.0,
1990-06-28,107.6,108.1,107.2,108.0,929.0,
1990-06-29,108.7,113.5,108.6,113.3,925.0,
1990-07-02,114.0,116.0,113.6,114.0,,
1990-07-03,114.0,114.75,112.8,112.9,285.0,
1990-07-04,114.0,114.8,112.9,113.1,457.0,
1990-07-05,,,,,,
1990-07-06,114.1,116.95,114.0,116.05,561.0,
1990-07-09,116.5,118.85,116.4,118.2,327.0,
1990-07-10,118.7,119.1,116.8,117.35,309.0,
1990-07-11,118.6,118.7,116.2,116.75,534.0,
1990-07-12,119.8,122.4,119.6,122.0,494.0,
1990-07-13,122.0,124.5,121.15,124.05,315.0,
1990-07-16,123.3,123.9,122.55,122.95,204.0,
1990-07-17,121.4,122.2,120.6,122.0,321.0,
1990-07-18,121.6,121.9,119.25,120.0,230.0,
1990-07-19,120.3,120.8,119.2,119.3,395.0,
1990-07-20,118.6,119.1,117.5,117.9,304.0,
1990-07-23,117.7,120.6,117.3,119.8,254.0,
1990-07-24,120.8,121.3,117.9,119.1,260.0,
1990-07-25,119.3,120.8,118.6,120.4,266.0,
1990-07-26,120.4,122.5,119.65,121.65,506.0,
1990-07-27,122.8,123.9,122.3,122.8,687.0,
1990-07-30,125.7,126.6,124.7,125.9,334.0,
1990-07-31,125.9,125.9,123.1,123.55,314.0,
1990-08-01,125.4,125.5,123.6,124.6,,
1990-08-02,124.2,129.2,123.9,128.85,538.0,
1990-08-03,129.2,129.8,126.8,128.9,445.0,
1990-08-06,126.9,127.1,125.1,125.5,355.0,
1990-08-07,124.25,126.5,122.8,126.35,604.0,
1990-08-08,128.9,130.3,127.2,127.3,573.0,
1990-08-09,128.6,131.4,128.5,130.95,435.0,
1990-08-10,131.6,134.3,131.6,132.05,657.0,
1990-08-13,130.8,133.6,129.6,132.0,81.0,
1990-08-14,130.8,130.9,128.9,129.8,314.0,
1990-08-15,129.0,133.0,128.7,132.85,536.0,
1990-08-16,131.6,135.0,130.5,133.55,250.0,
1990-08-17,133.6,134.6,131.8,132.65,435.0,
1990-08-20,132.7,134.8,131.5,133.3,241.0,
1990-08-21,123.1,124.6,123.0,123.95,80.0,
1990-08-22,123.35,125.3,123.1,124.7,237.0,
1990-08-23,124.2,124.2,122.2,122.35,239.0,
1990-08-24,122.2,124.0,121.85,123.5,169.0,
1990-08-27,124.2,125.0,123.5,123.55,117.0,
1990-08-28,123.1,125.3,123.1,124.85,490.0,
1990-08-29,126.0,126.7,123.2,123.4,501.0,
1990-08-30,122.6,126.0,122.2,124.75,143.0,
1990-08-31,125.2,126.4,124.6,125.0,409.0,
1990-09-03,124.9,125.7,123.5,124.8,384.0,
1990-09-04,,,,,,
1990-09-05,123.15,124.3,122.8,123.75,610.0,
1990-09-06,122.0,123.3,120.6,122.2,439.0,
1990-09-07,123.0,124.7,122.9,123.4,1383.0,
1990-09-10,125.3,130.5,124.9,130.35,651.0,
1990-09-11,130.6,130.7,127.5,128.3,471.0,
1990-09-12,129.0,129.25,127.35,128.55,577.0,
1990-09-13,129.2,131.2,128.5,128.75,567.0,
1990-09-14,128.3,129.1,126.25,126.95,491.0,
1990-09-17,127.55,128.5,126.2,128.25,431.0,
1990-09-18,129.0,129.5,127.3,127.75,944.0,
1990-09-19,124.0,124.5,121.7,124.0,1554.0,
1990-09-20,122.6,124.4,119.5,119.75,1109.0,
1990-09-21,120.5,121.4,117.2,117.75,522.0,
1990-09-24,117.5,119.8,117.1,119.05,361.0,
1990-09-25,117.3,118.95,116.6,118.05,375.0,
1990-09-26,115.9,118.2,115.8,117.5,936.0,
1990-09-27,117.4,118.8,115.5,117.6,493.0,
1990-09-28,119.2,120.8,119.1,119.85,591.0,
1990-10-01,119.5,119.6,117.3,118.8,,
1990-10-02,117.5,118.5,116.8,117.0,493.0,
1990-10-03,118.8,119.1,117.6,118.35,892.0,
1990-10-04,117.8,122.0,117.4,121.0,395.0,
1990-10-05,121.5,122.5,120.4,120.6,422.0,
1990-10-08,120.5,122.55,119.9,122.05,238.0,
1990-10-09,121.6,122.7,120.5,120.65,506.0,
1990-10-10,120.8,121.5,117.8,118.1,347.0,
1990-10-11,118.6,119.75,118.0,119.35,728.0,
1990-10-12,118.9,119.0,115.5,115.75,681.0,
1990-10-15,114.0,114.65,112.5,113.5,281.0,
1990-10-16,113.2,115.05,112.7,114.25,517.0,
1990-10-17,114.25,114.6,112.1,113.35,296.0,
