,Open,High,Low,Close,Volume,Open.Interest
1990-01-02,,,,,,
1990-01-03,485.0,485.0,479.5,482.2,4002.0,
1990-01-04,484.2,485.0,473.0,478.1,947.0,
1990-01-05,489.5,494.9,485.5,494.4,570.0,
1990-01-08,498.0,503.5,497.0,499.8,504.0,
1990-01-09,497.0,499.0,490.2,492.2,1814.0,
1990-01-10,494.5,498.0,494.5,497.4,97.0,
1990-01-11,499.5,508.0,498.5,505.4,58.0,
1990-01-12,504.5,505.8,502.6,503.6,505.0,
1990-01-15,508.0,514.6,506.0,507.5,470.0,
1990-01-16,511.0,511.0,500.5,506.1,765.0,
1990-01-17,504.0,505.0,499.5,502.0,246.0,
1990-01-18,502.0,504.5,499.5,504.1,2306.0,
1990-01-19,506.0,508.0,498.2,500.1,1543.0,
1990-01-22,500.0,504.8,498.0,504.0,2545.0,
1990-01-23,500.6,502.5,496.0,502.0,2787.0,
1990-01-24,502.5,506.0,501.5,504.6,5024.0,
1990-01-25,508.0,515.5,506.5,509.8,3064.0,
1990-01-26,509.0,516.0,508.0,513.3,4496.0,
1990-01-29,519.0,524.9,516.5,523.6,5776.0,
1990-01-30,523.0,529.0,521.1,523.9,4207.0,
1990-01-31,520.0,522.5,517.5,519.6,473.0,
1990-02-01,514.5,517.0,511.5,512.2,,
1990-02-02,513.0,517.5,512.5,517.4,857.0,
1990-02-05,,,,515.8,,
1990-02-06,,,,519.0,,
1990-02-07,,,,518.3,,
1990-02-08,,,,512.0,,
1990-02-09,,,,513.6,,
1990-02-12,,,,514.1,,
1990-02-13,,,,523.9,,
1990-02-14,,,,522.5,,
1990-02-15,,,,526.9,,
1990-02-16,,,,522.9,,
1990-02-19,,,,525.4,,
1990-02-20,,,,,,
1990-02-21,,,,534.4,,
1990-02-22,,,,530.8,,
1990-02-23,,,,526.1,,
1990-02-26,,,,526.5,,
1990-02-27,,,,511.1,,
1990-02-28,,,,509.8,,
1990-03-01,,,,508.0,,
1990-03-02,,,,508.0,,
1990-03-05,,,,507.9,,
1990-03-06,,,,509.1,,
1990-03-07,,,,512.0,,
1990-03-08,,,,506.7,,
1990-03-09,,,,505.6,,
1990-03-12,,,,503.0,,
1990-03-13,,,,502.8,,
1990-03-14,,,,502.2,,
1990-03-15,,,,502.4,,
1990-03-16,,,,509.7,,
1990-03-19,,,,508.3,,
1990-03-20,,,,508.3,,
1990-03-21,,,,499.7,,
1990-03-22,,,,500.2,,
1990-03-23,,,,500.2,,
1990-03-26,,,,499.5,,
1990-03-27,,,,489.3,,
1990-03-28,,,,483.9,,
1990-03-29,,,,480.4,,
1990-03-30,,,,479.7,,
1990-04-02,,,,481.1,,
1990-04-03,,,,478.1,,
1990-04-04,,,,483.0,,
1990-04-05,,,,488.2,,
1990-04-06,,,,484.2,,
1990-04-09,,,,482.6,,
1990-04-10,,,,481.7,,
1990-04-11,,,,482.0,,
1990-04-12,,,,484.8,,
1990-04-13,,,,486.5,,
1990-04-16,,,,,,
1990-04-17,,,,484.8,,
1990-04-18,,,,483.1,,
1990-04-19,,,,482.1,,
1990-04-20,,,,486.7,,
1990-04-23,,,,486.6,,
1990-04-24,,,,494.3,,
1990-04-25,,,,487.8,,
1990-04-26,,,,472.2,,
1990-04-27,,,,473.9,,
1990-04-30,,,,475.6,,
1990-05-01,,,,474.1,,
1990-05-02,,,,479.7,,
1990-05-03,,,,480.5,,
1990-05-04,,,,483.2,,
1990-05-07,,,,483.4,,
1990-05-08,,,,484.6,,
1990-05-09,,,,479.2,,
