,Open,High,Low,Close,Volume,Open.Interest
1990-01-02,,,,,,
1990-01-03,5.24,5.35,5.225,5.252999999999999,1665.0,
1990-01-04,5.23,5.26,5.176,5.22,2722.0,
1990-01-05,5.265,5.35,5.265,5.335,1647.0,
1990-01-08,5.34,5.4,5.275,5.385,1328.0,
1990-01-09,5.335,5.3770000000000024,5.306,5.31,1156.0,
1990-01-10,5.295,5.325,5.265,5.297999999999999,1716.0,
1990-01-11,5.32,5.395,5.32,5.367999999999999,1066.0,
1990-01-12,5.365,5.41,5.345,5.365,1470.0,
1990-01-15,5.39,5.445,5.385,5.388,1571.0,
1990-01-16,5.39,5.395,5.28,5.297999999999999,3128.0,
1990-01-17,5.29,5.34,5.255,5.285,840.0,
1990-01-18,5.275,5.31,5.255,5.308,2257.0,
1990-01-19,5.32,5.334,5.235,5.24,518.0,
1990-01-22,5.23,5.275,5.22,5.25,1447.0,
1990-01-23,5.235,5.325,5.2,5.315,1924.0,
1990-01-24,5.31,5.36,5.295,5.34,2022.0,
1990-01-25,5.395,5.41,5.245,5.257999999999999,2391.0,
1990-01-26,5.255,5.29,5.245,5.252999999999999,1256.0,
1990-01-29,5.3,5.34,5.23,5.26,1689.0,
1990-01-30,5.27,5.275,5.22,5.252999999999999,1857.0,
1990-01-31,5.245,5.28,5.23,5.245,948.0,
1990-02-01,5.23,5.25,5.2,5.228,,
1990-02-02,5.235,5.33,5.235,5.327999999999999,1287.0,
1990-02-05,,,,5.337999999999999,1690.0,
1990-02-06,,,,5.358,1366.0,
1990-02-07,,,,5.335,3563.0,
1990-02-08,,,,5.336,1245.0,
1990-02-09,,,,5.343,1086.0,
1990-02-12,,,,5.273,496.0,
1990-02-13,,,,5.305,1065.0,
1990-02-14,,,,5.332999999999998,671.0,
1990-02-15,,,,5.33,1655.0,
1990-02-16,,,,5.415,178.0,
1990-02-19,,,,5.4239999999999995,31.0,
1990-02-20,,,,,,
1990-02-21,,,,5.428999999999999,142.0,
1990-02-22,,,,5.3660000000000005,268.0,
1990-02-23,,,,5.358,351.0,
1990-02-26,,,,5.325,1062.0,
1990-02-27,,,,5.23,1874.0,
1990-02-28,,,,5.16,2192.0,
1990-03-01,,,,5.205,,
1990-03-02,,,,5.23,372.0,
1990-03-05,,,,5.1979999999999995,723.0,
1990-03-06,,,,5.188,599.0,
1990-03-07,,,,5.186,786.0,
1990-03-08,,,,5.19,726.0,
1990-03-09,,,,5.178,850.0,
1990-03-12,,,,5.1579999999999995,1551.0,
1990-03-13,,,,5.103,862.0,
1990-03-14,,,,5.118,1066.0,
1990-03-15,,,,5.138,853.0,
1990-03-16,,,,5.132999999999999,1019.0,
1990-03-19,,,,5.145,477.0,
1990-03-20,,,,5.152,744.0,
1990-03-21,,,,5.093,979.0,
1990-03-22,,,,5.103,470.0,
1990-03-23,,,,5.13,653.0,
1990-03-26,,,,5.088,2346.0,
1990-03-27,,,,4.997,651.0,
1990-03-28,,,,4.994,1264.0,
1990-03-29,,,,4.955,392.0,
1990-03-30,,,,4.9830000000000005,359.0,
1990-04-02,,,,4.98,,
1990-04-03,,,,4.978,512.0,
1990-04-04,,,,5.038,1477.0,
1990-04-05,,,,5.19,1650.0,
1990-04-06,,,,5.167999999999998,1219.0,
1990-04-09,,,,5.19,529.0,
1990-04-10,,,,5.127999999999999,594.0,
1990-04-11,,,,5.113,1098.0,
1990-04-12,,,,5.148,318.0,
1990-04-13,,,,5.1080000000000005,286.0,
1990-04-16,,,,,,
1990-04-17,,,,5.1579999999999995,213.0,
1990-04-18,,,,5.191,292.0,
1990-04-19,,,,5.1610000000000005,74.0,
1990-04-20,,,,5.16,250.0,
1990-04-23,,,,5.192,444.0,
1990-04-24,,,,5.184,912.0,
1990-04-25,,,,5.084,1367.0,
1990-04-26,,,,5.005,1020.0,
1990-04-27,,,,4.995,50.0,
1990-04-30,,,,5.0,447.0,
1990-05-01,,,,5.015,,
1990-05-02,,,,5.095,414.0,
1990-05-03,,,,5.065,333.0,
1990-05-04,,,,5.073,820.0,
1990-05-07,,,,5.073,188.0,
1990-05-08,,,,5.088,601.0,
1990-05-09,,,,5.058,824.0,
1990-05-10,,,,5.093,1946.0,
1990-05-11,,,,5.15,1098.0,
1990-05-14,,,,5.105,932.0,
1990-05-15,,,,5.125,2205.0,
1990-05-16,,,,5.07,276.0,
1990-05-17,,,,5.065,964.0,
1990-05-18,,,,5.08,,
1990-05-21,,,,5.175,1418.0,
1990-05-22,,,,5.185,2502.0,
1990-05-23,,,,5.335,5982.0,
1990-05-24,,,,5.278,1677.0,
1990-05-25,,,,5.275,790.0,
1990-05-28,,,,5.26,1441.0,
1990-05-29,,,,,,
1990-05-30,,,,5.178,1469.0,
1990-05-31,,,,5.085,1037.0,
1990-06-01,,,,5.11,,
1990-06-04,,,,5.08,426.0,
1990-06-05,,,,5.082,577.0,
1990-06-06,,,,5.096,1285.0,
1990-06-07,,,,5.063,3948.0,
1990-06-08,,,,5.04,416.0,
1990-06-11,,,,5.033,489.0,
1990-06-12,,,,5.035,417.0,
1990-06-13,,,,5.04,2035.0,
1990-06-14,,,,4.933,2314.0,
1990-06-15,,,,4.785,1389.0,
1990-06-18,,,,4.905,196.0,
1990-06-19,,,,4.917,34.0,
1990-06-20,,,,4.908,204.0,
1990-06-21,,,,4.922,68.0,
1990-06-22,,,,4.912,152.0,
1990-06-25,,,,4.899,303.0,
1990-06-26,,,,4.902,315.0,
1990-06-27,,,,4.905,427.0,
1990-06-28,,,,4.875,556.0,
1990-06-29,,,,4.8919999999999995,701.0,
1990-07-02,,,,4.963,,
1990-07-03,,,,5.01,655.0,
1990-07-04,,,,4.99,545.0,
1990-07-05,,,,,,
1990-07-06,,,,4.937,320.0,
1990-07-09,,,,4.933,627.0,
1990-07-10,,,,4.865,841.0,
1990-07-11,,,,4.875,857.0,
1990-07-12,,,,4.897,773.0,
1990-07-13,,,,4.948,680.0,
1990-07-16,,,,4.965,499.0,
1990-07-17,,,,4.9030000000000005,1221.0,
1990-07-18,,,,4.868,816.0,
1990-07-19,,,,4.935,1570.0,
1990-07-20,,,,4.9,508.0,
1990-07-23,,,,4.895,610.0,
1990-07-24,,,,4.928,890.0,
1990-07-25,,,,4.855,1052.0,
1990-07-26,,,,4.87,350.0,
1990-07-27,,,,4.89,1229.0,
1990-07-30,,,,4.87,665.0,
1990-07-31,,,,4.84,1151.0,
1990-08-01,,,,4.822,,
1990-08-02,,,,4.855,2187.0,
1990-08-03,,,,4.865,796.0,
1990-08-06,,,,4.87,850.0,
1990-08-07,,,,4.92,1753.0,
1990-08-08,,,,4.888,291.0,
1990-08-09,,,,4.87,427.0,
1990-08-10,,,,4.883,2851.0,
1990-08-13,,,,4.994,2235.0,
1990-08-14,,,,5.155,2038.0,
1990-08-15,,,,5.215,2134.0,
1990-08-16,,,,5.2010000000000005,419.0,
1990-08-17,,,,5.3,694.0,
1990-08-20,,,,5.312,728.0,
1990-08-21,,,,5.2620000000000005,466.0,
1990-08-22,,,,5.221,217.0,
1990-08-23,,,,5.257999999999999,569.0,
1990-08-24,,,,5.252999999999999,394.0,
1990-08-27,,,,5.315,1428.0,
1990-08-28,,,,4.965,1756.0,
1990-08-29,,,,4.955,1478.0,
1990-08-30,,,,4.938,454.0,
1990-08-31,,,,4.92,802.0,
1990-09-03,,,,4.868,2026.0,
1990-09-04,,,,,,
1990-09-05,,,,4.825,721.0,
1990-09-06,,,,4.837,695.0,
1990-09-07,,,,4.87,1096.0,
1990-09-10,,,,4.895,709.0,
1990-09-11,,,,4.85,699.0,
1990-09-12,,,,4.87,657.0,
1990-09-13,,,,4.893,219.0,
1990-09-14,,,,4.863,1533.0,
1990-09-17,,,,4.837,1144.0,
1990-09-18,,,,4.853,833.0,
1990-09-19,,,,4.877,298.0,
1990-09-20,,,,4.853,488.0,
1990-09-21,,,,4.86,812.0,
1990-09-24,,,,4.87,970.0,
1990-09-25,,,,4.995,1280.0,
1990-09-26,,,,4.915,1458.0,
1990-09-27,,,,4.873,356.0,
1990-09-28,,,,4.845,591.0,
1990-10-01,,,,4.832,,
1990-10-02,,,,4.71,1001.0,
1990-10-03,,,,4.745,308.0,
1990-10-04,,,,4.753,375.0,
1990-10-05,,,,4.73,352.0,
1990-10-08,,,,4.728,342.0,
1990-10-09,,,,4.728,619.0,
1990-10-10,,,,4.65,1364.0,
1990-10-11,,,,4.462,2826.0,
1990-10-12,,,,4.285,2572.0,
1990-10-15,,,,4.355,937.0,
1990-10-16,,,,4.178,1422.0,
1990-10-17,,,,4.188,1190.0,
1990-10-18,,,,4.24,889.0,
1990-10-19,,,,4.24,360.0,
1990-10-22,,,,4.298,264.0,
1990-10-23,,,,4.2330000000000005,561.0,
1990-10-24,,,,4.258,500.0,
1990-10-25,,,,4.26,254.0,
1990-10-26,,,,4.24,785.0,
1990-10-29,,,,4.08,1134.0,
1990-10-30,,,,4.157,629.0,
1990-10-31,,,,4.245,356.0,
1990-11-01,,,,4.18,,
1990-11-02,,,,4.256,1099.0,
1990-11-05,,,,4.185,150.0,
1990-11-06,,,,4.227,396.0,
1990-11-07,,,,4.257,455.0,
1990-11-08,,,,4.287,1071.0,
1990-11-09,,,,4.277,1017.0,
1990-11-12,,,,4.237,211.0,
1990-11-13,,,,4.205,196.0,
1990-11-14,,,,4.212,1009.0,
1990-11-15,,,,4.175,462.0,
1990-11-16,,,,4.205,158.0,
1990-11-19,,,,4.239,48.0,
1990-11-20,,,,4.229,282.0,
1990-11-21,,,,4.1960000000000015,274.0,
1990-11-22,,,,4.211,49.0,
1990-11-23,,,,,,
1990-11-26,,,,4.218,362.0,
1990-11-27,,,,4.2410000000000005,134.0,
1990-11-28,,,,4.19,446.0,
1990-11-29,,,,4.2139999999999995,558.0,
1990-11-30,,,,4.1819999999999995,1313.0,
1990-12-03,,,,4.217,,
1990-12-04,,,,4.23,698.0,
1990-12-05,,,,4.243,,
1990-12-06,,,,4.238,218.0,
1990-12-07,,,,4.205,776.0,
1990-12-10,,,,4.135,1373.0,
1990-12-11,,,,4.128,117.0,
1990-12-12,,,,4.143,444.0,
1990-12-13,,,,4.098,657.0,
1990-12-14,,,,4.075,341.0,
1990-12-17,,,,4.005,235.0,
1990-12-18,,,,4.024,690.0,
1990-12-19,,,,4.0280000000000005,679.0,
1990-12-20,,,,4.16,2031.0,
1990-12-21,,,,4.263,954.0,
1990-12-24,,,,4.088,,
1990-12-25,,,,4.088,1244.0,
1990-12-26,,,,,,
1990-12-27,,,,4.158,2063.0,
1990-12-28,,,,4.155,1764.0,
1990-12-31,,,,4.245,,
1991-01-01,,,,4.247,241.0,
1991-01-02,,,,,,
1991-01-03,,,,4.167,718.0,
1991-01-04,,,,4.2669999999999995,886.0,
1991-01-07,,,,4.207,1038.0,
1991-01-08,,,,4.34,1489.0,
1991-01-09,,,,4.177,1017.0,
1991-01-10,,,,4.175,603.0,
1991-01-11,,,,4.145,1054.0,
1991-01-14,,,,4.175,1044.0,
1991-01-15,,,,4.257,505.0,
1991-01-16,,,,4.2219999999999995,527.0,
1991-01-17,,,,4.235,1770.0,
1991-01-18,,,,4.04,1531.0,
1991-01-21,,,,4.01,619.0,
1991-01-22,,,,4.02,506.0,
1991-01-23,,,,4.032,1312.0,
1991-01-24,,,,3.937,3402.0,
1991-01-25,,,,3.785,1218.0,
1991-01-28,,,,3.8169999999999997,463.0,
1991-01-29,,,,3.842,528.0,
1991-01-30,,,,3.867,635.0,
1991-01-31,,,,3.827,446.0,
1991-02-01,,,,3.8510000000000004,,
1991-02-04,,,,3.872,1892.0,
1991-02-05,,,,3.8569999999999998,907.0,
1991-02-06,,,,3.8569999999999998,337.0,
1991-02-07,,,,3.785,108.0,
1991-02-08,,,,3.813,198.0,
1991-02-11,,,,3.833,243.0,
1991-02-12,,,,3.697,90.0,
1991-02-13,,,,3.715,76.0,
1991-02-14,,,,3.753,307.0,
1991-02-15,,,,3.833,108.0,
1991-02-18,,,,3.833,27.0,
1991-02-19,,,,,,
1991-02-20,,,,3.737,66.0,
1991-02-21,,,,3.7230000000000003,53.0,
1991-02-22,,,,3.687,60.0,
1991-02-25,,,,3.556,50.0,
1991-02-26,,,,3.6239999999999997,82.0,
1991-02-27,,,,3.609,159.0,
1991-02-28,,,,3.615,419.0,
1991-03-01,,,,3.773,,
1991-03-04,,,,3.818,265.0,
1991-03-05,,,,3.9,244.0,
1991-03-06,,,,3.885,309.0,
1991-03-07,,,,3.91,360.0,
1991-03-08,,,,4.015,921.0,
1991-03-11,,,,4.207,347.0,
1991-03-12,,,,4.11,389.0,
1991-03-13,,,,4.043,269.0,
1991-03-14,,,,4.145,503.0,
1991-03-15,,,,4.065,297.0,
1991-03-18,,,,4.125,608.0,
1991-03-19,,,,3.975,426.0,
1991-03-20,,,,4.053,306.0,
1991-03-21,,,,3.965,115.0,
1991-03-22,,,,4.023,734.0,
1991-03-25,,,,3.9930000000000003,300.0,
1991-03-26,,,,3.9530000000000003,195.0,
1991-03-27,,,,3.907,274.0,
1991-03-28,,,,3.835,279.0,
1991-03-29,,,,3.8680000000000003,145.0,
1991-04-01,,,,,,
1991-04-02,,,,3.96,,
1991-04-03,,,,4.01,249.0,
1991-04-04,,,,4.082,151.0,
1991-04-05,,,,4.06,302.0,
1991-04-08,,,,3.95,70.0,
1991-04-09,,,,3.975,64.0,
1991-04-10,,,,4.032,117.0,
1991-04-11,,,,3.985,124.0,
1991-04-12,,,,3.977,309.0,
1991-04-15,,,,3.988,162.0,
1991-04-16,,,,4.04,30.0,
1991-04-17,,,,4.0680000000000005,40.0,
1991-04-18,,,,4.144,215.0,
1991-04-19,,,,3.9939999999999998,125.0,
1991-04-22,,,,3.9589999999999996,258.0,
1991-04-23,,,,3.984,109.0,
1991-04-24,,,,3.988,65.0,
1991-04-25,,,,3.971,76.0,
1991-04-26,,,,3.945,82.0,
1991-04-29,,,,3.9589999999999996,224.0,
1991-04-30,,,,3.965,1979.0,
1991-05-01,,,,4.015,,
1991-05-02,,,,3.992,375.0,
1991-05-03,,,,4.035,80.0,
1991-05-06,,,,3.98,345.0,
1991-05-07,,,,4.037,373.0,
1991-05-08,,,,4.073,117.0,
1991-05-09,,,,4.083,273.0,
1991-05-10,,,,4.085,470.0,
1991-05-13,,,,4.058,500.0,
1991-05-14,,,,4.023,648.0,
1991-05-15,,,,4.078,460.0,
1991-05-16,,,,4.133,1286.0,
1991-05-17,,,,4.038,1217.0,
1991-05-20,,,,4.033,705.0,
1991-05-21,,,,4.055,424.0,
1991-05-22,,,,4.063,774.0,
1991-05-23,,,,4.058,274.0,
1991-05-24,,,,4.063,348.0,
1991-05-27,,,,4.05,1183.0,
1991-05-28,,,,,,
1991-05-29,,,,4.175,1329.0,
1991-05-30,,,,4.165,848.0,
1991-05-31,,,,4.165,552.0,
1991-06-03,,,,4.117,,
1991-06-04,,,,4.175,180.0,
1991-06-05,,,,4.16,261.0,
1991-06-06,,,,4.185,2367.0,
1991-06-07,,,,4.43,1206.0,
1991-06-10,,,,4.47,1387.0,
1991-06-11,,,,4.56,907.0,
1991-06-12,,,,4.513,342.0,
1991-06-13,,,,4.498,357.0,
1991-06-14,,,,4.522,343.0,
1991-06-17,,,,4.427,61.0,
1991-06-18,,,,4.5,195.0,
1991-06-19,,,,4.511,44.0,
1991-06-20,,,,4.495,62.0,
1991-06-21,,,,4.506,109.0,
1991-06-24,,,,4.436,496.0,
1991-06-25,,,,4.404,60.0,
1991-06-26,,,,4.43,52.0,
1991-06-27,,,,4.4110000000000005,144.0,
