"Index","SPX"
1959-11-13,57.17
1959-11-16,56.85
1959-11-17,56.22
1959-11-18,56.38
1959-11-19,56.99
1959-11-20,56.94
1959-11-23,56.97
1959-11-24,57.08
1959-11-25,57.35
1959-11-27,57.44
1959-11-30,57.7
1959-12-01,58.28
1959-12-02,58.7
1959-12-03,58.6
1959-12-04,58.73
1959-12-07,58.85
1959-12-08,58.96
1959-12-09,59.34
1959-12-10,58.97
1959-12-11,59.02
1959-12-14,58.88
1959-12-15,59.04
1959-12-16,58.9
1959-12-17,58.97
1959-12-18,58.86
1959-12-21,59.14
1959-12-22,59.24
1959-12-23,59.14
1959-12-24,58.96
1959-12-28,59
1959-12-29,58.98
1959-12-30,59.3
1959-12-31,59.77
1960-01-04,59.89
1960-01-05,59.91
1960-01-06,60.39
1960-01-07,60.13
1960-01-08,59.69
1960-01-11,59.5
1960-01-12,58.77
1960-01-13,58.41
1960-01-14,58.08
1960-01-15,58.4
1960-01-18,58.38
1960-01-19,57.89
1960-01-20,57.27
1960-01-21,57.07
1960-01-22,57.21
1960-01-25,57.38
1960-01-26,56.78
1960-01-27,56.86
1960-01-28,56.72
1960-01-29,56.13
1960-02-01,55.61
1960-02-02,55.96
1960-02-03,56.82
1960-02-04,56.32
1960-02-05,56.27
1960-02-08,55.98
1960-02-09,55.32
1960-02-10,55.84
1960-02-11,55.49
1960-02-12,55.18
1960-02-15,55.46
1960-02-16,55.17
1960-02-17,54.73
1960-02-18,55.03
1960-02-19,55.8
1960-02-23,56.24
1960-02-24,55.94
1960-02-25,55.74
1960-02-26,55.93
1960-02-29,56.16
1960-03-01,56.12
1960-03-02,56.01
1960-03-03,55.62
1960-03-04,54.78
1960-03-07,54.57
1960-03-08,54.02
1960-03-09,53.47
1960-03-10,54.04
1960-03-11,53.83
1960-03-14,54.24
1960-03-15,54.32
1960-03-16,54.74
1960-03-17,55.04
1960-03-18,54.96
1960-03-21,55.01
1960-03-22,55.07
1960-03-23,55.29
1960-03-24,55.74
1960-03-25,55.98
1960-03-28,55.98
1960-03-29,55.86
1960-03-30,55.78
1960-03-31,55.66
1960-04-01,55.34
1960-04-04,55.43
1960-04-05,55.54
1960-04-06,55.87
1960-04-07,56.51
1960-04-08,56.52
1960-04-11,56.39
1960-04-12,56.17
1960-04-13,56.3
1960-04-14,56.3
1960-04-18,56.43
1960-04-19,56.59
1960-04-20,56.13
1960-04-21,55.44
1960-04-22,55.59
1960-04-25,55.42
1960-04-26,54.86
1960-04-27,55.04
1960-04-28,55.04
1960-04-29,54.56
1960-05-02,54.37
1960-05-03,54.13
1960-05-04,54.83
1960-05-05,55.04
1960-05-06,54.86
1960-05-09,54.75
1960-05-10,54.8
1960-05-11,54.42
1960-05-12,54.57
1960-05-13,54.85
1960-05-16,55.3
1960-05-17,55.25
1960-05-18,55.46
1960-05-19,55.44
1960-05-20,55.68
1960-05-23,55.83
1960-05-24,55.76
1960-05-25,55.7
1960-05-26,55.67
1960-05-27,55.71
1960-05-31,55.74
1960-06-01,55.83
1960-06-02,55.89
1960-06-03,56.13
