,SX5E
1987-01-01,900.82
1987-01-02,900.82
1987-01-05,891.78
1987-01-06,898.33
1987-01-07,902.32
1987-01-08,899.15
1987-01-09,887.37
1987-01-12,868.31
1987-01-13,879.41
1987-01-14,872.74
1987-01-15,876.39
1987-01-16,884.37
1987-01-19,883.78
1987-01-20,876.15
1987-01-21,875.1
1987-01-22,872.47
1987-01-23,876.69
1987-01-26,883.62
1987-01-27,870.96
1987-01-28,868.19
1987-01-29,838.6
1987-01-30,847.38
1987-02-02,859.08
1987-02-03,849.03
1987-02-04,839.6
1987-02-05,838.53
1987-02-06,833.03
1987-02-09,842.23
1987-02-10,844.73
1987-02-11,837.91
1987-02-12,837.56
1987-02-13,840.53
1987-02-16,841.54
1987-02-17,844.11
1987-02-18,833.81
1987-02-19,834.15
1987-02-20,844.07
1987-02-23,845.11
1987-02-24,839.36
1987-02-25,837.9
1987-02-26,833.39
1987-02-27,838.23
1987-03-02,840.97
1987-03-03,842.7
1987-03-04,836.22
1987-03-05,848.78
1987-03-06,855.04
1987-03-09,854.82
1987-03-10,856.93
1987-03-11,850.99
1987-03-12,844.78
1987-03-13,851.62
1987-03-16,855.0
1987-03-17,855.21
1987-03-18,848.47
1987-03-19,854.69
1987-03-20,842.48
1987-03-23,848.13
1987-03-24,860.44
1987-03-25,866.76
1987-03-26,868.3
1987-03-27,874.75
1987-03-30,882.89
1987-03-31,877.3
1987-04-01,869.44
1987-04-02,883.95
1987-04-03,888.39
1987-04-06,888.97
1987-04-07,900.79
1987-04-08,896.33
1987-04-09,895.42
1987-04-10,895.62
1987-04-13,884.61
1987-04-14,875.19
1987-04-15,881.0
1987-04-16,888.71
1987-04-17,895.48
1987-04-20,896.06
1987-04-21,893.33
1987-04-22,889.55
1987-04-23,900.5
1987-04-24,896.53
1987-04-27,890.62
1987-04-28,871.69
1987-04-29,879.07
1987-04-30,884.37
1987-05-01,881.46
1987-05-04,883.32
1987-05-05,880.31
1987-05-06,875.43
1987-05-07,880.91
1987-05-08,882.84
1987-05-11,882.7
1987-05-12,887.34
1987-05-13,879.78
1987-05-14,882.77
1987-05-15,883.11
1987-05-18,866.11
1987-05-19,868.85
1987-05-20,865.65
1987-05-21,856.08
1987-05-22,854.02
1987-05-25,857.63
1987-05-26,856.95
1987-05-27,864.83
1987-05-28,869.49
1987-05-29,869.29
1987-06-01,866.41
1987-06-02,872.52
1987-06-03,863.11
1987-06-04,864.57
1987-06-05,869.42
1987-06-08,864.75
1987-06-09,866.08
1987-06-10,863.17
1987-06-11,860.8
1987-06-12,868.26
1987-06-15,869.28
1987-06-16,879.82
1987-06-17,885.41
1987-06-18,885.93
1987-06-19,885.19
1987-06-22,897.16
1987-06-23,908.73
1987-06-24,915.58
1987-06-25,901.6
1987-06-26,903.66
1987-06-29,909.42
1987-06-30,909.76
1987-07-01,905.3
1987-07-02,894.32
1987-07-03,904.15
1987-07-06,917.81
1987-07-07,918.19
1987-07-08,917.15
1987-07-09,923.2
1987-07-10,920.76
1987-07-13,921.82
1987-07-14,921.73
1987-07-15,925.93
1987-07-16,928.92
1987-07-17,932.15
1987-07-20,941.03
1987-07-21,945.38
1987-07-22,941.54
1987-07-23,937.13
1987-07-24,932.12
1987-07-27,933.19
1987-07-28,936.9
1987-07-29,941.84
1987-07-30,949.38
1987-07-31,957.8
1987-08-03,955.83
1987-08-04,959.68
1987-08-05,957.2
1987-08-06,955.55
1987-08-07,961.22
1987-08-10,963.12
1987-08-11,962.46
1987-08-12,952.68
1987-08-13,961.8
1987-08-14,959.8
1987-08-17,961.79
1987-08-18,959.11
1987-08-19,949.25
1987-08-20,940.09
1987-08-21,949.22
1987-08-24,950.03
1987-08-25,941.89
1987-08-26,941.91
1987-08-27,942.2
1987-08-28,943.3
1987-08-31,947.55
1987-09-01,951.06
1987-09-02,953.63
1987-09-03,947.24
1987-09-04,939.54
1987-09-07,930.39
1987-09-08,919.53
1987-09-09,919.47
1987-09-10,919.76
1987-09-11,928.08
1987-09-14,933.42
1987-09-15,940.81
1987-09-16,936.45
1987-09-17,930.91
1987-09-18,934.09
1987-09-21,928.5
1987-09-22,927.1
1987-09-23,922.49
1987-09-24,937.85
1987-09-25,931.48
1987-09-28,928.34
1987-09-29,934.0
1987-09-30,936.2
1987-10-01,930.71
1987-10-02,938.2
1987-10-05,944.2
1987-10-06,949.42
1987-10-07,945.26
1987-10-08,935.79
1987-10-09,940.33
1987-10-12,926.63
1987-10-13,919.64
1987-10-14,921.87
1987-10-15,916.83
1987-10-16,901.83
1987-10-19,894.23
1987-10-20,823.32
1987-10-21,783.33
1987-10-22,831.37
1987-10-23,799.94
1987-10-26,788.59
1987-10-27,734.34
1987-10-28,741.49
1987-10-29,701.32
1987-10-30,691.31
1987-11-02,730.75
1987-11-03,725.43
1987-11-04,712.87
1987-11-05,689.49
1987-11-06,682.12
1987-11-09,683.04
1987-11-10,654.09
1987-11-11,615.9
1987-11-12,632.36
1987-11-13,676.32
1987-11-16,674.57
1987-11-17,694.95
1987-11-18,678.12
1987-11-19,676.37
1987-11-20,669.38
1987-11-23,653.27
1987-11-24,658.18
1987-11-25,676.14
1987-11-26,675.26
1987-11-27,671.13
1987-11-30,675.21
1987-12-01,658.03
1987-12-02,654.9
1987-12-03,655.07
1987-12-04,650.92
1987-12-07,635.83
1987-12-08,634.13
1987-12-09,638.18
1987-12-10,640.49
1987-12-11,641.11
1987-12-14,636.25
1987-12-15,639.67
1987-12-16,648.78
1987-12-17,661.4
1987-12-18,663.47
1987-12-21,658.56
1987-12-22,665.5
1987-12-23,667.53
1987-12-24,672.74
