"","UKX"
"1984-01-03",1000
"1984-01-04",997.5
"1984-01-05",998.6
"1984-01-06",1015.8
"1984-01-09",1029
"1984-01-10",1034.6
"1984-01-11",1034.3
"1984-01-12",1023.4
"1984-01-13",1031.3
"1984-01-16",1042.7
"1984-01-17",1046
"1984-01-18",1041.9
"1984-01-19",1058.7
"1984-01-20",1057.8
"1984-01-23",1059
"1984-01-24",1046.8
"1984-01-25",1055.2
"1984-01-26",1073.5
"1984-01-27",1072.1
"1984-01-30",1075.9
"1984-01-31",1068.6
"1984-02-01",1063
"1984-02-02",1060.3
"1984-02-03",1050.8
"1984-02-06",1059.8
"1984-02-07",1038.2
"1984-02-08",1021.7
"1984-02-09",1029.7
"1984-02-10",1016.9
"1984-02-13",1018
"1984-02-14",1018.3
"1984-02-15",1027
"1984-02-16",1033
"1984-02-17",1035
"1984-02-20",1039
"1984-02-21",1035.4
"1984-02-22",1044.4
"1984-02-23",1043
"1984-02-24",1031.7
"1984-02-27",1036.9
"1984-02-28",1041.3
"1984-02-29",1039.2
"1984-03-01",1040.3
"1984-03-02",1046.1
"1984-03-05",1060.7
"1984-03-06",1053.7
"1984-03-07",1064.5
"1984-03-08",1055.6
"1984-03-09",1055.8
"1984-03-12",1060.1
"1984-03-13",1063.6
"1984-03-14",1082.5
"1984-03-15",1087.7
"1984-03-16",1101.1
"1984-03-19",1128.5
"1984-03-20",1109.7
"1984-03-21",1123.3
"1984-03-22",1130.7
"1984-03-23",1117.2
"1984-03-26",1121.3
"1984-03-27",1119.7
"1984-03-28",1101.9
"1984-03-29",1103.6
"1984-03-30",1113.6
"1984-04-02",1112.5
"1984-04-03",1108.1
"1984-04-04",1095.4
"1984-04-05",1093.6
"1984-04-06",1102.2
"1984-04-09",1096.3
"1984-04-10",1096.7
"1984-04-11",1105.4
"1984-04-12",1110.6
"1984-04-13",1117
"1984-04-16",1129.1
"1984-04-17",1105.6
"1984-04-18",1110.2
"1984-04-19",1116.2
"1984-04-24",1108.4
"1984-04-25",1105.4
"1984-04-26",1119.8
"1984-04-27",1130.9
"1984-04-30",1138.2
"1984-05-01",1138.3
"1984-05-02",1136.8
"1984-05-03",1140.1
"1984-05-04",1141.6
"1984-05-08",1134
"1984-05-09",1117.6
"1984-05-10",1109.9
"1984-05-11",1094.4
"1984-05-14",1078.7
"1984-05-15",1082.4
"1984-05-16",1094.6
"1984-05-17",1104.5
"1984-05-18",1113
"1984-05-21",1104.9
"1984-05-22",1108.7
"1984-05-23",1084.6
"1984-05-24",1075.4
"1984-05-25",1051.6
"1984-05-29",1055.5
"1984-05-30",1056.1
"1984-05-31",1026.6
"1984-06-01",1021
"1984-06-04",1055.8
"1984-06-05",1078
"1984-06-06",1077.8
"1984-06-07",1087.9
"1984-06-08",1072
"1984-06-11",1068.6
"1984-06-12",1075.9
"1984-06-13",1067.1
"1984-06-14",1064.7
"1984-06-15",1043.8
"1984-06-18",1040.1
"1984-06-19",1042.6
"1984-06-20",1056
"1984-06-21",1035.6
"1984-06-22",1041.6
"1984-06-25",1033.1
"1984-06-26",1033.1
"1984-06-27",1024.3
"1984-06-28",1038.3
"1984-06-29",1029.3
"1984-07-02",1041.4
"1984-07-03",1047.6
"1984-07-04",1050.2
"1984-07-05",1063.3
"1984-07-06",1062.7
"1984-07-09",1042.3
"1984-07-10",1033.5
"1984-07-11",1014.4
"1984-07-12",1001.7
"1984-07-13",991.4
"1984-07-16",995.8
"1984-07-17",1003
"1984-07-18",1007.8
"1984-07-19",1009
"1984-07-20",1003
"1984-07-23",1009.8
"1984-07-24",986.9
"1984-07-25",989.6
"1984-07-26",996.2
"1984-07-27",999.1
"1984-07-30",995.6
"1984-07-31",996.5
"1984-08-01",1010.1
"1984-08-02",1018.1
"1984-08-03",1039.1
"1984-08-06",1065
"1984-08-07",1061.4
"1984-08-08",1068.7
"1984-08-09",1080.7
"1984-08-10",1070.4
"1984-08-13",1095.7
"1984-08-14",1084.1
"1984-08-15",1091.8
"1984-08-16",1082.9
"1984-08-17",1075.6
"1984-08-20",1078
"1984-08-21",1074.4
"1984-08-22",1082.4
"1984-08-23",1090.2
"1984-08-24",1081.1
"1984-08-28",1087.2
"1984-08-29",1082.3
"1984-08-30",1096
"1984-08-31",1101.9
"1984-09-03",1103.9
"1984-09-04",1105.3
"1984-09-05",1083.7
"1984-09-06",1082.6
"1984-09-07",1095.3
"1984-09-10",1099.3
"1984-09-11",1091.6
