,VIX
1990-01-03,17.24
1990-01-04,18.19
1990-01-05,19.22
1990-01-08,20.11
1990-01-09,20.26
1990-01-10,22.2
1990-01-11,22.44
1990-01-12,20.05
1990-01-15,24.64
1990-01-16,26.34
1990-01-17,24.18
1990-01-18,24.16
1990-01-19,24.34
1990-01-22,22.5
1990-01-23,26.7
1990-01-24,24.72
1990-01-25,25.39
1990-01-26,25.63
1990-01-29,26.28
1990-01-30,26.44
1990-01-31,27.25
1990-02-01,25.36
1990-02-02,24.87
1990-02-05,24.32
1990-02-06,24.54
1990-02-07,24.69
1990-02-08,24.29
1990-02-09,23.77
1990-02-12,23.69
1990-02-13,24.38
1990-02-14,23.76
1990-02-15,22.05
1990-02-16,19.71
1990-02-20,20.78
1990-02-21,22.78
1990-02-22,23.89
1990-02-23,22.54
1990-02-26,23.69
1990-02-27,23.56
1990-02-28,22.69
1990-03-01,21.99
1990-03-02,21.9
1990-03-05,21.34
1990-03-06,22.03
1990-03-07,20.55
1990-03-08,19.1
1990-03-09,19.74
1990-03-12,20.3
1990-03-13,20.07
1990-03-14,21.05
1990-03-15,19.65
1990-03-16,18.81
1990-03-19,17.62
1990-03-20,18.29
1990-03-21,19.06
1990-03-22,20.1
1990-03-23,22.74
1990-03-26,20.46
1990-03-27,19.59
1990-03-28,21.01
1990-03-29,19.77
1990-03-30,18.46
1990-04-02,19.73
1990-04-03,22.84
1990-04-04,20.44
1990-04-05,22.03
1990-04-06,21.21
1990-04-09,21.76
1990-04-10,22.3
1990-04-11,21.69
1990-04-12,17.73
1990-04-16,19.8
1990-04-17,20.75
1990-04-18,20.38
1990-04-19,22.67
1990-04-20,22.46
1990-04-23,23.33
1990-04-24,24.16
1990-04-25,21.7
1990-04-26,20.86
1990-04-27,20.25
1990-04-30,22.19
1990-05-01,19.52
1990-05-02,18.43
1990-05-03,19.32
1990-05-04,17.81
1990-05-07,17.28
1990-05-08,17.65
1990-05-09,18.49
1990-05-10,18.64
1990-05-11,18.59
1990-05-14,19.81
1990-05-15,20.14
1990-05-16,19.49
1990-05-17,17.71
1990-05-18,17.27
1990-05-21,17.2
1990-05-22,16.72
1990-05-23,17.84
1990-05-24,17.18
1990-05-25,17.7
1990-05-29,17.32
1990-05-30,18.75
1990-05-31,17.44
