,LMAHDS03
2003-12-11,559.0
2003-12-12,590.0
2003-12-15,700.0
2003-12-16,427.0
2003-12-17,630.0
2003-12-18,843.0
2003-12-19,507.0
2003-12-22,458.0
2003-12-23,208.0
2003-12-26,516.0
2003-12-29,323.0
2003-12-30,713.0
2003-12-31,1236.0
2004-01-02,991.0
2004-01-05,718.0
2004-01-06,366.0
2004-01-07,870.0
2004-01-08,969.0
2004-01-09,969.0
2004-01-12,919.0
2004-01-13,658.0
2004-01-14,1705.0
2004-01-15,823.0
2004-01-16,596.0
2004-01-20,966.0
2004-01-21,853.0
2004-01-22,1494.0
2004-01-28,939.0
2004-01-29,969.0
2004-01-30,704.0
2004-02-02,969.0
2004-02-03,954.0
2004-02-04,740.0
2004-02-05,840.0
2004-02-06,1243.0
2004-02-09,984.0
2004-02-10,845.0
2004-02-11,1160.0
2004-02-12,1055.0
2004-02-13,1384.0
2004-02-17,1941.0
2004-02-18,1204.0
2004-02-19,1445.0
2004-02-20,1141.0
2004-02-23,1114.0
2004-02-24,819.0
2004-02-25,1109.0
2004-02-26,610.0
2004-02-27,1042.0
2004-03-01,1213.0
2004-03-02,1850.0
2004-03-03,2589.0
2004-03-04,1211.0
2004-03-05,1368.0
2004-03-08,1469.0
2004-03-09,854.0
2004-03-10,1515.0
2004-03-11,1152.0
2004-03-12,636.0
2004-03-15,1029.0
2004-03-16,850.0
2004-03-17,1054.0
2004-03-18,514.0
2004-03-19,655.0
2004-03-22,2853.0
2004-03-23,1169.0
2004-03-24,1087.0
2004-03-25,1135.0
2004-03-26,809.0
2004-03-29,1155.0
2004-03-30,1777.0
2004-03-31,2726.0
2004-04-01,1838.0
2004-04-02,1248.0
2004-04-05,1381.0
2004-04-06,636.0
2004-04-07,937.0
2004-04-12,820.0
2004-04-13,1356.0
2004-04-14,2047.0
2004-04-15,1597.0
2004-04-16,823.0
2004-04-19,1323.0
2004-04-20,4574.0
2004-04-21,2022.0
2004-04-22,964.0
2004-04-23,1189.0
2004-04-26,649.0
2004-04-27,4646.0
2004-04-28,1052.0
2004-04-29,1192.0
2004-05-03,817.0
2004-05-04,2041.0
2004-05-05,867.0
2004-05-06,951.0
2004-05-07,3177.0
2004-05-10,3281.0
2004-05-11,1873.0
2004-05-12,1204.0
2004-05-13,817.0
2004-05-14,769.0
2004-05-17,1427.0
2004-05-18,1403.0
2004-05-19,1159.0
2004-05-20,839.0
2004-05-21,894.0
2004-05-24,1004.0
2004-05-25,1634.0
2004-05-26,1126.0
2004-05-27,1060.0
2004-05-28,1655.0
2004-06-01,2765.0
2004-06-02,1430.0
2004-06-03,1104.0
2004-06-04,657.0
2004-06-07,1236.0
2004-06-08,2737.0
2004-06-09,2429.0
2004-06-10,1033.0
2004-06-11,732.0
2004-06-14,1228.0
2004-06-15,1255.0
2004-06-16,2181.0
2004-06-17,1661.0
2004-06-18,897.0
2004-06-21,1642.0
2004-06-22,1208.0
2004-06-23,1523.0
2004-06-24,1038.0
2004-06-25,1374.0
2004-06-28,1700.0
2004-06-29,2404.0
2004-06-30,1972.0
2004-07-01,594.0
2004-07-02,1665.0
2004-07-06,3324.0
2004-07-07,5235.0
2004-07-08,960.0
2004-07-09,1223.0
2004-07-12,1848.0
2004-07-13,1329.0
2004-07-14,2030.0
2004-07-15,1262.0
2004-07-16,922.0
2004-07-19,1744.0
2004-07-20,2885.0
2004-07-21,1394.0
2004-07-22,5689.0
2004-07-23,1751.0
2004-07-26,1564.0
2004-07-27,1566.0
2004-07-28,1743.0
2004-07-29,1279.0
2004-07-30,981.0
2004-08-02,1399.0
2004-08-03,963.0
2004-08-04,1215.0
2004-08-05,1536.0
2004-08-06,2980.0
2004-08-09,1502.0
2004-08-10,1339.0
2004-08-11,2605.0
2004-08-12,1339.0
2004-08-13,1641.0
2004-08-16,2006.0
2004-08-17,1518.0
2004-08-18,1569.0
2004-08-19,1547.0
2004-08-20,1371.0
2004-08-23,1859.0
2004-08-24,2584.0
2004-08-25,1325.0
2004-08-26,1560.0
2004-08-30,1695.0
2004-08-31,1219.0
2004-09-01,382.0
2004-09-02,1410.0
2004-09-03,1220.0
2004-09-07,1152.0
2004-09-08,1780.0
2004-09-09,1654.0
2004-09-10,1428.0
2004-09-13,1249.0
2004-09-14,2157.0
2004-09-15,1535.0
2004-09-16,1521.0
2004-09-17,3215.0
2004-09-20,10577.0
2004-09-21,3709.0
2004-09-22,3144.0
2004-09-23,2382.0
2004-09-24,1259.0
2004-09-27,793.0
2004-09-28,1878.0
2004-09-29,2508.0
