,LMAHDY
1987-08-27,1815.0
1987-08-28,1750.0
1987-09-01,1690.0
1987-09-02,1610.0
1987-09-03,1608.0
1987-09-04,1655.0
1987-09-07,1690.0
1987-09-08,1720.0
1987-09-09,1670.0
1987-09-10,1660.0
1987-09-11,1690.0
1987-09-14,1745.0
1987-09-15,1755.0
1987-09-16,1745.0
1987-09-17,1745.0
1987-09-18,1825.0
1987-09-21,1890.0
1987-09-22,1865.0
1987-09-23,1900.0
1987-09-24,1970.0
1987-09-25,1950.0
1987-09-28,1980.0
1987-09-29,1955.0
1987-09-30,1940.0
1987-10-01,1960.0
1987-10-02,1900.0
1987-10-05,2050.0
1987-10-06,2020.0
1987-10-07,1940.0
1987-10-08,1960.0
1987-10-09,2040.0
1987-10-12,2025.0
1987-10-13,2105.0
1987-10-14,2140.0
1987-10-15,2180.0
1987-10-16,2140.0
1987-10-19,2140.0
1987-10-20,1870.0
1987-10-21,1970.0
1987-10-22,1920.0
1987-10-23,1880.0
1987-10-26,1850.0
1987-10-27,1930.0
1987-10-28,1840.0
1987-10-29,1710.0
1987-10-30,1815.0
1987-11-02,1860.0
1987-11-03,1710.0
1987-11-04,1670.0
1987-11-05,1640.0
1987-11-06,1710.0
1987-11-09,1710.0
1987-11-10,1670.0
1987-11-11,1620.0
1987-11-12,1660.0
1987-11-13,1680.0
1987-11-16,1680.0
1987-11-17,1760.0
1987-11-18,1755.0
1987-11-19,1750.0
1987-11-20,1710.0
1987-11-23,1660.0
1987-11-24,1710.0
1987-11-25,1700.0
1987-11-26,1655.0
1987-11-27,1710.0
1987-11-30,1667.0
1987-12-01,1651.0
1987-12-02,1650.0
1987-12-03,1660.0
1987-12-04,1670.0
1987-12-07,1680.0
1987-12-08,1730.0
1987-12-09,1735.0
1987-12-10,1735.0
1987-12-11,1760.0
1987-12-14,1800.0
1987-12-15,1810.0
1987-12-16,1880.0
1987-12-17,1960.0
1987-12-18,2030.0
1987-12-21,2060.0
1987-12-22,1930.0
1987-12-23,1900.0
1987-12-24,1990.0
1987-12-29,2010.0
1987-12-30,2015.0
1987-12-31,2040.0
1988-01-04,2050.0
1988-01-05,2010.0
1988-01-06,1970.0
1988-01-07,1975.0
1988-01-08,2020.0
1988-01-11,2000.0
1988-01-12,1990.0
1988-01-13,2020.0
1988-01-14,2075.0
1988-01-15,2120.0
1988-01-18,2120.0
1988-01-19,2065.0
1988-01-20,2040.0
1988-01-21,2010.0
1988-01-22,2035.0
1988-01-25,2030.0
1988-01-26,1980.0
1988-01-27,1965.0
1988-01-28,1950.0
1988-01-29,1960.0
1988-02-01,1975.0
1988-02-02,2000.0
1988-02-03,2005.0
1988-02-04,2050.0
1988-02-05,2040.0
