Index,LMCADY,,,,,,,
4/1/1986,1448,,,,,,,
4/2/1986,1432.89,,,,,,,
4/3/1986,1412.07,,,,,,,
4/4/1986,1414.8,,,,,,,
4/7/1986,1421.74,,,,,,,
4/8/1986,1431.07,,,,,,,
4/9/1986,1427.15,,,,,,,
4/10/1986,1430.21,,,,,,,
4/11/1986,1436.73,,,,,,,
4/14/1986,1436.48,,,,,,,
4/15/1986,1430.43,,,,,,,
4/16/1986,1441.69,,,,,,,
4/17/1986,1442.01,,,,,,,
4/18/1986,1437.26,,,,,,,
4/21/1986,1432.51,,,,,,,
4/22/1986,1422.59,,,,,,,
4/23/1986,1453.42,,,,,,,
4/24/1986,1439.15,,,,,,,
4/25/1986,1418.83,,,,,,,
4/28/1986,1435.97,,,,,,,
4/29/1986,1430.66,,,,,,,
4/30/1986,1429.17,,,,,,,
5/1/1986,1433.31,,,,,,,
5/2/1986,1434.61,,,,,,,
5/6/1986,1443.99,,,,,,,
5/7/1986,1438.36,,,,,,,
5/8/1986,1437.6,,,,,,,
5/9/1986,1434.19,,,,,,,
5/12/1986,1429.35,,,,,,,
5/13/1986,1430.29,,,,,,,
5/14/1986,1429,,,,,,,
5/15/1986,1423.28,,,,,,,
5/16/1986,1427.9,,,,,,,
5/19/1986,1423.79,,,,,,,
5/20/1986,1398.4,,,,,,,
5/21/1986,1399.48,,,,,,,
5/22/1986,1400.49,,,,,,,
5/23/1986,1390.54,,,,,,,
5/27/1986,1394.27,,,,,,,
5/28/1986,1384.77,,,,,,,
5/29/1986,1385.76,,,,,,,
5/30/1986,1393.93,,,,,,,
6/2/1986,1403.57,,,,,,,
6/3/1986,1401.36,,,,,,,
6/4/1986,1389.42,,,,,,,
6/5/1986,1414.45,,,,,,,
6/6/1986,1446.45,,,,,,,
6/9/1986,1437.17,,,,,,,
6/10/1986,1460.94,,,,,,,
6/11/1986,1441.11,,,,,,,
6/12/1986,1461.34,,,,,,,
6/13/1986,1454.94,,,,,,,
6/16/1986,1450.66,,,,,,,
6/17/1986,1424.78,,,,,,,
6/18/1986,1417.97,,,,,,,
6/19/1986,1415.83,,,,,,,
6/20/1986,1395.64,,,,,,,
6/23/1986,1387.28,,,,,,,
6/24/1986,1397.3,,,,,,,
6/25/1986,1372.46,,,,,,,
