,Open.Price,High.Price,Low.Price,Close.Price,Volume
1987-01-05,,,,2446.0,
1987-01-06,,,,2436.0,
1987-01-07,,,,2434.0,
1987-01-08,,,,2401.0,
1987-01-09,,,,2390.0,
1987-01-12,,,,2380.0,
1987-01-13,,,,2361.0,
1987-01-14,,,,2400.0,
1987-01-15,,,,2375.0,
1987-01-16,,,,2395.0,
1987-01-19,,,,2337.0,
1987-01-20,,,,2362.0,
1987-01-21,,,,2390.0,
1987-01-22,,,,2370.0,
1987-01-23,,,,2400.0,
1987-01-26,,,,2422.0,
1987-01-27,,,,2420.0,
1987-01-28,,,,2380.0,
1987-01-29,,,,2378.0,
1987-01-30,,,,2392.0,
1987-02-02,,,,2421.0,
1987-02-03,,,,2402.0,
1987-02-04,,,,2416.0,
1987-02-05,,,,2423.0,
1987-02-06,,,,2425.0,
1987-02-09,,,,2438.0,
1987-02-10,,,,2408.0,
1987-02-11,,,,2426.0,
1987-02-12,,,,2444.0,
1987-02-13,,,,2440.0,
1987-02-16,,,,2448.0,
1987-02-17,,,,2470.0,
1987-02-18,,,,2524.0,
1987-02-19,,,,2530.0,
1987-02-20,,,,2500.0,
1987-02-23,,,,2481.0,
1987-02-24,,,,2471.0,
1987-02-25,,,,2490.0,
1987-02-26,,,,2486.0,
1987-02-27,,,,2469.0,
1987-03-02,,,,2441.0,
1987-03-03,,,,2413.0,
1987-03-04,,,,2430.0,
1987-03-05,,,,2427.0,
1987-03-06,,,,2415.0,
1987-03-09,,,,2390.0,
1987-03-10,,,,2391.0,
1987-03-11,,,,2381.0,
1987-03-12,,,,2398.0,
1987-03-13,,,,2420.0,
1987-03-16,,,,2412.0,
1987-03-17,,,,2370.0,
1987-03-18,,,,2360.0,
1987-03-19,,,,2369.0,
1987-03-20,,,,2370.0,
1987-03-23,,,,2345.0,
1987-03-24,,,,2331.0,
1987-03-25,,,,2334.0,
1987-03-26,,,,2345.0,
1987-03-27,,,,2341.0,
1987-03-30,,,,2353.0,
1987-03-31,,,,2356.0,
1987-04-01,,,,2349.0,
1987-04-02,,,,2375.0,
1987-04-03,,,,2372.0,
1987-04-06,,,,2356.0,
1987-04-07,,,,2365.0,
1987-04-08,,,,2385.0,
1987-04-09,,,,2395.0,
1987-04-10,,,,2400.0,
1987-04-13,,,,2398.0,
1987-04-14,,,,2395.0,
1987-04-15,,,,2415.0,
1987-04-16,,,,2434.0,
1987-04-21,,,,2430.0,
1987-04-22,,,,2425.0,
1987-04-23,,,,2417.0,
1987-04-24,,,,2391.0,
1987-04-27,,,,2380.0,
1987-04-28,,,,2450.0,
1987-04-29,,,,2480.0,
1987-04-30,,,,2463.0,
1987-05-01,,,,2475.0,
1987-05-05,,,,2484.0,
1987-05-06,,,,2530.0,
1987-05-07,,,,2700.0,
1987-05-08,,,,2770.0,
1987-05-11,,,,2785.0,
1987-05-12,,,,2760.0,
1987-05-13,,,,2761.0,
1987-05-14,,,,2790.0,
1987-05-15,,,,2780.0,
1987-05-18,,,,2679.0,
1987-05-19,,,,2686.0,
1987-05-20,,,,2645.0,
1987-05-21,,,,2616.0,
1987-05-22,,,,2550.0,
1987-05-26,,,,2605.0,
1987-05-27,,,,2669.0,
1987-05-28,,,,2646.0,
1987-05-29,,,,2634.0,
1987-06-01,,,,2685.0,
1987-06-02,,,,2661.0,
1987-06-03,,,,2662.0,
1987-06-04,,,,2709.0,
1987-06-05,,,,2686.0,
1987-06-08,,,,2680.0,
1987-06-09,,,,2685.0,
1987-06-10,,,,2680.0,
1987-06-11,,,,2715.0,
1987-06-12,,,,2755.0,
1987-06-15,,,,2755.0,
1987-06-16,,,,2810.0,
1987-06-17,,,,2826.0,
1987-06-18,,,,2825.0,
1987-06-19,,,,2845.0,
1987-06-22,,,,2855.0,
1987-06-23,,,,2861.0,
1987-06-24,,,,2771.0,
1987-06-25,,,,2781.0,
1987-06-26,,,,2775.0,
1987-06-29,,,,2825.0,
1987-06-30,,,,2785.0,
1987-07-01,,,,2780.0,
1987-07-02,,,,2775.0,
1987-07-03,,,,2810.0,
1987-07-06,,,,2845.0,
1987-07-07,,,,2860.0,
1987-07-08,,,,2860.0,
1987-07-09,,,,2840.0,
1987-07-10,,,,2875.0,
1987-07-13,,,,2910.0,
1987-07-14,,,,2940.0,
1987-07-15,,,,2981.0,
1987-07-16,,,,3048.0,
1987-07-17,,,,3111.0,
1987-07-20,,,,3107.0,
1987-07-21,,,,3020.0,
1987-07-22,,,,3093.0,
1987-07-23,,,,3095.0,
1987-07-24,,,,3067.0,
1987-07-27,,,,3085.0,
1987-07-28,,,,3082.0,
1987-07-29,,,,3087.0,
1987-07-30,,,,3086.0,
1987-07-31,,,,3153.0,
1987-08-03,,,,3215.0,
1987-08-04,,,,3230.0,
1987-08-05,,,,3285.0,
1987-08-06,,,,3341.0,
1987-08-07,,,,3306.0,
1987-08-10,,,,3380.0,
1987-08-11,,,,3395.0,
1987-08-12,,,,3450.0,
1987-08-13,,,,3455.0,
1987-08-14,,,,3408.0,
1987-08-17,,,,3395.0,
1987-08-18,,,,3321.0,
1987-08-19,,,,3240.0,
1987-08-20,,,,3278.0,
1987-08-21,,,,3322.0,
1987-08-24,,,,3320.0,
1987-08-25,,,,3280.0,
1987-08-26,,,,3340.0,
1987-08-27,,,,3330.0,
1987-08-28,,,,3351.0,
1987-09-01,,,,3290.0,
1987-09-02,,,,3301.0,
1987-09-03,,,,3158.0,
1987-09-04,,,,3203.0,
1987-09-07,,,,3205.0,
1987-09-08,,,,3215.0,
1987-09-09,,,,3185.0,
1987-09-10,,,,3210.0,
1987-09-11,,,,3205.0,
1987-09-14,,,,3190.0,
1987-09-15,,,,3205.0,
1987-09-16,,,,3240.0,
1987-09-17,,,,3290.0,
1987-09-18,,,,3275.0,
1987-09-21,,,,3285.0,
1987-09-22,,,,3255.0,
1987-09-23,,,,3230.0,
1987-09-24,,,,3260.0,
1987-09-25,,,,3295.0,
1987-09-28,,,,3301.0,
1987-09-29,,,,3315.0,
1987-09-30,,,,3285.0,
1987-10-01,,,,3305.0,
1987-10-02,,,,3342.0,
1987-10-05,,,,3360.0,
1987-10-06,,,,3335.0,
1987-10-07,,,,3315.0,
1987-10-08,,,,3302.0,
1987-10-09,,,,3265.0,
1987-10-12,,,,3310.0,
1987-10-13,,,,3355.0,
1987-10-14,,,,3425.0,
1987-10-15,,,,3465.0,
1987-10-16,,,,3535.0,
1987-10-20,,,,3600.0,
1987-10-21,,,,3465.0,
1987-10-22,,,,3425.0,
1987-10-23,,,,3520.0,
1987-10-26,,,,3368.0,
1987-10-27,,,,3387.0,
1987-10-28,,,,3350.0,
1987-10-29,,,,3280.0,
1987-10-30,,,,3355.0,
1987-11-02,,,,3350.0,
1987-11-03,,,,3272.0,
1987-11-04,,,,3260.0,
1987-11-05,,,,3216.0,
1987-11-06,,,,3200.0,
1987-11-09,,,,3172.0,
1987-11-10,,,,3160.0,
1987-11-11,,,,3210.0,
1987-11-12,,,,3220.0,
1987-11-13,,,,3238.0,
1987-11-16,,,,3315.0,
1987-11-17,,,,3295.0,
1987-11-18,,,,3270.0,
1987-11-19,,,,3285.0,
1987-11-20,,,,3315.0,
1987-11-23,,,,3310.0,
1987-11-24,,,,3366.0,
1987-11-25,,,,3445.0,
1987-11-26,,,,3515.0,
1987-11-27,,,,3535.0,
1987-11-30,,,,3579.0,
1987-12-01,,,,3578.0,
1987-12-02,,,,3555.0,
1987-12-03,,,,3585.0,
1987-12-04,,,,3600.0,
