,Open.Price,High.Price,Low.Price,Close.Price,Volume
1989-06-01,,,,10400.0,
1989-06-02,,,,10380.0,
1989-06-05,,,,10275.0,
1989-06-06,,,,10270.0,
1989-06-07,,,,10300.0,
1989-06-08,,,,10380.0,
1989-06-09,,,,10427.0,
1989-06-12,,,,10270.0,
1989-06-13,,,,10250.0,
1989-06-14,,,,10230.0,
1989-06-15,,,,9820.0,
1989-06-16,,,,9850.0,
1989-06-20,,,,9910.0,
1989-06-21,,,,10050.0,
1989-06-22,,,,10000.0,
1989-06-23,,,,10125.0,
1989-06-26,,,,10020.0,
1989-06-27,,,,9980.0,
1989-06-28,,,,10050.0,
1989-06-29,,,,9990.0,
1989-06-30,,,,10000.0,
1989-07-03,,,,9950.0,
1989-07-04,,,,9975.0,
1989-07-06,,,,10050.0,
1989-07-07,,,,10000.0,
1989-07-10,,,,9945.0,
1989-07-11,,,,9900.0,
1989-07-12,,,,9825.0,
1989-07-13,,,,9860.0,
1989-07-14,,,,9830.0,
1989-07-17,,,,9720.0,
1989-07-18,,,,9480.0,
1989-07-19,,,,9420.0,
1989-07-20,,,,9455.0,
1989-07-21,,,,9560.0,
1989-07-24,,,,9555.0,
1989-07-25,,,,9650.0,
1989-07-26,,,,9710.0,
1989-07-27,,,,9705.0,
1989-07-28,,,,9625.0,
1989-07-31,,,,9505.0,
1989-08-01,,,,9640.0,
1989-08-02,,,,9635.0,
1989-08-03,,,,9560.0,
1989-08-04,,,,9465.0,
1989-08-07,,,,9280.0,
1989-08-08,,,,9280.0,
1989-08-09,,,,9310.0,
1989-08-10,,,,9050.0,
1989-08-11,,,,8970.0,
1989-08-14,,,,8950.0,
1989-08-15,,,,8700.0,
1989-08-16,,,,8790.0,
1989-08-17,,,,8675.0,
1989-08-18,,,,8550.0,
1989-08-21,,,,8030.0,
1989-08-22,,,,8300.0,
1989-08-23,,,,8530.0,
1989-08-24,,,,8380.0,
1989-08-25,,,,8375.0,
1989-08-29,,,,8550.0,
1989-08-30,,,,8550.0,
1989-08-31,,,,8650.0,
1989-09-01,,,,8690.0,
1989-09-04,,,,8680.0,
1989-09-05,,,,8650.0,
1989-09-06,,,,8700.0,
1989-09-07,,,,8725.0,
1989-09-08,,,,8770.0,
1989-09-11,,,,8700.0,
1989-09-12,,,,8540.0,
1989-09-13,,,,8280.0,
1989-09-14,,,,8200.0,
1989-09-15,,,,8220.0,
1989-09-18,,,,8240.0,
1989-09-19,,,,8210.0,
1989-09-20,,,,8200.0,
1989-09-21,,,,8170.0,
1989-09-22,,,,8200.0,
1989-09-25,,,,8130.0,
1989-09-26,,,,8180.0,
1989-09-27,,,,8230.0,
1989-09-28,,,,8230.0,
1989-09-29,,,,8470.0,
1989-10-02,,,,8510.0,
1989-10-03,,,,8410.0,
1989-10-04,,,,8420.0,
1989-10-05,,,,8470.0,
1989-10-06,,,,8530.0,
1989-10-09,,,,8400.0,
1989-10-10,,,,8375.0,
1989-10-11,,,,8290.0,
1989-10-12,,,,8290.0,
1989-10-13,,,,8290.0,
1989-10-16,,,,8210.0,
1989-10-17,,,,8210.0,
1989-10-18,,,,8050.0,
1989-10-19,,,,7910.0,
1989-10-20,,,,7820.0,
1989-10-23,,,,7750.0,
1989-10-24,,,,7800.0,
1989-10-25,,,,7880.0,
1989-10-26,,,,7840.0,
1989-10-27,,,,7670.0,
1989-10-30,,,,7655.0,
1989-10-31,,,,7560.0,
1989-11-01,,,,7210.0,
1989-11-02,,,,7315.0,
1989-11-03,,,,7240.0,
1989-11-06,,,,7230.0,
1989-11-07,,,,7400.0,
1989-11-08,,,,7405.0,
1989-11-09,,,,7340.0,
1989-11-10,,,,7210.0,
1989-11-13,,,,6950.0,
1989-11-14,,,,7250.0,
1989-11-15,,,,7100.0,
1989-11-16,,,,7050.0,
1989-11-17,,,,7025.0,
1989-11-20,,,,7150.0,
1989-11-21,,,,7075.0,
1989-11-22,,,,6990.0,
1989-11-23,,,,6915.0,
1989-11-24,,,,6920.0,
1989-11-27,,,,6845.0,
1989-11-28,,,,6730.0,
1989-11-29,,,,6600.0,
1989-11-30,,,,6845.0,
1989-12-01,,,,6790.0,
1989-12-04,,,,6600.0,
1989-12-05,,,,6625.0,
1989-12-06,,,,6700.0,
1989-12-07,,,,6800.0,
1989-12-08,,,,6790.0,
1989-12-11,,,,6825.0,
1989-12-12,,,,6950.0,
1989-12-13,,,,7220.0,
1989-12-14,,,,7300.0,
1989-12-15,,,,7100.0,
1989-12-18,,,,7040.0,
1989-12-19,,,,7070.0,
1989-12-20,,,,7085.0,
1989-12-21,,,,7080.0,
1989-12-22,,,,7150.0,
1989-12-27,,,,7140.0,
1989-12-28,,,,7075.0,
1989-12-29,,,,7060.0,
1990-01-02,,,,6950.0,
1990-01-03,,,,6850.0,
1990-01-04,,,,6820.0,
1990-01-05,,,,6850.0,
1990-01-08,,,,6975.0,
1990-01-09,,,,7100.0,
1990-01-10,,,,7020.0,
1990-01-11,,,,6725.0,
1990-01-12,,,,6800.0,
1990-01-15,,,,6830.0,
1990-01-16,,,,6845.0,
1990-01-17,,,,6670.0,
1990-01-18,,,,6820.0,
1990-01-19,,,,6695.0,
1990-01-22,,,,6650.0,
1990-01-23,,,,6670.0,
1990-01-24,,,,6705.0,
1990-01-25,,,,6720.0,
1990-01-26,,,,6730.0,
1990-01-29,,,,6730.0,
1990-01-30,,,,6610.0,
1990-01-31,,,,6240.0,
1990-02-01,,,,6400.0,
1990-02-02,,,,6350.0,
1990-02-05,,,,6340.0,
1990-02-06,,,,6280.0,
1990-02-07,,,,6470.0,
1990-02-08,,,,6385.0,
1990-02-09,,,,6410.0,
1990-02-12,,,,6405.0,
1990-02-13,,,,6350.0,
1990-02-14,,,,6330.0,
1990-02-15,,,,6280.0,
1990-02-16,,,,6315.0,
1990-02-19,,,,6500.0,
1990-02-20,,,,6430.0,
1990-02-21,,,,6355.0,
1990-02-22,,,,6360.0,
1990-02-23,,,,6420.0,
1990-02-26,,,,6520.0,
1990-02-27,,,,6415.0,
