"Index","LMNIDS"
1996-01-12,-92
1996-01-15,-110
1996-01-17,-95
1996-01-18,-90
1996-01-19,-78
1996-01-23,-95
1996-02-01,-90
1996-02-26,-110
1996-02-27,-109
1996-03-11,-90
1996-03-12,-100
1996-03-14,-99
1996-03-18,-105
1996-03-21,-93
1996-03-25,-95
1996-03-26,-100
1996-04-15,-85
1996-04-17,-96
1996-04-26,-96
1996-05-01,-90
1996-05-02,-81
1996-05-10,-90
1996-05-13,-105
1996-05-17,-106
1996-05-21,-104
1996-05-22,-105
1996-06-03,-110
1996-06-04,-115
1996-06-07,-107
1996-06-10,-107
1996-06-13,-105
1996-06-18,-106
1996-07-08,-110
1996-07-15,-115
1996-08-07,-109
1996-08-08,-104
1996-08-13,-94
1996-08-16,-98
1996-08-28,-98
1996-09-16,-103
1996-09-24,-113
1996-10-14,-113
1996-11-04,-109
1996-11-06,-111
1996-11-08,-107
1996-11-11,-111
1996-11-12,-111
1996-11-20,-104
1996-11-21,-100
1996-11-22,-88
1996-11-25,-91
1996-11-26,-87
1996-11-27,-87
1996-12-02,-86
1996-12-05,-80
1996-12-06,-81
1996-12-12,-98
1996-12-16,-101
1996-12-17,-103
1996-12-27,-104
1996-12-30,-100
1997-01-02,-97
1997-01-15,-96
1997-01-23,-98
1997-01-30,-99
1997-01-31,-96
1997-02-04,-99
1997-02-05,-98
1997-02-06,-94
1997-02-11,-88
1997-02-12,-85
1997-02-13,-85
1997-02-14,-89
1997-02-17,-90
1997-02-20,-93
1997-02-26,-95
1997-02-27,-91
1997-03-04,-94
1997-03-05,-97
1997-03-06,-98
1997-03-07,-98
1997-03-10,-103
1997-03-13,-106
1997-03-17,-108
1997-03-24,-114
1997-03-26,-111
1997-03-27,-107
1997-04-01,-111
1997-04-03,-112
1997-04-07,-113
1997-04-08,-114
1997-04-09,-111
1997-04-10,-110
1997-04-14,-110
1997-04-15,-113
1997-04-18,-112
1997-04-21,-113
1997-04-22,-113
1997-04-23,-114
1997-04-30,-115
1997-05-01,-109
1997-05-07,-112
1997-05-12,-102
1997-05-14,-110
1997-05-16,-109
1997-05-19,-110
1997-05-20,-114
1997-05-21,-111
1997-05-22,-108
1997-05-27,-111
1997-05-29,-107
1997-06-03,-109
1997-06-06,-107
1997-06-10,-112
1997-06-11,-107
1997-06-12,-108
1997-06-13,-105
1997-06-18,-110
1997-06-20,-109
1997-06-23,-114
1997-06-24,-114
1997-06-25,-114
1997-06-26,-112
1997-06-27,-109
1997-06-30,-111
1997-07-10,-111
1997-07-14,-115
1997-07-15,-116
1997-07-17,-111
1997-07-21,-113
1997-07-22,-112
1997-07-23,-111.5
1997-07-24,-108
1997-07-25,-100
1997-07-28,-90
1997-07-29,-79
1997-07-30,-90
1997-07-31,-87
1997-08-01,-86
1997-08-04,-95
1997-08-05,-104
1997-08-06,-106
1997-08-07,-99.5
1997-08-08,-97.25
1997-08-11,-100
1997-08-12,-107
1997-08-13,-111.5
1997-08-14,-104
1997-08-15,-102.9
1997-08-18,-102
1997-08-19,-101
1997-08-20,-100
1997-08-21,-95
1997-08-22,-94.5
1997-08-26,-96
1997-08-27,-93
1997-08-28,-93
1997-08-29,-92
1997-09-01,-94.5
1997-09-02,-97.5
1997-09-03,-102
1997-09-04,-99
1997-09-05,-98
1997-09-08,-99
1997-09-09,-101
1997-09-10,-99.5
1997-09-11,-93
1997-09-12,-94.85
1997-09-15,-100
1997-09-16,-101
1997-09-17,-100
1997-09-18,-91
1997-09-19,-94
1997-09-22,-98
1997-09-23,-98.5
1997-09-24,-99
1997-09-25,-94.5
1997-09-26,-90
1997-09-29,-88
1997-09-30,-94
1997-10-01,-99
1997-10-02,-98.5
1997-10-03,-102.5
1997-10-06,-103
1997-10-07,-104
1997-10-08,-102
1997-10-09,-98.8
1997-10-10,-99.8
1997-10-13,-101.5
1997-10-14,-102
1997-10-15,-99
1997-10-16,-87
1997-10-17,-86
1997-10-20,-86.5
1997-10-21,-88
1997-10-22,-89
1997-10-23,-89
1997-10-24,-88
1997-10-27,-92.5
1997-10-28,-91.5
1997-10-29,-91
1997-10-30,-87
1997-10-31,-81
1997-11-03,-83
1997-11-04,-85
1997-11-05,-85
1997-11-06,-83.5
1997-11-07,-81.25
1997-11-10,-82.25
1997-11-11,-78
1997-11-12,-83
1997-11-13,-87.5
1997-11-14,-84.25
1997-11-17,-89.75
1997-11-18,-90
1997-11-19,-90.5
1997-11-20,-90
1997-11-21,-87
1997-11-24,-90.5
1997-11-25,-90
1997-11-26,-90.5
1997-11-27,-87
1997-11-28,-86
1997-12-01,-89.25
1997-12-02,-91
1997-12-03,-92
1997-12-04,-86.5
1997-12-05,-88.5
1997-12-08,-92.25
1997-12-09,-92
1997-12-10,-93
1997-12-11,-91.4
1997-12-12,-94.2
1997-12-15,-99
1997-12-16,-96
1997-12-17,-94
1997-12-18,-92
1997-12-19,-91
1997-12-22,-93
1997-12-23,-90
1997-12-24,-91.75
1997-12-29,-97
1997-12-30,-88
1997-12-31,-90
1998-01-05,-97
1998-01-06,-96
1998-01-07,-96.5
1998-01-08,-93
1998-01-09,-94
1998-01-12,-97
1998-01-13,-97
1998-01-14,-95.75
1998-01-15,-91
1998-01-16,-90
1998-01-19,-94
1998-01-20,-91.5
1998-01-21,-88
1998-01-22,-86
1998-01-23,-85
1998-01-26,-89
1998-01-27,-86
1998-01-28,-87
1998-01-29,-86
1998-01-30,-86.5
1998-02-02,-86.75
1998-02-03,-90.25
1998-02-04,-90.45
1998-02-05,-87.3
1998-02-06,-88.25
1998-02-09,-89.1
1998-02-10,-91.5
1998-02-11,-90
1998-02-12,-86.9
1998-02-13,-87.9
1998-02-16,-90
1998-02-17,-92
1998-02-18,-91
1998-02-19,-87.5
1998-02-20,-88
1998-02-23,-89
1998-02-24,-90.5
1998-02-25,-90
1998-02-26,-86
1998-02-27,-85.5
1998-03-02,-90.25
1998-03-03,-89
1998-03-04,-90
1998-03-05,-89.5
1998-03-06,-88.5
1998-03-09,-92.5
1998-03-10,-92.5
1998-03-11,-92
1998-03-12,-89.7
1998-03-13,-87
1998-03-16,-92
1998-03-17,-92
1998-03-18,-92
1998-03-19,-90
1998-03-20,-89
1998-03-23,-92
1998-03-24,-94
1998-03-25,-93.75
1998-03-26,-91.5
1998-03-27,-90.5
1998-03-30,-92.5
1998-03-31,-92
1998-04-01,-92.5
1998-04-02,-91
1998-04-03,-93.75
1998-04-06,-93
1998-04-07,-93
1998-04-08,-89
1998-04-09,-89
1998-04-14,-92.5
1998-04-15,-91.5
1998-04-16,-90
1998-04-17,-89.5
1998-04-20,-92.25
1998-04-21,-92
1998-04-22,-92
1998-04-23,-89.5
1998-04-24,-89.5
1998-04-27,-91.75
1998-04-28,-91.75
1998-04-29,-91.5
1998-04-30,-88.5
1998-05-01,-88
1998-05-05,-92
1998-05-06,-91.5
1998-05-07,-88.75
1998-05-08,-86
1998-05-11,-88.5
1998-05-12,-88.5
1998-05-13,-89
1998-05-14,-84
1998-05-15,-84
1998-05-18,-85
1998-05-19,-85
1998-05-20,-85
1998-05-21,-81.75
1998-05-22,-81
1998-05-26,-82.5
1998-05-27,-85
1998-05-28,-78
1998-05-29,-75
1998-06-01,-80
1998-06-02,-79
1998-06-03,-78.5
1998-06-04,-76.5
1998-06-05,-75
1998-06-08,-75
1998-06-09,-72
1998-06-10,-72.5
1998-06-11,-65
1998-06-12,-65.75
1998-06-15,-72
1998-06-16,-73
1998-06-17,-73
1998-06-18,-70
1998-06-19,-69.5
1998-06-22,-72
1998-06-23,-68
1998-06-24,-61
1998-06-25,-62.5
1998-06-26,-63
1998-06-29,-66
1998-06-30,-62
1998-07-01,-54
1998-07-02,-58
1998-07-03,-56
1998-07-06,-57.5
1998-07-07,-59
1998-07-08,-58
1998-07-09,-54
1998-07-10,-52.75
1998-07-13,-59
1998-07-14,-64
1998-07-15,-64
1998-07-16,-58
1998-07-17,-60
1998-07-20,-61
1998-07-21,-56
1998-07-22,-58.5
1998-07-23,-57.5
1998-07-24,-52
1998-07-27,-54
1998-07-28,-56
1998-07-29,-60
1998-07-30,-56.5
1998-07-31,-56.5
1998-08-03,-61.5
1998-08-04,-61
1998-08-05,-61
1998-08-06,-61
1998-08-07,-60.25
1998-08-10,-63
1998-08-11,-62.5
1998-08-12,-64.5
1998-08-13,-61.75
1998-08-14,-61
1998-08-17,-63
1998-08-18,-64
1998-08-19,-63.5
1998-08-20,-62
1998-08-21,-61.5
1998-08-24,-61
1998-08-25,-61.5
1998-08-26,-61.5
1998-08-27,-58
1998-08-28,-57.5
1998-09-01,-63
1998-09-02,-64
1998-09-03,-58.5
1998-09-04,-57.5
1998-09-07,-58
1998-09-08,-57
1998-09-09,-61
1998-09-10,-61.8
1998-09-11,-64.9
1998-09-14,-71
1998-09-15,-71
1998-09-16,-72
1998-09-17,-70
1998-09-18,-70
1998-09-21,-71
1998-09-22,-71
1998-09-23,-71
1998-09-24,-69
1998-09-25,-69
1998-09-28,-73
1998-09-29,-69
1998-09-30,-70
1998-10-01,-70.5
1998-10-02,-70
1998-10-05,-70
1998-10-06,-65.5
1998-10-07,-64.5
1998-10-08,-62.5
1998-10-09,-62.5
1998-10-12,-66
1998-10-13,-67.5
1998-10-14,-63
1998-10-15,-62
1998-10-16,-60
1998-10-19,-62
1998-10-20,-60.5
1998-10-21,-62
1998-10-22,-60
1998-10-23,-58
1998-10-26,-60
1998-10-27,-55.5
1998-10-28,-61.5
1998-10-29,-62
1998-10-30,-62
1998-11-02,-63
1998-11-03,-65
1998-11-04,-66
1998-11-05,-64.5
1998-11-06,-64.25
1998-11-09,-67
1998-11-10,-69
1998-11-11,-69
1998-11-12,-66
1998-11-13,-65.85
1998-11-16,-68
1998-11-17,-69
1998-11-18,-69
1998-11-19,-66.5
1998-11-20,-65.5
1998-11-23,-67.25
1998-11-24,-67
1998-11-25,-67.5
1998-11-26,-65.5
1998-11-27,-63
1998-11-30,-63
1998-12-01,-64
1998-12-02,-65
1998-12-03,-65
1998-12-04,-66.5
1998-12-07,-71
1998-12-08,-71.5
1998-12-09,-70
1998-12-10,-68
1998-12-11,-67.25
1998-12-14,-69.5
1998-12-15,-69
1998-12-16,-68
1998-12-17,-66.5
1998-12-18,-66
1998-12-21,-68.5
1998-12-22,-67.5
1998-12-23,-64.5
1998-12-24,-64.5
1998-12-29,-67.5
1998-12-30,-64
1998-12-31,-64
1999-01-04,-69
1999-01-05,-68
1999-01-06,-67.5
1999-01-07,-66
1999-01-08,-64.5
1999-01-11,-66
1999-01-12,-66.5
1999-01-13,-69
1999-01-14,-67.35
1999-01-15,-68.35
1999-01-18,-70
1999-01-19,-69
1999-01-20,-68.5
1999-01-21,-66.5
1999-01-22,-66
1999-01-25,-68
1999-01-26,-67
1999-01-27,-67
1999-01-28,-66.75
1999-01-29,-67
1999-02-01,-67
1999-02-02,-69
1999-02-03,-69
1999-02-04,-67.5
1999-02-05,-68
1999-02-08,-70.75
1999-02-09,-73
1999-02-10,-73.85
1999-02-11,-71.15
1999-02-12,-70.9
1999-02-15,-71.5
1999-02-16,-72
1999-02-17,-71
1999-02-18,-68
1999-02-19,-67
1999-02-22,-67
1999-02-23,-66.5
1999-02-24,-66
1999-02-25,-56
1999-02-26,-58.5
1999-03-01,-62.5
1999-03-02,-63.5
1999-03-03,-62
1999-03-04,-62.5
1999-03-05,-63.25
1999-03-08,-65
1999-03-09,-68
1999-03-10,-69
1999-03-11,-71
1999-03-12,-71.9
1999-03-15,-73
1999-03-16,-72.5
1999-03-17,-72.5
1999-03-18,-70
1999-03-19,-69
1999-03-22,-71.25
1999-03-23,-72
1999-03-24,-73.5
1999-03-25,-72
1999-03-26,-71.5
1999-03-29,-76
1999-03-30,-77.5
1999-03-31,-74.5
1999-04-01,-73.75
1999-04-02,-73.75
1999-04-06,-78.5
1999-04-07,-75
1999-04-08,-70
1999-04-09,-69.5
1999-04-12,-72
1999-04-13,-72
1999-04-14,-73
1999-04-15,-71.5
1999-04-16,-72.3
1999-04-19,-78
1999-04-20,-78
1999-04-21,-79
1999-04-22,-76
1999-04-23,-75.5
1999-04-26,-77
1999-04-27,-77
1999-04-28,-82.5
1999-04-29,-78.5
