,LMPBDS03
2003-12-11,70.0
2003-12-12,70.0
2003-12-15,53.0
2003-12-16,179.0
2003-12-17,90.0
2003-12-18,147.0
2003-12-19,80.0
2003-12-22,35.0
2003-12-23,61.0
2003-12-26,58.0
2003-12-29,61.0
2003-12-30,61.0
2003-12-31,413.0
2004-01-02,308.0
2004-01-05,140.0
2004-01-06,232.0
2004-01-07,123.0
2004-01-08,72.0
2004-01-09,72.0
2004-01-12,151.0
2004-01-13,130.0
2004-01-14,213.0
2004-01-15,111.0
2004-01-16,58.0
2004-01-20,147.0
2004-01-21,227.0
2004-01-22,132.0
2004-01-28,266.0
2004-01-29,95.0
2004-01-30,391.0
2004-02-02,165.0
2004-02-03,335.0
2004-02-04,221.0
2004-02-05,130.0
2004-02-06,118.0
2004-02-09,191.0
2004-02-10,173.0
2004-02-11,175.0
2004-02-12,219.0
2004-02-13,247.0
2004-02-17,446.0
2004-02-18,468.0
2004-02-19,241.0
2004-02-20,867.0
2004-02-23,467.0
2004-02-24,527.0
2004-02-25,250.0
2004-02-26,43.0
2004-02-27,108.0
2004-03-01,219.0
2004-03-02,250.0
2004-03-03,496.0
2004-03-04,236.0
2004-03-05,95.0
2004-03-08,326.0
2004-03-09,66.0
2004-03-10,134.0
2004-03-11,106.0
2004-03-12,106.0
2004-03-15,240.0
2004-03-16,148.0
2004-03-17,168.0
2004-03-18,112.0
2004-03-19,201.0
2004-03-22,828.0
2004-03-23,125.0
2004-03-24,185.0
2004-03-25,412.0
2004-03-26,81.0
2004-03-29,93.0
2004-03-30,158.0
2004-03-31,358.0
2004-04-01,140.0
2004-04-02,242.0
2004-04-05,212.0
2004-04-06,249.0
2004-04-07,149.0
2004-04-12,802.0
2004-04-13,226.0
2004-04-14,162.0
2004-04-15,75.0
2004-04-16,96.0
2004-04-19,236.0
2004-04-20,356.0
2004-04-21,234.0
2004-04-22,220.0
2004-04-23,28.0
2004-04-26,84.0
2004-04-27,246.0
2004-04-28,48.0
2004-04-29,85.0
2004-05-03,68.0
2004-05-04,100.0
2004-05-05,415.0
2004-05-06,124.0
2004-05-07,143.0
2004-05-10,58.0
2004-05-11,61.0
2004-05-12,58.0
2004-05-13,53.0
2004-05-14,86.0
2004-05-17,117.0
2004-05-18,326.0
2004-05-19,363.0
2004-05-20,503.0
2004-05-21,492.0
2004-05-24,152.0
2004-05-25,528.0
2004-05-26,196.0
2004-05-27,232.0
2004-05-28,392.0
2004-06-01,136.0
2004-06-02,234.0
2004-06-03,51.0
2004-06-04,83.0
2004-06-07,525.0
2004-06-08,314.0
2004-06-09,1071.0
2004-06-10,243.0
2004-06-11,132.0
2004-06-14,245.0
2004-06-15,153.0
2004-06-16,230.0
2004-06-17,278.0
2004-06-18,154.0
2004-06-21,348.0
2004-06-22,159.0
2004-06-23,378.0
2004-06-24,181.0
2004-06-25,90.0
2004-06-28,406.0
2004-06-29,408.0
2004-06-30,253.0
2004-07-01,414.0
2004-07-02,295.0
2004-07-06,305.0
2004-07-07,292.0
2004-07-08,204.0
2004-07-09,98.0
2004-07-12,259.0
2004-07-13,94.0
2004-07-14,80.0
2004-07-15,141.0
2004-07-16,68.0
2004-07-19,154.0
2004-07-20,294.0
2004-07-21,102.0
2004-07-22,735.0
2004-07-23,203.0
2004-07-26,449.0
2004-07-27,858.0
2004-07-28,539.0
2004-07-29,184.0
2004-07-30,306.0
2004-08-02,158.0
2004-08-03,282.0
2004-08-04,199.0
2004-08-05,417.0
2004-08-06,399.0
2004-08-09,249.0
2004-08-10,106.0
2004-08-11,295.0
2004-08-12,197.0
2004-08-13,232.0
2004-08-16,135.0
2004-08-17,923.0
2004-08-18,178.0
2004-08-19,35.0
2004-08-20,205.0
2004-08-23,60.0
2004-08-24,108.0
2004-08-25,17.0
2004-08-26,76.0
2004-08-30,94.0
2004-08-31,146.0
2004-09-01,177.0
2004-09-02,80.0
2004-09-03,368.0
2004-09-07,264.0
2004-09-08,184.0
2004-09-09,167.0
2004-09-10,1033.0
2004-09-13,277.0
2004-09-14,334.0
2004-09-15,93.0
2004-09-16,249.0
2004-09-17,386.0
2004-09-20,235.0
2004-09-21,693.0
2004-09-22,118.0
2004-09-23,217.0
2004-09-24,201.0
2004-09-27,88.0
2004-09-28,213.0
2004-09-29,205.0
2004-09-30,245.0
2004-10-01,160.0
2004-10-04,151.0
2004-10-05,79.0
2004-10-06,410.0
2004-10-07,170.0
2004-10-08,119.0
2004-10-11,273.0
2004-10-12,550.0
2004-10-13,3347.0
2004-10-14,627.0
2004-10-15,156.0
2004-10-18,205.0
2004-10-19,179.0
2004-10-20,186.0
2004-10-21,66.0
2004-10-22,167.0
2004-10-25,157.0
2004-10-26,193.0
2004-10-27,258.0
2004-10-28,80.0
2004-10-29,155.0
2004-11-01,105.0
2004-11-02,97.0
2004-11-03,271.0
2004-11-04,254.0
2004-11-05,770.0
2004-11-08,374.0
2004-11-09,262.0
2004-11-10,193.0
2004-11-11,196.0
2004-11-12,118.0
2004-11-15,354.0
2004-11-16,152.0
2004-11-17,980.0
2004-11-18,387.0
2004-11-19,358.0
2004-11-22,130.0
2004-11-23,109.0
2004-11-24,270.0
2004-11-26,116.0
2004-11-29,307.0
2004-11-30,306.0
2004-12-01,235.0
2004-12-02,348.0
2004-12-03,145.0
2004-12-06,201.0
2004-12-07,914.0
2004-12-08,771.0
2004-12-09,1211.0
2004-12-10,388.0
2004-12-13,205.0
2004-12-14,125.0
2004-12-15,284.0
2004-12-16,88.0
2004-12-17,85.0
2004-12-20,87.0
2004-12-21,303.0
2004-12-22,41.0
2004-12-28,78.0
2004-12-29,606.0
