"Index","LMSNDS"
1995-05-04,15
1995-05-05,4
1995-05-12,5
1995-05-15,2
1995-05-16,7
1995-05-18,2
1995-05-19,20
1995-05-22,15
1995-05-23,25
1995-05-24,60
1995-05-25,60
1995-05-26,60
1995-05-30,65
1995-05-31,70
1995-06-01,75
1995-06-05,70
1995-06-07,110
1995-06-08,115
1995-06-09,180
1995-06-13,150
1995-06-14,130
1995-06-19,70
1995-06-21,90
1995-06-27,110
1995-06-29,120
1995-07-04,125
1995-07-05,125
1995-07-07,130
1995-07-14,80
1995-07-17,50
1995-07-27,50
1995-07-28,40
1995-07-31,35
1995-08-04,85
1995-08-14,20
1995-08-15,35
1995-08-18,30
1995-08-22,40
1995-08-23,20
1996-01-10,-10
1996-01-16,-35
1996-01-29,-35
1996-01-30,-50
1996-02-12,-60
1996-02-16,-65
1996-02-19,-68
1996-02-21,-65
1996-02-27,-66
1996-02-29,70
1996-03-14,-34
1996-03-15,-28
1996-03-20,-28
1996-03-26,-10
1996-03-28,-15
1996-04-12,-16
1996-04-16,-3
1996-04-19,10
1996-04-23,-16
1996-05-07,4
1996-05-15,-15
1996-05-16,-21
1996-05-22,-35
1996-05-23,-31
1996-05-29,-45
1996-06-04,-35
1996-06-11,-7
1996-06-12,15
1996-06-13,10
1996-06-25,-21
1996-06-27,-39
1996-07-09,-48
1996-07-10,-45
1996-07-11,-42
1996-07-23,-57
1996-07-24,-60
1996-07-25,-58
1996-07-26,-58
1996-07-30,-65
1996-07-31,-67
1996-08-01,-62
1996-08-02,-64
1996-08-07,-60
1996-08-09,-59
1996-08-13,-62
1996-08-14,-64
1996-08-15,-62
1996-08-16,-64
1996-08-19,-60
1996-08-20,-59
1996-08-21,-60
1996-08-22,-54
1996-08-30,-45
1996-09-11,-55
1996-09-16,-62
1996-09-19,-60
1996-09-24,-60
1996-09-26,-59
1996-10-01,-65
1996-10-03,-67
1996-10-04,-50
1996-10-11,-54
1996-10-14,-58
1996-10-15,-59
1996-10-16,-60
1996-10-17,-59
1996-10-22,-57
1996-10-24,-52
1996-10-29,-62
1996-10-30,-63
1996-11-04,-70
1996-11-07,-56
1996-11-08,-54.5
1996-11-11,-46
1996-11-13,-30
1996-11-15,-15
1996-11-18,-10
1996-11-19,-20
1996-11-21,12
1996-11-22,-8
1996-11-26,-2
1996-12-02,-20
1996-12-03,-27
1996-12-06,-27
1996-12-12,-39
1996-12-17,-52
1996-12-20,-52
1996-12-31,-58
1997-01-07,-60
1997-01-09,-57
1997-01-10,-55
1997-01-13,-42
1997-01-14,-42
1997-01-16,-43
1997-01-20,-56
1997-01-22,-60
1997-01-28,-57
1997-01-30,-65
1997-01-31,-60
1997-02-03,-58
1997-02-10,-68
1997-02-11,-72
1997-02-12,-65
1997-02-17,-48
1997-02-20,-40
1997-02-24,-62
1997-02-25,-58
1997-02-27,-50
1997-03-04,-57
1997-03-06,-55
