,LMSNDY
1989-06-01,10390.0
1989-06-02,10365.0
1989-06-05,10265.0
1989-06-06,10260.0
1989-06-07,10285.0
1989-06-08,10360.0
1989-06-09,10415.0
1989-06-12,10255.0
1989-06-13,10235.0
1989-06-14,10260.0
1989-06-15,9900.0
1989-06-16,9950.0
1989-06-20,10000.0
1989-06-21,10125.0
1989-06-22,10200.0
1989-06-23,10225.0
1989-06-26,10110.0
1989-06-27,10130.0
1989-06-28,10050.0
1989-06-29,10050.0
1989-06-30,10030.0
1989-07-03,9950.0
1989-07-04,9980.0
1989-07-05,10020.0
1989-07-06,10110.0
1989-07-07,10015.0
1989-07-10,9970.0
1989-07-11,9935.0
1989-07-12,9850.0
1989-07-13,9870.0
1989-07-14,9845.0
1989-07-17,9740.0
1989-07-18,9470.0
1989-07-19,9420.0
1989-07-20,9465.0
1989-07-21,9580.0
1989-07-24,9561.0
1989-07-25,9645.0
1989-07-26,9717.0
1989-07-27,9720.0
1989-07-28,9635.0
1989-07-31,9530.0
1989-08-01,9655.0
1989-08-02,9640.0
1989-08-03,9560.0
1989-08-04,9440.0
1989-08-07,9220.0
1989-08-08,9220.0
1989-08-09,9250.0
1989-08-10,8980.0
1989-08-11,8870.0
1989-08-14,8770.0
1989-08-15,8540.0
1989-08-16,8650.0
1989-08-17,8525.0
1989-08-18,8450.0
1989-08-21,7860.0
1989-08-22,8155.0
1989-08-23,8390.0
1989-08-24,8250.0
1989-08-25,8250.0
1989-08-29,8545.0
1989-08-30,8460.0
1989-08-31,8590.0
1989-09-01,8620.0
1989-09-04,8600.0
1989-09-05,8530.0
1989-09-06,8660.0
1989-09-07,8670.0
1989-09-08,8730.0
1989-09-11,8620.0
1989-09-12,8470.0
1989-09-13,8220.0
1989-09-14,8100.0
1989-09-15,8100.0
1989-09-18,8130.0
1989-09-19,8110.0
1989-09-20,8100.0
1989-09-21,8070.0
1989-09-22,8100.0
1989-09-25,8040.0
1989-09-26,8110.0
1989-09-27,8175.0
1989-09-28,8150.0
1989-09-29,8475.0
1989-10-02,8520.0
1989-10-03,8410.0
