,LMZSDS03
2003-12-11,252.0
2003-12-12,204.0
2003-12-15,418.0
2003-12-16,183.0
2003-12-17,167.0
2003-12-18,252.0
2003-12-19,55.0
2003-12-22,98.0
2003-12-23,28.0
2003-12-26,66.0
2003-12-29,186.0
2003-12-30,292.0
2003-12-31,482.0
2004-01-02,465.0
2004-01-05,391.0
2004-01-06,424.0
2004-01-07,366.0
2004-01-08,188.0
2004-01-09,188.0
2004-01-12,118.0
2004-01-13,373.0
2004-01-14,524.0
2004-01-15,281.0
2004-01-16,487.0
2004-01-20,182.0
2004-01-21,236.0
2004-01-22,218.0
2004-01-28,722.0
2004-01-29,370.0
2004-01-30,587.0
2004-02-02,730.0
2004-02-03,384.0
2004-02-04,297.0
2004-02-05,732.0
2004-02-06,279.0
2004-02-09,224.0
2004-02-10,238.0
2004-02-11,402.0
2004-02-12,315.0
2004-02-13,292.0
2004-02-17,268.0
2004-02-18,300.0
2004-02-19,513.0
2004-02-20,423.0
2004-02-23,451.0
2004-02-24,691.0
2004-02-25,552.0
2004-02-26,251.0
2004-02-27,819.0
2004-03-01,322.0
2004-03-02,707.0
2004-03-03,750.0
2004-03-04,356.0
2004-03-05,216.0
2004-03-08,413.0
2004-03-09,196.0
2004-03-10,565.0
2004-03-11,201.0
2004-03-12,241.0
2004-03-15,496.0
2004-03-16,223.0
2004-03-17,243.0
2004-03-18,142.0
2004-03-19,308.0
2004-03-22,1001.0
2004-03-23,280.0
2004-03-24,469.0
2004-03-25,483.0
2004-03-26,142.0
2004-03-29,358.0
2004-03-30,340.0
2004-03-31,1159.0
2004-04-01,680.0
2004-04-02,1456.0
2004-04-05,1393.0
2004-04-06,322.0
2004-04-07,228.0
2004-04-12,422.0
2004-04-13,156.0
2004-04-14,584.0
2004-04-15,244.0
2004-04-16,117.0
2004-04-19,246.0
2004-04-20,672.0
2004-04-21,313.0
2004-04-22,208.0
2004-04-23,257.0
2004-04-26,57.0
2004-04-27,585.0
2004-04-28,178.0
2004-04-29,257.0
2004-05-03,458.0
2004-05-04,143.0
2004-05-05,684.0
2004-05-06,386.0
2004-05-07,1071.0
2004-05-10,460.0
2004-05-11,396.0
2004-05-12,459.0
2004-05-13,166.0
2004-05-14,233.0
2004-05-17,327.0
2004-05-18,876.0
2004-05-19,722.0
2004-05-20,485.0
2004-05-21,594.0
2004-05-24,622.0
2004-05-25,1334.0
2004-05-26,1169.0
2004-05-27,394.0
2004-05-28,812.0
2004-06-01,983.0
2004-06-02,504.0
2004-06-03,816.0
2004-06-04,399.0
2004-06-07,305.0
2004-06-08,349.0
2004-06-09,1870.0
2004-06-10,1212.0
2004-06-11,3262.0
