,LMAHDS03
2003-12-12,559.0
2003-12-15,590.0
2003-12-16,700.0
2003-12-17,427.0
2003-12-18,630.0
2003-12-19,843.0
2003-12-22,507.0
2003-12-23,458.0
2003-12-26,208.0
2003-12-29,516.0
2003-12-30,323.0
2003-12-31,713.0
2004-01-02,1236.0
2004-01-05,991.0
2004-01-06,718.0
2004-01-07,366.0
2004-01-08,870.0
2004-01-09,969.0
2004-01-12,969.0
2004-01-13,919.0
2004-01-14,658.0
2004-01-15,1705.0
2004-01-16,823.0
2004-01-20,596.0
2004-01-21,966.0
2004-01-22,853.0
2004-01-28,1494.0
2004-01-29,939.0
2004-01-30,969.0
2004-02-02,704.0
2004-02-03,969.0
2004-02-04,954.0
2004-02-05,740.0
2004-02-06,840.0
2004-02-09,1243.0
2004-02-10,984.0
2004-02-11,845.0
2004-02-12,1160.0
2004-02-13,1055.0
2004-02-17,1384.0
2004-02-18,1941.0
2004-02-19,1204.0
2004-02-20,1445.0
2004-02-23,1141.0
2004-02-24,1114.0
2004-02-25,819.0
2004-02-26,1109.0
2004-02-27,610.0
2004-03-01,1042.0
2004-03-02,1213.0
2004-03-03,1850.0
2004-03-04,2589.0
2004-03-05,1211.0
2004-03-08,1368.0
2004-03-09,1469.0
2004-03-10,854.0
2004-03-11,1515.0
2004-03-12,1152.0
2004-03-15,636.0
2004-03-16,1029.0
2004-03-17,850.0
2004-03-18,1054.0
2004-03-19,514.0
2004-03-22,655.0
2004-03-23,2853.0
2004-03-24,1169.0
2004-03-25,1087.0
2004-03-26,1135.0
2004-03-29,809.0
2004-03-30,1155.0
2004-03-31,1777.0
2004-04-01,2726.0
2004-04-02,1838.0
2004-04-05,1248.0
2004-04-06,1381.0
2004-04-07,636.0
2004-04-12,937.0
2004-04-13,820.0
2004-04-14,1356.0
2004-04-15,2047.0
2004-04-16,1597.0
2004-04-19,823.0
2004-04-20,1323.0
2004-04-21,4574.0
2004-04-22,2022.0
2004-04-23,964.0
2004-04-26,1189.0
2004-04-27,649.0
2004-04-28,4646.0
2004-04-29,1052.0
2004-05-03,1192.0
2004-05-04,817.0
2004-05-05,2041.0
2004-05-06,867.0
2004-05-07,951.0
2004-05-10,3177.0
2004-05-11,3281.0
2004-05-12,1873.0
2004-05-13,1204.0
2004-05-14,817.0
2004-05-17,769.0
2004-05-18,1427.0
2004-05-19,1403.0
2004-05-20,1159.0
2004-05-21,839.0
2004-05-24,894.0
2004-05-25,1004.0
2004-05-26,1634.0
2004-05-27,1126.0
2004-05-28,1060.0
2004-06-01,1655.0
2004-06-02,2765.0
2004-06-03,1430.0
2004-06-04,1104.0
2004-06-07,657.0
2004-06-08,1236.0
2004-06-09,2737.0
2004-06-10,2429.0
2004-06-11,1033.0
2004-06-14,732.0
2004-06-15,1228.0
2004-06-16,1255.0
2004-06-17,2181.0
2004-06-18,1661.0
2004-06-21,897.0
2004-06-22,1642.0
2004-06-23,1208.0
2004-06-24,1523.0
2004-06-25,1038.0
2004-06-28,1374.0
2004-06-29,1700.0
2004-06-30,2404.0
2004-07-01,1972.0
2004-07-02,594.0
2004-07-06,1665.0
2004-07-07,3324.0
2004-07-08,5235.0
2004-07-09,960.0
2004-07-12,1223.0
2004-07-13,1848.0
2004-07-14,1329.0
2004-07-15,2030.0
2004-07-16,1262.0
2004-07-19,922.0
2004-07-20,1744.0
2004-07-21,2885.0
2004-07-22,1394.0
2004-07-23,5689.0
2004-07-26,1751.0
2004-07-27,1564.0
2004-07-28,1566.0
2004-07-29,1743.0
2004-07-30,1279.0
2004-08-02,981.0
2004-08-03,1399.0
2004-08-04,963.0
2004-08-05,1215.0
2004-08-06,1536.0
2004-08-09,2980.0
2004-08-10,1502.0
2004-08-11,1339.0
2004-08-12,2605.0
2004-08-13,1339.0
