,LMNIDS03
2003-12-12,126.0
2003-12-15,136.0
2003-12-16,45.0
2003-12-17,167.0
2003-12-18,210.0
2003-12-19,73.0
2003-12-22,77.0
2003-12-23,131.0
2003-12-26,117.0
2003-12-29,70.0
2003-12-30,46.0
2003-12-31,19.0
2004-01-02,10.0
2004-01-05,43.0
2004-01-06,240.0
2004-01-07,229.0
2004-01-08,377.0
2004-01-09,77.0
2004-01-12,77.0
2004-01-13,128.0
2004-01-14,79.0
2004-01-15,242.0
2004-01-16,104.0
2004-01-20,96.0
2004-01-21,122.0
2004-01-22,65.0
2004-01-28,46.0
2004-01-29,71.0
2004-01-30,56.0
2004-02-02,293.0
2004-02-03,103.0
2004-02-04,56.0
2004-02-05,83.0
2004-02-06,109.0
2004-02-09,111.0
2004-02-10,159.0
2004-02-11,146.0
2004-02-12,91.0
2004-02-13,82.0
2004-02-17,55.0
2004-02-18,47.0
2004-02-19,63.0
2004-02-20,237.0
2004-02-23,354.0
2004-02-24,242.0
2004-02-25,125.0
2004-02-26,74.0
2004-02-27,43.0
2004-03-01,193.0
2004-03-02,155.0
2004-03-03,174.0
2004-03-04,363.0
2004-03-05,140.0
2004-03-08,68.0
2004-03-09,85.0
2004-03-10,54.0
2004-03-11,152.0
2004-03-12,175.0
2004-03-15,265.0
2004-03-16,135.0
2004-03-17,178.0
2004-03-18,78.0
2004-03-19,50.0
2004-03-22,129.0
2004-03-23,138.0
2004-03-24,129.0
2004-03-25,86.0
2004-03-26,44.0
2004-03-29,84.0
2004-03-30,166.0
2004-03-31,244.0
2004-04-01,430.0
2004-04-02,179.0
2004-04-05,139.0
2004-04-06,203.0
2004-04-07,78.0
2004-04-12,72.0
2004-04-13,204.0
2004-04-14,176.0
2004-04-15,255.0
2004-04-16,321.0
2004-04-19,116.0
2004-04-20,243.0
2004-04-21,184.0
2004-04-22,211.0
2004-04-23,289.0
2004-04-26,60.0
2004-04-27,197.0
2004-04-28,168.0
2004-04-29,60.0
2004-05-03,159.0
2004-05-04,123.0
2004-05-05,115.0
2004-05-06,272.0
2004-05-07,48.0
2004-05-10,144.0
2004-05-11,122.0
2004-05-12,109.0
2004-05-13,165.0
2004-05-14,151.0
2004-05-17,93.0
2004-05-18,306.0
2004-05-19,242.0
2004-05-20,95.0
2004-05-21,342.0
2004-05-24,165.0
2004-05-25,167.0
2004-05-26,162.0
2004-05-27,157.0
2004-05-28,152.0
2004-06-01,376.0
2004-06-02,153.0
2004-06-03,151.0
2004-06-04,232.0
2004-06-07,127.0
2004-06-08,50.0
2004-06-09,163.0
2004-06-10,145.0
2004-06-11,177.0
2004-06-14,406.0
2004-06-15,145.0
2004-06-16,89.0
2004-06-17,428.0
2004-06-18,773.0
2004-06-21,320.0
2004-06-22,432.0
2004-06-23,354.0
2004-06-24,187.0
2004-06-25,113.0
2004-06-28,102.0
2004-06-29,288.0
2004-06-30,399.0
2004-07-01,264.0
2004-07-02,322.0
2004-07-06,205.0
2004-07-07,298.0
2004-07-08,289.0
2004-07-09,109.0
2004-07-12,215.0
2004-07-13,237.0
2004-07-14,120.0
2004-07-15,139.0
2004-07-16,246.0
2004-07-19,70.0
2004-07-20,208.0
2004-07-21,103.0
2004-07-22,145.0
2004-07-23,770.0
2004-07-26,239.0
2004-07-27,257.0
2004-07-28,289.0
2004-07-29,152.0
2004-07-30,269.0
2004-08-02,197.0
2004-08-03,182.0
2004-08-04,226.0
2004-08-05,320.0
2004-08-06,296.0
2004-08-09,292.0
2004-08-10,176.0
2004-08-11,155.0
2004-08-12,189.0
2004-08-13,89.0
2004-08-16,358.0
2004-08-17,339.0
2004-08-18,241.0
2004-08-19,255.0
2004-08-20,154.0
2004-08-23,272.0
2004-08-24,101.0
2004-08-25,73.0
2004-08-26,679.0
2004-08-30,686.0
2004-08-31,235.0
2004-09-01,157.0
2004-09-02,156.0
2004-09-03,137.0
2004-09-07,201.0
2004-09-08,242.0
2004-09-09,359.0
2004-09-10,172.0
2004-09-13,145.0
2004-09-14,325.0
2004-09-15,520.0
2004-09-16,204.0
2004-09-17,260.0
2004-09-20,239.0
2004-09-21,402.0
2004-09-22,940.0
2004-09-23,633.0
2004-09-24,374.0
2004-09-27,185.0
2004-09-28,91.0
2004-09-29,186.0
2004-09-30,557.0
2004-10-01,788.0
2004-10-04,160.0
2004-10-05,149.0
2004-10-06,425.0
2004-10-07,672.0
2004-10-08,552.0
2004-10-11,194.0
2004-10-12,414.0
2004-10-13,1512.0
2004-10-14,1110.0
2004-10-15,587.0
2004-10-18,255.0
2004-10-19,474.0
2004-10-20,261.0
2004-10-21,254.0
2004-10-22,171.0
2004-10-25,99.0
2004-10-26,557.0
2004-10-27,327.0
2004-10-28,292.0
2004-10-29,244.0
2004-11-01,184.0
2004-11-02,111.0
2004-11-03,155.0
2004-11-04,319.0
2004-11-05,308.0
2004-11-08,209.0
2004-11-09,353.0
2004-11-10,160.0
2004-11-11,127.0
2004-11-12,263.0
2004-11-15,143.0
2004-11-16,309.0
2004-11-17,156.0
2004-11-18,319.0
2004-11-19,344.0
2004-11-22,269.0
2004-11-23,235.0
2004-11-24,193.0
2004-11-26,253.0
2004-11-29,118.0
2004-11-30,124.0
2004-12-01,163.0
2004-12-02,730.0
2004-12-03,878.0
2004-12-06,436.0
2004-12-07,316.0
2004-12-08,852.0
2004-12-09,361.0
2004-12-10,383.0
2004-12-13,352.0
2004-12-14,222.0
2004-12-15,345.0
2004-12-16,231.0
2004-12-17,119.0
2004-12-20,1010.0
2004-12-21,838.0
2004-12-22,610.0
2004-12-28,73.0
2004-12-29,351.0
2004-12-30,414.0
2005-01-03,122.0
2005-01-04,728.0
2005-01-05,407.0
2005-01-06,325.0
2005-01-07,731.0
2005-01-10,207.0
2005-01-11,182.0
2005-01-12,208.0
2005-01-13,239.0
2005-01-14,103.0
2005-01-18,178.0
2005-01-19,259.0
2005-01-20,349.0
2005-01-21,414.0
2005-01-24,214.0
2005-01-25,241.0
2005-01-26,399.0
2005-01-27,190.0
2005-01-28,435.0
2005-01-31,199.0
2005-02-01,306.0
2005-02-02,227.0
2005-02-03,509.0
2005-02-04,283.0
2005-02-07,125.0
2005-02-08,638.0
2005-02-09,620.0
2005-02-10,449.0
2005-02-11,624.0
2005-02-14,328.0
2005-02-15,538.0
2005-02-16,588.0
2005-02-17,248.0
2005-02-18,186.0
2005-02-22,712.0
2005-02-23,587.0
2005-02-24,364.0
2005-02-25,327.0
2005-02-28,349.0
2005-03-01,620.0
2005-03-02,830.0
2005-03-03,350.0
2005-03-04,359.0
2005-03-07,180.0
2005-03-08,433.0
2005-03-09,243.0
2005-03-10,324.0
2005-03-11,689.0
2005-03-14,188.0
2005-03-15,361.0
2005-03-16,351.0
2005-03-17,149.0
2005-03-18,228.0
2005-03-21,148.0
2005-03-22,252.0
2005-03-23,543.0
2005-03-28,251.0
2005-03-29,383.0
2005-03-30,283.0
2005-03-31,167.0
2005-04-01,332.0
2005-04-04,401.0
2005-04-05,231.0
2005-04-06,327.0
2005-04-07,296.0
2005-04-08,164.0
2005-04-11,108.0
2005-04-12,377.0
2005-04-13,807.0
2005-04-14,731.0
2005-04-15,292.0
2005-04-18,629.0
2005-04-19,254.0
2005-04-20,567.0
2005-04-21,217.0
2005-04-22,164.0
2005-04-25,209.0
2005-04-26,309.0
2005-04-27,519.0
2005-04-28,680.0
2005-05-02,1012.0
2005-05-03,1229.0
2005-05-04,489.0
2005-05-05,538.0
2005-05-06,477.0
2005-05-09,795.0
2005-05-10,1495.0
2005-05-11,991.0
2005-05-12,1435.0
2005-05-13,994.0
2005-05-16,1665.0
2005-05-17,540.0
2005-05-18,946.0
2005-05-19,630.0
2005-05-20,410.0
2005-05-23,302.0
2005-05-24,796.0
2005-05-25,377.0
2005-05-26,692.0
2005-05-27,537.0
2005-05-31,1024.0
2005-06-01,478.0
2005-06-02,1303.0
2005-06-03,1242.0
2005-06-06,392.0
2005-06-07,577.0
2005-06-08,1551.0
2005-06-09,820.0
2005-06-10,621.0
2005-06-13,729.0
2005-06-14,622.0
2005-06-15,771.0
2005-06-16,308.0
2005-06-17,788.0
2005-06-20,394.0
2005-06-21,1677.0
2005-06-22,1608.0
2005-06-23,2852.0
2005-06-24,2580.0
2005-06-27,1251.0
2005-06-28,1814.0
2005-06-29,850.0
2005-06-30,663.0
2005-07-01,1033.0
2005-07-05,543.0
2005-07-06,954.0
2005-07-07,738.0
2005-07-08,479.0
2005-07-11,652.0
2005-07-12,1083.0
2005-07-13,893.0
2005-07-14,516.0
2005-07-15,366.0
2005-07-18,565.0
2005-07-19,1355.0
2005-07-20,1283.0
2005-07-21,822.0
2005-07-22,616.0
2005-07-25,526.0
2005-07-26,578.0
2005-07-27,475.0
2005-07-28,1729.0
2005-07-29,662.0
2005-08-01,740.0
2005-08-02,549.0
2005-08-03,881.0
2005-08-04,943.0
2005-08-05,588.0
2005-08-08,867.0
2005-08-09,474.0
2005-08-10,1344.0
2005-08-11,844.0
2005-08-12,2495.0
2005-08-15,1125.0
2005-08-16,937.0
2005-08-17,1048.0
2005-08-18,672.0
2005-08-19,854.0
2005-08-22,564.0
2005-08-23,738.0
2005-08-24,729.0
2005-08-25,400.0
2005-08-29,620.0
2005-08-30,540.0
2005-08-31,789.0
2005-09-01,1234.0
2005-09-02,386.0
2005-09-06,844.0
2005-09-07,1817.0
2005-09-08,1294.0
2005-09-09,662.0
2005-09-12,587.0
2005-09-13,781.0
2005-09-14,2155.0
2005-09-15,3923.0
2005-09-16,3043.0
2005-09-19,1091.0
2005-09-20,1009.0
2005-09-21,587.0
2005-09-22,529.0
2005-09-23,856.0
2005-09-26,744.0
2005-09-27,612.0
2005-09-28,665.0
2005-09-29,447.0
2005-09-30,383.0
2005-10-03,547.0
2005-10-04,853.0
2005-10-05,510.0
2005-10-06,258.0
2005-10-07,709.0
2005-10-10,2085.0
2005-10-11,1210.0
2005-10-12,738.0
2005-10-13,1583.0
2005-10-14,1248.0
2005-10-17,1686.0
2005-10-18,1095.0
2005-10-19,1336.0
2005-10-20,1192.0
2005-10-21,1002.0
2005-10-24,548.0
2005-10-25,1351.0
2005-10-26,695.0
2005-10-27,1292.0
2005-10-28,1115.0
2005-10-31,767.0
2005-11-01,1167.0
2005-11-02,656.0
2005-11-03,665.0
2005-11-04,520.0
2005-11-07,1238.0
2005-11-08,1070.0
2005-11-09,455.0
2005-11-10,621.0
2005-11-11,305.0
2005-11-14,795.0
2005-11-15,713.0
2005-11-16,838.0
2005-11-17,1189.0
2005-11-18,1120.0
2005-11-21,2749.0
2005-11-22,887.0
2005-11-23,1303.0
2005-11-25,724.0
2005-11-28,463.0
2005-11-29,511.0
2005-11-30,1351.0
2005-12-01,840.0
2005-12-02,718.0
2005-12-05,1377.0
2005-12-06,818.0
2005-12-07,780.0
2005-12-08,3153.0
2005-12-09,1438.0
2005-12-12,744.0
2005-12-13,621.0
2005-12-14,1187.0
2005-12-15,837.0
2005-12-16,777.0
2005-12-19,476.0
2005-12-20,798.0
2005-12-21,491.0
2005-12-22,286.0
2005-12-27,425.0
2005-12-28,489.0
2005-12-29,677.0
2005-12-30,1360.0
2006-01-03,1031.0
2006-01-04,1098.0
2006-01-05,943.0
2006-01-06,1122.0
2006-01-09,2075.0
2006-01-10,1403.0
2006-01-11,1860.0
2006-01-12,1375.0
2006-01-13,370.0
2006-01-17,910.0
2006-01-18,1109.0
2006-01-19,1177.0
2006-01-20,835.0
2006-01-23,624.0
2006-01-25,983.0
2006-01-26,1704.0
2006-01-27,2086.0
2006-01-30,812.0
2006-01-31,904.0
2006-02-01,1361.0
2006-02-02,973.0
2006-02-03,524.0
2006-02-06,511.0
2006-02-07,1666.0
2006-02-08,820.0
2006-02-09,2734.0
2006-02-10,1334.0
2006-02-13,1321.0
2006-02-14,1250.0
2006-02-15,1308.0
2006-02-16,2782.0
2006-02-17,695.0
2006-02-21,435.0
2006-02-22,730.0
2006-02-23,1006.0
2006-02-24,638.0
2006-02-27,665.0
2006-02-28,1399.0
2006-03-01,591.0
2006-03-02,2141.0
2006-03-03,968.0
2006-03-06,996.0
2006-03-07,1491.0
2006-03-08,3406.0
2006-03-09,954.0
2006-03-10,1009.0
2006-03-13,823.0
2006-03-14,554.0
2006-03-15,405.0
2006-03-16,552.0
2006-03-17,831.0
2006-03-20,692.0
2006-03-21,857.0
2006-03-22,652.0
2006-03-23,2821.0
2006-03-24,1581.0
2006-03-27,599.0
2006-03-28,875.0
2006-03-29,573.0
2006-03-30,2019.0
2006-03-31,1300.0
2006-04-03,2822.0
2006-04-04,1954.0
2006-04-05,3033.0
2006-04-06,2024.0
2006-04-07,1527.0
2006-04-10,1728.0
2006-04-11,1544.0
2006-04-12,1206.0
2006-04-17,987.0
2006-04-20,1252.0
2006-05-18,2111.0
2006-05-25,421.0
2006-06-01,373.0
2006-06-08,812.0
2006-06-09,518.0
2006-06-12,1232.0
2006-06-13,1006.0
2006-06-14,1955.0
2006-06-15,1644.0
2006-06-16,1004.0
2006-06-19,1010.0
2006-06-20,358.0
2006-06-21,527.0
2006-06-22,973.0
2006-06-23,450.0
2006-06-26,542.0
2006-06-27,502.0
2006-06-28,526.0
2006-06-29,743.0
2006-07-06,400.0
2006-07-13,595.0
2006-07-17,384.0
2006-07-20,2383.0
2006-07-27,238.0
2006-08-03,237.0
2006-08-10,405.0
2006-08-14,317.0
2006-08-17,236.0
2006-08-23,158.0
2006-08-24,233.0
2006-08-30,385.0
2006-09-19,521.0
2006-09-25,2665.0
2006-09-26,402.0
2006-10-02,426.0
2006-10-05,77.0
2006-10-09,152.0
2006-10-12,117.0
2006-10-16,510.0
2006-10-19,7056.0
2006-10-23,198.0
2006-10-26,4.0
2006-11-02,247.0
2006-11-09,467.0
2006-11-16,198.0
2006-11-20,168.0
2006-11-23,1468.0
2006-11-28,325.0
2006-11-29,323.0
2006-11-30,437.0
2006-12-01,585.0
2006-12-04,408.0
2006-12-05,267.0
2006-12-06,463.0
2006-12-07,352.0
2006-12-08,311.0
2006-12-11,438.0
2006-12-12,307.0
2006-12-13,879.0
2006-12-14,291.0
2006-12-15,489.0
2006-12-18,311.0
2006-12-19,355.0
