,LMPBDS03
2003-12-12,70.0
2003-12-15,70.0
2003-12-16,53.0
2003-12-17,179.0
2003-12-18,90.0
2003-12-19,147.0
2003-12-22,80.0
2003-12-23,35.0
2003-12-26,61.0
2003-12-29,58.0
2003-12-30,61.0
2003-12-31,61.0
2004-01-02,413.0
2004-01-05,308.0
2004-01-06,140.0
2004-01-07,232.0
2004-01-08,123.0
2004-01-09,72.0
2004-01-12,72.0
2004-01-13,151.0
2004-01-14,130.0
2004-01-15,213.0
2004-01-16,111.0
2004-01-20,58.0
2004-01-21,147.0
2004-01-22,227.0
2004-01-28,132.0
2004-01-29,266.0
2004-01-30,95.0
2004-02-02,391.0
2004-02-03,165.0
2004-02-04,335.0
2004-02-05,221.0
2004-02-06,130.0
2004-02-09,118.0
2004-02-10,191.0
2004-02-11,173.0
2004-02-12,175.0
2004-02-13,219.0
2004-02-17,247.0
2004-02-18,446.0
2004-02-19,468.0
2004-02-20,241.0
2004-02-23,867.0
2004-02-24,467.0
2004-02-25,527.0
2004-02-26,250.0
2004-02-27,43.0
2004-03-01,108.0
2004-03-02,219.0
2004-03-03,250.0
2004-03-04,496.0
2004-03-05,236.0
2004-03-08,95.0
2004-03-09,326.0
2004-03-10,66.0
2004-03-11,134.0
2004-03-12,106.0
2004-03-15,106.0
2004-03-16,240.0
2004-03-17,148.0
2004-03-18,168.0
2004-03-19,112.0
2004-03-22,201.0
2004-03-23,828.0
2004-03-24,125.0
2004-03-25,185.0
2004-03-26,412.0
2004-03-29,81.0
2004-03-30,93.0
2004-03-31,158.0
2004-04-01,358.0
2004-04-02,140.0
2004-04-05,242.0
2004-04-06,212.0
2004-04-07,249.0
2004-04-12,149.0
2004-04-13,802.0
2004-04-14,226.0
2004-04-15,162.0
2004-04-16,75.0
2004-04-19,96.0
2004-04-20,236.0
2004-04-21,356.0
2004-04-22,234.0
2004-04-23,220.0
2004-04-26,28.0
2004-04-27,84.0
2004-04-28,246.0
2004-04-29,48.0
2004-05-03,85.0
2004-05-04,68.0
2004-05-05,100.0
2004-05-06,415.0
2004-05-07,124.0
2004-05-10,143.0
2004-05-11,58.0
2004-05-12,61.0
2004-05-13,58.0
2004-05-14,53.0
2004-05-17,86.0
2004-05-18,117.0
2004-05-19,326.0
2004-05-20,363.0
2004-05-21,503.0
2004-05-24,492.0
2004-05-25,152.0
2004-05-26,528.0
2004-05-27,196.0
2004-05-28,232.0
2004-06-01,392.0
2004-06-02,136.0
2004-06-03,234.0
2004-06-04,51.0
2004-06-07,83.0
2004-06-08,525.0
2004-06-09,314.0
2004-06-10,1071.0
2004-06-11,243.0
2004-06-14,132.0
2004-06-15,245.0
2004-06-16,153.0
2004-06-17,230.0
2004-06-18,278.0
2004-06-21,154.0
2004-06-22,348.0
2004-06-23,159.0
2004-06-24,378.0
2004-06-25,181.0
2004-06-28,90.0
2004-06-29,406.0
2004-06-30,408.0
2004-07-01,253.0
2004-07-02,414.0
2004-07-06,295.0
2004-07-07,305.0
2004-07-08,292.0
2004-07-09,204.0
2004-07-12,98.0
2004-07-13,259.0
2004-07-14,94.0
2004-07-15,80.0
2004-07-16,141.0
2004-07-19,68.0
2004-07-20,154.0
2004-07-21,294.0
2004-07-22,102.0
2004-07-23,735.0
2004-07-26,203.0
2004-07-27,449.0
2004-07-28,858.0
2004-07-29,539.0
2004-07-30,184.0
2004-08-02,306.0
2004-08-03,158.0
2004-08-04,282.0
2004-08-05,199.0
2004-08-06,417.0
2004-08-09,399.0
2004-08-10,249.0
2004-08-11,106.0
2004-08-12,295.0
2004-08-13,197.0
2004-08-16,232.0
2004-08-17,135.0
2004-08-18,923.0
2004-08-19,178.0
2004-08-20,35.0
2004-08-23,205.0
2004-08-24,60.0
2004-08-25,108.0
2004-08-26,17.0
2004-08-30,76.0
2004-08-31,94.0
2004-09-01,146.0
2004-09-02,177.0
2004-09-03,80.0
2004-09-07,368.0
2004-09-08,264.0
2004-09-09,184.0
2004-09-10,167.0
2004-09-13,1033.0
2004-09-14,277.0
2004-09-15,334.0
2004-09-16,93.0
2004-09-17,249.0
2004-09-20,386.0
2004-09-21,235.0
2004-09-22,693.0
2004-09-23,118.0
2004-09-24,217.0
2004-09-27,201.0
2004-09-28,88.0
2004-09-29,213.0
2004-09-30,205.0
2004-10-01,245.0
2004-10-04,160.0
2004-10-05,151.0
2004-10-06,79.0
2004-10-07,410.0
2004-10-08,170.0
2004-10-11,119.0
2004-10-12,273.0
2004-10-13,550.0
2004-10-14,3347.0
2004-10-15,627.0
2004-10-18,156.0
2004-10-19,205.0
2004-10-20,179.0
2004-10-21,186.0
2004-10-22,66.0
2004-10-25,167.0
2004-10-26,157.0
2004-10-27,193.0
2004-10-28,258.0
2004-10-29,80.0
2004-11-01,155.0
2004-11-02,105.0
2004-11-03,97.0
2004-11-04,271.0
2004-11-05,254.0
2004-11-08,770.0
2004-11-09,374.0
2004-11-10,262.0
2004-11-11,193.0
2004-11-12,196.0
2004-11-15,118.0
2004-11-16,354.0
2004-11-17,152.0
2004-11-18,980.0
2004-11-19,387.0
2004-11-22,358.0
2004-11-23,130.0
2004-11-24,109.0
2004-11-26,270.0
2004-11-29,116.0
2004-11-30,307.0
2004-12-01,306.0
2004-12-02,235.0
2004-12-03,348.0
2004-12-06,145.0
2004-12-07,201.0
2004-12-08,914.0
2004-12-09,771.0
2004-12-10,1211.0
2004-12-13,388.0
2004-12-14,205.0
2004-12-15,125.0
2004-12-16,284.0
2004-12-17,88.0
2004-12-20,85.0
2004-12-21,87.0
2004-12-22,303.0
2004-12-28,41.0
2004-12-29,78.0
2004-12-30,606.0
2005-01-03,687.0
2005-01-04,1786.0
2005-01-05,1513.0
2005-01-06,1140.0
2005-01-07,587.0
2005-01-10,230.0
2005-01-11,146.0
2005-01-12,90.0
2005-01-13,78.0
2005-01-14,231.0
2005-01-18,208.0
2005-01-19,393.0
2005-01-20,121.0
2005-01-21,370.0
2005-01-24,157.0
2005-01-25,181.0
2005-01-26,146.0
2005-01-27,186.0
2005-01-28,139.0
2005-01-31,179.0
2005-02-01,293.0
2005-02-02,165.0
2005-02-03,248.0
2005-02-04,230.0
2005-02-07,74.0
2005-02-08,324.0
2005-02-09,235.0
2005-02-10,446.0
2005-02-11,282.0
2005-02-14,195.0
2005-02-15,151.0
2005-02-16,379.0
2005-02-17,703.0
2005-02-18,1107.0
2005-02-22,401.0
2005-02-23,653.0
2005-02-24,430.0
2005-02-25,335.0
2005-02-28,205.0
2005-03-01,466.0
2005-03-02,557.0
2005-03-03,57.0
2005-03-04,223.0
2005-03-07,327.0
2005-03-08,230.0
2005-03-09,320.0
2005-03-10,168.0
2005-03-11,318.0
2005-03-14,111.0
2005-03-15,130.0
2005-03-16,271.0
2005-03-17,158.0
2005-03-18,211.0
2005-03-21,92.0
2005-03-22,185.0
2005-03-23,437.0
2005-03-28,210.0
2005-03-29,207.0
2005-03-30,240.0
2005-03-31,438.0
2005-04-01,1005.0
2005-04-04,681.0
2005-04-05,296.0
2005-04-06,394.0
2005-04-07,362.0
2005-04-08,280.0
2005-04-11,100.0
2005-04-12,227.0
2005-04-13,648.0
2005-04-14,3684.0
2005-04-15,653.0
2005-04-18,449.0
2005-04-19,274.0
2005-04-20,204.0
2005-04-21,309.0
2005-04-22,48.0
2005-04-25,78.0
2005-04-26,85.0
2005-04-27,441.0
2005-04-28,1054.0
2005-05-02,1460.0
2005-05-03,1447.0
2005-05-04,1461.0
2005-05-05,523.0
2005-05-06,821.0
2005-05-09,364.0
2005-05-10,478.0
2005-05-11,1089.0
2005-05-12,1104.0
2005-05-13,1035.0
2005-05-16,864.0
2005-05-17,872.0
2005-05-18,289.0
2005-05-19,1284.0
2005-05-20,2078.0
2005-05-23,3506.0
2005-05-24,1187.0
2005-05-25,330.0
2005-05-26,481.0
2005-05-27,435.0
2005-05-31,939.0
2005-06-01,1128.0
2005-06-02,1384.0
2005-06-03,1094.0
2005-06-06,711.0
2005-06-07,289.0
2005-06-08,872.0
2005-06-09,959.0
2005-06-10,693.0
2005-06-13,224.0
2005-06-14,910.0
2005-06-15,427.0
2005-06-16,684.0
2005-06-17,947.0
2005-06-20,656.0
2005-06-21,1664.0
2005-06-22,2387.0
2005-06-23,2052.0
2005-06-24,667.0
2005-06-27,402.0
2005-06-28,845.0
2005-06-29,2048.0
2005-06-30,4184.0
2005-07-01,1250.0
2005-07-05,2302.0
2005-07-06,1592.0
2005-07-07,1253.0
2005-07-08,757.0
2005-07-11,1072.0
2005-07-12,1515.0
2005-07-13,2171.0
2005-07-14,2103.0
2005-07-15,1070.0
2005-07-18,584.0
2005-07-19,1419.0
2005-07-20,1130.0
2005-07-21,1457.0
2005-07-22,1074.0
2005-07-25,818.0
2005-07-26,584.0
2005-07-27,1613.0
2005-07-28,1673.0
2005-07-29,1384.0
2005-08-01,1492.0
2005-08-02,1409.0
2005-08-03,626.0
2005-08-04,467.0
2005-08-05,842.0
2005-08-08,1196.0
2005-08-09,1248.0
2005-08-10,725.0
2005-08-11,1171.0
2005-08-12,2199.0
2005-08-15,1014.0
2005-08-16,1448.0
2005-08-17,1881.0
2005-08-18,1657.0
2005-08-19,947.0
2005-08-22,459.0
2005-08-23,371.0
2005-08-24,358.0
2005-08-25,488.0
2005-08-29,381.0
2005-08-30,270.0
2005-08-31,867.0
2005-09-01,1525.0
2005-09-02,491.0
2005-09-06,1035.0
2005-09-07,784.0
2005-09-08,1635.0
2005-09-09,1886.0
2005-09-12,224.0
2005-09-13,734.0
2005-09-14,369.0
2005-09-15,2290.0
2005-09-16,1525.0
2005-09-19,2363.0
2005-09-20,1732.0
2005-09-21,1726.0
2005-09-22,1445.0
2005-09-23,2859.0
2005-09-26,2463.0
2005-09-27,3577.0
2005-09-28,1426.0
2005-09-29,1209.0
2005-09-30,785.0
2005-10-03,520.0
2005-10-04,247.0
2005-10-05,1456.0
2005-10-06,849.0
2005-10-07,804.0
2005-10-10,1117.0
2005-10-11,733.0
2005-10-12,1391.0
2005-10-13,872.0
2005-10-14,1081.0
2005-10-17,2695.0
2005-10-18,1831.0
2005-10-19,1636.0
2005-10-20,768.0
2005-10-21,3138.0
2005-10-24,514.0
2005-10-25,1035.0
2005-10-26,793.0
2005-10-27,496.0
2005-10-28,1391.0
2005-10-31,889.0
2005-11-01,2726.0
2005-11-02,505.0
2005-11-03,1097.0
2005-11-04,1676.0
2005-11-07,772.0
2005-11-08,729.0
2005-11-09,948.0
2005-11-10,990.0
2005-11-11,461.0
2005-11-14,2248.0
2005-11-15,569.0
2005-11-16,1136.0
2005-11-17,1881.0
2005-11-18,306.0
2005-11-21,507.0
2005-11-22,512.0
2005-11-23,721.0
2005-11-25,763.0
2005-11-28,1408.0
2005-11-29,839.0
2005-11-30,1902.0
2005-12-01,2365.0
2005-12-02,1490.0
2005-12-05,1045.0
2005-12-06,967.0
2005-12-07,2076.0
2005-12-08,980.0
2005-12-09,1441.0
2005-12-12,1340.0
2005-12-13,1279.0
2005-12-14,1868.0
2005-12-15,975.0
2005-12-16,887.0
2005-12-19,742.0
2005-12-20,769.0
2005-12-21,698.0
2005-12-22,1045.0
2005-12-27,835.0
2005-12-28,1461.0
2005-12-29,2883.0
2005-12-30,1072.0
2006-01-03,1068.0
2006-01-04,2472.0
2006-01-05,747.0
2006-01-06,728.0
2006-01-09,1668.0
2006-01-10,1233.0
2006-01-11,2086.0
2006-01-12,1142.0
2006-01-13,772.0
2006-01-17,1709.0
2006-01-18,1340.0
2006-01-19,1427.0
2006-01-20,1302.0
2006-01-23,1011.0
2006-01-24,1460.0
2006-01-25,1742.0
2006-01-26,1878.0
2006-01-27,4096.0
2006-01-30,1060.0
2006-01-31,1414.0
2006-02-01,1126.0
2006-02-02,1143.0
2006-02-03,976.0
2006-02-06,1134.0
2006-02-07,1835.0
2006-02-08,2270.0
2006-02-09,932.0
2006-02-10,1501.0
2006-02-13,1831.0
2006-02-14,903.0
2006-02-15,1455.0
2006-02-16,1946.0
2006-02-17,799.0
2006-02-21,1122.0
2006-02-22,497.0
2006-02-23,966.0
2006-02-24,626.0
2006-02-27,575.0
2006-02-28,1146.0
2006-03-01,1168.0
2006-03-02,1355.0
2006-03-03,572.0
2006-03-06,578.0
2006-03-07,1259.0
2006-03-08,1332.0
2006-03-09,1147.0
2006-03-10,470.0
2006-03-13,464.0
2006-03-14,264.0
2006-03-15,686.0
