,LMZSDS03
2003-12-12,252.0
2003-12-15,204.0
2003-12-16,418.0
2003-12-17,183.0
2003-12-18,167.0
2003-12-19,252.0
2003-12-22,55.0
2003-12-23,98.0
2003-12-26,28.0
2003-12-29,66.0
2003-12-30,186.0
2003-12-31,292.0
2004-01-02,482.0
2004-01-05,465.0
2004-01-06,391.0
2004-01-07,424.0
2004-01-08,366.0
2004-01-09,188.0
2004-01-12,188.0
2004-01-13,118.0
2004-01-14,373.0
2004-01-15,524.0
2004-01-16,281.0
2004-01-20,487.0
2004-01-21,182.0
2004-01-22,236.0
2004-01-28,218.0
2004-01-29,722.0
2004-01-30,370.0
2004-02-02,587.0
2004-02-03,730.0
2004-02-04,384.0
2004-02-05,297.0
2004-02-06,732.0
2004-02-09,279.0
2004-02-10,224.0
2004-02-11,238.0
2004-02-12,402.0
2004-02-13,315.0
2004-02-17,292.0
2004-02-18,268.0
2004-02-19,300.0
2004-02-20,513.0
2004-02-23,423.0
2004-02-24,451.0
2004-02-25,691.0
2004-02-26,552.0
2004-02-27,251.0
2004-03-01,819.0
2004-03-02,322.0
2004-03-03,707.0
2004-03-04,750.0
2004-03-05,356.0
2004-03-08,216.0
2004-03-09,413.0
2004-03-10,196.0
2004-03-11,565.0
2004-03-12,201.0
2004-03-15,241.0
2004-03-16,496.0
2004-03-17,223.0
2004-03-18,243.0
2004-03-19,142.0
2004-03-22,308.0
2004-03-23,1001.0
2004-03-24,280.0
2004-03-25,469.0
2004-03-26,483.0
2004-03-29,142.0
2004-03-30,358.0
2004-03-31,340.0
2004-04-01,1159.0
2004-04-02,680.0
2004-04-05,1456.0
2004-04-06,1393.0
2004-04-07,322.0
2004-04-12,228.0
2004-04-13,422.0
2004-04-14,156.0
2004-04-15,584.0
2004-04-16,244.0
2004-04-19,117.0
2004-04-20,246.0
2004-04-21,672.0
2004-04-22,313.0
2004-04-23,208.0
2004-04-26,257.0
2004-04-27,57.0
2004-04-28,585.0
2004-04-29,178.0
2004-05-03,257.0
2004-05-04,458.0
2004-05-05,143.0
2004-05-06,684.0
2004-05-07,386.0
2004-05-10,1071.0
2004-05-11,460.0
2004-05-12,396.0
2004-05-13,459.0
2004-05-14,166.0
2004-05-17,233.0
2004-05-18,327.0
2004-05-19,876.0
2004-05-20,722.0
2004-05-21,485.0
2004-05-24,594.0
2004-05-25,622.0
2004-05-26,1334.0
2004-05-27,1169.0
2004-05-28,394.0
2004-06-01,812.0
2004-06-02,983.0
2004-06-03,504.0
2004-06-04,816.0
2004-06-07,399.0
2004-06-08,305.0
2004-06-09,349.0
2004-06-10,1870.0
2004-06-11,1212.0
2004-06-14,3262.0
2004-06-15,1255.0
2004-06-16,673.0
2004-06-17,1006.0
2004-06-18,381.0
2004-06-21,709.0
2004-06-22,2322.0
2004-06-23,1242.0
2004-06-24,724.0
2004-06-25,641.0
2004-06-28,564.0
2004-06-29,1132.0
2004-06-30,607.0
2004-07-01,951.0
2004-07-02,719.0
2004-07-06,633.0
2004-07-07,881.0
2004-07-08,596.0
2004-07-09,621.0
2004-07-12,806.0
2004-07-13,542.0
2004-07-14,426.0
2004-07-15,308.0
2004-07-16,373.0
2004-07-19,624.0
2004-07-20,1067.0
2004-07-21,576.0
2004-07-22,364.0
2004-07-23,778.0
2004-07-26,840.0
2004-07-27,527.0
2004-07-28,1362.0
2004-07-29,1664.0
2004-07-30,736.0
2004-08-02,450.0
2004-08-03,533.0
2004-08-04,1134.0
2004-08-05,728.0
2004-08-06,1036.0
2004-08-09,3280.0
2004-08-10,877.0
2004-08-11,830.0
2004-08-12,571.0
2004-08-13,548.0
2004-08-16,388.0
2004-08-17,644.0
2004-08-18,790.0
2004-08-19,616.0
2004-08-20,658.0
2004-08-23,1307.0
2004-08-24,798.0
2004-08-25,759.0
2004-08-26,510.0
2004-08-30,610.0
2004-08-31,287.0
2004-09-01,453.0
2004-09-02,212.0
2004-09-03,246.0
2004-09-07,893.0
2004-09-08,544.0
2004-09-09,785.0
2004-09-10,436.0
2004-09-13,189.0
2004-09-14,1418.0
2004-09-15,411.0
2004-09-16,302.0
2004-09-17,799.0
2004-09-20,586.0
2004-09-21,773.0
2004-09-22,2192.0
2004-09-23,1523.0
2004-09-24,1062.0
2004-09-27,1321.0
2004-09-28,237.0
2004-09-29,1495.0
2004-09-30,2700.0
2004-10-01,2752.0
2004-10-04,2192.0
2004-10-05,1334.0
2004-10-06,2298.0
2004-10-07,833.0
2004-10-08,446.0
2004-10-11,998.0
2004-10-12,2194.0
2004-10-13,4599.0
2004-10-14,4390.0
2004-10-15,1161.0
2004-10-18,1022.0
2004-10-19,961.0
2004-10-20,792.0
2004-10-21,684.0
2004-10-22,467.0
2004-10-25,742.0
2004-10-26,1129.0
2004-10-27,442.0
2004-10-28,853.0
2004-10-29,1303.0
2004-11-01,1015.0
2004-11-02,371.0
2004-11-03,609.0
2004-11-04,990.0
2004-11-05,1015.0
2004-11-08,454.0
2004-11-09,1006.0
2004-11-10,456.0
2004-11-11,289.0
2004-11-12,1455.0
2004-11-15,654.0
2004-11-16,1116.0
2004-11-17,1202.0
2004-11-18,1725.0
2004-11-19,1575.0
2004-11-22,1349.0
2004-11-23,717.0
2004-11-24,558.0
2004-11-26,932.0
2004-11-29,1621.0
2004-11-30,1793.0
2004-12-01,942.0
2004-12-02,1554.0
2004-12-03,1700.0
2004-12-06,845.0
2004-12-07,572.0
2004-12-08,1880.0
2004-12-09,544.0
2004-12-10,1694.0
2004-12-13,707.0
2004-12-14,608.0
2004-12-15,1756.0
2004-12-16,1507.0
2004-12-17,905.0
2004-12-20,885.0
