"Index","LMCADS"
1994-05-13,8
1994-05-16,13
1994-05-17,9
1994-05-23,2
1994-10-05,4
1994-10-06,5
1994-10-07,6
1994-10-10,6
1994-10-11,2
1994-10-12,2
1994-10-13,1
1994-10-17,7
1994-10-19,2
1994-10-21,4
1994-10-24,5
1994-11-01,12
1994-11-02,18
1994-11-03,45
1994-11-08,32
1994-11-09,35
1994-11-11,30
1994-11-15,25
1994-11-18,50
1994-11-22,27
1994-11-23,25
1994-11-28,38
1994-11-29,42
1994-11-30,45
1994-12-02,40
1994-12-07,0
1994-12-08,58
1994-12-12,50
1994-12-13,53
1994-12-14,48
1994-12-19,40
1994-12-21,25
1994-12-28,20
1994-12-29,20
1994-12-30,11
1995-01-09,10
1995-01-10,4
1995-01-12,1
1995-01-13,3
1995-01-25,1
1995-01-26,3
1995-01-27,10
1995-01-30,12
1995-01-31,9
1995-02-02,4
1995-02-06,8
1995-02-08,5
1995-02-09,12
1995-02-10,18
1995-02-13,30
1995-02-14,25
1995-02-15,16
1995-02-16,9
1995-02-17,7
1995-02-20,7
1995-02-22,2
1995-02-23,5
1995-02-27,1
1995-02-28,4
1995-03-02,13
1995-03-07,160
1995-03-08,6
1995-03-09,1
1995-03-10,1
1995-03-13,12
1995-03-14,7
1995-03-15,3
1995-03-16,2
1995-03-20,19
1995-03-21,33
1995-03-22,44
1995-03-23,34
1995-03-27,32
1995-03-28,21
1995-03-29,37
1995-03-30,35
1995-04-04,43
1995-04-10,36
1995-04-12,21
1995-04-13,30
1995-04-19,19
1995-04-21,24
1995-04-24,17
1995-04-25,18
1995-04-26,27
1995-04-27,40
1995-04-28,50
1995-05-02,29
1995-05-03,18
1995-05-04,12
1995-05-05,6
1995-05-11,2
1995-05-12,5
1995-05-15,2
1995-05-16,7
1995-05-17,7
1995-05-18,3
1995-05-19,3
1995-05-23,17
1995-05-24,25
1995-05-25,25
1995-05-26,14
1995-05-30,17
1995-06-08,29
1995-06-09,40
1995-06-12,50
1995-06-15,53
1995-06-16,52
1995-06-19,87
1995-06-20,120
1995-06-21,115
1995-06-22,130
1995-06-23,130
1995-06-26,115
1995-06-28,80
1995-06-29,82
1995-06-30,118
1995-07-04,120
1995-07-06,130
1995-07-07,140
1995-07-13,220
1995-07-17,200
1995-07-18,180
1995-07-19,133
1995-07-20,97
1995-07-21,70
1995-07-24,90
1995-07-27,95
1995-08-02,80
1995-08-03,115
1995-08-07,85
1995-08-09,60
1995-08-10,58
1995-08-11,58
1995-08-14,45
1995-08-15,50
1995-08-17,86
1995-08-18,75
1995-08-22,50
1995-08-23,35
1995-08-25,30
1995-08-29,22
1995-09-04,43
1995-09-05,38
1995-09-08,32
1995-09-12,32
1995-09-15,30
1995-09-18,43
1995-09-19,28
1995-09-25,40
1995-09-27,43
1995-09-29,48
1995-10-03,27
1995-10-05,26
1995-10-13,70
1995-10-16,33
1995-10-17,25
1995-10-18,23
1995-10-20,75
1995-10-23,90
1995-10-25,95
1995-10-26,110
1995-10-31,140
1995-11-01,205
1995-11-02,170
1995-11-03,125
1995-11-06,50
1995-11-08,180
1995-11-10,205
1995-11-14,240
1995-11-16,200
1995-11-17,260
1995-11-20,245
1995-11-21,235
1995-11-22,225
1995-11-27,220
1995-11-29,235
1995-12-01,235
1995-12-04,225
1995-12-11,315
1995-12-12,265
1995-12-13,270
1995-12-14,280
1995-12-15,190
1995-12-18,200
1995-12-19,160
1995-12-20,160
1995-12-21,200
1995-12-27,160
1996-01-02,185
1996-01-03,165
1996-01-08,180
1996-01-09,150
1996-01-10,110
1996-01-12,85
1996-01-15,100
1996-01-16,95
1996-01-18,112
1996-01-19,90
1996-01-23,70
1996-01-24,50
1996-01-25,60
1996-01-26,35
1996-01-29,40
1996-01-30,45
1996-01-31,48
1996-02-01,50
1996-02-05,45
1996-02-07,48
1996-02-08,46
1996-02-13,13
1996-02-15,27
1996-02-20,33
1996-02-22,47
1996-02-23,42
1996-02-27,37
1996-03-01,48
1996-03-04,57
1996-03-05,49
1996-03-08,40
1996-03-13,20
1996-03-15,16
1996-03-18,15
1996-03-19,9
1996-03-20,10
1996-03-21,11
1996-03-26,11
1996-03-27,8
1996-04-04,89
1996-04-11,30
1996-04-12,30
1996-04-15,26
1996-04-16,20
1996-04-18,38
1996-04-19,77
1996-04-25,105
1996-04-26,93
1996-04-30,82
1996-05-02,95
1996-05-03,110
1996-05-07,112
1996-05-13,93
1996-05-14,108
1996-05-15,90
1996-05-16,97
1996-05-17,75
1996-05-21,46
1996-05-22,110
1996-05-28,132
1996-05-29,115
1996-05-31,102
1996-06-06,70
1996-06-07,250
1996-06-10,280
1996-06-11,175
1996-06-13,130
1996-06-14,90
1996-06-17,90
1996-06-18,50
1996-06-19,80
1996-06-20,70
1996-06-21,90
1996-06-24,70
1996-06-25,75
1996-06-26,40
1996-06-27,30
1996-07-02,35
1996-07-03,60
1996-07-04,50
1996-07-05,57
1996-07-08,55
1996-07-12,55
1996-07-15,50
1996-07-16,85
1996-07-17,85
1996-07-18,75
1996-07-19,80
1996-07-23,95
1996-07-24,87
1996-07-26,115
1996-07-29,100
1996-07-30,80
1996-07-31,85
1996-08-01,95
1996-08-02,100
