"Index","LMNIDS03"
2003-12-11,126
2003-12-12,136
2003-12-15,45
2003-12-16,167
2003-12-17,210
2003-12-18,73
2003-12-19,77
2003-12-22,131
2003-12-23,117
2003-12-26,70
2003-12-29,46
2003-12-30,19
2003-12-31,10
2004-01-02,43
2004-01-05,240
2004-01-06,229
2004-01-07,377
2004-01-08,77
2004-01-09,77
2004-01-12,128
2004-01-13,79
2004-01-14,242
2004-01-15,104
2004-01-16,96
2004-01-20,122
2004-01-21,65
2004-01-22,46
2004-01-28,71
2004-01-29,56
2004-01-30,293
2004-02-02,103
2004-02-03,56
2004-02-04,83
2004-02-05,109
2004-02-06,111
2004-02-09,159
2004-02-10,146
2004-02-11,91
2004-02-12,82
2004-02-13,55
2004-02-17,47
2004-02-18,63
2004-02-19,237
2004-02-20,354
2004-02-23,242
2004-02-24,125
2004-02-25,74
2004-02-26,43
2004-02-27,193
2004-03-01,155
2004-03-02,174
2004-03-03,363
2004-03-04,140
2004-03-05,68
2004-03-08,85
2004-03-09,54
2004-03-10,152
2004-03-11,175
2004-03-12,265
2004-03-15,135
2004-03-16,178
2004-03-17,78
2004-03-18,50
2004-03-19,129
2004-03-22,138
2004-03-23,129
2004-03-24,86
2004-03-25,44
2004-03-26,84
2004-03-29,166
2004-03-30,244
2004-03-31,430
2004-04-01,179
2004-04-02,139
2004-04-05,203
2004-04-06,78
2004-04-07,72
2004-04-12,204
2004-04-13,176
2004-04-14,255
2004-04-15,321
2004-04-16,116
2004-04-19,243
2004-04-20,184
2004-04-21,211
2004-04-22,289
2004-04-23,60
2004-04-26,197
2004-04-27,168
2004-04-28,60
2004-04-29,159
2004-05-03,123
2004-05-04,115
2004-05-05,272
2004-05-06,48
2004-05-07,144
2004-05-10,122
2004-05-11,109
2004-05-12,165
2004-05-13,151
2004-05-14,93
2004-05-17,306
2004-05-18,242
2004-05-19,95
2004-05-20,342
2004-05-21,165
2004-05-24,167
2004-05-25,162
2004-05-26,157
2004-05-27,152
2004-05-28,376
2004-06-01,153
2004-06-02,151
2004-06-03,232
2004-06-04,127
2004-06-07,50
2004-06-08,163
2004-06-09,145
2004-06-10,177
2004-06-11,406
2004-06-14,145
2004-06-15,89
2004-06-16,428
2004-06-17,773
2004-06-18,320
2004-06-21,432
2004-06-22,354
2004-06-23,187
2004-06-24,113
2004-06-25,102
2004-06-28,288
2004-06-29,399
2004-06-30,264
2004-07-01,322
2004-07-02,205
2004-07-06,298
2004-07-07,289
2004-07-08,109
2004-07-09,215
2004-07-12,237
2004-07-13,120
2004-07-14,139
2004-07-15,246
2004-07-16,70
2004-07-19,208
2004-07-20,103
2004-07-21,145
2004-07-22,770
2004-07-23,239
2004-07-26,257
2004-07-27,289
2004-07-28,152
2004-07-29,269
2004-07-30,197
2004-08-02,182
2004-08-03,226
2004-08-04,320
2004-08-05,296
2004-08-06,292
2004-08-09,176
2004-08-10,155
2004-08-11,189
2004-08-12,89
2004-08-13,358
2004-08-16,339
2004-08-17,241
2004-08-18,255
2004-08-19,154
2004-08-20,272
2004-08-23,101
2004-08-24,73
2004-08-25,679
2004-08-26,686
2004-08-30,235
2004-08-31,157
2004-09-01,156
2004-09-02,137
2004-09-03,201
2004-09-07,242
2004-09-08,359
2004-09-09,172
2004-09-10,145
2004-09-13,325
2004-09-14,520
2004-09-15,204
2004-09-16,260
2004-09-17,239
2004-09-20,402
2004-09-21,940
2004-09-22,633
2004-09-23,374
2004-09-24,185
2004-09-27,91
2004-09-28,186
2004-09-29,557
2004-09-30,788
2004-10-01,160
2004-10-04,149
2004-10-05,425
2004-10-06,672
2004-10-07,552
2004-10-08,194
2004-10-11,414
2004-10-12,1512
2004-10-13,1110
2004-10-14,587
2004-10-15,255
2004-10-18,474
2004-10-19,261
2004-10-20,254
2004-10-21,171
2004-10-22,99
2004-10-25,557
2004-10-26,327
2004-10-27,292
2004-10-28,244
2004-10-29,184
2004-11-01,111
2004-11-02,155
2004-11-03,319
2004-11-04,308
2004-11-05,209
2004-11-08,353
2004-11-09,160
2004-11-10,127
2004-11-11,263
2004-11-12,143
2004-11-15,309
2004-11-16,156
2004-11-17,319
2004-11-18,344
2004-11-19,269
2004-11-22,235
2004-11-23,193
2004-11-24,253
2004-11-26,118
2004-11-29,124
2004-11-30,163
2004-12-01,730
2004-12-02,878
2004-12-03,436
2004-12-06,316
2004-12-07,852
2004-12-08,361
2004-12-09,383
2004-12-10,352
2004-12-13,222
2004-12-14,345
2004-12-15,231
2004-12-16,119
2004-12-17,1010
2004-12-20,838
2004-12-21,610
2004-12-22,73
2004-12-28,351
2004-12-29,414
2004-12-30,122
2005-01-03,728
2005-01-04,407
2005-01-05,325
2005-01-06,731
2005-01-07,207
2005-01-10,182
2005-01-11,208
2005-01-12,239
2005-01-13,103
2005-01-14,178
2005-01-18,259
2005-01-19,349
2005-01-20,414
2005-01-21,214
2005-01-24,241
2005-01-25,399
2005-01-26,190
2005-01-27,435
2005-01-28,199
2005-01-31,306
2005-02-01,227
2005-02-02,509
2005-02-03,283
2005-02-04,125
2005-02-07,638
2005-02-08,620
2005-02-09,449
2005-02-10,624
2005-02-11,328
2005-02-14,538
2005-02-15,588
2005-02-16,248
2005-02-17,186
2005-02-18,712
2005-02-22,587
2005-02-23,364
2005-02-24,327
2005-02-25,349
2005-02-28,620
2005-03-01,830
2005-03-02,350
2005-03-03,359
2005-03-04,180
2005-03-07,433
2005-03-08,243
2005-03-09,324
2005-03-10,689
2005-03-11,188
2005-03-14,361
2005-03-15,351
2005-03-16,149
2005-03-17,228
2005-03-18,148
2005-03-21,252
2005-03-22,543
2005-03-23,251
2005-03-28,383
2005-03-29,283
2005-03-30,167
2005-03-31,332
2005-04-01,401
2005-04-04,231
2005-04-05,327
2005-04-06,296
2005-04-07,164
2005-04-08,108
2005-04-11,377
2005-04-12,807
2005-04-13,731
2005-04-14,292
2005-04-15,629
2005-04-18,254
2005-04-19,567
2005-04-20,217
2005-04-21,164
2005-04-22,209
2005-04-25,309
2005-04-26,519
2005-04-27,680
2005-04-28,1012
2005-05-02,1229
2005-05-03,489
2005-05-04,538
2005-05-05,477
2005-05-06,795
2005-05-09,1495
2005-05-10,991
2005-05-11,1435
2005-05-12,994
2005-05-13,1665
2005-05-16,540
2005-05-17,946
2005-05-18,630
2005-05-19,410
2005-05-20,302
2005-05-23,796
2005-05-24,377
2005-05-25,692
2005-05-26,537
2005-05-27,1024
2005-05-31,478
2005-06-01,1303
2005-06-02,1242
2005-06-03,392
2005-06-06,577
2005-06-07,1551
2005-06-08,820
2005-06-09,621
2005-06-10,729
2005-06-13,622
2005-06-14,771
2005-06-15,308
2005-06-16,788
2005-06-17,394
2005-06-20,1677
2005-06-21,1608
2005-06-22,2852
2005-06-23,2580
2005-06-24,1251
2005-06-27,1814
2005-06-28,850
2005-06-29,663
2005-06-30,1033
2005-07-01,543
2005-07-05,954
2005-07-06,738
2005-07-07,479
2005-07-08,652
2005-07-11,1083
2005-07-12,893
2005-07-13,516
2005-07-14,366
2005-07-15,565
2005-07-18,1355
2005-07-19,1283
2005-07-20,822
2005-07-21,616
2005-07-22,526
2005-07-25,578
2005-07-26,475
2005-07-27,1729
2005-07-28,662
2005-07-29,740
2005-08-01,549
2005-08-02,881
2005-08-03,943
2005-08-04,588
2005-08-05,867
2005-08-08,474
2005-08-09,1344
2005-08-10,844
2005-08-11,2495
2005-08-12,1125
2005-08-15,937
2005-08-16,1048
2005-08-17,672
2005-08-18,854
2005-08-19,564
2005-08-22,738
2005-08-23,729
2005-08-24,400
2005-08-25,620
2005-08-29,540
2005-08-30,789
2005-08-31,1234
2005-09-01,386
2005-09-02,844
2005-09-06,1817
2005-09-07,1294
2005-09-08,662
2005-09-09,587
2005-09-12,781
2005-09-13,2155
2005-09-14,3923
2005-09-15,3043
2005-09-16,1091
2005-09-19,1009
2005-09-20,587
2005-09-21,529
2005-09-22,856
2005-09-23,744
2005-09-26,612
2005-09-27,665
2005-09-28,447
2005-09-29,383
