"Index","LMZSDS03"
2003-12-11,252
2003-12-12,204
2003-12-15,418
2003-12-16,183
2003-12-17,167
2003-12-18,252
2003-12-19,55
2003-12-22,98
2003-12-23,28
2003-12-26,66
2003-12-29,186
2003-12-30,292
2003-12-31,482
2004-01-02,465
2004-01-05,391
2004-01-06,424
2004-01-07,366
2004-01-08,188
2004-01-09,188
2004-01-12,118
2004-01-13,373
2004-01-14,524
2004-01-15,281
2004-01-16,487
2004-01-20,182
2004-01-21,236
2004-01-22,218
2004-01-28,722
2004-01-29,370
2004-01-30,587
2004-02-02,730
2004-02-03,384
2004-02-04,297
2004-02-05,732
2004-02-06,279
2004-02-09,224
2004-02-10,238
2004-02-11,402
2004-02-12,315
2004-02-13,292
2004-02-17,268
2004-02-18,300
2004-02-19,513
2004-02-20,423
2004-02-23,451
2004-02-24,691
2004-02-25,552
2004-02-26,251
2004-02-27,819
2004-03-01,322
2004-03-02,707
2004-03-03,750
2004-03-04,356
2004-03-05,216
2004-03-08,413
2004-03-09,196
2004-03-10,565
2004-03-11,201
2004-03-12,241
2004-03-15,496
2004-03-16,223
2004-03-17,243
2004-03-18,142
2004-03-19,308
2004-03-22,1001
2004-03-23,280
2004-03-24,469
2004-03-25,483
2004-03-26,142
2004-03-29,358
2004-03-30,340
2004-03-31,1159
2004-04-01,680
2004-04-02,1456
2004-04-05,1393
2004-04-06,322
2004-04-07,228
2004-04-12,422
2004-04-13,156
2004-04-14,584
2004-04-15,244
2004-04-16,117
2004-04-19,246
2004-04-20,672
2004-04-21,313
2004-04-22,208
2004-04-23,257
2004-04-26,57
2004-04-27,585
2004-04-28,178
2004-04-29,257
2004-05-03,458
2004-05-04,143
2004-05-05,684
2004-05-06,386
2004-05-07,1071
2004-05-10,460
2004-05-11,396
2004-05-12,459
2004-05-13,166
2004-05-14,233
2004-05-17,327
2004-05-18,876
2004-05-19,722
2004-05-20,485
2004-05-21,594
2004-05-24,622
2004-05-25,1334
2004-05-26,1169
2004-05-27,394
2004-05-28,812
2004-06-01,983
2004-06-02,504
2004-06-03,816
2004-06-04,399
2004-06-07,305
2004-06-08,349
2004-06-09,1870
2004-06-10,1212
2004-06-11,3262
2004-06-14,1255
2004-06-15,673
2004-06-16,1006
2004-06-17,381
2004-06-18,709
2004-06-21,2322
2004-06-22,1242
2004-06-23,724
2004-06-24,641
2004-06-25,564
2004-06-28,1132
2004-06-29,607
2004-06-30,951
2004-07-01,719
2004-07-02,633
2004-07-06,881
2004-07-07,596
2004-07-08,621
2004-07-09,806
2004-07-12,542
2004-07-13,426
2004-07-14,308
2004-07-15,373
2004-07-16,624
2004-07-19,1067
2004-07-20,576
2004-07-21,364
2004-07-22,778
2004-07-23,840
2004-07-26,527
2004-07-27,1362
2004-07-28,1664
2004-07-29,736
2004-07-30,450
2004-08-02,533
2004-08-03,1134
2004-08-04,728
2004-08-05,1036
2004-08-06,3280
2004-08-09,877
2004-08-10,830
2004-08-11,571
2004-08-12,548
2004-08-13,388
2004-08-16,644
2004-08-17,790
2004-08-18,616
2004-08-19,658
2004-08-20,1307
2004-08-23,798
2004-08-24,759
2004-08-25,510
2004-08-26,610
2004-08-30,287
2004-08-31,453
2004-09-01,212
2004-09-02,246
2004-09-03,893
2004-09-07,544
2004-09-08,785
2004-09-09,436
2004-09-10,189
2004-09-13,1418
2004-09-14,411
2004-09-15,302
2004-09-16,799
2004-09-17,586
2004-09-20,773
2004-09-21,2192
2004-09-22,1523
2004-09-23,1062
2004-09-24,1321
2004-09-27,237
2004-09-28,1495
2004-09-29,2700
2004-09-30,2752
2004-10-01,2192
2004-10-04,1334
2004-10-05,2298
2004-10-06,833
2004-10-07,446
2004-10-08,998
2004-10-11,2194
2004-10-12,4599
2004-10-13,4390
2004-10-14,1161
2004-10-15,1022
2004-10-18,961
2004-10-19,792
2004-10-20,684
2004-10-21,467
2004-10-22,742
2004-10-25,1129
2004-10-26,442
2004-10-27,853
2004-10-28,1303
2004-10-29,1015
2004-11-01,371
2004-11-02,609
2004-11-03,990
2004-11-04,1015
2004-11-05,454
2004-11-08,1006
2004-11-09,456
2004-11-10,289
2004-11-11,1455
2004-11-12,654
2004-11-15,1116
2004-11-16,1202
2004-11-17,1725
2004-11-18,1575
2004-11-19,1349
2004-11-22,717
2004-11-23,558
2004-11-24,932
2004-11-26,1621
2004-11-29,1793
2004-11-30,942
2004-12-01,1554
2004-12-02,1700
