"Index","China Electricity Production"
1999-03-03,110.14
1999-03-31,81.41
1999-05-01,99.01
1999-05-31,93.99
1999-07-01,96.92
1999-07-31,97.73
1999-08-31,107.12
1999-10-01,107.25
1999-10-31,100.36
1999-12-01,99.45
1999-12-31,100.3
2000-01-31,110.38
2000-03-02,105.23
2000-03-31,95.74
2000-05-01,104.39
2000-05-31,103.721
2000-07-01,109.776
2000-07-31,109.813
2000-08-31,119.372
2000-10-01,117.41
2000-10-31,107.88
2000-12-01,108.965
2000-12-31,111.436
2001-01-31,119.4
2001-03-03,103.698
2001-03-31,105.46
2001-05-01,117.078
2001-05-31,111.668
2001-07-01,117.787
2001-07-31,119.221
2001-08-31,131.067
2001-10-01,126.884
2001-10-31,118.85
2001-12-01,118.04
2001-12-31,120.195
2002-01-31,131.311
2002-03-03,131.674
2002-03-31,101.041
2002-05-01,124.097
2002-05-31,124.965
2002-07-01,128.372
2002-07-31,135.476
2002-08-31,145.804
2002-10-01,145.599
2002-10-31,142.655
2002-12-01,138.519
2002-12-31,140.815
2003-01-31,151.412
2003-03-03,137.554
2003-03-31,125.803
2003-05-01,145.806
2003-05-31,142.719
2003-07-01,145.397
2003-07-31,151.426
2003-08-31,169.93
2003-10-01,170.029
2003-10-31,158.457
2003-12-01,158.109
2003-12-31,162.46
2004-01-31,171.058
2004-03-02,149.767
2004-03-31,157.048
2004-05-01,170.669
2004-05-31,167.888
2004-07-01,169.288
2004-07-31,174.81
2004-08-31,189.879
2004-10-01,192.095
2004-10-31,180.954
2004-12-01,184.431
2004-12-31,185.877
2005-01-31,193.125
2005-03-03,191.489
2005-03-31,160.106
2005-05-01,194.047
2005-05-31,189.206
2005-07-01,192.47
2005-07-31,200.675
2005-08-31,217.89
2005-10-01,216.205
2005-10-31,205.325
2005-12-01,201.097
2005-12-31,204.189
2006-01-31,224.659
2006-03-03,206.339
2006-03-31,196.201
2006-05-01,216.162
2006-05-31,211.66
2006-07-01,217.528
2006-07-31,230.193
2006-08-31,251.714
2006-10-01,257.049
2006-10-31,236.475
2006-12-01,232.43
2006-12-31,236.336
2007-01-31,257.34
2007-03-03,251.24
2007-03-31,196.73
2007-05-01,247.2
2007-05-31,247.447
2007-07-01,256.87
2007-07-31,271.56
2007-08-31,291.57
2007-10-01,298.98
2007-10-31,276.01
2007-12-01,272.79
2007-12-31,275.47
2008-01-31,294.69
2008-03-02,283.15
2008-03-31,233.78
2008-05-01,289.78
2008-05-31,281.43
2008-07-01,293.38
2008-07-31,293.45
2008-08-31,319.54
2008-10-01,316.06
2008-10-31,289.25
2008-12-01,264.502
2008-12-31,254.02
2009-01-31,273.96
2009-03-03,243.357
2009-03-31,244.94
2009-05-01,283.36
2009-05-31,271.29
2009-07-01,283.89
2009-07-31,310.01
2009-08-31,334.5
2009-10-01,344.32
2009-10-31,320.3
2009-12-01,312.104
2009-12-31,323.41
2010-01-31,349.778
2010-03-03,339.42
2010-03-31,269.592
2010-05-01,336.95
2010-05-31,331.658
2010-06-30,340.478
2010-07-14,346.646
2010-08-11,377.611
2010-09-13,390.3
2010-10-20,348.65
2010-11-11,332.88
2010-12-10,345.34
2011-01-20,367.78
2011-03-11,310.1
2011-04-15,383.013
2011-05-11,366.38
2011-06-14,377.54
2011-07-15,396.82
2011-08-09,425.15
2011-09-14,426.04
2011-10-18,386.06
2011-11-09,364.04
2011-12-09,371.3
2012-01-17,403.81
2012-03-12,718.73
2012-04-13,410.92
2012-05-11,371.82
2012-06-11,389.81
2012-07-13,393.35
2012-08-09,435.12
2012-09-10,437.277
2012-10-18,390.73
2012-11-12,389.77
2012-12-10,401.05
2013-01-18,432.72
2013-03-12,323.21
2013-04-15,419.429
2013-05-13,399.44
2013-06-10,410.41
2013-07-15,425.26
2013-08-09,479.452
2013-09-10,498.7
2013-10-18,431.04
2013-11-11,430.52
2013-12-10,439.18
2014-01-20,477.96
2014-03-19,383.358
2014-04-16,452.768
2014-05-13,425.022
2014-06-13,441.594
2014-07-16,458.071
2014-08-13,504.794
2014-09-12,495.9
2014-10-21,454.172
2014-11-13,444.641
2014-12-12,448.721
2015-01-20,490.218
2015-03-25,365.385
2015-04-15,451.1
2015-05-13,445.026
2015-06-11,456.218
2015-07-15,474.527
2015-08-12,508.962
2015-09-11,515.531
2015-10-19,454.776
2015-11-11,445.355
2015-12-11,466.041
2016-01-19,491.033
2016-04-15,477.884
2016-05-13,444.45
2016-06-13,463.59
2016-07-15,490.79
2016-08-12,550.61
2016-09-13,561.72
2016-10-19,491.28
2016-11-14,487.58
2016-12-13,503.41
