"Index","China Industrial Production Index"
1990-02-23,98.04446558
1990-03-23,98.44391087
1990-04-23,98.50930072
1990-05-23,98.64777987
1990-06-23,98.91504261
1990-07-23,99.31803474
1990-08-23,99.52261363
1990-09-23,99.86441203
1990-10-23,100.40556499
1990-11-23,101.27495988
1990-12-23,102.28146637
1991-01-23,103.29797587
1991-02-23,105.13098288
1991-03-23,105.9048732
1991-04-23,106.82188567
1991-05-23,107.7468384
1991-06-23,108.67980014
1991-07-23,109.47981402
1991-08-23,110.4277813
1991-09-23,111.45900543
1991-10-23,112.56672457
1991-11-23,113.61792311
1991-12-23,114.31359131
1992-01-23,114.77931903
1992-02-23,115.77317384
1992-03-23,117.42244934
1992-04-23,118.95189692
1992-05-23,120.35412571
1992-06-23,121.70212693
1992-07-23,123.28731804
1992-08-23,125.11376945
1992-09-23,126.8155138
1992-10-23,128.54040455
1992-11-23,130.37155881
1992-12-23,132.53181094
1993-01-23,135.18918011
1993-02-23,136.10091376
1993-03-23,138.90257039
1993-04-23,141.20418109
1993-05-23,143.46512376
1993-06-23,145.93183749
1993-07-23,148.69067909
1993-08-23,151.07149459
1993-09-23,153.30955726
1993-10-23,155.21751584
1993-11-23,156.85263411
1993-12-23,158.80468677
1994-01-23,161.80688962
1994-02-23,165.13770741
1994-03-23,165.59846086
1994-04-23,167.65935654
1994-05-23,169.84314846
1994-06-23,172.15328282
1994-07-23,174.18266022
1994-08-23,176.23596032
1994-09-23,180.06213104
1994-10-23,183.0457542
1994-11-23,186.40663133
1994-12-23,189.71438891
1995-01-23,192.41701236
1995-02-23,194.15588835
1995-03-23,196.50143746
1995-04-23,199.00400345
1995-05-23,201.39358405
1995-06-23,203.47021682
1995-07-23,205.68904331
1995-08-23,207.88637156
1995-09-23,209.82770769
1995-10-23,211.72392445
1995-11-23,213.87552922
1995-12-23,215.92100762
1996-01-23,218.43466822
1996-02-23,221.29559876
1996-03-23,223.42864307
1996-04-23,225.58224756
1996-05-23,228.00880832
1996-06-23,230.35987905
1996-07-23,232.85489056
1996-08-23,235.09935362
1996-09-23,237.08151602
1996-10-23,239.63177301
1996-11-23,242.1383397
1996-12-23,244.68911382
1997-01-23,247.37551938
1997-02-23,249.40472582
1997-03-23,251.46956731
1997-04-23,254.13730667
1997-05-23,256.52966668
1997-06-23,258.94454754
1997-07-23,261.4210603
1997-08-23,263.1841184
1997-09-23,265.46298539
1997-10-23,267.80179218
1997-11-23,270.30264537
1997-12-23,272.7861474
1998-01-23,274.79418111
1998-02-23,275.20301041
1998-03-23,277.2922235
1998-04-23,279.2907582
1998-05-23,280.91362053
1998-06-23,282.72102722
1998-07-23,284.51809825
1998-08-23,286.26016665
1998-09-23,288.07973365
1998-10-23,290.42088178
1998-11-23,292.86946933
1998-12-23,295.42756519
1999-01-23,298.11963955
1999-02-23,302.23869906
1999-03-23,302.76259322
1999-04-23,304.94470112
1999-05-23,307.16600815
1999-06-23,309.35619004
1999-07-23,311.60963165
1999-08-23,313.92739758
1999-09-23,316.31058818
1999-10-23,318.39482581
1999-11-23,320.19507644
1999-12-23,322.15559048
2000-01-23,324.07785996
2000-03-13,326.38862821
2000-03-24,329.48566231
2000-04-24,332.58732548
2000-05-09,335.59292311
2000-06-28,338.65100303
2000-07-19,341.91522337
2000-08-19,345.3643687
2000-09-24,348.84830805
2000-10-28,352.15845741
2000-11-20,355.34091971
2000-12-20,358.33685907
2001-01-24,361.30355832
2001-02-18,361.98886222
2001-03-23,367.27451031
2001-04-19,370.78707707
2001-05-24,374.16586261
2001-06-20,377.20661004
2001-07-19,380.24330066
2001-08-18,382.71931351
2001-09-20,385.21144931
2001-10-25,388.13579523
2001-11-18,390.87338935
2001-12-20,393.35791358
2002-01-24,396.10198647
2002-03-02,401.77299687
2002-04-06,402.6659885
2002-05-08,406.15260553
2002-05-24,410.03699746
2002-06-20,414.20392173
2002-07-19,418.25845844
2002-08-18,422.47773302
2002-09-19,426.70803137
2002-10-24,431.32967578
2002-11-20,436.12888145
2002-12-19,441.07790672
2003-01-24,446.21274826
2003-02-27,451.37461522
2003-03-20,458.22122222
2003-04-18,464.22273791
2003-05-24,469.62702174
2003-06-19,474.67874241
2003-07-19,480.89580916
2003-08-20,487.05516456
2003-09-19,493.50462531
2003-10-24,499.75391341
2003-11-19,506.40754923
2003-12-19,513.40448117
2004-01-29,520.57161021
2004-02-21,523.5964724
2004-03-19,532.77962062
2004-04-18,540.71028624
2004-05-22,548.6439716
2004-06-19,556.06697186
2004-07-18,563.06812714
2004-08-19,569.87041346
2004-09-19,576.92106451
2004-11-02,584.14287143
2004-11-19,591.28499908
2004-12-18,598.12508717
2005-01-24,604.86834071
2005-02-27,614.51107195
2005-03-24,618.27364567
2005-04-29,625.56197931
2005-05-27,633.34718441
2005-06-24,641.50501632
2005-07-29,649.86072936
2005-08-24,657.9955835
2005-09-23,666.18442929
2005-10-29,674.71697747
2005-11-24,683.16297821
2005-12-22,691.96246272
2006-02-03,700.8251782
2006-03-15,707.79022748
2006-03-25,718.67600663
2006-04-29,728.55429056
2006-05-26,737.93843812
2006-06-23,748.13438611
2006-07-27,759.32367659
2006-08-24,769.15909522
2006-09-22,778.56335694
2006-10-28,788.30929028
2006-11-24,797.37068129
2006-12-22,806.65333189
2007-02-03,815.92558243
2007-03-25,824.03454036
2007-04-29,835.24270816
2007-05-25,846.48324761
2007-06-23,858.30015784
2007-07-28,871.0763439
2007-08-24,883.17422703
2007-09-22,895.12332855
2007-11-03,908.13001577
2007-11-24,920.67746678
2007-12-22,933.00151389
2008-02-02,945.55767298
2008-03-23,956.91164694
2008-04-26,970.064507
2008-05-23,981.92517479
2008-06-25,994.14536902
2008-07-26,1006.51764525
2008-08-23,1018.08727921
2008-09-21,1028.3574595
2008-10-29,1037.65074432
