"Index","China PMI"
2005-02-01,54.7
2005-03-01,54.5
2005-04-01,57.9
2005-05-01,56.7
2005-06-01,52.9
2005-07-06,51.7
2005-07-31,51.1
2005-08-30,52.6
2005-10-02,55.1
2005-10-31,54.1
2005-11-30,54.1
2006-01-01,54.3
2006-02-05,52.1
2006-02-28,52.1
2006-04-02,55.3
2006-04-30,58.1
2006-05-31,54.8
2006-07-02,54.1
2006-07-31,52.4
2006-08-31,53.1
2006-10-01,57
2006-10-31,54.7
2006-11-30,55.3
2007-01-01,54.8
2007-01-31,55.1
2007-03-01,53.1
2007-04-01,56.1
2007-04-30,58.6
2007-05-31,55.7
2007-07-01,54.5
2007-07-31,53.3
2007-08-31,54
2007-09-30,56.1
2007-10-31,53.2
2007-11-30,55.4
2008-01-01,55.3
2008-01-31,53
2008-02-29,53.4
2008-03-31,58.4
2008-04-30,59.2
2008-05-31,53.3
2008-06-30,52
2008-07-31,48.4
2008-08-31,48.4
2008-09-30,51.2
2008-10-31,44.6
2008-11-30,38.8
2009-01-03,41.2
2009-02-03,45.3
2009-03-03,49
2009-04-02,52.4
2009-04-30,53.5
2009-05-31,53.1
2009-06-30,53.2
2009-07-31,53.3
2009-08-31,54
2009-09-30,54.3
2009-10-31,55.2
2009-11-30,55.2
2009-12-31,56.6
2010-01-31,55.8
2010-02-28,52
2010-03-31,55.1
2010-04-30,55.7
2010-05-31,53.9
2010-06-30,52.1
2010-07-31,51.2
2010-08-31,51.7
2010-09-30,53.8
2010-10-31,54.7
2010-11-30,55.2
2010-12-31,53.9
2011-01-31,52.9
2011-02-28,52.2
2011-03-31,53.4
2011-04-30,52.9
2011-05-31,52
2011-06-30,50.9
2011-07-31,50.7
2011-08-31,50.9
2011-09-30,51.2
2011-10-31,50.4
2011-11-30,49
2011-12-31,50.3
2012-01-31,50.5
2012-02-29,51
2012-03-31,53.1
2012-04-30,53.3
2012-05-31,50.4
2012-06-30,50.2
2012-07-31,50.1
2012-08-31,49.2
2012-09-30,49.8
2012-10-31,50.2
2012-11-30,50.6
2012-12-31,50.6
2013-01-31,50.4
2013-02-28,50.1
2013-03-31,50.9
2013-04-30,50.6
2013-05-31,50.8
2013-06-30,50.1
2013-07-31,50.3
2013-08-31,51
2013-09-30,51.1
2013-10-31,51.4
2013-11-30,51.4
2013-12-31,51
2014-01-31,50.5
2014-02-28,50.2
2014-03-31,50.3
2014-04-30,50.4
2014-05-31,50.8
2014-06-30,51
2014-07-31,51.7
2014-08-31,51.1
2014-09-30,51.1
2014-10-31,50.8
2014-11-30,50.3
2014-12-31,50.1
2015-01-31,49.8
2015-02-28,49.9
2015-03-31,50.1
2015-04-30,50.1
2015-05-31,50.2
2015-06-30,50.2
2015-07-31,50
2015-08-31,49.7
2015-09-30,49.8
2015-10-31,49.8
2015-11-30,49.6
2015-12-31,49.7
2016-01-31,49.4
2016-02-29,49
2016-03-31,50.2
2016-04-30,50.1
2016-05-31,50.1
2016-06-30,50
2016-07-31,49.9
2016-08-31,50.4
2016-09-30,50.4
2016-10-31,51.2
2016-11-30,51.7
2016-12-31,51.4
