"Index","US Industrial Production Index"
1960-10-16,22.8
1960-11-16,22.7
1960-12-16,22.4
1961-01-16,22
1961-02-16,22
1961-03-16,22
1961-04-16,22.1
1961-05-16,22.6
1961-06-16,22.9
1961-07-16,23.2
1961-08-16,23.5
1961-09-16,23.7
1961-10-16,23.7
1961-11-16,24.1
1961-12-16,24.5
1962-01-16,24.7
1962-02-16,24.5
1962-03-16,24.9
1962-04-16,25.1
1962-05-16,25.1
1962-06-16,25.1
1962-07-16,25
1962-08-16,25.3
1962-09-16,25.3
1962-10-16,25.5
1962-11-16,25.5
1962-12-16,25.6
1963-01-16,25.6
1963-02-16,25.8
1963-03-16,26.1
1963-04-16,26.2
1963-05-16,26.5
1963-06-16,26.8
1963-07-16,26.9
1963-08-16,26.8
1963-09-16,26.8
1963-10-16,27.1
1963-11-16,27.3
1963-12-16,27.4
1964-01-16,27.4
1964-02-16,27.6
1964-03-16,27.8
1964-04-16,27.8
1964-05-16,28.2
1964-06-16,28.4
1964-07-16,28.5
1964-08-16,28.7
1964-09-16,28.9
1964-10-16,29
1964-11-16,28.6
1964-12-16,29.4
1965-01-16,29.8
1965-02-16,30.1
1965-03-16,30.3
1965-04-16,30.7
1965-05-16,30.8
1965-06-16,31.1
1965-07-16,31.3
1965-08-16,31.6
1965-09-16,31.7
1965-10-16,31.8
1965-11-16,32.1
1965-12-16,32.3
1966-01-16,32.7
1966-02-16,33
1966-03-16,33.2
1966-04-16,33.7
1966-05-16,33.7
1966-06-16,34
1966-07-16,34.2
1966-08-16,34.4
1966-09-16,34.4
1966-10-16,34.7
1966-11-16,35
1966-12-16,34.7
1967-01-16,34.8
1967-02-16,35
1967-03-16,34.6
1967-04-16,34.4
1967-05-16,34.7
1967-06-16,34.4
1967-07-16,34.4
1967-08-16,34.3
1967-09-16,35
1967-10-16,34.9
1967-11-16,35.2
1967-12-16,35.7
1968-01-16,36.1
1968-02-16,36.1
1968-03-16,36.2
1968-04-16,36.3
1968-05-16,36.4
1968-06-16,36.8
1968-07-16,36.9
1968-08-16,36.8
1968-09-16,36.9
1968-10-16,37.1
1968-11-16,37.2
1968-12-16,37.6
1969-01-16,37.8
1969-02-16,38
1969-03-16,38.2
1969-04-16,38.5
1969-05-16,38.4
1969-06-16,38.2
1969-07-16,38.6
1969-08-16,38.8
1969-09-16,38.9
1969-10-16,38.9
1969-11-16,38.9
1969-12-16,38.5
1970-01-16,38.4
1970-02-16,37.7
1970-03-16,37.7
1970-04-16,37.7
1970-05-16,37.6
1970-06-16,37.5
1970-07-16,37.4
1970-08-16,37.5
1970-09-16,37.4
1970-10-16,37.2
1970-11-16,36.4
1970-12-16,36.2
1971-01-16,37
1971-02-16,37.3
1971-03-16,37.2
1971-04-16,37.2
1971-05-16,37.4
1971-06-16,37.6
1971-07-16,37.8
1971-08-16,37.7
1971-09-16,37.4
1971-10-16,38
1971-11-16,38.3
1971-12-16,38.5
1972-01-16,38.9
1972-02-16,39.9
1972-03-16,40.2
1972-04-16,40.5
1972-05-16,41
1972-06-16,40.9
1972-07-16,41.1
1972-08-16,41
1972-09-16,41.6
1972-10-16,41.9
1972-11-16,42.5
1972-12-16,43
1973-01-16,43.5
1973-02-16,43.7
1973-03-16,44.4
1973-04-16,44.4
1973-05-16,44.3
1973-06-16,44.6
1973-07-16,44.7
