,Open,High,Low,Close,Volume,Open Interest
2001-01-01,,,,,,
2001-01-02,15070.0,15070.0,15060.0,,,
2001-01-03,14890.0,14890.0,14870.0,,110.0,
2001-01-04,14900.0,15130.0,14880.0,,440.0,
2001-01-05,14870.0,14870.0,14800.0,,598.0,
2001-01-08,14900.0,14900.0,14900.0,,2.0,
2001-01-09,15120.0,15120.0,15120.0,,18.0,
2001-01-10,15060.0,15060.0,15060.0,,20.0,
2001-01-11,,,,,,
2001-01-12,15150.0,15160.0,15130.0,,32.0,
2001-01-15,15120.0,15120.0,15100.0,,8.0,
2001-01-16,15090.0,15090.0,15090.0,,16.0,
2001-01-17,15050.0,15050.0,15050.0,,30.0,
2001-01-18,15150.0,15150.0,15150.0,,4.0,
2001-01-19,15490.0,15490.0,15230.0,,134.0,
2001-01-22,,,,,,
2001-01-23,,,,,,
2001-01-24,,,,,,
2001-01-25,,,,,,
2001-01-26,,,,,,
2001-01-29,,,,,,
2001-01-30,,,,,,
2001-01-31,15400.0,15520.0,15400.0,,306.0,
2001-02-01,15390.0,15390.0,15390.0,,2.0,
2001-02-02,15270.0,15320.0,15270.0,,26.0,
2001-02-05,15200.0,15200.0,15190.0,,56.0,
2001-02-06,15090.0,15130.0,15080.0,,192.0,
2001-02-07,15020.0,15050.0,15010.0,,226.0,
2001-02-08,15010.0,15010.0,15010.0,,30.0,
2001-02-09,15040.0,15150.0,15040.0,,268.0,
2001-02-12,15010.0,15050.0,15010.0,,116.0,
2001-02-13,15040.0,15040.0,14980.0,,406.0,
2001-02-14,15020.0,15050.0,15010.0,,170.0,
2001-02-15,14980.0,14990.0,14930.0,,282.0,
2001-02-16,15020.0,15080.0,15010.0,,352.0,
2001-02-19,15000.0,15070.0,15000.0,,124.0,
2001-02-20,14980.0,15030.0,14980.0,,214.0,
2001-02-21,15010.0,15030.0,15000.0,,48.0,
2001-02-22,14800.0,14950.0,14800.0,,352.0,
2001-02-23,14910.0,14930.0,14870.0,,1648.0,
2001-02-26,14920.0,14950.0,14900.0,,274.0,
2001-02-27,15140.0,15140.0,14980.0,,38.0,
2001-02-28,14900.0,14920.0,14880.0,,276.0,
2001-03-01,15060.0,15060.0,14890.0,,638.0,
2001-03-02,14980.0,15000.0,14970.0,,30.0,
2001-03-05,15090.0,15130.0,15040.0,,428.0,
2001-03-06,15200.0,15200.0,15160.0,,76.0,
2001-03-07,15080.0,15150.0,15080.0,,400.0,
2001-03-08,15100.0,15100.0,15040.0,,298.0,
2001-03-09,14900.0,14970.0,14870.0,,1736.0,
2001-03-12,14900.0,14950.0,14900.0,,292.0,
2001-03-13,14880.0,14910.0,14850.0,,210.0,
2001-03-14,,,,,,
2001-03-15,14870.0,14990.0,14860.0,,308.0,
2001-03-16,14900.0,14980.0,14900.0,,202.0,
2001-03-19,14750.0,14860.0,14750.0,,852.0,
2001-03-20,14870.0,14870.0,14850.0,,222.0,
2001-03-21,14890.0,14890.0,14780.0,,786.0,
2001-03-22,14880.0,14900.0,14830.0,,58.0,
2001-03-23,14840.0,14870.0,14840.0,,384.0,
2001-03-26,14950.0,14950.0,14930.0,,204.0,
2001-03-27,,,,,,
2001-03-28,14930.0,14960.0,14930.0,,264.0,
2001-03-29,14870.0,14880.0,14860.0,,206.0,
2001-03-30,14930.0,14930.0,14890.0,,228.0,
2001-04-02,14840.0,14920.0,14840.0,,512.0,
2001-04-03,14900.0,14900.0,14850.0,,266.0,
2001-04-04,14920.0,14920.0,14850.0,,150.0,
2001-04-05,,,,,,
2001-04-06,14820.0,14930.0,14820.0,,392.0,
2001-04-09,14860.0,14870.0,14800.0,,424.0,
2001-04-10,14860.0,14910.0,14860.0,,50.0,
2001-04-11,14910.0,14930.0,14900.0,,258.0,
2001-04-12,,,,,82.0,
2001-04-13,14920.0,14940.0,14900.0,,332.0,
2001-04-16,14930.0,14940.0,14920.0,,,
2001-04-17,14990.0,14990.0,14920.0,,,
2001-04-18,14950.0,14950.0,14920.0,,202.0,
2001-04-19,14930.0,15000.0,14930.0,,172.0,
2001-04-20,14990.0,14990.0,14970.0,,114.0,
2001-04-23,14950.0,15030.0,14950.0,,310.0,
2001-04-24,14980.0,15010.0,14950.0,,142.0,
2001-04-25,15000.0,15000.0,14940.0,,102.0,
2001-04-26,,,,,,
2001-04-27,15000.0,15030.0,14970.0,,670.0,
2001-04-30,14980.0,15020.0,14970.0,,762.0,
2001-05-01,,,,,,
2001-05-02,,,,,,
2001-05-03,,,,,,
2001-05-04,,,,,,
2001-05-07,,,,,,
2001-05-08,14990.0,15050.0,14990.0,,,
2001-05-09,15000.0,15050.0,14990.0,,282.0,
2001-05-10,14950.0,14980.0,14930.0,,842.0,
2001-05-11,14900.0,14950.0,14900.0,,114.0,
2001-05-14,14920.0,14970.0,14920.0,,390.0,
2001-05-15,14900.0,14930.0,14850.0,,984.0,
2001-05-16,14890.0,14890.0,14840.0,,290.0,
2001-05-17,14880.0,14890.0,14860.0,,142.0,
2001-05-18,14860.0,14920.0,14860.0,,116.0,
2001-05-21,15000.0,15000.0,14970.0,,102.0,
2001-05-22,14910.0,14970.0,14910.0,,704.0,
2001-05-23,14980.0,14980.0,14930.0,,828.0,
2001-05-24,14950.0,14950.0,14920.0,,634.0,
2001-05-25,14930.0,14950.0,14930.0,,676.0,
