,Open,High,Low,Close,Volume,Open Interest
2001-01-01,,,,,,
2001-01-02,18310.0,18310.0,17830.0,,,
2001-01-03,17700.0,17800.0,17680.0,,8732.0,
2001-01-04,17900.0,17990.0,17900.0,,10256.0,
2001-01-05,17840.0,17840.0,17450.0,,19564.0,
2001-01-08,17670.0,17680.0,17460.0,,10754.0,
2001-01-09,17690.0,17910.0,17640.0,,14060.0,
2001-01-10,17720.0,17850.0,17660.0,,10936.0,
2001-01-11,17790.0,17940.0,17770.0,,21448.0,
2001-01-12,17910.0,17950.0,17860.0,,10442.0,
2001-01-15,18030.0,18040.0,17880.0,,8564.0,
2001-01-16,17800.0,17800.0,17650.0,,15578.0,
2001-01-17,17440.0,17500.0,17300.0,,19732.0,
2001-01-18,17500.0,17740.0,17500.0,,12758.0,
2001-01-19,18150.0,18160.0,18080.0,,14012.0,
2001-01-22,,,,,,
2001-01-23,,,,,,
2001-01-24,,,,,,
2001-01-25,,,,,,
2001-01-26,,,,,,
2001-01-29,,,,,,
2001-01-30,,,,,,
2001-01-31,18050.0,18300.0,18030.0,,10714.0,
2001-02-01,18210.0,18240.0,18050.0,,14314.0,
2001-02-02,18110.0,18170.0,18090.0,,5446.0,
2001-02-05,18080.0,18080.0,17870.0,,14370.0,
2001-02-06,17690.0,17710.0,17570.0,,23720.0,
2001-02-07,17660.0,17660.0,17530.0,,13532.0,
2001-02-08,17500.0,17600.0,17480.0,,12452.0,
2001-02-09,17570.0,17910.0,17570.0,,19068.0,
2001-02-12,17660.0,17660.0,17540.0,,17600.0,
2001-02-13,17600.0,17680.0,17600.0,,10476.0,
2001-02-14,17820.0,17890.0,17770.0,,14870.0,
2001-02-15,17740.0,17840.0,17740.0,,6750.0,
2001-02-16,17920.0,18090.0,17890.0,,22480.0,
2001-02-19,18070.0,18170.0,18030.0,,15142.0,
2001-02-20,17940.0,17980.0,17910.0,,9668.0,
2001-02-21,17960.0,17980.0,17920.0,,6362.0,
2001-02-22,17590.0,17710.0,17550.0,,18870.0,
2001-02-23,17660.0,17680.0,17560.0,,10840.0,
2001-02-26,17600.0,17700.0,17580.0,,10866.0,
2001-02-27,17790.0,17860.0,17770.0,,14060.0,
2001-02-28,17710.0,17740.0,17580.0,,12884.0,
2001-03-01,17810.0,17860.0,17740.0,,15186.0,
2001-03-02,17900.0,17940.0,17850.0,,21038.0,
2001-03-05,17890.0,17940.0,17890.0,,9776.0,
2001-03-06,18130.0,18170.0,18110.0,,23122.0,
2001-03-07,18150.0,18150.0,18020.0,,20086.0,
2001-03-08,17990.0,18040.0,17980.0,,11112.0,
2001-03-09,17850.0,17870.0,17820.0,,12282.0,
2001-03-12,17900.0,17910.0,17810.0,,10760.0,
2001-03-13,17700.0,17750.0,17670.0,,15468.0,
2001-03-14,17690.0,17810.0,17690.0,,14258.0,
2001-03-15,17600.0,17630.0,17530.0,,24346.0,
2001-03-16,17580.0,17630.0,17490.0,,12288.0,
2001-03-19,17210.0,17240.0,17170.0,,21142.0,
2001-03-20,17280.0,17380.0,17280.0,,16868.0,
2001-03-21,17240.0,17330.0,17240.0,,22410.0,
2001-03-22,17280.0,17350.0,17270.0,,12974.0,
2001-03-23,17240.0,17250.0,17170.0,,14014.0,
2001-03-26,17240.0,17420.0,17230.0,,14360.0,
2001-03-27,,,,,,
2001-03-28,17410.0,17450.0,17370.0,,20716.0,
2001-03-29,17000.0,17120.0,17000.0,,28978.0,
2001-03-30,17140.0,17220.0,17080.0,,12094.0,
2001-04-02,16920.0,17010.0,16910.0,,14422.0,
2001-04-03,16940.0,17020.0,16920.0,,13188.0,
2001-04-04,17000.0,17060.0,16970.0,,11224.0,
2001-04-05,,,,,,
2001-04-06,17080.0,17100.0,17040.0,,12746.0,
2001-04-09,16810.0,16910.0,16810.0,,25240.0,
2001-04-10,16990.0,17000.0,16940.0,,14064.0,
2001-04-11,17040.0,17120.0,17030.0,,19158.0,
2001-04-12,,,,,2370.0,
2001-04-13,17030.0,17090.0,17030.0,,3144.0,
2001-04-16,17030.0,17060.0,17030.0,,,
2001-04-17,17140.0,17200.0,17120.0,,,
2001-04-18,17100.0,17180.0,17090.0,,6502.0,
2001-04-19,17370.0,17380.0,17260.0,,12956.0,
2001-04-20,17320.0,17360.0,17310.0,,6932.0,
2001-04-23,17300.0,17360.0,17290.0,,5928.0,
2001-04-24,17030.0,17070.0,16980.0,,16700.0,
2001-04-25,17100.0,17130.0,16980.0,,13024.0,
2001-04-26,,,,,,
2001-04-27,16950.0,16980.0,16920.0,,5888.0,
2001-04-30,16950.0,17120.0,16950.0,,6056.0,
2001-05-01,,,,,,
2001-05-02,,,,,,
2001-05-03,,,,,,
2001-05-04,,,,,,
2001-05-07,,,,,,
2001-05-08,17230.0,17230.0,17100.0,,,
2001-05-09,17080.0,17100.0,17060.0,,6102.0,
2001-05-10,17000.0,17080.0,16990.0,,13426.0,
2001-05-11,16980.0,17060.0,16980.0,,136556.0,
2001-05-14,17060.0,17090.0,17000.0,,9952.0,
2001-05-15,16980.0,17010.0,16940.0,,13524.0,
2001-05-16,0.0,16990.0,0.0,,7484.0,
2001-05-17,16990.0,17050.0,16980.0,,8094.0,
2001-05-18,17170.0,17230.0,17140.0,,16792.0,
2001-05-21,17450.0,17470.0,17390.0,,19934.0,
2001-05-22,17560.0,17560.0,17440.0,,11830.0,
2001-05-23,17440.0,17450.0,17380.0,,8632.0,
2001-05-24,17460.0,17510.0,17440.0,,11744.0,
