"Index","Open","High","Low","Close","Volume","Open Interest"
2011-04-01,18780,18780,18570,18640,2550,NA
2011-04-04,NA,NA,NA,NA,NA,NA
2011-04-05,NA,NA,NA,NA,NA,NA
2011-04-06,18675,19360,18675,19220,15400,NA
2011-04-07,19200,19300,19035,19075,10426,NA
2011-04-08,19090,19250,19005,19175,8434,NA
2011-04-11,19250,19440,19145,19210,13938,NA
2011-04-12,19000,19125,18790,18800,9256,NA
2011-04-13,18610,18745,18540,18715,5566,NA
2011-04-14,18555,18690,18540,18580,3846,NA
2011-04-15,18605,18780,18505,18580,9992,NA
2011-04-18,18575,18650,18525,18580,3334,NA
2011-04-19,18300,18350,17950,17980,8390,NA
2011-04-20,18065,18180,18065,18165,2930,NA
2011-04-21,18300,18300,18140,18180,2504,NA
2011-04-22,18235,18235,17880,17975,3420,NA
2011-04-25,17980,18050,17760,17760,2102,NA
2011-04-26,17695,17695,17420,17645,3506,NA
2011-04-27,17620,17790,17420,17550,2974,NA
2011-04-28,17555,17850,17555,17755,3278,NA
2011-04-29,17665,17725,17530,17550,1548,NA
2011-05-02,NA,NA,NA,NA,NA,NA
2011-05-03,17550,17650,17460,17530,1902,NA
2011-05-04,17590,17595,17440,17480,1140,NA
2011-05-05,17310,17310,16450,16715,4070,NA
2011-05-06,16220,16440,16190,16255,6540,NA
2011-05-09,16330,16640,16330,16620,3246,NA
2011-05-10,16505,16710,16465,16645,2760,NA
2011-05-11,16690,17200,16595,16675,3638,NA
2011-05-12,16450,16500,16220,16220,4424,NA
2011-05-13,16475,16740,16340,16705,3836,NA
2011-05-16,16575,16655,16460,16555,2872,NA
2011-05-17,16505,16610,16230,16570,3932,NA
2011-05-18,16735,16855,16620,16710,5218,NA
2011-05-19,17180,17180,16925,16945,5540,NA
2011-05-20,16995,16995,16850,16935,2392,NA
2011-05-23,17000,17075,16565,16610,3602,NA
2011-05-24,16605,16800,16525,16760,2604,NA
2011-05-25,16870,17095,16790,17090,2734,NA
2011-05-26,17050,17230,17050,17205,3132,NA
2011-05-27,17100,17340,17040,17315,3580,NA
2011-05-30,17230,17370,17030,17040,3134,NA
2011-05-31,17115,17180,16895,17095,4284,NA
2011-06-01,17085,17085,16910,16955,2536,NA
2011-06-02,16840,16900,16780,16880,1984,NA
2011-06-03,16710,16980,16675,16890,3534,NA
2011-06-06,NA,NA,NA,NA,NA,NA
2011-06-07,16890,17165,16845,17030,4518,NA
2011-06-08,17100,17180,16865,17020,4038,NA
2011-06-09,17105,17130,16985,16985,2072,NA
2011-06-10,17080,17150,16990,17070,2912,NA
2011-06-13,16970,17025,16835,16940,2656,NA
2011-06-14,16965,16975,16820,16940,2002,NA
2011-06-15,17030,17070,16955,16980,2338,NA
2011-06-16,16835,16870,16680,16695,2810,NA
2011-06-17,16720,16780,16600,16620,1886,NA
2011-06-20,16550,16630,16455,16470,2086,NA
2011-06-21,16535,16890,16530,16850,3464,NA
2011-06-22,16800,16850,16685,16720,2178,NA
2011-06-23,16905,16910,16715,16855,3360,NA
2011-06-24,16875,17045,16860,17030,4180,NA
2011-06-27,16910,16965,16750,16770,2792,NA
2011-06-28,16850,16955,16820,16865,1684,NA
2011-06-29,16940,16980,16880,16975,2040,NA
2011-06-30,17100,17210,17050,17200,2850,NA
2011-07-01,17200,17235,17125,17160,2112,NA
2011-07-04,17205,17410,17205,17350,2628,NA
2011-07-05,17335,17430,17215,17220,1966,NA
2011-07-06,17280,17355,17250,17315,1612,NA
2011-07-07,17285,17385,17225,17320,1558,NA
2011-07-08,17415,17465,17300,17305,1270,NA
2011-07-11,17220,17305,17070,17170,1868,NA
2011-07-12,17080,17185,17070,17185,1202,NA
2011-07-13,17350,17700,17310,17695,3314,NA
2011-07-14,17550,17595,17480,17555,1836,NA
2011-07-15,17465,17530,17415,17435,1286,NA
2011-07-18,17485,17580,17455,17520,1302,NA
2011-07-19,17585,17740,17565,17735,2182,NA
2011-07-20,17740,17815,17610,17685,1892,NA
