,Open,High,Low,Close,Volume,Open Interest
2003-01-01,,,,,,
2003-01-02,10980.0,11280.0,10975.0,,,22980.0
2003-01-03,11390.0,11830.0,11365.0,,78534.0,24764.0
2003-01-06,11840.0,12010.0,11840.0,,48716.0,22926.0
2003-01-07,11980.0,11980.0,11610.0,,64898.0,24638.0
2003-01-08,11720.0,11990.0,11720.0,,44604.0,26574.0
2003-01-09,11885.0,12260.0,11840.0,,52628.0,34496.0
2003-01-10,12350.0,12425.0,12250.0,,47570.0,34496.0
2003-01-13,12350.0,12425.0,12250.0,,47570.0,56682.0
2003-01-14,12420.0,12560.0,12210.0,,103670.0,56908.0
2003-01-15,12420.0,12520.0,12380.0,,67794.0,61368.0
2003-01-16,12500.0,12550.0,12380.0,,54932.0,59812.0
2003-01-17,12400.0,12475.0,12390.0,,31558.0,59692.0
2003-01-20,12420.0,12810.0,12415.0,,68284.0,55374.0
2003-01-21,12995.0,13095.0,12830.0,,90226.0,59378.0
2003-01-22,12955.0,13045.0,12920.0,,43254.0,71118.0
2003-01-23,13050.0,13230.0,12610.0,,142102.0,67594.0
2003-01-24,12985.0,13150.0,12950.0,,57030.0,85564.0
2003-01-27,13175.0,13365.0,12930.0,,108612.0,101652.0
2003-01-28,12920.0,13115.0,12920.0,,75690.0,109706.0
2003-01-29,13150.0,13205.0,13130.0,,75484.0,
2003-01-30,,,,,,
2003-01-31,,,,,,
2003-02-03,,,,,,
2003-02-04,,,,,,
2003-02-05,,,,,,
2003-02-06,,,,,,
2003-02-07,,,,,,129296.0
2003-02-10,13210.0,13210.0,12855.0,,118448.0,134512.0
2003-02-11,13100.0,13260.0,13030.0,,84734.0,143596.0
2003-02-12,13055.0,13210.0,13000.0,,79556.0,139476.0
2003-02-13,13210.0,13500.0,13190.0,,93386.0,114122.0
2003-02-14,13800.0,14155.0,13710.0,,158444.0,116376.0
2003-02-17,14290.0,14355.0,14220.0,,21594.0,56350.0
2003-02-18,14900.0,15100.0,14420.0,,233810.0,53620.0
2003-02-19,14740.0,15185.0,14720.0,,90410.0,55638.0
2003-02-20,14805.0,15190.0,14805.0,,52746.0,61484.0
2003-02-21,15200.0,15530.0,15200.0,,,55738.0
2003-02-24,15600.0,15720.0,15390.0,,94730.0,52800.0
2003-02-25,15355.0,15500.0,15055.0,,14068.0,49348.0
2003-02-26,14695.0,15150.0,14270.0,,80024.0,47878.0
2003-02-27,14920.0,14940.0,14630.0,,22288.0,47950.0
2003-02-28,14745.0,14840.0,14700.0,,20012.0,47438.0
2003-03-03,14780.0,14850.0,14350.0,,13788.0,42990.0
2003-03-04,14000.0,14635.0,13985.0,,27414.0,41836.0
2003-03-05,14500.0,14650.0,14000.0,,20786.0,40564.0
2003-03-06,14740.0,14755.0,14405.0,,8982.0,38144.0
2003-03-07,15000.0,15050.0,14600.0,,17666.0,37766.0
2003-03-10,14425.0,14560.0,14425.0,,3512.0,35356.0
2003-03-11,14230.0,14700.0,14040.0,,11218.0,
2003-03-12,,,,,,36150.0
2003-03-13,14880.0,15125.0,14805.0,,23350.0,34150.0
2003-03-14,15030.0,15350.0,14830.0,,9002.0,33140.0
2003-03-17,15300.0,15430.0,15250.0,,2566.0,32672.0
2003-03-18,15355.0,15355.0,14950.0,,2162.0,32342.0
2003-03-19,15120.0,15300.0,15100.0,,1006.0,32284.0
2003-03-20,15200.0,15290.0,14810.0,,2176.0,32318.0
2003-03-21,15160.0,15250.0,15070.0,,1196.0,32128.0
2003-03-24,15245.0,15300.0,15200.0,,2328.0,29590.0
2003-03-25,15250.0,15575.0,15235.0,,8230.0,29022.0
2003-03-26,13650.0,13700.0,13560.0,,9698.0,982.0
2003-03-27,15415.0,15435.0,15320.0,,4564.0,27372.0
2003-03-28,15280.0,15350.0,15200.0,,3810.0,26512.0
2003-03-31,15100.0,15290.0,14840.0,,13562.0,25216.0
2003-04-01,15215.0,15445.0,15155.0,,7444.0,23878.0
2003-04-02,15455.0,15650.0,15400.0,,7624.0,24094.0
2003-04-03,15550.0,15680.0,15510.0,,1652.0,23766.0
2003-04-04,15595.0,15610.0,15135.0,,626.0,21966.0
2003-04-07,16470.0,16690.0,14330.0,,4614.0,18992.0
2003-04-08,14000.0,14180.0,13615.0,,5402.0,18992.0
2003-04-09,12320.0,12320.0,11875.0,,1860.0,4632.0
2003-04-10,11360.0,12050.0,11175.0,,30078.0,5104.0
2003-04-11,11800.0,11800.0,11430.0,,11278.0,4414.0
2003-04-14,11400.0,11480.0,11235.0,,3932.0,3202.0
2003-04-15,11050.0,11415.0,10955.0,,6504.0,3636.0
2003-04-16,11230.0,11495.0,11200.0,,3402.0,3024.0
2003-04-17,11595.0,11630.0,11400.0,,2968.0,2518.0
2003-04-18,11460.0,11600.0,11350.0,,1492.0,
2003-04-21,11260.0,11330.0,11115.0,,,
2003-04-22,11100.0,11275.0,11000.0,,,2638.0
2003-04-23,10990.0,11395.0,10990.0,,1624.0,2458.0
2003-04-24,11245.0,11300.0,11035.0,,1042.0,2476.0
2003-04-25,11775.0,11920.0,11680.0,,3188.0,10788.0
2003-04-28,11870.0,11990.0,11820.0,,2984.0,10740.0
2003-04-29,11950.0,12000.0,11800.0,,4524.0,10606.0
2003-04-30,10900.0,10910.0,10730.0,,1622.0,
2003-05-01,,,,,,
2003-05-02,,,,,,
2003-05-05,,,,,,
2003-05-06,,,,,,
2003-05-07,,,,,,
2003-05-08,,,,,,
2003-05-09,,,,,,2584.0
2003-05-12,10735.0,10755.0,10490.0,,1224.0,2738.0
2003-05-13,10720.0,10750.0,10500.0,,2014.0,2902.0
2003-05-14,12280.0,12285.0,12215.0,,2956.0,10874.0
2003-05-15,12220.0,12570.0,12220.0,,2426.0,
2003-05-16,10600.0,10650.0,10570.0,,912.0,
2003-05-19,10635.0,10900.0,10620.0,,2388.0,3636.0
2003-05-20,10750.0,10750.0,10415.0,,4576.0,6646.0
2003-05-21,10510.0,10845.0,10510.0,,12788.0,15804.0
2003-05-22,10850.0,11175.0,10810.0,,31058.0,18058.0
2003-05-23,11250.0,11285.0,11110.0,,22260.0,17362.0
2003-05-26,11230.0,11275.0,11125.0,,16116.0,
2003-05-27,11165.0,11230.0,11085.0,,,17516.0
2003-05-28,11030.0,11240.0,11030.0,,14252.0,17184.0
2003-05-29,11180.0,11275.0,10825.0,,18128.0,21050.0
2003-05-30,10825.0,11225.0,10730.0,,26408.0,22300.0
2003-06-02,11250.0,11265.0,11160.0,,27082.0,27840.0
2003-06-03,11205.0,11270.0,11035.0,,39100.0,27306.0
2003-06-04,11095.0,11230.0,11005.0,,47960.0,42200.0
2003-06-05,11230.0,11430.0,11150.0,,109930.0,49156.0
2003-06-06,11450.0,11450.0,11175.0,,108118.0,38964.0
2003-06-09,11165.0,11200.0,10935.0,,44996.0,67074.0
2003-06-10,10640.0,10765.0,10415.0,,172166.0,70466.0
2003-06-11,10755.0,10800.0,10580.0,,117678.0,65012.0
2003-06-12,10605.0,10760.0,10505.0,,1757562.0,
2003-06-13,,,,,,85692.0
2003-06-16,10380.0,10440.0,10180.0,,203400.0,93568.0
2003-06-17,10255.0,10485.0,10195.0,,232634.0,92910.0
2003-06-18,10445.0,10550.0,10340.0,,215270.0,98894.0
2003-06-19,10380.0,10430.0,10340.0,,124046.0,95308.0
2003-06-20,10370.0,10425.0,10340.0,,68626.0,89966.0
2003-06-23,10350.0,10395.0,10215.0,,134016.0,82676.0
2003-06-24,10195.0,10240.0,9980.0,,184266.0,76126.0
2003-06-25,10045.0,10200.0,9985.0,,142180.0,80866.0
2003-06-26,10175.0,10195.0,10090.0,,111116.0,80146.0
2003-06-27,10105.0,10180.0,10000.0,,121452.0,
2003-06-30,,,,,,
2003-07-01,,,,,,85344.0
2003-07-02,10090.0,10150.0,10070.0,,81296.0,83508.0
2003-07-03,10130.0,10175.0,10125.0,,38664.0,87136.0
2003-07-04,10170.0,10255.0,10155.0,,68306.0,83512.0
2003-07-07,10240.0,10245.0,10015.0,,117480.0,82326.0
2003-07-08,10005.0,10150.0,9940.0,,128700.0,82716.0
2003-07-09,10155.0,10155.0,10070.0,,71378.0,79826.0
2003-07-10,10100.0,10175.0,10095.0,,38026.0,77516.0
2003-07-11,10150.0,10150.0,10080.0,,38818.0,75714.0
2003-07-14,10150.0,10340.0,10130.0,,101988.0,77316.0
2003-07-15,10285.0,10330.0,10215.0,,57272.0,74162.0
2003-07-16,10290.0,10405.0,10260.0,,80630.0,
2003-07-17,10280.0,10375.0,10260.0,,53542.0,73792.0
2003-07-18,10360.0,10395.0,10335.0,,38034.0,72872.0
2003-07-21,10385.0,10445.0,10365.0,,48288.0,72554.0
2003-07-22,10425.0,10440.0,10330.0,,61240.0,74768.0
2003-07-23,10405.0,10435.0,10370.0,,30670.0,72564.0
2003-07-24,10440.0,10550.0,10430.0,,43460.0,66432.0
2003-07-25,10525.0,10780.0,10525.0,,82058.0,65526.0
2003-07-28,10695.0,10795.0,10645.0,,50460.0,61976.0
2003-07-29,10800.0,10845.0,10710.0,,35076.0,59754.0
2003-07-30,10735.0,10940.0,10730.0,,38292.0,52164.0
2003-07-31,10950.0,10985.0,10895.0,,41146.0,49154.0
2003-08-01,11095.0,11095.0,10875.0,,18778.0,41762.0
2003-08-04,10980.0,11270.0,10960.0,,31494.0,38758.0
2003-08-05,11305.0,11560.0,11285.0,,32168.0,35464.0
2003-08-06,11520.0,11695.0,11450.0,,19266.0,33740.0
2003-08-07,11520.0,11925.0,11400.0,,10942.0,28100.0
2003-08-08,12030.0,12400.0,12030.0,,14760.0,24410.0
2003-08-11,12400.0,12595.0,12395.0,,8908.0,19754.0
2003-08-12,12650.0,12780.0,12350.0,,11260.0,19484.0
2003-08-13,12770.0,12980.0,12770.0,,5794.0,6406.0
2003-08-14,12980.0,13285.0,12980.0,,3820.0,9602.0
2003-08-15,13485.0,13490.0,13155.0,,12834.0,14312.0
2003-08-18,13300.0,13675.0,13030.0,,20976.0,22102.0
2003-08-19,13605.0,13930.0,13605.0,,52156.0,29368.0
2003-08-20,13800.0,13990.0,13800.0,,51842.0,41374.0
2003-08-21,14075.0,14255.0,14030.0,,101928.0,52368.0
2003-08-22,14085.0,14110.0,13720.0,,108288.0,51740.0
2003-08-25,13820.0,13980.0,13660.0,,55350.0,
2003-08-26,13855.0,13900.0,13425.0,,,72004.0
2003-08-27,13290.0,14100.0,13250.0,,232166.0,77216.0
2003-08-28,13915.0,13985.0,13650.0,,204648.0,72498.0
2003-08-29,13650.0,13745.0,13380.0,,259048.0,73516.0
2003-09-01,13560.0,13700.0,13500.0,,197854.0,77252.0
2003-09-02,13585.0,13680.0,13555.0,,123920.0,77812.0
2003-09-03,13555.0,13590.0,13480.0,,112852.0,76430.0
2003-09-04,13525.0,13840.0,13440.0,,183570.0,73760.0
2003-09-05,13300.0,13570.0,13270.0,,226384.0,76990.0
2003-09-08,13420.0,13470.0,13350.0,,126022.0,82498.0
2003-09-09,13510.0,13695.0,13480.0,,186848.0,84210.0
2003-09-10,13735.0,13810.0,13615.0,,195288.0,88546.0
2003-09-11,13675.0,13805.0,13660.0,,158642.0,81900.0
2003-09-12,13855.0,13880.0,13780.0,,112808.0,78404.0
2003-09-15,13825.0,13880.0,13700.0,,,74758.0
2003-09-16,13860.0,14150.0,13680.0,,126178.0,
2003-09-17,,,,,,68204.0
2003-09-18,13945.0,14050.0,13805.0,,60338.0,63914.0
2003-09-19,13985.0,14000.0,13900.0,,29916.0,64966.0
2003-09-22,13985.0,14120.0,13950.0,,32476.0,63348.0
2003-09-23,14030.0,14090.0,13940.0,,20270.0,60264.0
2003-09-24,0.0,14140.0,0.0,,26440.0,56114.0
2003-09-25,14690.0,14700.0,14480.0,,28538.0,11186.0
2003-09-26,14155.0,14320.0,14110.0,,23484.0,49482.0
2003-09-29,14300.0,14610.0,14245.0,,36438.0,47090.0
