"Index","Open","High","Low","Close","Volume","Open Interest"
2015-04-01,93940,94130,91270,92500,158952,70960
2015-04-02,92870,96600,92550,96160,202848,80724
2015-04-03,96000,97800,95660,97300,150282,80998
2015-04-06,NA,NA,NA,NA,NA,NA
2015-04-07,97500,97980,95950,96420,75688,83542
2015-04-08,94500,95630,93300,93950,183088,95102
2015-04-09,94450,95260,93880,94300,160974,99084
2015-04-10,94500,94970,93180,94540,137722,105628
2015-04-13,94280,95670,93700,95230,180214,112858
2015-04-14,94780,95070,92810,93100,199150,127690
2015-04-15,92700,95000,92640,94730,220106,132258
2015-04-16,94610,95900,94260,95400,195920,131624
2015-04-17,96280,96660,95010,95850,168702,127284
2015-04-20,95980,96550,95200,95410,148104,116410
2015-04-21,95330,96800,94900,95880,140930,110552
2015-04-22,95910,96720,95750,96330,123902,110516
2015-04-23,96120,96500,95600,95860,101066,110646
2015-04-24,95840,97900,95700,97830,118180,113816
2015-04-27,98000,101490,97990,101490,241904,116290
2015-04-28,102490,104530,101420,102650,285722,111958
2015-04-29,102350,104400,100500,101020,317634,111334
2015-04-30,101190,106980,101160,106010,552750,125970
2015-05-01,NA,NA,NA,NA,NA,NA
2015-05-04,106010,108900,105450,107580,278844,128702
2015-05-05,107850,109230,106160,107960,518266,133626
2015-05-06,110000,113380,109690,113380,609024,134182
2015-05-07,114580,115300,111050,112500,969052,123678
2015-05-08,113700,114100,110000,112300,878416,118556
2015-05-11,111810,114430,111060,113880,728054,128054
2015-05-12,113300,115060,111270,111600,871696,126536
2015-05-13,112280,113650,110780,111750,752614,123868
2015-05-14,112100,112100,107060,109400,760542,121384
2015-05-15,108980,110960,108540,110210,609290,130696
2015-05-18,109390,109690,108200,108610,544094,121292
2015-05-19,108300,108890,106160,106430,467078,116362
2015-05-20,105500,105990,102340,102340,318956,107676
2015-05-21,100490,102550,100170,101070,480198,106184
2015-05-22,100960,103370,96710,100070,741862,109808
2015-05-25,98900,100580,98110,99480,610232,114898
2015-05-26,99670,101900,99660,100010,550278,115194
2015-05-27,99990,101180,99200,100670,406048,119564
2015-05-28,100420,102040,100400,101130,545222,116488
2015-05-29,101000,101680,97740,99200,462924,116460
2015-06-01,98860,99290,97800,98040,245968,108666
2015-06-02,97190,100500,97020,100280,428588,179364
2015-06-03,100380,101100,99040,99060,409252,191776
2015-06-04,99200,99940,97690,98530,373158,193186
2015-06-05,98650,99480,98060,98390,349670,203496
2015-06-08,98750,100600,98330,100570,493720,217446
2015-06-09,100850,102180,100660,100910,602556,214594
2015-06-10,101360,101770,100570,101330,398440,210380
2015-06-11,101850,102200,101300,101500,323762,201518
2015-06-12,101600,101640,97800,98070,485268,199864
2015-06-15,98400,98880,97400,97580,314750,206642
2015-06-16,97400,98050,95340,95700,386062,213938
2015-06-17,96000,96360,94700,95280,399972,212964
2015-06-18,96300,96810,95830,96300,327414,203154
2015-06-19,96020,96180,94440,94610,314640,215276
2015-06-22,NA,NA,NA,NA,NA,NA
2015-06-23,94280,95330,94100,95050,157974,218968
2015-06-24,95510,96700,95350,96390,335618,215434
2015-06-25,96010,96220,94800,94850,333244,220876
2015-06-26,94760,95170,93020,93850,506474,222276
2015-06-29,93650,93680,89510,90360,618386,231122
2015-06-30,88880,89410,87330,87330,479454,235210
2015-07-01,87330,89980,86680,88360,711488,216384
2015-07-02,88000,89880,87570,89450,651868,206510
2015-07-03,89850,90670,88080,89240,530356,192048
2015-07-06,89100,89340,85260,85530,497774,193608
2015-07-07,85750,87360,84050,84220,563222,194898
