"Index","Open","High","Low","Close","Volume","Open Interest"
2015-04-01,118020,118880,117070,117910,4374,1272
2015-04-02,117970,119080,117970,118620,2716,1038
2015-04-03,118810,119470,118560,118850,1390,1000
2015-04-06,NA,NA,NA,NA,NA,NA
2015-04-07,118890,119090,118270,118860,848,904
2015-04-08,118710,118890,117150,117870,848,750
2015-04-09,117570,117980,116500,116790,816,802
2015-04-10,116500,116980,115320,115990,2418,916
2015-04-13,115960,116290,115270,115940,1628,1008
2015-04-14,115550,115650,112300,112300,5588,1894
2015-04-15,112400,114140,112320,113850,4132,1692
2015-04-16,113200,113700,111010,112880,3866,1962
2015-04-17,113010,113010,109300,110000,11322,3584
2015-04-20,112000,112960,111120,111440,10518,2656
2015-04-21,111840,111880,111100,111550,3434,2964
2015-04-22,112190,113430,112190,112940,5870,2738
2015-04-23,113400,113760,112960,113300,3310,2468
2015-04-24,113350,113950,112750,113940,2088,2526
2015-04-27,114400,117960,114400,117960,16994,3096
2015-04-28,117970,118550,116500,117400,31980,4452
2015-04-29,117140,117720,115110,115370,10628,4638
2015-04-30,116000,119900,115050,117640,17782,5578
2015-05-01,NA,NA,NA,NA,NA,NA
2015-05-04,117360,119520,117360,118800,8824,6072
2015-05-05,119000,119780,118000,118680,12990,6392
2015-05-06,119650,123670,119500,123400,32668,8600
2015-05-07,123300,125910,121500,122030,51604,7606
2015-05-08,122700,122960,120020,121360,22070,7344
2015-05-11,120890,122690,120710,122400,13824,7580
2015-05-12,121100,121930,119690,119970,17242,7502
2015-05-13,120800,121100,120000,120700,10418,7156
2015-05-14,120700,122480,117800,119500,31286,7222
2015-05-15,119190,119680,118610,119100,11000,7396
2015-05-18,118690,119940,118030,119250,11708,7298
2015-05-19,119520,119650,118070,118140,7572,6732
2015-05-20,117690,117960,114160,115850,27600,6122
2015-05-21,116350,120400,115220,119190,38176,6916
2015-05-22,119500,119730,116900,117980,23976,6632
2015-05-25,117170,119800,116800,117590,25734,6844
2015-05-26,117600,119570,117600,118270,18802,6648
2015-05-27,116760,117570,116200,116560,17864,7100
2015-05-28,116010,117510,115720,116960,15242,6654
2015-05-29,116900,116900,115680,116160,8976,6090
2015-06-01,116090,116350,115630,116120,4366,5706
2015-06-02,116120,117000,115780,116520,3880,5624
2015-06-03,116740,116800,115020,115680,3306,5472
2015-06-04,115330,115900,114500,114800,3252,5214
2015-06-05,114640,114980,114260,114260,1284,5218
2015-06-08,113990,114940,113910,114700,2082,5128
2015-06-09,114710,115600,114710,115080,2204,5112
2015-06-10,115340,115550,114850,115440,1234,5090
2015-06-11,115490,115670,115300,115420,1014,4910
