"Index","Open","High","Low","Close","Volume","Open Interest"
2010-01-04,21405,21725,21250,21435,379208,NA
2010-01-05,21470,21700,21255,21650,470848,NA
2010-01-06,21580,21935,21510,21740,415594,NA
2010-01-07,22150,22600,21350,21725,520498,NA
2010-01-08,21520,21705,20900,21210,614318,NA
2010-01-11,21510,21780,21350,21735,373446,NA
2010-01-12,21600,21600,21125,21490,448548,NA
2010-01-13,20515,20830,20325,20450,360390,NA
2010-01-14,20935,20965,20520,20610,360666,NA
2010-01-15,20550,20845,20200,20470,412092,NA
2010-01-18,20290,20575,20235,20550,282532,NA
2010-01-19,20840,21175,20750,21145,481056,NA
2010-01-20,21300,21420,20920,20950,549688,NA
2010-01-21,20770,20980,20530,20925,547954,NA
2010-01-22,20400,20530,19700,19930,627324,NA
2010-01-25,19900,20165,19720,20025,569736,NA
2010-01-26,20040,20130,19330,19390,810362,NA
2010-01-27,19550,19645,19335,19450,694706,NA
2010-01-28,18710,18895,18515,18515,421842,NA
2010-01-29,18230,18265,17530,17590,827258,NA
2010-02-01,17570,17830,17120,17430,1014014,NA
2010-02-02,17800,17830,17160,17305,811038,NA
2010-02-03,17510,18175,17395,18160,1037960,NA
2010-02-04,17550,17945,17340,17680,1127880,NA
2010-02-05,17080,17250,16910,17145,818788,NA
2010-02-08,17105,17500,17105,17180,733668,NA
2010-02-09,17100,17395,16935,17310,855268,NA
2010-02-10,17590,17795,17460,17685,749502,NA
2010-02-11,17750,18145,17700,18075,652988,NA
2010-02-12,18350,18415,18150,18345,346594,NA
2010-02-15,NA,NA,NA,NA,NA,NA
2010-02-16,NA,NA,NA,NA,NA,NA
2010-02-17,NA,NA,NA,NA,NA,NA
2010-02-18,NA,NA,NA,NA,NA,NA
2010-02-19,NA,NA,NA,NA,NA,NA
2010-02-22,19480,19480,18800,18840,318244,NA
2010-02-23,18690,18850,18620,18775,278404,NA
2010-02-24,18450,18620,18445,18540,253076,NA
2010-02-25,18595,18925,18425,18435,555342,NA
2010-02-26,18405,18560,18350,18430,502646,NA
2010-03-01,19000,19180,18650,18775,540008,NA
2010-03-02,18735,18745,18050,18060,490752,NA
2010-03-03,18380,18380,18120,18255,547928,NA
2010-03-04,18415,18590,18260,18350,610622,NA
2010-03-05,18320,18650,18170,18590,585200,NA
2010-03-08,18870,19260,18780,19235,608786,NA
2010-03-09,19120,19175,18900,19100,607574,NA
2010-03-10,19100,19450,19075,19355,613210,NA
2010-03-11,19225,19300,18785,18870,670832,NA
2010-03-12,19000,19080,18790,19055,533276,NA
2010-03-15,18980,19015,18405,18495,617032,NA
2010-03-16,18300,18715,18120,18655,727168,NA
2010-03-17,18735,19050,18670,18995,504916,NA
2010-03-18,18975,19050,18700,18715,648724,NA
2010-03-19,18760,19035,18730,18965,463332,NA
2010-03-22,18555,18695,18480,18560,517548,NA
2010-03-23,18660,18810,18505,18515,468450,NA
2010-03-24,18425,18635,18280,18375,524348,NA
2010-03-25,18375,18440,18105,18400,594212,NA
2010-03-26,18380,18650,18300,18610,420116,NA
2010-03-29,18870,19145,18870,19110,509938,NA
2010-03-30,19200,19200,18920,19090,550350,NA
2010-03-31,19200,19200,18940,18975,408270,NA
2010-04-01,19000,19560,18975,19430,791790,NA
2010-04-02,19490,19680,19305,19495,595194,NA
2010-04-05,NA,NA,NA,NA,NA,NA
2010-04-06,19540,19790,19505,19690,535474,NA
2010-04-07,19745,19840,19495,19700,626774,NA
2010-04-08,19500,19545,19205,19220,517940,NA
2010-04-09,19320,19445,19300,19400,393590,NA
2010-04-12,19550,19735,19450,19530,411782,NA
2010-04-13,19400,19490,19255,19350,443334,NA
2010-04-14,19500,19580,19410,19455,388272,NA
2010-04-15,19600,19615,19450,19465,388564,NA
2010-04-16,19590,19685,19455,19615,515830,NA
2010-04-19,19200,19200,18675,18685,447000,NA
2010-04-20,18900,18980,18800,18965,357864,NA
2010-04-21,19000,19060,18855,19030,330728,NA
2010-04-22,18935,19025,18820,18930,318610,NA
2010-04-23,18880,19075,18865,18990,299396,NA
2010-04-26,19200,19275,19160,19185,233998,NA
2010-04-27,19115,19125,18800,18910,265280,NA
2010-04-28,18325,18520,18080,18330,283746,NA
2010-04-29,18650,18745,18570,18595,209850,NA
2010-04-30,18500,18705,18255,18555,422780,NA
2010-05-03,NA,NA,NA,NA,NA,NA
2010-05-04,18400,18400,18175,18240,329940,NA
2010-05-05,17520,17760,17520,17740,389616,NA
2010-05-06,17785,17930,17415,17440,490932,NA
2010-05-07,17225,17355,16835,16835,542598,NA
2010-05-10,17110,17180,16780,17160,815372,NA
2010-05-11,17100,17235,16540,16705,897280,NA
2010-05-12,16635,16990,16520,16795,1004798,NA
2010-05-13,16880,17125,16800,17105,712676,NA
2010-05-14,17000,17095,16805,16945,747042,NA
