,Label
2017-01-03,1935.5
2017-01-04,1953.0
2017-01-05,1962.0
2017-01-06,1952.25
2017-01-09,1940.25
2017-01-10,1925.5
2017-01-11,1948.0
2017-01-12,1939.75
2017-01-13,1947.0
2017-01-16,1911.5
2017-01-17,1905.25
2017-01-18,1884.0
2017-01-19,1895.0
2017-01-20,1875.5
2017-01-23,1888.5
2017-01-24,1932.25
2017-01-25,1922.75
2017-01-26,1938.25
2017-01-27,1954.75
2017-01-30,1956.0
2017-01-31,1914.75
2017-02-01,1903.0
2017-02-02,1921.75
2017-02-03,1915.5
2017-02-06,1906.5
2017-02-07,1895.75
2017-02-08,1873.25
2017-02-09,1864.75
2017-02-10,1859.5
2017-02-13,1869.5
2017-02-14,1885.5
2017-02-15,1902.25
2017-02-16,1920.75
2017-02-17,1921.75
2017-02-20,1921.0
2017-02-21,1941.75
2017-02-22,1935.5
2017-02-23,1940.5
2017-02-24,1942.5
2017-02-27,1958.25
2017-02-28,1948.75
2017-03-01,1922.75
2017-03-02,1925.75
2017-03-03,1924.0
2017-03-06,1929.25
2017-03-07,1900.05
2017-03-08,1898.25
2017-03-09,1902.75
2017-03-10,1898.75
2017-03-13,1901.25
2017-03-14,1879.5
2017-03-15,1878.5
2017-03-16,1872.5
2017-03-17,1861.25
2017-03-20,1856.0
2017-03-21,1874.5
2017-03-22,1876.5
2017-03-23,1857.75
2017-03-24,1861.25
2017-03-27,1857.25
2017-03-28,1855.0
2017-03-29,1876.75
2017-03-30,1891.0
2017-03-31,1910.75
2017-04-03,1913.5
2017-04-04,1921.0
2017-04-05,1920.75
2017-04-06,1919.75
2017-04-07,1932.75
2017-04-10,1918.25
2017-04-11,1883.0
2017-04-12,1883.25
2017-04-13,1872.0
2017-04-18,1906.25
2017-04-19,1908.25
2017-04-20,1896.25
2017-04-21,1904.75
2017-04-24,1894.0
2017-04-25,1892.25
2017-04-26,1892.25
2017-04-27,1890.5
2017-04-28,1909.25
2017-05-02,1920.75
2017-05-03,1916.75
2017-05-04,1884.5
2017-05-05,1895.75
2017-05-08,1884.0
2017-05-09,1902.75
2017-05-10,1894.25
2017-05-11,1889.0
2017-05-12,1945.75
2017-05-15,2017.25
2017-05-16,2019.0
2017-05-17,2032.0
2017-05-18,2037.75
2017-05-19,2027.25
2017-05-22,2054.25
2017-05-23,2100.0
2017-05-24,2083.25
2017-05-25,2071.5
2017-05-26,2089.25
2017-05-30,2086.5
2017-05-31,2101.25
2017-06-01,2106.5
2017-06-02,2066.25
2017-06-05,2084.75
2017-06-06,2069.0
2017-06-07,2098.75
2017-06-08,2116.0
2017-06-09,2097.5
2017-06-12,2072.25
2017-06-13,2080.25
2017-06-14,2082.5
2017-06-15,2071.5
2017-06-16,2091.25
2017-06-19,2104.0
2017-06-20,2078.25
2017-06-21,2068.25
2017-06-22,2056.75
2017-06-23,2060.25
2017-06-26,2095.75
2017-06-27,2149.75
2017-06-28,2146.25
2017-06-29,2136.5
2017-06-30,2124.75
