,Label
2016-01-04,4378.25
2016-01-05,4342.0
2016-01-06,4387.75
2016-01-07,4419.5
2016-01-08,4327.5
2016-01-11,4378.0
2016-01-12,4414.75
2016-01-13,4355.5
2016-01-14,4432.5
2016-01-15,4449.25
2016-01-18,4419.0
2016-01-19,4545.75
2016-01-20,4596.25
2016-01-21,4539.75
2016-01-22,4570.0
2016-01-25,4571.0
2016-01-26,4554.5
2016-01-27,4638.5
2016-01-28,4691.75
2016-01-29,4633.25
2016-02-01,4613.25
2016-02-02,4514.0
2016-02-03,4450.0
2016-02-04,4454.25
2016-02-05,4506.75
2016-02-08,4572.5
2016-02-09,4561.0
2016-02-10,4588.5
2016-02-11,4575.75
2016-02-12,4624.25
2016-02-15,4697.5
2016-02-16,4647.75
2016-02-17,4647.0
2016-02-18,4609.25
2016-02-19,4714.75
2016-02-22,4705.5
2016-02-23,4728.0
2016-02-24,4797.5
2016-02-25,4864.5
2016-02-26,5036.75
2016-02-29,5007.75
2016-03-01,4878.25
2016-03-02,4945.0
2016-03-03,4901.5
2016-03-04,4986.5
2016-03-07,4971.5
2016-03-08,4965.5
2016-03-09,4950.0
2016-03-10,5096.0
2016-03-11,5074.5
2016-03-14,5089.0
2016-03-15,5087.0
2016-03-16,4971.5
2016-03-17,4977.0
2016-03-18,4918.5
2016-03-21,4903.0
2016-03-22,4880.5
2016-03-23,4859.75
2016-03-24,4779.25
2016-03-29,4792.75
2016-03-30,4804.5
2016-03-31,4665.5
2016-04-01,4663.75
2016-04-04,4678.5
2016-04-05,4788.5
2016-04-06,4848.5
2016-04-07,4848.0
2016-04-08,4828.25
2016-04-11,4850.0
2016-04-12,4954.75
2016-04-13,4994.5
2016-04-14,5014.25
2016-04-15,5043.25
2016-04-18,5006.25
2016-04-19,4973.5
2016-04-20,4913.5
2016-04-21,4956.25
2016-04-22,5064.0
2016-04-25,4928.25
2016-04-26,4879.5
2016-04-27,4802.25
2016-04-28,4825.5
2016-04-29,4698.5
2016-05-03,4691.25
2016-05-04,4717.75
2016-05-05,4627.25
2016-05-06,4636.0
2016-05-09,4649.5
2016-05-10,4659.0
2016-05-11,4623.25
2016-05-12,4593.75
2016-05-13,4588.5
2016-05-16,4577.5
2016-05-17,4622.0
2016-05-18,4671.75
2016-05-19,4682.0
2016-05-20,4720.5
2016-05-23,4696.75
2016-05-24,4632.0
2016-05-25,4617.0
2016-05-26,4696.5
2016-05-27,4688.5
2016-05-31,4563.0
2016-06-01,4567.25
2016-06-02,4500.5
2016-06-03,4496.0
2016-06-06,4540.5
2016-06-07,4495.75
2016-06-08,4627.25
2016-06-09,4528.5
2016-06-10,4541.5
2016-06-13,4633.25
2016-06-14,4658.75
2016-06-15,4692.5
2016-06-16,4776.5
2016-06-17,4690.0
2016-06-20,4698.5
2016-06-21,4809.25
2016-06-22,4830.25
2016-06-23,4840.0
2016-06-24,4899.5
2016-06-27,4879.75
2016-06-28,4797.75
2016-06-29,4731.5
2016-06-30,4673.0
2016-07-01,4697.75
