,Label
2019-07-01,0
2019-07-02,0
2019-07-03,1
2019-07-04,1
2019-07-05,1
2019-07-08,1
2019-07-09,1
2019-07-10,1
2019-07-11,1
2019-07-12,1
2019-07-15,1
2019-07-16,0
2019-07-17,1
2019-07-18,1
2019-07-19,0
2019-07-22,1
2019-07-23,0
2019-07-24,0
2019-07-25,0
2019-07-26,0
2019-07-29,0
2019-07-30,0
2019-07-31,0
2019-08-01,0
2019-08-02,1
2019-08-05,1
2019-08-06,1
2019-08-07,1
2019-08-08,0
2019-08-09,0
2019-08-12,1
2019-08-13,0
2019-08-14,0
2019-08-15,0
2019-08-16,0
2019-08-19,0
2019-08-20,0
2019-08-21,1
2019-08-22,0
2019-08-23,0
2019-08-27,0
2019-08-28,1
2019-08-29,1
2019-08-30,1
2019-09-02,1
2019-09-03,1
2019-09-04,1
2019-09-05,0
2019-09-06,1
2019-09-09,1
2019-09-10,0
2019-09-11,1
2019-09-12,0
2019-09-13,0
2019-09-16,0
2019-09-17,0
2019-09-18,0
2019-09-19,0
2019-09-20,0
2019-09-23,0
2019-09-24,0
2019-09-25,0
2019-09-26,0
2019-09-27,0
2019-09-30,0
2019-10-01,0
2019-10-02,1
2019-10-03,1
2019-10-04,1
2019-10-07,1
2019-10-08,1
2019-10-09,1
2019-10-10,0
2019-10-11,1
2019-10-14,1
2019-10-15,1
2019-10-16,1
2019-10-17,1
2019-10-18,1
2019-10-21,1
2019-10-22,1
2019-10-23,1
2019-10-24,0
2019-10-25,0
2019-10-28,0
2019-10-29,1
2019-10-30,1
2019-10-31,1
2019-11-01,1
2019-11-04,1
2019-11-05,0
2019-11-06,0
2019-11-07,0
2019-11-08,0
2019-11-11,0
2019-11-12,1
2019-11-13,1
2019-11-14,1
2019-11-15,1
2019-11-18,1
2019-11-19,1
2019-11-20,1
2019-11-21,1
2019-11-22,1
2019-11-25,1
2019-11-26,0
2019-11-27,0
2019-11-28,0
2019-11-29,1
2019-12-02,1
2019-12-03,1
2019-12-04,1
2019-12-05,1
2019-12-06,1
2019-12-09,1
2019-12-10,1
2019-12-11,1
2019-12-12,1
2019-12-13,1
2019-12-16,0
2019-12-17,1
2019-12-18,1
2019-12-19,1
2019-12-20,1
2019-12-23,1
2019-12-24,0
2019-12-27,0
2019-12-30,0
2019-12-31,1
