,Label
2017-07-03,2307.75
2017-07-04,2313.25
2017-07-05,2328.5
2017-07-06,2345.25
2017-07-07,2342.25
2017-07-10,2340.25
2017-07-11,2362.0
2017-07-12,2328.75
2017-07-13,2345.0
2017-07-14,2305.25
2017-07-17,2316.0
2017-07-18,2361.5
2017-07-19,2497.5
2017-07-20,2389.75
2017-07-21,2335.25
2017-07-24,2320.25
2017-07-25,2389.75
2017-07-26,2350.0
2017-07-27,2330.75
2017-07-28,2300.25
2017-07-31,2352.75
2017-08-01,2344.25
2017-08-02,2367.75
2017-08-03,2368.25
2017-08-04,2367.0
2017-08-07,2306.25
2017-08-08,2311.75
2017-08-09,2311.0
2017-08-10,2233.75
2017-08-11,2245.0
2017-08-14,2278.75
2017-08-15,2259.0
2017-08-16,2278.25
2017-08-17,2332.25
2017-08-18,2364.25
2017-08-21,2397.75
2017-08-22,2445.0
2017-08-23,2517.5
2017-08-24,2486.5
2017-08-25,2471.5
2017-08-29,2477.75
2017-08-30,2452.5
2017-08-31,2466.25
2017-09-01,2492.0
2017-09-04,2518.5
2017-09-05,2585.0
2017-09-06,2551.75
2017-09-07,2582.75
2017-09-08,2516.5
2017-09-11,2497.0
2017-09-12,2542.25
2017-09-13,2552.75
2017-09-14,2546.5
2017-09-15,2518.25
2017-09-18,2527.0
2017-09-19,2475.0
2017-09-20,2506.75
2017-09-21,2462.0
2017-09-22,2459.0
2017-09-25,2490.75
2017-09-26,2460.0
2017-09-27,2481.5
2017-09-28,2475.5
2017-09-29,2411.25
2017-10-02,2398.25
2017-10-03,2402.5
2017-10-04,2473.5
2017-10-05,2436.75
2017-10-06,2457.75
2017-10-09,2503.0
2017-10-10,2488.5
2017-10-11,2502.0
2017-10-12,2510.5
2017-10-13,2514.25
2017-10-16,2514.0
2017-10-17,2457.0
2017-10-18,2422.0
2017-10-19,2392.5
2017-10-20,2424.0
2017-10-23,2452.25
2017-10-24,2467.75
2017-10-25,2452.25
2017-10-26,2445.5
2017-10-27,2471.75
2017-10-30,2455.5
2017-10-31,2414.5
2017-11-01,2425.75
2017-11-02,2470.5
2017-11-03,2547.0
2017-11-06,2508.0
2017-11-07,2500.0
2017-11-08,2508.5
2017-11-09,2431.25
2017-11-10,2447.25
2017-11-13,2494.25
2017-11-14,2520.25
2017-11-15,2531.75
2017-11-16,2491.5
2017-11-17,2546.0
2017-11-20,2584.5
2017-11-21,2558.75
2017-11-22,2518.75
2017-11-23,2495.75
2017-11-24,2475.75
2017-11-27,2528.0
2017-11-28,2516.5
2017-11-29,2484.75
2017-11-30,2578.5
2017-12-01,2586.5
2017-12-04,2593.5
2017-12-05,2546.75
2017-12-06,2611.75
2017-12-07,2554.5
2017-12-08,2560.5
2017-12-11,2553.25
2017-12-12,2543.75
2017-12-13,2583.0
2017-12-14,2542.0
2017-12-15,2541.0
2017-12-18,2606.25
2017-12-19,2582.25
2017-12-20,2619.0
2017-12-21,2605.25
2017-12-22,2638.5
2017-12-27,2599.25
2017-12-28,2594.0
2017-12-29,2601.5
