,Label
2019-07-01,14325.0
2019-07-02,14320.0
2019-07-03,14452.0
2019-07-04,14578.0
2019-07-05,14448.0
2019-07-08,14878.0
2019-07-09,14944.0
2019-07-10,14802.0
2019-07-11,15844.0
2019-07-12,15513.0
2019-07-15,15680.0
2019-07-16,15914.0
2019-07-17,15983.0
2019-07-18,16290.0
2019-07-19,16222.0
2019-07-22,15943.0
2019-07-23,15878.5
2019-07-24,15857.0
2019-07-25,15710.0
2019-07-26,15723.0
2019-07-29,15779.0
2019-07-30,16182.0
2019-07-31,16549.0
2019-08-01,18004.0
2019-08-02,18118.0
2019-08-05,18023.0
2019-08-06,18015.0
2019-08-07,17515.0
2019-08-08,17743.0
2019-08-09,18102.0
2019-08-12,18128.0
2019-08-13,17952.0
2019-08-14,18153.0
2019-08-15,17809.0
2019-08-16,17461.0
2019-08-19,17118.0
2019-08-20,17305.0
2019-08-21,17430.0
2019-08-22,17660.0
2019-08-23,17595.0
2019-08-27,17295.0
2019-08-28,17475.0
2019-08-29,17340.0
2019-08-30,17338.5
2019-09-02,17219.0
2019-09-03,17434.0
2019-09-04,17640.0
2019-09-05,17775.0
2019-09-06,17906.0
2019-09-09,17810.0
2019-09-10,17674.0
2019-09-11,17491.0
2019-09-12,17811.0
2019-09-13,17736.5
2019-09-16,16685.0
2019-09-17,17103.0
2019-09-18,16535.0
2019-09-19,16370.0
2019-09-20,16303.0
2019-09-23,16080.0
2019-09-24,16491.0
2019-09-25,16560.5
2019-09-26,16847.0
2019-09-27,16780.0
2019-09-30,16666.0
2019-10-01,16865.0
2019-10-02,16820.0
2019-10-03,16680.0
2019-10-04,16799.0
2019-10-07,16389.0
2019-10-08,16300.0
2019-10-09,16284.0
2019-10-10,16207.5
2019-10-11,16189.0
2019-10-14,15566.0
2019-10-15,15666.0
2019-10-16,15384.0
2019-10-17,15154.0
2019-10-18,14967.0
2019-10-21,14818.0
2019-10-22,14635.0
2019-10-23,14317.0
2019-10-24,14442.5
2019-10-25,14595.0
2019-10-28,14427.0
2019-10-29,14547.0
2019-10-30,14334.5
2019-10-31,13968.5
2019-11-01,13618.0
2019-11-04,13652.0
2019-11-05,13315.0
2019-11-06,13075.0
2019-11-07,13249.0
2019-11-08,13423.0
2019-11-11,13278.0
2019-11-12,13338.0
2019-11-13,13785.5
2019-11-14,14041.5
2019-11-15,14113.0
2019-11-18,14157.5
2019-11-19,13899.0
2019-11-20,13804.5
2019-11-21,14114.0
2019-11-22,14469.0
2019-11-25,14281.0
2019-11-26,14270.0
2019-11-27,14136.5
2019-11-28,14237.0
2019-11-29,13950.0
2019-12-02,14193.5
2019-12-03,13683.0
2019-12-04,13747.5
2019-12-05,13859.0
2019-12-06,13967.5
2019-12-09,14008.0
2019-12-10,14116.0
2019-12-11,14007.5
2019-12-12,13781.0
2019-12-13,14240.0
2019-12-16,13700.0
2019-12-17,13836.0
2019-12-18,13940.5
2019-12-19,13584.0
2019-12-20,13559.5
2019-12-23,13274.5
2019-12-24,12872.0
2019-12-27,12533.5
2019-12-30,12465.0
2019-12-31,12466.5
