,Label
2019-07-01,16483.0
2019-07-02,16515.0
2019-07-03,16270.0
2019-07-04,16108.0
2019-07-05,15910.0
2019-07-08,16228.0
2019-07-09,16535.0
2019-07-10,16452.0
2019-07-11,16448.0
2019-07-12,16307.0
2019-07-15,16382.0
2019-07-16,16416.5
2019-07-17,16425.0
2019-07-18,16491.0
2019-07-19,16493.0
2019-07-22,16645.0
2019-07-23,16841.0
2019-07-24,17109.0
2019-07-25,16917.0
2019-07-26,16732.0
2019-07-29,16806.0
2019-07-30,16507.0
2019-07-31,16740.0
2019-08-01,16639.0
2019-08-02,16689.5
2019-08-05,16825.0
2019-08-06,16760.0
2019-08-07,16490.0
2019-08-08,16485.0
2019-08-09,16398.0
2019-08-12,16429.5
2019-08-13,16540.0
2019-08-14,16556.0
2019-08-15,16686.0
2019-08-16,16561.0
2019-08-19,16329.0
2019-08-20,15991.0
2019-08-21,16190.0
2019-08-22,16073.5
2019-08-23,16034.0
2019-08-27,15965.0
2019-08-28,16005.0
2019-08-29,16376.0
2019-08-30,16328.0
2019-09-02,16458.0
2019-09-03,16320.0
2019-09-04,16396.0
2019-09-05,16420.0
2019-09-06,16504.0
2019-09-09,16516.0
2019-09-10,16771.0
2019-09-11,16772.0
2019-09-12,16835.0
2019-09-13,17110.0
2019-09-16,17170.0
2019-09-17,17440.0
2019-09-18,17318.0
2019-09-19,17273.0
2019-09-20,17242.0
2019-09-23,17218.0
2019-09-24,17365.0
2019-09-25,17305.0
2019-09-26,17385.0
2019-09-27,17345.0
2019-09-30,17298.0
2019-10-01,17127.0
2019-10-02,17130.0
2019-10-03,17023.0
2019-10-04,17178.0
2019-10-07,17189.0
2019-10-08,16801.0
2019-10-09,16854.0
2019-10-10,17006.0
2019-10-11,17121.0
2019-10-14,17240.0
2019-10-15,17209.0
2019-10-16,17347.0
2019-10-17,17400.0
2019-10-18,17408.0
2019-10-21,17622.0
2019-10-22,17770.0
2019-10-23,17806.0
2019-10-24,17525.0
2019-10-25,17370.0
2019-10-28,16983.0
2019-10-29,16810.0
2019-10-30,16236.0
2019-10-31,16290.0
2019-11-01,16195.0
2019-11-04,16035.0
2019-11-05,16425.0
2019-11-06,16216.0
2019-11-07,16337.0
2019-11-08,16577.0
2019-11-11,16698.0
2019-11-12,16174.0
2019-11-13,16320.0
2019-11-14,16470.0
2019-11-15,16495.0
2019-11-18,16570.0
2019-11-19,16510.0
2019-11-20,16577.0
2019-11-21,16473.0
2019-11-22,16518.0
2019-11-25,16570.0
2019-11-26,16627.0
2019-11-27,16537.0
2019-11-28,16707.0
2019-11-29,16640.0
2019-12-02,16323.0
2019-12-03,16267.0
2019-12-04,16625.0
2019-12-05,16741.5
2019-12-06,16914.0
2019-12-09,17015.0
2019-12-10,16855.0
2019-12-11,16694.0
2019-12-12,16860.0
2019-12-13,16682.5
2019-12-16,16077.5
2019-12-17,15933.25
2019-12-18,15277.0
2019-12-19,14223.25
2019-12-20,13578.0
2019-12-23,13910.0
2019-12-24,13980.0
2019-12-27,13335.0
2019-12-30,13474.0
2019-12-31,14374.0
