,Label
2015-07-01,1980.5
2015-07-02,2010.25
2015-07-03,2004.25
2015-07-06,2045.5
2015-07-07,2044.25
2015-07-08,2068.5
2015-07-09,2063.0
2015-07-10,2056.25
2015-07-13,2046.25
2015-07-14,2030.5
2015-07-15,1995.5
2015-07-16,1977.25
2015-07-17,1945.75
2015-07-20,1926.0
2015-07-21,1978.5
2015-07-22,1973.0
2015-07-23,1957.25
2015-07-24,1912.5
2015-07-27,1900.0
2015-07-28,1911.75
2015-07-29,1883.75
2015-07-30,1857.25
2015-07-31,1851.75
2015-08-03,1872.0
2015-08-04,1795.25
2015-08-05,1822.25
2015-08-06,1831.5
2015-08-07,1827.75
2015-08-10,1809.0
2015-08-11,1758.5
2015-08-12,1780.25
2015-08-13,1810.5
2015-08-14,1762.0
2015-08-17,1701.5
2015-08-18,1733.75
2015-08-19,1684.75
2015-08-20,1752.0
2015-08-21,1807.25
2015-08-24,1804.5
2015-08-25,1810.75
2015-08-26,1803.5
2015-08-27,1779.25
2015-08-28,1765.75
2015-09-01,1807.75
2015-09-02,1810.25
2015-09-03,1805.75
2015-09-04,1804.75
2015-09-07,1737.75
2015-09-08,1718.75
2015-09-09,1728.5
2015-09-10,1706.75
2015-09-11,1673.0
2015-09-14,1641.0
2015-09-15,1612.25
2015-09-16,1634.0
2015-09-17,1660.75
2015-09-18,1615.75
2015-09-21,1613.25
2015-09-22,1640.0
2015-09-23,1671.0
2015-09-24,1669.25
2015-09-25,1665.5
2015-09-28,1643.0
2015-09-29,1634.25
2015-09-30,1670.25
2015-10-01,1644.25
2015-10-02,1816.25
2015-10-05,1820.75
2015-10-06,1797.0
2015-10-07,1792.25
2015-10-08,1802.25
2015-10-09,1777.25
2015-10-12,1768.5
2015-10-13,1737.75
2015-10-14,1701.0
2015-10-15,1726.25
2015-10-16,1732.5
2015-10-19,1719.75
2015-10-20,1720.5
2015-10-21,1720.75
2015-10-22,1687.25
2015-10-23,1689.0
2015-10-26,1659.0
2015-10-27,1668.5
2015-10-28,1656.25
2015-10-29,1638.75
2015-10-30,1636.0
2015-11-02,1621.0
2015-11-03,1584.25
2015-11-04,1607.5
2015-11-05,1597.5
2015-11-06,1602.5
2015-11-09,1565.75
2015-11-10,1526.5
2015-11-11,1495.25
2015-11-12,1515.5
2015-11-13,1550.0
2015-11-16,1531.0
2015-11-17,1567.0
2015-11-18,1562.5
2015-11-19,1587.25
2015-11-20,1532.25
2015-11-23,1545.25
2015-11-24,1557.0
2015-11-25,1530.25
2015-11-26,1503.0
2015-11-27,1531.5
2015-11-30,1511.0
2015-12-01,1512.5
2015-12-02,1515.0
2015-12-03,1514.0
2015-12-04,1534.0
2015-12-07,1533.5
2015-12-08,1483.75
2015-12-09,1500.0
2015-12-10,1475.75
2015-12-11,1497.5
2015-12-14,1514.5
2015-12-15,1499.25
2015-12-16,1540.25
2015-12-17,1534.25
2015-12-18,1586.25
2015-12-21,1617.5
2015-12-22,1592.75
2015-12-23,1549.75
2015-12-24,1555.25
2015-12-29,1529.75
2015-12-30,1492.0
2015-12-31,1496.25
