Index,LEAH
1997-10-01,694275
1997-10-02,684025
1997-10-03,684425
1997-10-06,681875
1997-10-07,684875
1997-10-08,688425
1997-10-09,689100
1997-10-10,690725
1997-10-13,693125
1997-10-14,695300
1997-10-15,695700
1997-10-16,697325
1997-10-17,694200
1997-10-20,693425
1997-10-21,692550
1997-10-22,692525
1997-10-23,693600
1997-10-24,696075
1997-10-27,697325
1997-10-28,695775
1997-10-29,698925
1997-10-30,697275
1997-10-31,699100
1997-11-03,697050
1997-11-04,695900
1997-11-05,678100
1997-11-06,654800
1997-11-07,653825
1997-11-10,652500
1997-11-11,652325
1997-11-12,649500
1997-11-13,648625
1997-11-14,644950
1997-11-17,641700
1997-11-18,640650
1997-11-19,639275
1997-11-20,636900
1997-11-21,631375
1997-11-24,630875
1997-11-25,620325
1997-11-26,618100
1997-11-27,617475
1997-11-28,594850
1997-12-01,596600
1997-12-02,596775
1997-12-03,598275
1997-12-04,596100
1997-12-05,588075
1997-12-08,583275
1997-12-09,586750
1997-12-10,586000
1997-12-11,586075
1997-12-12,586275
1997-12-15,586200
1997-12-16,583550
1997-12-17,584525
1997-12-18,582700
1997-12-19,583150
1997-12-22,582925
1997-12-23,580750
1997-12-24,581075
1997-12-29,583825
1997-12-30,585750
1997-12-31,588175
1998-01-05,587950
1998-01-06,590650
1998-01-07,591350
1998-01-08,590000
1998-01-09,578325
1998-01-12,576825
1998-01-13,577550
1998-01-14,576250
1998-01-15,572750
1998-01-16,572075
1998-01-19,571550
1998-01-20,567300
1998-01-21,566725
1998-01-22,566675
1998-01-23,564925
1998-01-26,564225
1998-01-27,562975
1998-01-28,561825
1998-01-29,559950
1998-01-30,559850
1998-02-02,557625
1998-02-03,555450
1998-02-04,554850
1998-02-05,554300
1998-02-06,549575
1998-02-09,547325
1998-02-10,543850
1998-02-11,541575
1998-02-12,540925
1998-02-13,540000
1998-02-16,540025
1998-02-17,542775
1998-02-18,538875
1998-02-19,539750
1998-02-20,540550
1998-02-23,534775
1998-02-24,534050
1998-02-25,536175
1998-02-26,536225
1998-02-27,534250
1998-03-02,536250
1998-03-03,532600
1998-03-04,531975
1998-03-05,532375
1998-03-06,527700
1998-03-09,529125
1998-03-10,530075
1998-03-11,526675
1998-03-12,524925
1998-03-13,522400
1998-03-16,525575
1998-03-17,524525
1998-03-18,526325
1998-03-19,527475
1998-03-20,518375
1998-03-23,515175
1998-03-24,515600
1998-03-25,516450
1998-03-26,516750
1998-03-27,515800
1998-03-30,511350
1998-03-31,511300
1998-04-01,503975
1998-04-02,504450
1998-04-03,503650
1998-04-06,498025
1998-04-07,495400
1998-04-08,494100
1998-04-09,493450
1998-04-14,491175
1998-04-15,490575
1998-04-16,491750
1998-04-17,487850
1998-04-20,481075
1998-04-21,480775
1998-04-22,481150
1998-04-23,482650
1998-04-24,482075
1998-04-27,478775
1998-04-28,484150
1998-04-29,483800
1998-04-30,484125
1998-05-01,482300
1998-05-05,482350
1998-05-06,481575
1998-05-07,479175
1998-05-08,476975
1998-05-11,481325
1998-05-12,488350
1998-05-13,495725
1998-05-14,493475
1998-05-15,490800
1998-05-18,489275
1998-05-19,490450
1998-05-20,491575
1998-05-21,494300
1998-05-22,497750
1998-05-26,498125
1998-05-27,503125
1998-05-28,500425
1998-05-29,505425
1998-06-01,503275
1998-06-02,503375
1998-06-03,504525
1998-06-04,504650
1998-06-05,504975
1998-06-08,506525
1998-06-09,507950
1998-06-10,509150
1998-06-11,508525
1998-06-12,504475
1998-06-15,505200
1998-06-16,502350
1998-06-17,502825
1998-06-18,502850
1998-06-19,508475
1998-06-22,506250
1998-06-23,502250
1998-06-24,500125
1998-06-25,498275
1998-06-26,494475
1998-06-29,490800
1998-06-30,488825
1998-07-01,483325
1998-07-02,479075
1998-07-03,474275
1998-07-06,469825
1998-07-07,469150
1998-07-08,465300
1998-07-09,461625
1998-07-10,460525
1998-07-13,459950
1998-07-14,458250
1998-07-15,453450
1998-07-16,454600
1998-07-17,456025
1998-07-20,456125
1998-07-21,453875
1998-07-22,452650
1998-07-23,452500
1998-07-24,452100
1998-07-27,447225
1998-07-28,447300
1998-07-29,446250
1998-07-30,446250
1998-07-31,445800
1998-08-03,445875
1998-08-04,442875
1998-08-05,442775
1998-08-06,440575
1998-08-07,439500
1998-08-10,439375
1998-08-11,439375
1998-08-12,439350
1998-08-13,439050
1998-08-14,439025
1998-08-17,435350
1998-08-18,434275
1998-08-19,434275
1998-08-20,433500
1998-08-21,434000
1998-08-24,434200
1998-08-25,435825
1998-08-26,434500
1998-08-27,433625
1998-08-28,434625
1998-09-01,433250
1998-09-02,432700
1998-09-03,431700
1998-09-04,430450
1998-09-07,430450
1998-09-08,434350
1998-09-09,439700
1998-09-10,449675
1998-09-11,454725
1998-09-14,458275
1998-09-15,461275
1998-09-16,472200
1998-09-17,476975
1998-09-18,479475
1998-09-21,486875
1998-09-22,483700
1998-09-23,482725
1998-09-24,481525
1998-09-25,480500
1998-09-28,481750
1998-09-29,475775
1998-09-30,482500
1998-10-01,480075
1998-10-02,479525
1998-10-05,482950
1998-10-06,478625
1998-10-07,485750
1998-10-08,486375
1998-10-09,486200
1998-10-12,481725
1998-10-13,486950
1998-10-14,494875
1998-10-15,497525
1998-10-16,497000
1998-10-19,497000
1998-10-20,499625
1998-10-21,501750
1998-10-22,502750
1998-10-23,504350
1998-10-27,507050
1998-10-28,507200
1998-10-29,510925
1998-10-30,513150
1998-11-02,514500
1998-11-03,513700
1998-11-04,514625
1998-11-05,515400
1998-11-06,514550
1998-11-09,514775
1998-11-10,514125
1998-11-11,514075
1998-11-12,513950
1998-11-13,516225
1998-11-16,517675
1998-11-17,522475
1998-11-18,523200
1998-11-19,522850
1998-11-20,524925
1998-11-23,537950
1998-11-24,540575
1998-11-25,542075
1998-11-26,544400
1998-11-27,548500
1998-11-30,553950
1998-12-01,557775
1998-12-02,557300
1998-12-03,557600
1998-12-04,558950
1998-12-07,569025
1998-12-08,570300
1998-12-09,573025
1998-12-10,576975
1998-12-11,581600
1998-12-14,583525
1998-12-15,592000
1998-12-16,593425
1998-12-17,595375
1998-12-18,599125
1998-12-21,603675
1998-12-22,611150
1998-12-23,619500
1998-12-24,623175
1998-12-29,627025
1998-12-30,627400
1998-12-31,628125
1999-01-04,628900
1999-01-05,628950
1999-01-06,628950
1999-01-07,630375
1999-01-08,635250
1999-01-11,638225
1999-01-12,641775
1999-01-13,646675
1999-01-14,654175
1999-01-15,658575
1999-01-18,665125
1999-01-19,689775
1999-01-20,719125
1999-01-21,722125
1999-01-22,771425
1999-01-25,784550
1999-01-26,786300
1999-01-27,786300
1999-01-28,787975
1999-01-29,789375
1999-02-01,788850
1999-02-02,790200
1999-02-03,790125
1999-02-04,791150
1999-02-05,794400
1999-02-08,795850
1999-02-09,798700
1999-02-10,799700
1999-02-11,798950
1999-02-12,798350
1999-02-15,798600
1999-02-16,796800
1999-02-17,798725
1999-02-18,800325
1999-02-19,799525
1999-02-22,801200
1999-02-23,798450
1999-02-24,799125
1999-02-25,798175
1999-02-26,798525
1999-03-01,799025
1999-03-02,793775
1999-03-03,793850
1999-03-04,795200
1999-03-05,794800
1999-03-08,795100
1999-03-09,795275
1999-03-10,795375
1999-03-11,796000
1999-03-12,796375
1999-03-15,795750
1999-03-16,796825
1999-03-17,796625
1999-03-18,798300
1999-03-19,798575
1999-03-22,795550
1999-03-23,793525
1999-03-24,791125
1999-03-25,793300
1999-03-26,787800
1999-03-29,789225
1999-03-30,795925
1999-03-31,795525
1999-04-01,795950
1999-04-06,797000
1999-04-07,796350
1999-04-08,796775
1999-04-09,783500
1999-04-12,782600
1999-04-13,768225
1999-04-14,769000
1999-04-15,769350
1999-04-16,769775
1999-04-19,764775
1999-04-20,765825
1999-04-21,768850
1999-04-22,768275
1999-04-23,771925
1999-04-26,766550
1999-04-27,767075
1999-04-28,764800
1999-04-29,765125
1999-04-30,760625
1999-05-04,760325
1999-05-05,757775
1999-05-06,757800
1999-05-07,762000
1999-05-10,760775
1999-05-11,761075
1999-05-12,759925
1999-05-13,759725
1999-05-14,759225
1999-05-17,759375
1999-05-18,759300
1999-05-19,757000
1999-05-20,756225
1999-05-21,755975
1999-05-24,752375
1999-05-25,749175
1999-05-26,747725
1999-05-27,746525
1999-05-28,745125
1999-06-01,744175
1999-06-02,744375
1999-06-03,745750
1999-06-04,745750
1999-06-07,745625
1999-06-08,743925
1999-06-09,743925
1999-06-10,741775
1999-06-11,741775
1999-06-14,742700
1999-06-15,742425
1999-06-16,742000
1999-06-17,743250
1999-06-18,742225
1999-06-21,743400
1999-06-22,743700
1999-06-23,739600
1999-06-24,739125
1999-06-25,738300
1999-06-28,739175
1999-06-29,740350
1999-06-30,740250
1999-07-01,734025
1999-07-02,731675
1999-07-05,725875
1999-07-06,725375
1999-07-07,725150
1999-07-08,723875
1999-07-09,724975
1999-07-12,725000
1999-07-13,724925
1999-07-14,724425
1999-07-15,722750
1999-07-16,722300
1999-07-19,718025
1999-07-20,717925
1999-07-21,717900
1999-07-22,716800
1999-07-23,718850
