Index,LEPB
10/1/1997,120075
10/2/1997,119850
10/3/1997,119550
10/6/1997,119425
10/7/1997,119425
10/8/1997,119400
10/9/1997,119375
10/10/1997,119325
10/13/1997,119275
10/14/1997,119650
10/15/1997,118900
10/16/1997,117125
10/17/1997,117050
10/20/1997,116625
10/21/1997,116475
10/22/1997,116350
10/23/1997,116350
10/24/1997,115750
10/27/1997,115000
10/28/1997,115675
10/29/1997,115425
10/30/1997,115325
10/31/1997,115275
11/3/1997,115075
11/4/1997,115025
11/5/1997,114950
11/6/1997,115725
11/7/1997,115725
11/10/1997,115275
11/11/1997,115250
11/12/1997,115150
11/13/1997,115050
11/14/1997,114650
11/17/1997,117100
11/18/1997,117200
11/19/1997,116575
11/20/1997,116075
11/21/1997,116300
11/24/1997,116200
11/25/1997,116200
11/26/1997,116300
11/27/1997,115725
11/28/1997,115600
12/1/1997,115375
12/2/1997,115025
12/3/1997,115075
12/4/1997,115075
12/5/1997,114950
12/8/1997,114775
12/9/1997,112850
12/10/1997,112450
12/11/1997,112450
12/12/1997,112650
12/15/1997,112475
12/16/1997,112225
12/17/1997,112125
12/18/1997,112100
12/19/1997,112100
12/22/1997,111975
12/23/1997,111950
12/24/1997,111575
12/29/1997,110850
12/30/1997,110775
12/31/1997,109775
1/5/1998,109625
1/6/1998,110225
1/7/1998,110125
1/8/1998,109950
1/9/1998,109800
1/12/1998,109775
1/13/1998,110775
1/14/1998,110750
1/15/1998,110750
1/16/1998,110725
1/19/1998,110575
1/20/1998,110250
1/21/1998,109325
1/22/1998,109150
1/23/1998,108625
1/26/1998,108425
1/27/1998,108425
1/28/1998,108475
1/29/1998,108450
1/30/1998,108400
2/2/1998,108200
2/3/1998,108125
2/4/1998,107925
2/5/1998,107925
2/6/1998,107925
2/9/1998,107550
2/10/1998,107325
2/11/1998,107100
2/12/1998,105475
2/13/1998,105650
2/16/1998,105550
2/17/1998,105550
2/18/1998,105900
2/19/1998,105125
2/20/1998,105100
2/23/1998,104875
2/24/1998,104800
2/25/1998,104550
2/26/1998,104450
2/27/1998,104350
3/2/1998,104250
3/3/1998,102625
3/4/1998,101625
3/5/1998,97275
3/6/1998,91550
3/9/1998,91550
3/10/1998,91550
3/11/1998,91500
3/12/1998,91500
3/13/1998,91500
3/16/1998,93000
3/17/1998,93400
3/18/1998,93100
3/19/1998,92775
3/20/1998,92275
3/23/1998,91875
3/24/1998,91600
3/25/1998,91275
3/26/1998,89025
3/27/1998,88275
3/30/1998,87850
3/31/1998,87825
4/1/1998,84100
4/2/1998,85000
4/3/1998,86600
4/6/1998,86375
4/7/1998,86325
4/8/1998,104650
4/9/1998,104750
4/14/1998,104700
4/15/1998,104700
4/16/1998,105650
4/17/1998,104750
4/20/1998,105350
4/21/1998,105750
4/22/1998,106100
4/23/1998,106475
4/24/1998,106325
4/27/1998,106300
4/28/1998,105325
4/29/1998,104600
4/30/1998,104600
5/1/1998,105825
5/5/1998,105800
5/6/1998,105700
5/7/1998,104875
5/8/1998,104775
5/11/1998,103475
5/12/1998,103375
5/13/1998,103325
5/14/1998,104650
5/15/1998,104650
5/18/1998,104725
5/19/1998,104675
5/20/1998,104050
5/21/1998,104050
5/22/1998,103375
5/26/1998,103575
5/27/1998,103350
5/28/1998,103175
5/29/1998,103150
6/1/1998,103150
6/2/1998,104125
6/3/1998,104125
6/4/1998,104350
6/5/1998,104350
6/8/1998,103450
6/9/1998,102425
6/10/1998,102425
6/11/1998,102375
6/12/1998,102500
6/15/1998,102100
6/16/1998,102050
6/17/1998,102050
6/18/1998,102200
6/19/1998,103000
6/22/1998,102825
6/23/1998,102750
6/24/1998,102750
6/25/1998,102950
6/26/1998,102925
6/29/1998,102925
6/30/1998,102825
7/1/1998,102825
7/2/1998,102800
7/3/1998,102550
7/6/1998,102525
7/7/1998,102125
7/8/1998,102125
7/9/1998,102125
7/10/1998,102500
7/13/1998,102500
7/14/1998,102500
7/15/1998,102500
7/16/1998,104100
7/17/1998,104225
7/20/1998,104925
7/21/1998,104925
7/22/1998,105375
7/23/1998,105375
7/24/1998,106000
7/27/1998,106625
7/28/1998,106625
7/29/1998,107100
7/30/1998,107100
7/31/1998,107175
8/3/1998,107100
8/4/1998,107075
8/5/1998,107050
8/6/1998,111875
8/7/1998,111825
8/10/1998,111125
8/11/1998,112125
8/12/1998,112075
8/13/1998,111475
8/14/1998,111475
8/17/1998,111475
8/18/1998,117025
8/19/1998,116350
8/20/1998,116100
8/21/1998,113700
8/24/1998,113575
8/25/1998,113525
8/26/1998,113525
8/27/1998,112775
8/28/1998,112700
9/1/1998,112625
9/2/1998,111475
9/3/1998,111350
9/4/1998,111350
9/7/1998,111375
9/8/1998,111300
9/9/1998,111150
9/10/1998,110775
9/11/1998,110775
9/14/1998,112775
9/15/1998,114425
9/16/1998,114425
9/17/1998,114425
9/18/1998,114425
9/21/1998,114275
9/22/1998,112150
9/23/1998,112125
9/24/1998,111025
9/25/1998,110900
9/28/1998,110825
9/29/1998,110775
9/30/1998,111850
10/1/1998,111825
10/2/1998,111075
10/5/1998,112425
10/6/1998,112150
10/7/1998,111875
10/8/1998,112150
10/9/1998,110350
10/12/1998,109225
10/13/1998,109225
10/14/1998,109225
10/15/1998,109225
10/16/1998,110025
10/19/1998,109650
10/20/1998,108125
10/21/1998,108100
10/22/1998,108100
10/23/1998,107525
10/27/1998,107425
10/28/1998,108875
10/29/1998,108600
10/30/1998,108325
11/2/1998,108175
11/3/1998,108275
11/4/1998,108275
11/5/1998,108150
11/6/1998,108025
11/9/1998,108175
11/10/1998,108450
11/11/1998,108425
11/12/1998,105150
11/13/1998,105700
11/16/1998,105600
11/17/1998,105600
11/18/1998,105800
11/19/1998,105400
11/20/1998,105325
11/23/1998,105325
11/24/1998,105325
11/25/1998,105125
11/26/1998,105200
11/27/1998,105300
11/30/1998,105300
12/1/1998,105300
12/2/1998,105575
12/3/1998,105575
12/4/1998,105500
12/7/1998,105325
12/8/1998,106750
12/9/1998,107875
12/10/1998,107875
12/11/1998,107800
12/14/1998,0
12/15/1998,108525
12/16/1998,108425
12/17/1998,109925
12/18/1998,109900
12/21/1998,109000
12/22/1998,108325
12/23/1998,107975
12/24/1998,107950
12/29/1998,107950
12/31/1998,107200
1/4/1999,107200
1/5/1999,107200
