Index,LESN
10/1/1997,9880
10/2/1997,9835
10/3/1997,9765
10/6/1997,9890
10/7/1997,9795
10/8/1997,9590
10/9/1997,9565
10/10/1997,9400
10/13/1997,9295
10/14/1997,9260
10/15/1997,9275
10/16/1997,8840
10/17/1997,9075
10/20/1997,8740
10/21/1997,8700
10/22/1997,8590
10/23/1997,8760
10/24/1997,8830
10/27/1997,8740
10/28/1997,8825
10/29/1997,8765
10/30/1997,8845
10/31/1997,8765
11/3/1997,8760
11/4/1997,8630
11/5/1997,8425
11/6/1997,8445
11/7/1997,8385
11/10/1997,8360
11/11/1997,8425
11/12/1997,7515
11/13/1997,7465
11/14/1997,7450
11/17/1997,7570
11/18/1997,7560
11/19/1997,7465
11/20/1997,7380
11/21/1997,7465
11/24/1997,7355
11/25/1997,7280
11/26/1997,7340
11/27/1997,7340
11/28/1997,7450
12/1/1997,7505
12/2/1997,7660
12/3/1997,7750
12/4/1997,7770
12/5/1997,7750
12/8/1997,7680
12/9/1997,8015
12/10/1997,8825
12/11/1997,9100
12/12/1997,9265
12/15/1997,10045
12/16/1997,10575
12/17/1997,10975
12/18/1997,11370
12/19/1997,11765
12/22/1997,11895
12/23/1997,12030
12/24/1997,12170
12/29/1997,12365
12/30/1997,12415
12/31/1997,12495
1/5/1998,12555
1/6/1998,12420
1/7/1998,12425
1/8/1998,11785
1/9/1998,11970
1/12/1998,12105
1/13/1998,11865
1/14/1998,11705
1/15/1998,11860
1/16/1998,11845
1/19/1998,11795
1/20/1998,11740
1/21/1998,11545
1/22/1998,11105
1/23/1998,11190
1/26/1998,11075
1/27/1998,10675
1/28/1998,10735
1/29/1998,10755
1/30/1998,10470
2/2/1998,10320
2/3/1998,10205
2/4/1998,10105
2/5/1998,10170
2/6/1998,10060
2/9/1998,9900
2/10/1998,9490
2/11/1998,9370
2/12/1998,9085
2/13/1998,9045
2/16/1998,9030
2/17/1998,8940
2/18/1998,8925
2/19/1998,9060
2/20/1998,8860
2/23/1998,8620
2/24/1998,8685
2/25/1998,8790
2/26/1998,8675
2/27/1998,8490
3/2/1998,8350
3/3/1998,8260
3/4/1998,8145
3/5/1998,8530
3/6/1998,8395
3/9/1998,8185
3/10/1998,8065
3/11/1998,8125
3/12/1998,8125
3/13/1998,7960
3/16/1998,7955
3/17/1998,7890
3/18/1998,7660
3/19/1998,7810
3/20/1998,7585
3/23/1998,7690
3/24/1998,7710
3/25/1998,7615
3/26/1998,7005
3/27/1998,6980
3/30/1998,6910
3/31/1998,6445
4/1/1998,6300
4/2/1998,6265
4/3/1998,6110
4/6/1998,6190
4/7/1998,6115
4/8/1998,5860
4/9/1998,5855
4/14/1998,5835
4/15/1998,6205
4/16/1998,6410
4/17/1998,6500
4/20/1998,6625
4/21/1998,6695
4/22/1998,6370
4/23/1998,6320
4/24/1998,6145
4/27/1998,5795
4/28/1998,5680
4/29/1998,5650
4/30/1998,5670
5/1/1998,5650
5/5/1998,5555
5/6/1998,5525
5/7/1998,5315
5/8/1998,5230
5/11/1998,5080
5/12/1998,5030
5/13/1998,5020
5/14/1998,4800
5/15/1998,4830
5/18/1998,4755
5/19/1998,4900
5/20/1998,4980
5/21/1998,4975
5/22/1998,4925
5/26/1998,4870
5/27/1998,4870
5/28/1998,4870
5/29/1998,4805
6/1/1998,4605
6/2/1998,4515
6/3/1998,4535
6/4/1998,4095
6/5/1998,4140
6/8/1998,4235
6/9/1998,4280
6/10/1998,4230
6/11/1998,4155
6/12/1998,4110
6/15/1998,4100
6/16/1998,4160
6/17/1998,4165
6/18/1998,4330
6/19/1998,4340
6/22/1998,4490
6/23/1998,4660
6/24/1998,4635
6/25/1998,4775
6/26/1998,4645
6/29/1998,4615
6/30/1998,4440
7/1/1998,4320
7/2/1998,4270
7/3/1998,4245
7/6/1998,4145
7/7/1998,4180
7/8/1998,4100
7/9/1998,4145
7/10/1998,4205
7/13/1998,4470
7/14/1998,4690
7/15/1998,5310
7/16/1998,5800
7/17/1998,6015
7/20/1998,6025
7/21/1998,6195
7/22/1998,6210
7/23/1998,6415
7/24/1998,6485
7/27/1998,6490
7/28/1998,6560
7/29/1998,6560
7/30/1998,6695
7/31/1998,6570
8/3/1998,6100
8/4/1998,6025
8/5/1998,5875
8/6/1998,5880
8/7/1998,5855
8/10/1998,5890
8/11/1998,5880
8/12/1998,6040
8/13/1998,6190
8/14/1998,6150
8/17/1998,6110
8/18/1998,6275
8/19/1998,6320
8/20/1998,6760
8/21/1998,6710
8/24/1998,6700
8/25/1998,6990
8/26/1998,7045
8/27/1998,6975
8/28/1998,6925
9/1/1998,6895
9/2/1998,7860
9/3/1998,7710
9/4/1998,7810
9/7/1998,7675
9/8/1998,7565
9/9/1998,7605
9/10/1998,7730
9/11/1998,7615
9/14/1998,7620
9/15/1998,7595
9/16/1998,7865
9/17/1998,7860
9/18/1998,8105
9/21/1998,8070
9/22/1998,8130
9/23/1998,8225
9/24/1998,8180
9/25/1998,8115
9/28/1998,8095
9/29/1998,8220
9/30/1998,8275
10/1/1998,8200
10/2/1998,8215
10/5/1998,8145
10/6/1998,7975
10/7/1998,7910
10/8/1998,8025
10/9/1998,7930
10/12/1998,7775
10/13/1998,7600
10/14/1998,7655
10/15/1998,7685
10/16/1998,7570
10/19/1998,7565
10/20/1998,7310
10/21/1998,7525
10/22/1998,7250
10/23/1998,7360
10/27/1998,7595
10/28/1998,7690
10/29/1998,7675
10/30/1998,7640
11/2/1998,7595
11/3/1998,6835
11/4/1998,6620
11/5/1998,6615
11/6/1998,5990
11/9/1998,5825
11/10/1998,5745
11/11/1998,6055
11/12/1998,5965
11/13/1998,6000
11/16/1998,6115
11/17/1998,6095
11/18/1998,6665
11/19/1998,6685
11/20/1998,6760
11/23/1998,6720
11/24/1998,6915
11/25/1998,7195
11/26/1998,7125
11/27/1998,6945
11/30/1998,7075
12/1/1998,6690
12/2/1998,6615
12/3/1998,6500
12/4/1998,6480
12/7/1998,6415
12/8/1998,6380
12/9/1998,6545
12/10/1998,6675
12/11/1998,6670
12/14/1998,6730
12/15/1998,6695
12/16/1998,6755
12/17/1998,7155
12/18/1998,7225
12/21/1998,6915
12/22/1998,6925
12/23/1998,6885
12/24/1998,7145
12/29/1998,7170
12/31/1998,7455
1/4/1999,7635
1/5/1999,7770
1/6/1999,7740
1/7/1999,7810
1/8/1999,7900
1/11/1999,7885
1/12/1999,7785
1/13/1999,7645
1/14/1999,7600
1/15/1999,7520
1/18/1999,7475
1/19/1999,7360
1/20/1999,7465
1/21/1999,7330
1/22/1999,7260
1/25/1999,6885
1/26/1999,6865
1/27/1999,6680
1/28/1999,6615
1/29/1999,6475
2/1/1999,6195
2/2/1999,6135
2/3/1999,6560
2/4/1999,6770
2/5/1999,6725
2/8/1999,6765
2/9/1999,6675
2/10/1999,6585
2/11/1999,6700
2/12/1999,6645
2/15/1999,6545
2/16/1999,6535
2/17/1999,6510
2/18/1999,6515
2/19/1999,6560
2/22/1999,6905
2/23/1999,6800
2/24/1999,6775
2/25/1999,6990
2/26/1999,7275
3/1/1999,7935
3/2/1999,8305
3/3/1999,8530
3/4/1999,8270
3/5/1999,8585
3/8/1999,8560
3/9/1999,8560
3/10/1999,8300
3/11/1999,8250
3/12/1999,8095
3/15/1999,8305
3/16/1999,8460
3/17/1999,8525
3/18/1999,8805
3/19/1999,8765
3/22/1999,8730
3/23/1999,8730
3/24/1999,8725
3/25/1999,8735
3/26/1999,8735
3/29/1999,8835
3/30/1999,8710
3/31/1999,8510
4/1/1999,8585
4/6/1999,8550
4/7/1999,8460
4/8/1999,8515
4/9/1999,8755
4/12/1999,8645
4/13/1999,8620
4/14/1999,8770
4/15/1999,8835
4/16/1999,8795
4/19/1999,9305
4/20/1999,9380
4/21/1999,9450
4/22/1999,9315
4/23/1999,9510
4/26/1999,9465
4/27/1999,9510
4/28/1999,9635
4/29/1999,9555
4/30/1999,9515
5/4/1999,9450
5/5/1999,9570
5/6/1999,9575
5/7/1999,9670
5/10/1999,9500
5/11/1999,9540
5/12/1999,9525
5/13/1999,9610
5/14/1999,9580
5/17/1999,9675
5/18/1999,9635
5/19/1999,9650
5/20/1999,9950
5/21/1999,9995
5/24/1999,9760
5/25/1999,9900
5/26/1999,9805
5/27/1999,9755
5/28/1999,9770
6/1/1999,9900
6/2/1999,10090
6/3/1999,10360
6/4/1999,10265
6/7/1999,10135
6/8/1999,10215
6/9/1999,10180
6/10/1999,10240
6/11/1999,9910
6/14/1999,9850
6/15/1999,9640
6/16/1999,9765
6/17/1999,9815
6/18/1999,9730
6/21/1999,9490
6/22/1999,9175
6/23/1999,9180
6/24/1999,9205
6/25/1999,9130
6/28/1999,9085
6/29/1999,9200
6/30/1999,9480
7/1/1999,9435
7/2/1999,9270
7/5/1999,9075
7/6/1999,8985
7/7/1999,9025
7/8/1999,8980
7/9/1999,8770
7/12/1999,8805
7/13/1999,8825
7/14/1999,8875
7/15/1999,8870
7/16/1999,9050
7/19/1999,9040
7/20/1999,9285
7/21/1999,9200
7/22/1999,9095
7/23/1999,9100
7/26/1999,9015
7/27/1999,8795
7/28/1999,8890
7/29/1999,8825
7/30/1999,8815
8/2/1999,8775
8/3/1999,8815
8/4/1999,8765
8/5/1999,8795
8/6/1999,8770
8/9/1999,8830
8/10/1999,8685
8/11/1999,8775
8/12/1999,8760
8/13/1999,8815
8/16/1999,8715
8/17/1999,8965
8/18/1999,9200
8/19/1999,9335
8/20/1999,9870
8/23/1999,9755
8/24/1999,9650
8/25/1999,10055
8/26/1999,10035
8/27/1999,9935
8/31/1999,9935
9/1/1999,9845
9/2/1999,9820
9/3/1999,9660
9/6/1999,9745
9/7/1999,9690
9/8/1999,9755
9/9/1999,9605
9/10/1999,9490
9/13/1999,9400
9/14/1999,9330
9/15/1999,9390
9/16/1999,9330
9/17/1999,9230
9/20/1999,9190
9/21/1999,9155
9/22/1999,9135
9/23/1999,8955
9/24/1999,8925
9/27/1999,8990
9/28/1999,8840
9/29/1999,8815
9/30/1999,8940
10/1/1999,8845
10/4/1999,9095
10/5/1999,9190
10/6/1999,9455
10/7/1999,9485
10/8/1999,9405
10/11/1999,9485
10/12/1999,9345
10/13/1999,9130
10/14/1999,9080
10/15/1999,9225
10/18/1999,9220
10/19/1999,8940
10/20/1999,8850
10/21/1999,8890
10/22/1999,8840
10/25/1999,8725
10/26/1999,8740
10/27/1999,8645
10/28/1999,8675
10/29/1999,8515
11/1/1999,8480
11/2/1999,8415
11/3/1999,8620
11/4/1999,8610
11/5/1999,8560
11/8/1999,8490
11/9/1999,8730
11/10/1999,8655
11/11/1999,8610
11/12/1999,8720
11/15/1999,8775
11/16/1999,8750
11/17/1999,8825
11/18/1999,8780
11/19/1999,8960
11/22/1999,8890
11/23/1999,8860
11/24/1999,8780
11/25/1999,8920
11/26/1999,8750
11/29/1999,8895
11/30/1999,8870
12/1/1999,8935
12/2/1999,8730
12/3/1999,8885
12/6/1999,8850
12/7/1999,8820
12/8/1999,8965
12/9/1999,8905
12/10/1999,8990
12/13/1999,8990
12/14/1999,8960
12/15/1999,8965
12/16/1999,8980
12/17/1999,9030
12/20/1999,9030
12/21/1999,8445
12/22/1999,8405
12/23/1999,8510
12/24/1999,8445
12/29/1999,8705
12/30/1999,8805
1/4/2000,8880
1/5/2000,9480
1/6/2000,9435
1/7/2000,9335
1/10/2000,9350
1/11/2000,9560
1/12/2000,9690
1/13/2000,9610
1/14/2000,9710
1/17/2000,9850
1/18/2000,9755
1/19/2000,9750
1/20/2000,9775
1/21/2000,9730
1/24/2000,9800
1/25/2000,9550
1/26/2000,9510
1/27/2000,9810
1/28/2000,9710
1/31/2000,9765
2/1/2000,9635
2/2/2000,9635
2/3/2000,9745
2/4/2000,9595
2/7/2000,9750
2/8/2000,9640
2/9/2000,9645
2/10/2000,9595
2/11/2000,9665
2/14/2000,9570
2/15/2000,9460
2/16/2000,9320
2/17/2000,9530
2/18/2000,9425
2/21/2000,9525
2/22/2000,9665
2/23/2000,9720
2/24/2000,9590
2/25/2000,9545
2/28/2000,9400
2/29/2000,9350
3/1/2000,9195
3/2/2000,9140
3/3/2000,9255
3/6/2000,9230
3/7/2000,9430
3/8/2000,9490
3/9/2000,9860
3/10/2000,10010
3/13/2000,9985
3/14/2000,9915
3/15/2000,9755
3/16/2000,10075
3/17/2000,10060
3/20/2000,10095
3/21/2000,10020
3/22/2000,9830
3/23/2000,10240
3/24/2000,10270
3/27/2000,10235
3/28/2000,10035
3/29/2000,10255
3/30/2000,10235
3/31/2000,10020
4/3/2000,10020
4/4/2000,10035
4/5/2000,9895
4/6/2000,9820
4/7/2000,9685
4/10/2000,9405
4/11/2000,9570
4/12/2000,9625
4/13/2000,9700
4/14/2000,9675
4/17/2000,9535
4/18/2000,9470
4/19/2000,9380
4/20/2000,9515
4/25/2000,9250
4/26/2000,9130
4/27/2000,9100
4/28/2000,9155
5/2/2000,9020
5/3/2000,8935
5/4/2000,8820
5/5/2000,8700
5/8/2000,8700
5/9/2000,8555
5/10/2000,8235
5/11/2000,8260
5/12/2000,8330
5/15/2000,8300
5/16/2000,8275
5/17/2000,8230
5/18/2000,8545
5/19/2000,8710
5/22/2000,9015
5/23/2000,9500
5/24/2000,9615
5/25/2000,9260
5/26/2000,9450
5/30/2000,9500
5/31/2000,9630
6/1/2000,9555
6/2/2000,9440
6/5/2000,9355
6/6/2000,9250
6/7/2000,9000
6/8/2000,9105
6/9/2000,9070
6/12/2000,8960
6/13/2000,8880
6/14/2000,8970
6/15/2000,9080
6/16/2000,9195
6/19/2000,9315
6/20/2000,9440
6/21/2000,9825
6/22/2000,9850
6/23/2000,9875
6/26/2000,9855
6/27/2000,9830
6/28/2000,9900
6/29/2000,9805
6/30/2000,10015
7/3/2000,9990
7/4/2000,9850
7/5/2000,9920
7/6/2000,10060
7/7/2000,10295
7/10/2000,10595
7/11/2000,10680
7/12/2000,10945
7/13/2000,10630
7/14/2000,10790
7/17/2000,10800
7/18/2000,10800
7/19/2000,10885
7/20/2000,10780
7/21/2000,10645
7/24/2000,10490
7/25/2000,10810
7/26/2000,11105
7/27/2000,11055
7/28/2000,11035
7/31/2000,10935
8/1/2000,10975
8/2/2000,11360
8/3/2000,11395
8/4/2000,11305
8/7/2000,11270
8/8/2000,11245
8/9/2000,11120
8/10/2000,10920
8/11/2000,10885
8/14/2000,11245
8/15/2000,11065
8/16/2000,10905
8/17/2000,10865
8/18/2000,10940
8/21/2000,10910
8/22/2000,11070
8/23/2000,11120
8/24/2000,11050
8/25/2000,11085
8/29/2000,11080
8/30/2000,11590
8/31/2000,11620
9/1/2000,11215
9/4/2000,11165
9/5/2000,11420
9/6/2000,11260
9/7/2000,11515
9/8/2000,11470
9/11/2000,11445
9/12/2000,11460
9/13/2000,11425
9/14/2000,11420
9/15/2000,11410
9/18/2000,11365
9/19/2000,11300
9/20/2000,11080
9/21/2000,10985
9/22/2000,11105
9/25/2000,11230
9/26/2000,11040
9/27/2000,10880
9/28/2000,10950
9/29/2000,10920
10/2/2000,11065
10/3/2000,11035
10/4/2000,11025
10/5/2000,10975
10/6/2000,11165
10/9/2000,11140
10/10/2000,11140
10/11/2000,11140
10/12/2000,11365
10/13/2000,11055
10/16/2000,11135
10/17/2000,11030
10/18/2000,11030
10/19/2000,11175
10/20/2000,11125
10/23/2000,10995
10/24/2000,10945
10/25/2000,10855
10/26/2000,10825
10/27/2000,10890
10/30/2000,11010
10/31/2000,11065
11/1/2000,11100
11/2/2000,10925
11/3/2000,10850
11/6/2000,10700
11/7/2000,10700
11/8/2000,10575
11/9/2000,10365
11/10/2000,10535
11/13/2000,10510
11/14/2000,10485
11/15/2000,10460
11/16/2000,10390
11/17/2000,10445
11/20/2000,10385
11/21/2000,10455
11/22/2000,10370
11/23/2000,10250
11/24/2000,10930
11/27/2000,12260
11/28/2000,12260
11/29/2000,12425
11/30/2000,12160
12/1/2000,12110
12/4/2000,12290
12/5/2000,12030
12/6/2000,12080
12/7/2000,12120
12/8/2000,12135
12/11/2000,12075
12/12/2000,12025
12/13/2000,12195
12/14/2000,12180
12/15/2000,12130
12/18/2000,12060
12/19/2000,12200
12/20/2000,12140
12/21/2000,12145
12/22/2000,12330
12/27/2000,12395
12/28/2000,12375
12/29/2000,12410
1/2/2001,12370
1/3/2001,12350
1/4/2001,12650
1/5/2001,12740
1/8/2001,12605
1/9/2001,12505
1/10/2001,12390
1/11/2001,12345
1/12/2001,12165
1/15/2001,12005
1/16/2001,12315
1/17/2001,12270
1/18/2001,12150
1/19/2001,12060
1/22/2001,11985
1/23/2001,11915
1/24/2001,12020
1/25/2001,13440
1/26/2001,13350
1/29/2001,13430
1/30/2001,13325
1/31/2001,13230
2/1/2001,13295
2/2/2001,13110
2/5/2001,13065
2/7/2001,13000
2/8/2001,12965
2/9/2001,12965
2/12/2001,12655
2/13/2001,12630
2/14/2001,12600
2/15/2001,12525
2/19/2001,12515
2/20/2001,12590
2/21/2001,12495
2/22/2001,12475
2/23/2001,12425
2/26/2001,12400
2/27/2001,12350
2/28/2001,12325
3/1/2001,12275
3/2/2001,12275
3/5/2001,12210
3/6/2001,12050
3/7/2001,12020
3/8/2001,12020
3/9/2001,12220
3/12/2001,12195
3/13/2001,12435
3/14/2001,12435
3/15/2001,12435
3/16/2001,12385
3/19/2001,12285
3/20/2001,12305
3/21/2001,12385
3/22/2001,12340
3/23/2001,12585
3/26/2001,12175
3/27/2001,12175
3/28/2001,12175
3/29/2001,11965
3/30/2001,11840
4/2/2001,12040
4/3/2001,12065
4/4/2001,12030
4/5/2001,11680
4/6/2001,11680
4/9/2001,11655
4/10/2001,11500
4/11/2001,11575
4/12/2001,11735
4/17/2001,11725
4/18/2001,11725
4/19/2001,11645
4/20/2001,11635
4/23/2001,11570
4/24/2001,11570
4/25/2001,11545
4/26/2001,11420
4/27/2001,11565
4/30/2001,11540
5/1/2001,10955
5/2/2001,10930
5/3/2001,10840
5/4/2001,10960
5/8/2001,11115
5/9/2001,11040
5/10/2001,11325
5/11/2001,11300
5/14/2001,10395
5/15/2001,10395
5/16/2001,10595
5/17/2001,10595
5/18/2001,10545
5/21/2001,10470
5/22/2001,10570
5/23/2001,10570
5/24/2001,10620
5/25/2001,10545
5/29/2001,10845
5/30/2001,11040
5/31/2001,11340
6/1/2001,11140
6/4/2001,10985
6/5/2001,10885
6/6/2001,10665
6/7/2001,10725
6/8/2001,10860
6/11/2001,10960
6/12/2001,10865
6/13/2001,10855
6/14/2001,10890
6/15/2001,10925
6/18/2001,11685
6/19/2001,11945
6/20/2001,15805
6/21/2001,16685
6/22/2001,17150
6/25/2001,17190
6/26/2001,17165
6/27/2001,17105
6/28/2001,17080
6/29/2001,17045
7/2/2001,17045
7/3/2001,16985
7/4/2001,16945
7/5/2001,17140
7/6/2001,17140
7/9/2001,17200
7/10/2001,17200
7/11/2001,17315
7/12/2001,17110
7/13/2001,17165
7/16/2001,17760
7/17/2001,18040
7/18/2001,18370
7/19/2001,18805
7/20/2001,18785
7/23/2001,18490
7/24/2001,18450
7/25/2001,18275
7/26/2001,18330
7/27/2001,18345
7/30/2001,18445
7/31/2001,18420
8/1/2001,18445
8/2/2001,18385
8/3/2001,18385
8/6/2001,18860
8/7/2001,18960
8/8/2001,19035
8/9/2001,19005
8/10/2001,18900
8/13/2001,18725
8/14/2001,18910
8/15/2001,18910
8/16/2001,18865
8/17/2001,18980
8/20/2001,19165
8/21/2001,19140
8/22/2001,19370
8/23/2001,19305
8/24/2001,19220
8/28/2001,19195
8/29/2001,19345
8/30/2001,19280
8/31/2001,19245
9/3/2001,19545
9/4/2001,19795
9/5/2001,19770
9/6/2001,19805
9/7/2001,19820
9/10/2001,19690
9/11/2001,19930
9/12/2001,19920
9/13/2001,19860
9/14/2001,19845
9/17/2001,19845
9/18/2001,19800
9/19/2001,19775
9/20/2001,19770
9/21/2001,19745
9/24/2001,19720
9/25/2001,19860
9/26/2001,19755
9/27/2001,19730
9/28/2001,19735
10/1/2001,19735
10/2/2001,19660
10/3/2001,19515
