Index,LEZS
10/1/1997,434550
10/2/1997,433925
10/3/1997,435825
10/6/1997,436875
10/7/1997,440325
10/8/1997,442125
10/9/1997,440625
10/10/1997,440100
10/13/1997,439775
10/14/1997,444775
10/15/1997,445875
10/16/1997,452800
10/17/1997,452225
10/20/1997,451450
10/21/1997,450050
10/22/1997,450850
10/23/1997,449900
10/24/1997,449000
10/27/1997,447975
10/28/1997,447550
10/29/1997,446950
10/30/1997,451675
10/31/1997,451150
11/3/1997,451325
11/4/1997,452050
11/5/1997,458050
11/6/1997,457675
11/7/1997,464450
11/10/1997,470475
11/11/1997,466925
11/12/1997,461025
11/13/1997,469875
11/14/1997,476925
11/17/1997,482075
11/18/1997,485450
11/19/1997,486000
11/20/1997,492150
11/21/1997,490350
11/24/1997,491600
11/25/1997,492925
11/26/1997,490225
11/27/1997,486725
11/28/1997,485850
12/1/1997,484600
12/2/1997,485625
12/3/1997,483675
12/4/1997,481300
12/5/1997,477300
12/8/1997,475625
12/9/1997,473625
12/10/1997,475100
12/11/1997,475125
12/12/1997,473925
12/15/1997,474150
12/16/1997,475150
12/17/1997,474550
12/18/1997,473575
12/19/1997,473175
12/22/1997,472700
12/23/1997,474500
12/24/1997,478275
12/29/1997,478650
12/30/1997,478675
12/31/1997,477475
1/5/1998,476600
1/6/1998,476575
1/7/1998,473675
1/8/1998,473100
1/9/1998,472925
1/12/1998,470575
1/13/1998,473625
1/14/1998,472600
1/15/1998,472100
1/16/1998,469975
1/19/1998,470450
1/20/1998,469950
1/21/1998,469800
1/22/1998,473425
1/23/1998,471150
1/26/1998,470750
1/27/1998,467925
1/28/1998,468850
1/29/1998,465700
1/30/1998,465300
2/2/1998,462100
2/3/1998,468775
2/4/1998,467750
2/5/1998,469125
2/6/1998,468375
2/9/1998,467075
2/10/1998,465400
2/11/1998,466750
2/12/1998,465375
2/13/1998,463075
2/16/1998,462500
2/17/1998,462650
2/18/1998,462000
2/19/1998,460600
2/20/1998,459250
2/23/1998,459125
2/24/1998,458600
2/25/1998,456825
2/26/1998,455300
2/27/1998,454275
3/2/1998,453175
3/3/1998,453300
3/4/1998,449625
3/5/1998,449575
3/6/1998,449550
3/9/1998,449275
3/10/1998,447750
3/11/1998,453625
3/12/1998,451700
3/13/1998,458875
3/16/1998,457300
3/17/1998,458075
3/18/1998,457350
3/19/1998,456525
3/20/1998,455075
3/23/1998,454650
3/24/1998,453700
3/25/1998,456475
3/26/1998,453450
3/27/1998,455025
