,LEAH
1997-10-01,694275.0
1997-10-02,684025.0
1997-10-03,684425.0
1997-10-06,681875.0
1997-10-07,684875.0
1997-10-08,688425.0
1997-10-09,689100.0
1997-10-10,690725.0
1997-10-13,693125.0
1997-10-14,695300.0
1997-10-15,695700.0
1997-10-16,697325.0
1997-10-17,694200.0
1997-10-20,693425.0
1997-10-21,692550.0
1997-10-22,692525.0
1997-10-23,693600.0
1997-10-24,696075.0
1997-10-27,697325.0
1997-10-28,695775.0
1997-10-29,698925.0
1997-10-30,697275.0
1997-10-31,699100.0
1997-11-03,697050.0
1997-11-04,695900.0
1997-11-05,678100.0
1997-11-06,654800.0
1997-11-07,653825.0
1997-11-10,652500.0
1997-11-11,652325.0
1997-11-12,649500.0
1997-11-13,648625.0
1997-11-14,644950.0
1997-11-17,641700.0
1997-11-18,640650.0
1997-11-19,639275.0
1997-11-20,636900.0
1997-11-21,631375.0
1997-11-24,630875.0
1997-11-25,620325.0
1997-11-26,618100.0
1997-11-27,617475.0
1997-11-28,594850.0
1997-12-01,596600.0
1997-12-02,596775.0
1997-12-03,598275.0
1997-12-04,596100.0
1997-12-05,588075.0
1997-12-08,583275.0
1997-12-09,586750.0
1997-12-10,586000.0
1997-12-11,586075.0
1997-12-12,586275.0
1997-12-15,586200.0
1997-12-16,583550.0
1997-12-17,584525.0
1997-12-18,582700.0
1997-12-19,583150.0
1997-12-22,582925.0
1997-12-23,580750.0
1997-12-24,581075.0
1997-12-29,583825.0
1997-12-30,585750.0
1997-12-31,588175.0
1998-01-05,587950.0
1998-01-06,590650.0
1998-01-07,591350.0
1998-01-08,590000.0
1998-01-09,578325.0
1998-01-12,576825.0
1998-01-13,577550.0
1998-01-14,576250.0
1998-01-15,572750.0
1998-01-16,572075.0
1998-01-19,571550.0
1998-01-20,567300.0
1998-01-21,566725.0
1998-01-22,566675.0
1998-01-23,564925.0
1998-01-26,564225.0
1998-01-27,562975.0
1998-01-28,561825.0
1998-01-29,559950.0
1998-01-30,559850.0
1998-02-02,557625.0
1998-02-03,555450.0
1998-02-04,554850.0
1998-02-05,554300.0
1998-02-06,549575.0
1998-02-09,547325.0
1998-02-10,543850.0
1998-02-11,541575.0
1998-02-12,540925.0
1998-02-13,540000.0
1998-02-16,540025.0
1998-02-17,542775.0
1998-02-18,538875.0
1998-02-19,539750.0
1998-02-20,540550.0
1998-02-23,534775.0
1998-02-24,534050.0
1998-02-25,536175.0
1998-02-26,536225.0
1998-02-27,534250.0
1998-03-02,536250.0
1998-03-03,532600.0
1998-03-04,531975.0
1998-03-05,532375.0
1998-03-06,527700.0
1998-03-09,529125.0
1998-03-10,530075.0
1998-03-11,526675.0
1998-03-12,524925.0
1998-03-13,522400.0
1998-03-16,525575.0
1998-03-17,524525.0
1998-03-18,526325.0
1998-03-19,527475.0
1998-03-20,518375.0
1998-03-23,515175.0
1998-03-24,515600.0
1998-03-25,516450.0
1998-03-26,516750.0
1998-03-27,515800.0
1998-03-30,511350.0
1998-03-31,511300.0
1998-04-01,503975.0
1998-04-02,504450.0
1998-04-03,503650.0
1998-04-06,498025.0
1998-04-07,495400.0
1998-04-08,494100.0
1998-04-09,493450.0
1998-04-14,491175.0
1998-04-15,490575.0
1998-04-16,491750.0
1998-04-17,487850.0
1998-04-20,481075.0
1998-04-21,480775.0
1998-04-22,481150.0
1998-04-23,482650.0
1998-04-24,482075.0
1998-04-27,478775.0
1998-04-28,484150.0
1998-04-29,483800.0
1998-04-30,484125.0
1998-05-01,482300.0
1998-05-05,482350.0
1998-05-06,481575.0
1998-05-07,479175.0
1998-05-08,476975.0
1998-05-11,481325.0
1998-05-12,488350.0
1998-05-13,495725.0
1998-05-14,493475.0
1998-05-15,490800.0
1998-05-18,489275.0
1998-05-19,490450.0
1998-05-20,491575.0
1998-05-21,494300.0
1998-05-22,497750.0
