,LENI
1997-10-01,59268.0
1997-10-02,59430.0
1997-10-03,59484.0
1997-10-06,59496.0
1997-10-07,60204.0
1997-10-08,60474.0
1997-10-09,60444.0
1997-10-10,60606.0
1997-10-13,60816.0
1997-10-14,61236.0
1997-10-15,61290.0
1997-10-16,62694.0
1997-10-17,62988.0
1997-10-20,63156.0
1997-10-21,63252.0
1997-10-22,63294.0
1997-10-23,63576.0
1997-10-24,64224.0
1997-10-27,64344.0
1997-10-28,64014.0
1997-10-29,64122.0
1997-10-30,64356.0
1997-10-31,64866.0
1997-11-03,64662.0
1997-11-04,64734.0
1997-11-05,64704.0
1997-11-06,64692.0
1997-11-07,64590.0
1997-11-10,64596.0
1997-11-11,64650.0
1997-11-12,65028.0
1997-11-13,65172.0
1997-11-14,65046.0
1997-11-17,64668.0
1997-11-18,64590.0
1997-11-19,64494.0
1997-11-20,64500.0
1997-11-21,64416.0
1997-11-24,64476.0
1997-11-25,64542.0
1997-11-26,64824.0
1997-11-27,65358.0
1997-11-28,64842.0
1997-12-01,64620.0
1997-12-02,64668.0
1997-12-03,64680.0
1997-12-04,64686.0
1997-12-05,64488.0
1997-12-08,64542.0
1997-12-09,64554.0
1997-12-10,64548.0
1997-12-11,64602.0
1997-12-12,64830.0
1997-12-15,64716.0
1997-12-16,64728.0
1997-12-17,64776.0
1997-12-18,64824.0
1997-12-19,64638.0
1997-12-22,64368.0
1997-12-23,64938.0
1997-12-24,64788.0
1997-12-29,64644.0
1997-12-30,64686.0
1997-12-31,64704.0
1998-01-05,64632.0
1998-01-06,64800.0
1998-01-07,64512.0
1998-01-08,64656.0
1998-01-09,64428.0
1998-01-12,64152.0
1998-01-13,63930.0
1998-01-14,64242.0
1998-01-15,64446.0
1998-01-16,64332.0
1998-01-19,63732.0
1998-01-20,63666.0
1998-01-21,63702.0
1998-01-22,63618.0
1998-01-23,63714.0
1998-01-26,63444.0
1998-01-27,63138.0
1998-01-28,62814.0
1998-01-29,62754.0
1998-01-30,63084.0
1998-02-02,63618.0
1998-02-03,64194.0
1998-02-04,64212.0
1998-02-05,64302.0
1998-02-06,63048.0
1998-02-09,62754.0
1998-02-10,63078.0
1998-02-11,63282.0
1998-02-12,63510.0
1998-02-13,63000.0
1998-02-16,63030.0
1998-02-17,63150.0
1998-02-18,63486.0
1998-02-19,63348.0
1998-02-20,63318.0
1998-02-23,62538.0
1998-02-24,63192.0
1998-02-25,64116.0
1998-02-26,63960.0
1998-02-27,64092.0
1998-03-02,63984.0
1998-03-03,63978.0
1998-03-04,63534.0
