,LEPB
1997-10-01,120075.0
1997-10-02,119850.0
1997-10-03,119550.0
1997-10-06,119425.0
1997-10-07,119425.0
1997-10-08,119400.0
1997-10-09,119375.0
1997-10-10,119325.0
1997-10-13,119275.0
1997-10-14,119650.0
1997-10-15,118900.0
1997-10-16,117125.0
1997-10-17,117050.0
1997-10-20,116625.0
1997-10-21,116475.0
1997-10-22,116350.0
1997-10-23,116350.0
1997-10-24,115750.0
1997-10-27,115000.0
1997-10-28,115675.0
1997-10-29,115425.0
1997-10-30,115325.0
1997-10-31,115275.0
1997-11-03,115075.0
1997-11-04,115025.0
1997-11-05,114950.0
1997-11-06,115725.0
1997-11-07,115725.0
1997-11-10,115275.0
1997-11-11,115250.0
1997-11-12,115150.0
1997-11-13,115050.0
1997-11-14,114650.0
1997-11-17,117100.0
1997-11-18,117200.0
1997-11-19,116575.0
1997-11-20,116075.0
1997-11-21,116300.0
1997-11-24,116200.0
1997-11-25,116200.0
1997-11-26,116300.0
1997-11-27,115725.0
1997-11-28,115600.0
1997-12-01,115375.0
1997-12-02,115025.0
1997-12-03,115075.0
1997-12-04,115075.0
1997-12-05,114950.0
1997-12-08,114775.0
1997-12-09,112850.0
1997-12-10,112450.0
1997-12-11,112450.0
1997-12-12,112650.0
1997-12-15,112475.0
1997-12-16,112225.0
1997-12-17,112125.0
1997-12-18,112100.0
1997-12-19,112100.0
1997-12-22,111975.0
1997-12-23,111950.0
1997-12-24,111575.0
1997-12-29,110850.0
1997-12-30,110775.0
1997-12-31,109775.0
1998-01-05,109625.0
1998-01-06,110225.0
1998-01-07,110125.0
1998-01-08,109950.0
1998-01-09,109800.0
1998-01-12,109775.0
1998-01-13,110775.0
1998-01-14,110750.0
1998-01-15,110750.0
1998-01-16,110725.0
1998-01-19,110575.0
1998-01-20,110250.0
1998-01-21,109325.0
1998-01-22,109150.0
1998-01-23,108625.0
1998-01-26,108425.0
1998-01-27,108425.0
1998-01-28,108475.0
1998-01-29,108450.0
1998-01-30,108400.0
1998-02-02,108200.0
1998-02-03,108125.0
1998-02-04,107925.0
1998-02-05,107925.0
1998-02-06,107925.0
1998-02-09,107550.0
1998-02-10,107325.0
1998-02-11,107100.0
1998-02-12,105475.0
1998-02-13,105650.0
1998-02-16,105550.0
