,LESN
1997-10-01,9880.0
1997-10-02,9835.0
1997-10-03,9765.0
1997-10-06,9890.0
1997-10-07,9795.0
1997-10-08,9590.0
1997-10-09,9565.0
1997-10-10,9400.0
1997-10-13,9295.0
1997-10-14,9260.0
1997-10-15,9275.0
1997-10-16,8840.0
1997-10-17,9075.0
1997-10-20,8740.0
1997-10-21,8700.0
1997-10-22,8590.0
1997-10-23,8760.0
1997-10-24,8830.0
1997-10-27,8740.0
1997-10-28,8825.0
1997-10-29,8765.0
1997-10-30,8845.0
1997-10-31,8765.0
1997-11-03,8760.0
1997-11-04,8630.0
1997-11-05,8425.0
1997-11-06,8445.0
1997-11-07,8385.0
1997-11-10,8360.0
1997-11-11,8425.0
1997-11-12,7515.0
1997-11-13,7465.0
1997-11-14,7450.0
1997-11-17,7570.0
1997-11-18,7560.0
1997-11-19,7465.0
1997-11-20,7380.0
1997-11-21,7465.0
1997-11-24,7355.0
1997-11-25,7280.0
1997-11-26,7340.0
1997-11-27,7340.0
1997-11-28,7450.0
1997-12-01,7505.0
1997-12-02,7660.0
1997-12-03,7750.0
1997-12-04,7770.0
1997-12-05,7750.0
1997-12-08,7680.0
1997-12-09,8015.0
1997-12-10,8825.0
1997-12-11,9100.0
1997-12-12,9265.0
1997-12-15,10045.0
1997-12-16,10575.0
1997-12-17,10975.0
1997-12-18,11370.0
1997-12-19,11765.0
1997-12-22,11895.0
1997-12-23,12030.0
1997-12-24,12170.0
1997-12-29,12365.0
1997-12-30,12415.0
1997-12-31,12495.0
1998-01-05,12555.0
1998-01-06,12420.0
1998-01-07,12425.0
1998-01-08,11785.0
1998-01-09,11970.0
1998-01-12,12105.0
1998-01-13,11865.0
1998-01-14,11705.0
1998-01-15,11860.0
1998-01-16,11845.0
1998-01-19,11795.0
1998-01-20,11740.0
1998-01-21,11545.0
1998-01-22,11105.0
1998-01-23,11190.0
1998-01-26,11075.0
1998-01-27,10675.0
1998-01-28,10735.0
1998-01-29,10755.0
1998-01-30,10470.0
1998-02-02,10320.0
1998-02-03,10205.0
1998-02-04,10105.0
1998-02-05,10170.0
1998-02-06,10060.0
1998-02-09,9900.0
1998-02-10,9490.0
1998-02-11,9370.0
1998-02-12,9085.0
1998-02-13,9045.0
1998-02-16,9030.0
1998-02-17,8940.0
1998-02-18,8925.0
1998-02-19,9060.0
1998-02-20,8860.0
1998-02-23,8620.0
1998-02-24,8685.0
1998-02-25,8790.0
1998-02-26,8675.0
1998-02-27,8490.0
1998-03-02,8350.0
1998-03-03,8260.0
1998-03-04,8145.0
1998-03-05,8530.0
1998-03-06,8395.0
1998-03-09,8185.0
1998-03-10,8065.0
1998-03-11,8125.0
1998-03-12,8125.0
1998-03-13,7960.0
1998-03-16,7955.0
1998-03-17,7890.0
1998-03-18,7660.0
1998-03-19,7810.0
1998-03-20,7585.0
1998-03-23,7690.0
1998-03-24,7710.0
1998-03-25,7615.0
1998-03-26,7005.0
1998-03-27,6980.0
1998-03-30,6910.0
1998-03-31,6445.0
1998-04-01,6300.0
1998-04-02,6265.0
1998-04-03,6110.0
1998-04-06,6190.0
1998-04-07,6115.0
1998-04-08,5860.0
1998-04-09,5855.0
1998-04-14,5835.0
1998-04-15,6205.0
1998-04-16,6410.0
1998-04-17,6500.0
1998-04-20,6625.0
1998-04-21,6695.0
1998-04-22,6370.0
1998-04-23,6320.0
1998-04-24,6145.0
1998-04-27,5795.0
1998-04-28,5680.0
1998-04-29,5650.0
1998-04-30,5670.0
1998-05-01,5650.0
1998-05-05,5555.0
1998-05-06,5525.0
1998-05-07,5315.0
1998-05-08,5230.0
1998-05-11,5080.0
1998-05-12,5030.0
1998-05-13,5020.0
1998-05-14,4800.0
1998-05-15,4830.0
1998-05-18,4755.0
1998-05-19,4900.0
1998-05-20,4980.0
1998-05-21,4975.0
1998-05-22,4925.0
1998-05-26,4870.0
1998-05-27,4870.0
1998-05-28,4870.0
1998-05-29,4805.0
1998-06-01,4605.0
1998-06-02,4515.0
1998-06-03,4535.0
1998-06-04,4095.0
1998-06-05,4140.0
1998-06-08,4235.0
1998-06-09,4280.0
1998-06-10,4230.0
1998-06-11,4155.0
1998-06-12,4110.0
1998-06-15,4100.0
1998-06-16,4160.0
1998-06-17,4165.0
1998-06-18,4330.0
1998-06-19,4340.0
1998-06-22,4490.0
1998-06-23,4660.0
1998-06-24,4635.0
1998-06-25,4775.0
1998-06-26,4645.0
1998-06-29,4615.0
1998-06-30,4440.0
1998-07-01,4320.0
1998-07-02,4270.0
1998-07-03,4245.0
1998-07-06,4145.0
1998-07-07,4180.0
1998-07-08,4100.0
1998-07-09,4145.0
1998-07-10,4205.0
1998-07-13,4470.0
1998-07-14,4690.0
1998-07-15,5310.0
1998-07-16,5800.0
1998-07-17,6015.0
1998-07-20,6025.0
1998-07-21,6195.0
1998-07-22,6210.0
1998-07-23,6415.0
1998-07-24,6485.0
1998-07-27,6490.0
1998-07-28,6560.0
1998-07-29,6560.0
1998-07-30,6695.0
1998-07-31,6570.0
1998-08-03,6100.0
1998-08-04,6025.0
1998-08-05,5875.0
1998-08-06,5880.0
1998-08-07,5855.0
1998-08-10,5890.0
1998-08-11,5880.0
1998-08-12,6040.0
1998-08-13,6190.0
1998-08-14,6150.0
1998-08-17,6110.0
1998-08-18,6275.0
1998-08-19,6320.0
1998-08-20,6760.0
1998-08-21,6710.0
1998-08-24,6700.0
1998-08-25,6990.0
1998-08-26,7045.0
1998-08-27,6975.0
1998-08-28,6925.0
1998-09-01,6895.0
1998-09-02,7860.0
1998-09-03,7710.0
1998-09-04,7810.0
1998-09-07,7675.0
1998-09-08,7565.0
1998-09-09,7605.0
1998-09-10,7730.0
1998-09-11,7615.0
1998-09-14,7620.0
1998-09-15,7595.0
1998-09-16,7865.0
1998-09-17,7860.0
1998-09-18,8105.0
1998-09-21,8070.0
1998-09-22,8130.0
1998-09-23,8225.0
1998-09-24,8180.0
1998-09-25,8115.0
1998-09-28,8095.0
1998-09-29,8220.0
1998-09-30,8275.0
1998-10-01,8200.0
1998-10-02,8215.0
1998-10-05,8145.0
1998-10-06,7975.0
1998-10-07,7910.0
1998-10-08,8025.0
1998-10-09,7930.0
1998-10-12,7775.0
1998-10-13,7600.0
1998-10-14,7655.0
