,LEZS
1997-10-01,434550.0
1997-10-02,433925.0
1997-10-03,435825.0
1997-10-06,436875.0
1997-10-07,440325.0
1997-10-08,442125.0
1997-10-09,440625.0
1997-10-10,440100.0
1997-10-13,439775.0
1997-10-14,444775.0
1997-10-15,445875.0
1997-10-16,452800.0
1997-10-17,452225.0
1997-10-20,451450.0
1997-10-21,450050.0
1997-10-22,450850.0
1997-10-23,449900.0
1997-10-24,449000.0
1997-10-27,447975.0
1997-10-28,447550.0
1997-10-29,446950.0
1997-10-30,451675.0
1997-10-31,451150.0
1997-11-03,451325.0
1997-11-04,452050.0
1997-11-05,458050.0
1997-11-06,457675.0
1997-11-07,464450.0
1997-11-10,470475.0
1997-11-11,466925.0
1997-11-12,461025.0
1997-11-13,469875.0
1997-11-14,476925.0
1997-11-17,482075.0
1997-11-18,485450.0
1997-11-19,486000.0
1997-11-20,492150.0
1997-11-21,490350.0
1997-11-24,491600.0
1997-11-25,492925.0
1997-11-26,490225.0
1997-11-27,486725.0
1997-11-28,485850.0
1997-12-01,484600.0
1997-12-02,485625.0
1997-12-03,483675.0
1997-12-04,481300.0
1997-12-05,477300.0
1997-12-08,475625.0
1997-12-09,473625.0
1997-12-10,475100.0
1997-12-11,475125.0
1997-12-12,473925.0
1997-12-15,474150.0
1997-12-16,475150.0
1997-12-17,474550.0
1997-12-18,473575.0
1997-12-19,473175.0
1997-12-22,472700.0
1997-12-23,474500.0
1997-12-24,478275.0
1997-12-29,478650.0
1997-12-30,478675.0
1997-12-31,477475.0
1998-01-05,476600.0
1998-01-06,476575.0
1998-01-07,473675.0
1998-01-08,473100.0
1998-01-09,472925.0
1998-01-12,470575.0
1998-01-13,473625.0
1998-01-14,472600.0
1998-01-15,472100.0
1998-01-16,469975.0
1998-01-19,470450.0
1998-01-20,469950.0
1998-01-21,469800.0
1998-01-22,473425.0
1998-01-23,471150.0
1998-01-26,470750.0
1998-01-27,467925.0
1998-01-28,468850.0
1998-01-29,465700.0
1998-01-30,465300.0
1998-02-02,462100.0
1998-02-03,468775.0
1998-02-04,467750.0
1998-02-05,469125.0
1998-02-06,468375.0
1998-02-09,467075.0
1998-02-10,465400.0
1998-02-11,466750.0
1998-02-12,465375.0
1998-02-13,463075.0
1998-02-16,462500.0
1998-02-17,462650.0
1998-02-18,462000.0
1998-02-19,460600.0
1998-02-20,459250.0
1998-02-23,459125.0
1998-02-24,458600.0
1998-02-25,456825.0
1998-02-26,455300.0
1998-02-27,454275.0
1998-03-02,453175.0
1998-03-03,453300.0
1998-03-04,449625.0
1998-03-05,449575.0
1998-03-06,449550.0
1998-03-09,449275.0
1998-03-10,447750.0
1998-03-11,453625.0
1998-03-12,451700.0
1998-03-13,458875.0
1998-03-16,457300.0
1998-03-17,458075.0
1998-03-18,457350.0
1998-03-19,456525.0
1998-03-20,455075.0
1998-03-23,454650.0
1998-03-24,453700.0
1998-03-25,456475.0
1998-03-26,453450.0
1998-03-27,455025.0
1998-03-30,454675.0
1998-03-31,451925.0
1998-04-01,455475.0
1998-04-02,458525.0
1998-04-03,456475.0
1998-04-06,454300.0
1998-04-07,452325.0
1998-04-08,450500.0
1998-04-09,455000.0
1998-04-14,453275.0
1998-04-15,451850.0
1998-04-16,451975.0
1998-04-17,451650.0
1998-04-20,448725.0
1998-04-21,448300.0
1998-04-22,447125.0
1998-04-23,446425.0
1998-04-24,445000.0
1998-04-27,444850.0
1998-04-28,443900.0
1998-04-29,443375.0
1998-04-30,441900.0
1998-05-01,438225.0
1998-05-05,438150.0
1998-05-06,436125.0
1998-05-07,438400.0
1998-05-08,439000.0
1998-05-11,439050.0
1998-05-12,438225.0
1998-05-13,437350.0
1998-05-14,435700.0
1998-05-15,435650.0
1998-05-18,432675.0
1998-05-19,430600.0
1998-05-20,429075.0
1998-05-21,427925.0
1998-05-22,426925.0
1998-05-26,425125.0
1998-05-27,422700.0
1998-05-28,421200.0
1998-05-29,419450.0
1998-06-01,416200.0
1998-06-02,415500.0
1998-06-03,415250.0
1998-06-04,414575.0
1998-06-05,411150.0
1998-06-08,408475.0
1998-06-09,391125.0
1998-06-10,388700.0
1998-06-11,387425.0
1998-06-12,384200.0
1998-06-15,383050.0
1998-06-16,382650.0
1998-06-17,381325.0
1998-06-18,377575.0
1998-06-19,376475.0
1998-06-22,374125.0
1998-06-23,373700.0
1998-06-24,372925.0
1998-06-25,370350.0
1998-06-26,369775.0
1998-06-29,373350.0
1998-06-30,373350.0
1998-07-01,374175.0
1998-07-02,373325.0
1998-07-03,372875.0
1998-07-06,369250.0
1998-07-07,368525.0
1998-07-08,367550.0
1998-07-09,367300.0
1998-07-10,367050.0
1998-07-13,365250.0
1998-07-14,363225.0
1998-07-15,362575.0
1998-07-16,361750.0
1998-07-17,359600.0
1998-07-20,357650.0
1998-07-21,358675.0
1998-07-22,357825.0
1998-07-23,357325.0
1998-07-24,357025.0
1998-07-27,355175.0
1998-07-28,354225.0
1998-07-29,352125.0
1998-07-30,358275.0
1998-07-31,357325.0
1998-08-03,358900.0
1998-08-04,358800.0
1998-08-05,357950.0
1998-08-06,353850.0
1998-08-07,352475.0
1998-08-10,351050.0
1998-08-11,350700.0
1998-08-12,354525.0
1998-08-13,354325.0
1998-08-14,354450.0
1998-08-17,357000.0
1998-08-18,360075.0
1998-08-19,360675.0
1998-08-20,362950.0
1998-08-21,361975.0
1998-08-24,361325.0
1998-08-25,360500.0
1998-08-26,360325.0
1998-08-27,359700.0
1998-08-28,352925.0
1998-09-01,352725.0
1998-09-02,350300.0
1998-09-03,349175.0
1998-09-04,351750.0
1998-09-07,350700.0
1998-09-08,351350.0
1998-09-09,352725.0
1998-09-10,353150.0
1998-09-11,352175.0
1998-09-14,350900.0
1998-09-15,349025.0
1998-09-16,353000.0
1998-09-17,354525.0
1998-09-18,357625.0
1998-09-21,356650.0
1998-09-22,355700.0
1998-09-23,354150.0
1998-09-24,352425.0
1998-09-25,351750.0
1998-09-28,349575.0
1998-09-29,348125.0
1998-09-30,346325.0
1998-10-01,345900.0
1998-10-02,347300.0
1998-10-05,347100.0
1998-10-06,344700.0
1998-10-07,343525.0
1998-10-08,346400.0
1998-10-09,344250.0
1998-10-12,343425.0
1998-10-13,342550.0
1998-10-14,341275.0
1998-10-15,340600.0
1998-10-16,341125.0
1998-10-19,340125.0
1998-10-20,337500.0
1998-10-21,337150.0
1998-10-22,333775.0
1998-10-23,332250.0
1998-10-27,329625.0
1998-10-28,329050.0
1998-10-29,328375.0
1998-10-30,336650.0
1998-11-02,334300.0
1998-11-03,333425.0
1998-11-04,334800.0
1998-11-05,334300.0
1998-11-06,333600.0
1998-11-09,332825.0
1998-11-10,332325.0
1998-11-11,329925.0
1998-11-12,329350.0
1998-11-13,327175.0
1998-11-16,325200.0
1998-11-17,324900.0
1998-11-18,324125.0
1998-11-19,323025.0
1998-11-20,322025.0
1998-11-23,321650.0
1998-11-24,319950.0
1998-11-25,318700.0
1998-11-26,321800.0
1998-11-27,321150.0
1998-11-30,320875.0
1998-12-01,318500.0
1998-12-02,316650.0
1998-12-03,320550.0
1998-12-04,320000.0
1998-12-07,318800.0
1998-12-08,318550.0
1998-12-09,317825.0
1998-12-10,315775.0
1998-12-11,314575.0
1998-12-14,314075.0
1998-12-15,313450.0
1998-12-16,312850.0
1998-12-17,312425.0
1998-12-18,310925.0
1998-12-21,310525.0
1998-12-22,309650.0
1998-12-23,308775.0
1998-12-24,309000.0
1998-12-29,308400.0
1998-12-30,308725.0
1998-12-31,308075.0
1999-01-04,309275.0
1999-01-05,310200.0
1999-01-06,309875.0
1999-01-07,308225.0
1999-01-08,306850.0
