,LSCA
1970-01-02,20800.0
1970-01-09,19025.0
1970-01-16,18525.0
1970-01-23,18350.0
1970-01-30,17025.0
1970-02-06,15850.0
1970-02-27,13600.0
1970-03-06,12800.0
1970-03-13,12800.0
1970-03-20,11300.0
1970-03-27,9750.0
1970-04-03,11925.0
1970-04-10,17575.0
1970-04-17,22625.0
1970-04-24,27100.0
1970-05-01,28625.0
1970-05-08,26425.0
1970-05-15,26450.0
1970-05-22,27150.0
1970-05-29,26650.0
1970-06-05,27875.0
1970-06-12,27875.0
1970-06-19,31300.0
1970-06-26,31000.0
1970-07-03,31125.0
1970-07-10,31000.0
1970-07-17,28575.0
1970-07-24,32550.0
1970-07-31,33025.0
1970-08-07,31600.0
1970-08-14,33100.0
1970-08-21,36775.0
1970-08-28,40175.0
1970-09-04,42375.0
1970-09-11,41900.0
1970-09-18,43100.0
1970-09-25,46850.0
1970-10-02,48725.0
1970-10-09,52175.0
1970-10-16,53200.0
1970-10-23,56650.0
1970-10-30,60150.0
1970-11-06,62025.0
1970-11-13,62075.0
1970-11-20,62750.0
1970-11-27,66000.0
1970-12-04,66025.0
1970-12-11,67425.0
1970-12-18,72600.0
1970-12-25,72150.0
1971-01-01,71050.0
1971-01-08,72950.0
1971-01-15,74725.0
1971-01-22,74375.0
1971-01-29,72700.0
1971-02-05,73350.0
1971-02-12,74000.0
1971-02-19,77500.0
1971-02-26,78275.0
1971-03-05,78325.0
1971-03-12,83000.0
1971-03-19,82425.0
1971-03-26,80600.0
1971-04-02,81850.0
1971-04-09,79825.0
1971-04-16,77000.0
1971-04-23,78975.0
1971-04-30,82925.0
1971-05-07,85450.0
1971-05-14,85075.0
1971-05-21,88425.0
1971-05-28,92725.0
1971-06-04,98150.0
1971-06-11,98950.0
1971-06-18,99275.0
1971-06-25,101025.0
1971-07-02,100375.0
1971-07-09,100475.0
1971-07-16,96500.0
1971-07-23,97925.0
1971-07-30,98425.0
1971-08-06,100750.0
1971-08-13,102775.0
1971-08-20,106325.0
1971-08-27,109575.0
1971-09-03,113875.0
1971-09-10,117125.0
1971-09-17,120900.0
1971-09-24,124750.0
1971-10-01,128050.0
1971-10-08,127875.0
1971-10-15,125625.0
1971-10-22,127775.0
1971-10-29,125675.0
1971-11-05,128075.0
1971-11-12,132575.0
1971-11-19,133500.0
1971-11-26,133075.0
1971-12-03,136150.0
1971-12-10,134050.0
1971-12-17,135450.0
1971-12-24,138600.0
1971-12-31,140300.0
1972-01-07,140125.0
1972-01-14,140150.0
1972-01-21,140200.0
1972-01-28,139250.0
1972-02-04,138500.0
1972-02-11,138175.0
1972-02-18,139250.0
1972-02-25,139400.0
1972-03-02,140300.0
1972-03-09,142600.0
1972-03-16,142975.0
1972-03-23,146250.0
1972-03-30,149425.0
1972-04-06,148650.0
1972-04-13,148150.0
1972-04-20,147150.0
1972-04-27,150400.0
1972-05-04,152075.0
1972-05-11,154350.0
