,LSNI
1979-07-13,2394.0
1979-07-20,4104.0
1979-07-27,4722.0
1979-08-03,5340.0
1979-08-10,5472.0
1979-08-17,6150.0
1979-08-24,6240.0
1979-08-31,6354.0
1979-09-07,6384.0
1979-09-14,6408.0
1979-09-21,6348.0
1979-09-28,6096.0
1979-10-05,5844.0
1979-10-12,5958.0
1979-10-19,5736.0
1979-10-26,5574.0
1979-11-02,5538.0
1979-11-09,5802.0
1979-11-16,5682.0
1979-11-23,5562.0
1979-11-30,5832.0
1979-12-07,5148.0
1979-12-14,5442.0
1979-12-21,6036.0
1979-12-28,5700.0
1980-01-04,6462.0
1980-01-11,6414.0
1980-01-18,6318.0
1980-01-25,6324.0
1980-02-01,6330.0
1980-02-08,6420.0
1980-02-15,6390.0
1980-02-22,6858.0
1980-02-29,7224.0
1980-03-06,6810.0
1980-03-13,6672.0
1980-03-20,6948.0
1980-03-27,6672.0
1980-04-03,7278.0
1980-04-10,7278.0
1980-04-17,8310.0
1980-04-24,8436.0
1980-05-01,8382.0
1980-05-08,8118.0
1980-05-15,8124.0
1980-05-22,7896.0
1980-05-29,7482.0
1980-06-05,7080.0
1980-06-12,6642.0
1980-06-19,6312.0
1980-06-26,6114.0
1980-07-03,5994.0
1980-07-10,5874.0
1980-07-17,5610.0
1980-07-24,5340.0
1980-07-31,5400.0
1980-08-07,5406.0
1980-08-14,5454.0
1980-08-21,5418.0
1980-08-28,5304.0
1980-09-04,5070.0
1980-09-11,4890.0
1980-09-18,4788.0
1980-09-25,4764.0
1980-10-02,4884.0
1980-10-09,4782.0
1980-10-16,4722.0
1980-10-23,4698.0
1980-10-30,4602.0
1980-11-06,4536.0
1980-11-13,4674.0
1980-11-20,4584.0
1980-11-27,4500.0
1980-12-04,4386.0
1980-12-11,4428.0
1980-12-18,4446.0
1980-12-25,4554.0
1981-01-02,4494.0
1981-01-09,4386.0
1981-01-16,4176.0
1981-01-23,4200.0
1981-01-30,4050.0
1981-02-06,3942.0
1981-02-13,3954.0
1981-02-20,4020.0
1981-02-27,4068.0
1981-03-06,4158.0
1981-03-13,4002.0
1981-03-20,3696.0
1981-03-27,3630.0
1981-04-03,3390.0
1981-04-10,3216.0
1981-04-17,3186.0
1981-04-24,3036.0
1981-05-01,2832.0
1981-05-08,1950.0
1981-05-15,2418.0
1981-05-22,2382.0
1981-05-29,2430.0
1981-06-05,2352.0
1981-06-12,2310.0
1981-06-19,2364.0
1981-06-26,2574.0
1981-07-03,2412.0
1981-07-10,2268.0
1981-07-17,2406.0
1981-07-24,2406.0
1981-07-31,2412.0
1981-08-07,2598.0
1981-08-14,2460.0
1981-08-21,2490.0
1981-08-28,2544.0
1981-09-04,2484.0
1981-09-11,2916.0
1981-09-18,3120.0
1981-09-25,3222.0
1981-10-02,3096.0
1981-10-09,2754.0
1981-10-16,2664.0
1981-10-23,3210.0
1981-10-30,3018.0
1981-11-06,2640.0
1981-11-13,2556.0
1981-11-20,2412.0
1981-11-27,2142.0
1981-12-04,2010.0
1981-12-11,1974.0
1981-12-18,1842.0
1981-12-25,2214.0
1982-01-01,2742.0
1982-01-01 00:30:00,2742.0
1982-01-08,2688.0
1982-01-15,2340.0
1982-01-22,2094.0
1982-01-29,2196.0
1982-02-05,1908.0
1982-02-12,1752.0
1982-02-19,1734.0
1982-02-26,1722.0
1982-03-05,1302.0
1982-03-12,1326.0
1982-03-19,1410.0
1982-03-26,1476.0
1982-04-02,1560.0
1982-04-09,2268.0
1982-04-16,2190.0
1982-04-23,2886.0
1982-04-30,2832.0
1982-05-07,3696.0
1982-05-14,3936.0
1982-05-21,3930.0
1982-05-28,3366.0
1982-06-04,3132.0
1982-06-11,2994.0
1982-06-18,2376.0
1982-06-25,2016.0
1982-07-02,1794.0
1982-07-09,1560.0
1982-07-16,1794.0
1982-07-23,1626.0
1982-07-30,1338.0
1982-08-06,1386.0
1982-08-13,1320.0
1982-08-20,1302.0
1982-08-27,1368.0
1982-09-03,2160.0
1982-09-10,2088.0
1982-09-17,1938.0
1982-09-24,2082.0
1982-10-01,2130.0
1982-10-08,2100.0
1982-10-15,2202.0
1982-10-22,2670.0
1982-10-29,2892.0
1982-11-05,3276.0
1982-11-12,3726.0
1982-11-19,3732.0
1982-11-26,3690.0
1982-12-03,3882.0
1982-12-10,4230.0
1982-12-17,5040.0
1982-12-24,5892.0
1982-12-31,6660.0
1983-01-07,6972.0
1983-01-14,7662.0
1983-01-21,7860.0
1983-01-28,7764.0
1983-02-04,8100.0
1983-02-11,9060.0
1983-02-18,9018.0
1983-02-25,9780.0
1983-03-04,10782.0
1983-03-11,11310.0
1983-03-18,11844.0
1983-03-25,12072.0
1983-04-01,12708.0
1983-04-08,13116.0
1983-04-15,14316.0
1983-04-22,15000.0
1983-04-29,15588.0
1983-05-06,15678.0
1983-05-13,15954.0
1983-05-20,18720.0
1983-05-27,18984.0
1983-06-03,19152.0
1983-06-10,19590.0
1983-06-17,20346.0
1983-06-24,20400.0
1983-07-01,20256.0
1983-07-08,20622.0
1983-07-15,20772.0
1983-07-22,20904.0
1983-07-29,21318.0
1983-08-05,21384.0
1983-08-12,22386.0
1983-08-19,23028.0
1983-08-26,23478.0
1983-09-02,23424.0
1983-09-09,23916.0
1983-09-16,24234.0
1983-09-23,24564.0
1983-09-30,25938.0
1983-10-07,26202.0
1983-10-14,25878.0
1983-10-21,25506.0
1983-10-28,25962.0
1983-11-04,25950.0
1983-11-11,25404.0
1983-11-18,26142.0
1983-11-25,26622.0
1983-12-02,26724.0
1983-12-09,27132.0
1983-12-16,27774.0
1983-12-23,28236.0
1983-12-30,27540.0
1984-01-06,27936.0
1984-01-13,28506.0
1984-01-20,28692.0
1984-01-27,29820.0
1984-02-03,31668.0
1984-02-10,32262.0
1984-02-17,31932.0
1984-02-24,32382.0
1984-03-01,32664.0
1984-03-08,30684.0
1984-03-15,30222.0
1984-03-22,30222.0
1984-03-29,30198.0
1984-04-05,29922.0
1984-04-12,30042.0
1984-04-19,30480.0
1984-04-26,31464.0
1984-05-03,30408.0
1984-05-10,29394.0
1984-05-17,28620.0
1984-05-24,27618.0
1984-05-31,27138.0
1984-06-07,26652.0
1984-06-14,26214.0
1984-06-21,24828.0
1984-06-28,24300.0
1984-07-05,23682.0
1984-07-12,23520.0
1984-07-19,23070.0
1984-07-26,22158.0
1984-08-02,21528.0
1984-08-09,21126.0
1984-08-16,20664.0
1984-08-23,20268.0
1984-08-30,19668.0
1984-09-06,19266.0
1984-09-13,18204.0
1984-09-20,17556.0
1984-09-27,16764.0
1984-10-04,15522.0
1984-10-11,12822.0
1984-10-18,11844.0
