,LSPB
1970-01-02,4900.0
1970-01-09,2950.0
1970-01-16,4750.0
1970-01-23,4475.0
1970-01-30,4600.0
1970-02-06,4800.0
1970-02-27,6625.0
1970-03-06,6175.0
1970-03-13,5000.0
1970-03-20,5300.0
1970-03-27,6000.0
1970-04-03,6000.0
1970-04-10,6875.0
1970-04-17,7225.0
1970-04-24,7375.0
1970-05-01,7650.0
1970-05-08,8150.0
1970-05-15,8350.0
1970-05-22,8500.0
1970-05-29,8950.0
1970-06-05,10100.0
1970-06-12,11800.0
1970-06-19,12750.0
1970-06-26,12250.0
1970-07-03,12525.0
1970-07-10,14900.0
1970-07-17,15450.0
1970-07-24,14100.0
1970-07-31,15075.0
1970-08-07,15225.0
1970-08-14,15100.0
1970-08-21,15875.0
1970-08-28,17500.0
1970-09-04,19250.0
1970-09-11,19350.0
1970-09-18,19700.0
1970-09-25,18825.0
1970-10-02,19725.0
1970-10-09,19500.0
1970-10-16,18175.0
1970-10-23,17375.0
1970-10-30,18525.0
1970-11-06,20025.0
1970-11-13,21075.0
1970-11-20,20275.0
1970-11-27,21325.0
1970-12-04,22625.0
1970-12-11,23500.0
1970-12-18,23375.0
1970-12-25,24650.0
1971-01-01,24875.0
1971-01-08,24225.0
1971-01-15,23450.0
1971-01-22,22375.0
1971-01-29,21525.0
1971-02-05,22575.0
1971-02-12,22900.0
1971-02-19,25375.0
1971-02-26,24750.0
1971-03-05,22825.0
1971-03-12,22625.0
1971-03-19,21575.0
1971-03-26,22350.0
1971-04-02,22375.0
1971-04-09,21425.0
1971-04-16,22225.0
1971-04-23,22625.0
1971-04-30,22925.0
1971-05-07,21925.0
1971-05-14,23775.0
1971-05-21,25175.0
1971-05-28,26675.0
1971-06-04,25850.0
1971-06-11,26425.0
1971-06-18,28975.0
1971-06-25,30675.0
1971-07-02,35550.0
1971-07-09,34475.0
1971-07-16,33800.0
1971-07-23,33575.0
1971-07-30,34100.0
1971-08-06,35100.0
1971-08-13,35525.0
1971-08-20,35800.0
1971-08-27,37250.0
1971-09-03,40525.0
1971-09-10,41550.0
1971-09-17,42125.0
1971-09-24,43150.0
1971-10-01,44075.0
1971-10-08,44550.0
1971-10-15,46275.0
1971-10-22,47225.0
1971-10-29,48075.0
1971-11-05,48475.0
1971-11-12,48600.0
1971-11-19,49650.0
1971-11-26,50400.0
1971-12-03,51100.0
1971-12-10,52250.0
1971-12-17,52700.0
1971-12-24,53700.0
1971-12-31,55225.0
1972-01-07,52725.0
1972-01-14,51125.0
1972-01-21,52725.0
1972-01-28,52700.0
1972-02-04,52650.0
1972-02-11,44325.0
1972-02-18,42025.0
1972-02-25,39025.0
1972-03-02,36800.0
1972-03-09,32000.0
1972-03-16,28150.0
1972-03-23,28550.0
1972-03-30,28900.0
1972-04-06,28900.0
1972-04-13,29425.0
1972-04-20,25300.0
1972-04-27,25425.0
1972-05-04,26300.0
1972-05-11,27750.0
1972-05-18,27250.0
1972-05-25,25650.0
1972-06-01,26675.0
1972-06-08,27100.0
1972-06-15,27375.0
1972-06-22,27750.0
1972-06-29,26100.0
1972-07-06,26825.0
1972-07-13,22175.0
1972-07-20,21775.0
1972-07-27,21775.0
1972-08-03,21975.0
1972-08-10,22125.0
1972-08-17,22975.0
1972-08-24,23475.0
1972-08-31,24775.0
1972-09-07,21850.0
1972-09-14,21750.0
1972-09-21,22500.0
1972-09-28,21875.0
1972-10-05,19675.0
1972-10-12,19050.0
1972-10-19,19050.0
1972-10-26,18750.0
1972-11-02,20550.0
1972-11-09,20600.0
1972-11-16,20300.0
1972-11-23,20250.0
1972-11-30,20525.0
1972-12-07,18575.0
1972-12-14,18550.0
1972-12-21,17875.0
1972-12-28,17900.0
1973-01-05,18100.0
1973-01-12,18075.0
1973-01-19,18025.0
1973-01-26,19425.0
1973-02-02,18300.0
1973-02-09,18750.0
1973-02-16,18625.0
1973-02-23,18175.0
1973-03-02,18500.0
1973-03-09,19150.0
1973-03-16,17850.0
1973-03-23,18900.0
1973-03-30,20050.0
1973-04-06,18950.0
1973-04-13,19450.0
1973-04-20,19700.0
1973-04-27,20125.0
1973-05-04,20650.0
1973-05-11,20500.0
1973-05-18,21025.0
1973-05-25,20050.0
1973-06-01,21025.0
1973-06-08,19975.0
1973-06-15,20575.0
1973-06-22,21275.0
1973-06-29,20375.0
1973-07-06,21850.0
1973-07-13,22350.0
1973-07-20,22625.0
1973-07-27,23000.0
1973-08-03,23800.0
1973-08-10,24250.0
1973-08-17,24525.0
1973-08-24,24775.0
