,LSSN
1970-01-02,4270.0
1970-01-09,4045.0
1970-01-16,4035.0
1970-01-23,4050.0
1970-01-30,4120.0
1970-02-06,4140.0
1970-02-27,4245.0
1970-03-06,4170.0
1970-03-13,4175.0
1970-03-20,4285.0
1970-03-27,4355.0
1970-04-03,4660.0
1970-04-10,4740.0
1970-04-17,4510.0
1970-04-24,4330.0
1970-05-01,4365.0
1970-05-08,4470.0
1970-05-15,4155.0
1970-05-22,3975.0
1970-05-29,3780.0
1970-06-05,3090.0
1970-06-12,3005.0
1970-06-19,2890.0
1970-06-26,2880.0
1970-07-03,2975.0
1970-07-10,2690.0
1970-07-17,2535.0
1970-07-24,2405.0
1970-07-31,2435.0
1970-08-07,2190.0
1970-08-14,2295.0
1970-08-21,2380.0
1970-08-28,2365.0
1970-09-04,2380.0
1970-09-11,2380.0
1970-09-18,2265.0
1970-09-25,2180.0
1970-10-02,2170.0
1970-10-09,2050.0
1970-10-16,1955.0
1970-10-23,1825.0
1970-10-30,1995.0
1970-11-06,1970.0
1970-11-13,1885.0
1970-11-20,1960.0
1970-11-27,1790.0
1970-12-04,1810.0
1970-12-11,2080.0
1970-12-18,2005.0
1970-12-25,2130.0
1971-01-01,2635.0
1971-01-08,2685.0
1971-01-15,2820.0
1971-01-22,2720.0
1971-01-29,2725.0
1971-02-05,2740.0
1971-02-12,2640.0
1971-02-19,2600.0
1971-02-26,2770.0
1971-03-05,2925.0
1971-03-12,3000.0
1971-03-19,2820.0
1971-03-26,2845.0
1971-04-02,2775.0
1971-04-09,2750.0
1971-04-16,2890.0
1971-04-23,2840.0
1971-04-30,3180.0
1971-05-07,3315.0
1971-05-14,3300.0
1971-05-21,3430.0
1971-05-28,3515.0
1971-06-04,3685.0
1971-06-11,3850.0
1971-06-18,3840.0
1971-06-25,3830.0
1971-07-02,4070.0
1971-07-09,4450.0
1971-07-16,4570.0
1971-07-23,4625.0
1971-07-30,4595.0
1971-08-06,4660.0
1971-08-13,4740.0
1971-08-20,4735.0
1971-08-27,4825.0
1971-09-03,4855.0
1971-09-10,4845.0
1971-09-17,4875.0
1971-09-24,4810.0
1971-10-01,4750.0
1971-10-08,5020.0
1971-10-15,5285.0
1971-10-22,5570.0
1971-10-29,5740.0
1971-11-05,5795.0
1971-11-12,5880.0
1971-11-19,5920.0
1971-11-26,6000.0
1971-12-03,5810.0
1971-12-10,5840.0
1971-12-17,5965.0
1971-12-24,6065.0
1971-12-31,6060.0
1972-01-07,6000.0
1972-01-14,5975.0
1972-01-21,5940.0
1972-01-28,6035.0
1972-02-04,6000.0
1972-02-11,5865.0
1972-02-18,5800.0
1972-02-25,5715.0
1972-03-02,5710.0
1972-03-09,5500.0
1972-03-16,5425.0
1972-03-23,5420.0
1972-03-30,5530.0
1972-04-06,5600.0
1972-04-13,5675.0
1972-04-20,5905.0
1972-04-27,6000.0
1972-05-04,5990.0
1972-05-11,5960.0
1972-05-18,6010.0
1972-05-25,6155.0
1972-06-01,6255.0
1972-06-08,6250.0
1972-06-15,6500.0
1972-06-22,6505.0
1972-06-29,6560.0
1972-07-06,6650.0
1972-07-13,6620.0
1972-07-20,6730.0
1972-07-27,6810.0
1972-08-03,7135.0
1972-08-10,7575.0
1972-08-17,7545.0
1972-08-24,7535.0
1972-08-31,7520.0
1972-09-07,7440.0
1972-09-14,7295.0
1972-09-21,7220.0
1972-09-28,7180.0
1972-10-05,7260.0
1972-10-12,7210.0
1972-10-19,7285.0
1972-10-26,7310.0
1972-11-02,7335.0
1972-11-09,7240.0
1972-11-16,7140.0
1972-11-23,7080.0
1972-11-30,7035.0
1972-12-07,6965.0
1972-12-14,6745.0
1972-12-21,7010.0
1972-12-28,6850.0
1973-01-05,6820.0
1973-01-12,6725.0
1973-01-19,6660.0
1973-01-26,6620.0
1973-02-02,6655.0
1973-02-09,6810.0
1973-02-16,6785.0
1973-02-23,6675.0
1973-03-02,6630.0
1973-03-09,6470.0
1973-03-16,6105.0
1973-03-23,5975.0
1973-03-30,6010.0
1973-04-06,5600.0
1973-04-13,5910.0
1973-04-20,5915.0
1973-04-27,5820.0
1973-05-04,5605.0
1973-05-11,5485.0
1973-05-18,5475.0
1973-05-25,5425.0
1973-06-01,5385.0
1973-06-08,5405.0
1973-06-15,5355.0
1973-06-22,5190.0
1973-06-29,5110.0
1973-07-06,5046.0
1973-07-13,4620.0
1973-07-20,4670.0
1973-07-27,4680.0
1973-08-03,4615.0
1973-08-10,4615.0
1973-08-17,4625.0
1973-08-24,4620.0
1973-08-31,4660.0
1973-09-07,4605.0
1973-09-14,4590.0
1973-09-21,4275.0
1973-09-28,4035.0
1973-10-05,3820.0
1973-10-12,3845.0
1973-10-19,3815.0
1973-10-26,3780.0
1973-11-02,3610.0
1973-11-09,3390.0
1973-11-16,3215.0
1973-11-23,3185.0
1973-11-30,2920.0
1973-12-07,2935.0
1973-12-14,2715.0
1973-12-21,2580.0
1973-12-28,2580.0
1974-01-04,2500.0
1974-01-11,2670.0
1974-01-18,2585.0
1974-01-25,2525.0
1974-02-01,2505.0
1974-02-08,2685.0
1974-02-15,2720.0
1974-02-22,2225.0
1974-03-01,2165.0
1974-03-08,1875.0
1974-03-15,2335.0
1974-03-22,1925.0
1974-03-29,1700.0
1974-04-05,1600.0
1974-04-12,1725.0
1974-04-19,2225.0
1974-04-26,2695.0
1974-05-03,2905.0
1974-05-10,3315.0
1974-05-17,3565.0
1974-05-24,3355.0
1974-05-31,3790.0
1974-06-07,3585.0
1974-06-14,3410.0
1974-06-21,3115.0
1974-06-28,3240.0
1974-07-05,2955.0
1974-07-12,2290.0
1974-07-19,2155.0
1974-07-26,1770.0
1974-08-02,1735.0
1974-08-09,1640.0
1974-08-16,1440.0
1974-08-23,1385.0
1974-08-30,1430.0
1974-09-06,1450.0
1974-09-13,1795.0
1974-09-20,1765.0
1974-09-27,1785.0
1974-10-04,1975.0
1974-10-11,2760.0
1974-10-18,4460.0
1974-10-25,4975.0
1974-11-01,5120.0
1974-11-08,4790.0
1974-11-15,4115.0
1974-11-22,3890.0
1974-11-29,3080.0
1974-12-06,2650.0
1974-12-13,2300.0
1974-12-20,2040.0
1974-12-27,2190.0
1975-01-03,2340.0
1975-01-10,2095.0
1975-01-17,2110.0
1975-01-24,2615.0
1975-01-31,2650.0
1975-02-07,2880.0
1975-02-14,2560.0
1975-02-21,2980.0
1975-02-28,3670.0
1975-03-07,3845.0
1975-03-14,4405.0
1975-03-21,3740.0
1975-03-28,3485.0
1975-04-04,3415.0
1975-04-11,4655.0
1975-04-18,5355.0
1975-04-25,5735.0
1975-05-02,5655.0
1975-05-09,5710.0
1975-05-16,6020.0
1975-05-23,5625.0
1975-05-30,5915.0
1975-06-06,5905.0
1975-06-13,6070.0
1975-06-20,5590.0
1975-06-27,5375.0
1975-07-04,5745.0
1975-07-11,5545.0
1975-07-18,5520.0
1975-07-25,5435.0
1975-08-01,5480.0
1975-08-08,5395.0
1975-08-15,5455.0
1975-08-22,5860.0
1975-08-29,5930.0
1975-09-05,6000.0
1975-09-12,6320.0
1975-09-19,6045.0
1975-09-26,6075.0
1975-10-03,6235.0
1975-10-10,5705.0
1975-10-17,5795.0
1975-10-24,6020.0
1975-10-31,5790.0
1975-11-07,5770.0
1975-11-14,6055.0
1975-11-21,6500.0
1975-11-28,6960.0
1975-12-05,7155.0
1975-12-12,6720.0
1975-12-19,7145.0
1975-12-26,7225.0
1976-01-02,7360.0
1976-01-09,7240.0
1976-01-16,7235.0
1976-01-23,7115.0
1976-01-30,7265.0
1976-02-06,7230.0
1976-02-13,7170.0
1976-02-20,7340.0
1976-02-27,6875.0
1976-03-04,6790.0
1976-03-11,5940.0
1976-03-18,5830.0
1976-03-25,5845.0
1976-04-01,5765.0
1976-04-08,5520.0
1976-04-15,5070.0
1976-04-22,565.0
1976-04-29,6905.0
1976-05-06,9000.0
1976-05-13,8230.0
1976-05-20,10925.0
1976-05-27,10435.0
1976-06-03,9895.0
1976-06-10,8495.0
1976-06-17,7980.0
1976-06-24,10420.0
1976-07-01,10155.0
1976-07-08,9580.0
1976-07-15,8770.0
1976-07-22,8545.0
1976-07-29,7940.0
1976-08-05,7985.0
1976-08-12,8455.0
1976-08-19,8295.0
1976-08-26,8180.0
1976-09-02,7655.0
1976-09-09,7820.0
1976-09-16,7905.0
1976-09-23,7335.0
1976-09-30,7550.0
1976-10-07,7320.0
1976-10-14,7490.0
1976-10-21,6850.0
1976-10-28,6690.0
1976-11-04,6505.0
1976-11-11,6560.0
1976-11-18,6470.0
1976-11-25,6380.0
1976-12-02,6090.0
1976-12-09,6020.0
1976-12-16,5885.0
1976-12-23,5410.0
1976-12-30,5350.0
1977-01-07,5050.0
1977-01-14,4470.0
1977-01-21,4335.0
1977-01-28,4365.0
1977-02-04,4325.0
1977-02-11,4750.0
1977-02-18,5030.0
1977-02-25,5935.0
1977-03-04,6140.0
1977-03-11,7065.0
1977-03-18,7360.0
1977-03-25,7685.0
1977-04-01,8985.0
1977-04-08,8995.0
1977-04-15,8700.0
1977-04-22,8555.0
1977-04-29,8170.0
1977-05-06,8085.0
1977-05-13,7490.0
1977-05-20,7340.0
1977-05-27,7565.0
1977-06-03,8085.0
1977-06-10,7640.0
1977-06-17,7505.0
1977-06-24,7220.0
1977-07-01,6690.0
1977-07-08,6460.0
1977-07-15,6150.0
1977-07-22,6080.0
1977-07-29,5470.0
1977-08-05,5525.0
1977-08-12,4805.0
1977-08-19,4700.0
1977-08-26,4770.0
1977-09-02,4535.0
1977-09-09,4665.0
1977-09-16,4255.0
1977-09-23,3960.0
1977-09-30,3690.0
1977-10-07,4055.0
1977-10-14,3730.0
1977-10-21,3605.0
1977-10-28,3400.0
1977-11-04,3320.0
1977-11-11,3325.0
1977-11-18,2930.0
1977-11-25,3060.0
1977-12-02,3150.0
1977-12-09,2605.0
1977-12-16,2940.0
1977-12-23,3725.0
1977-12-30,4085.0
1978-01-06,4435.0
1978-01-13,4355.0
1978-01-20,4400.0
1978-01-27,4370.0
1978-02-03,4190.0
1978-02-10,4110.0
1978-02-17,4160.0
1978-02-24,4260.0
1978-03-03,4010.0
1978-03-10,4135.0
1978-03-17,3955.0
1978-03-24,3560.0
1978-03-31,3815.0
1978-04-07,3355.0
1978-04-14,3060.0
1978-04-21,2660.0
1978-04-28,2520.0
1978-05-05,2395.0
1978-05-12,2215.0
1978-05-19,2285.0
1978-05-26,2115.0
1978-06-02,1815.0
1978-06-09,2260.0
1978-06-16,2105.0
1978-06-23,1870.0
1978-06-30,1925.0
1978-07-07,2010.0
1978-07-14,2315.0
1978-07-21,2595.0
1978-07-28,2535.0
1978-08-04,2580.0
1978-08-11,2405.0
1978-08-18,2745.0
1978-08-25,2820.0
1978-09-01,2695.0
1978-09-08,2170.0
1978-09-15,1515.0
1978-09-22,1490.0
1978-09-29,1485.0
1978-10-06,1535.0
1978-10-13,1340.0
1978-10-20,1670.0
1978-10-27,2040.0
1978-11-03,2240.0
1978-11-10,2100.0
1978-11-17,2125.0
1978-11-24,2340.0
1978-12-01,2110.0
1978-12-08,1980.0
1978-12-15,1685.0
1978-12-22,1625.0
1978-12-29,1585.0
1979-01-05,1760.0
1979-01-12,1825.0
1979-01-19,1500.0
1979-01-26,1615.0
1979-02-02,1790.0
1979-02-09,1835.0
1979-02-16,2285.0
1979-02-23,2130.0
1979-03-02,2135.0
1979-03-09,1875.0
1979-03-16,1805.0
1979-03-23,1685.0
1979-03-30,1720.0
1979-04-06,1530.0
1979-04-13,2030.0
1979-04-20,2095.0
1979-04-27,1195.0
1979-05-04,1130.0
1979-05-11,1175.0
1979-05-18,1755.0
1979-05-25,1645.0
1979-06-01,1875.0
1979-06-08,2090.0
1979-06-15,2335.0
1979-06-22,1810.0
1979-06-29,2060.0
1979-07-06,2525.0
1979-07-13,3075.0
1979-07-20,3480.0
1979-07-27,4535.0
1979-08-03,4810.0
1979-08-10,4925.0
1979-08-17,4680.0
1979-08-24,4840.0
1979-08-31,4195.0
1979-09-07,3510.0
1979-09-14,3405.0
1979-09-21,3020.0
1979-09-28,2845.0
1979-10-05,1870.0
1979-10-12,1845.0
1979-10-19,1890.0
1979-10-26,1945.0
1979-11-02,1590.0
1979-11-09,1545.0
1979-11-16,1520.0
1979-11-23,1815.0
1979-11-30,1895.0
1979-12-07,1735.0
1979-12-14,1500.0
1979-12-21,1410.0
1979-12-28,1740.0
1980-01-04,2005.0
1980-01-11,2180.0
1980-01-18,2820.0
1980-01-25,3115.0
1980-02-01,3290.0
1980-02-08,3510.0
1980-02-15,4125.0
1980-02-22,4190.0
1980-02-29,4325.0
1980-03-06,3795.0
1980-03-13,3580.0
1980-03-20,3250.0
1980-03-27,3395.0
1980-04-03,3265.0
1980-04-10,3255.0
1980-04-17,2260.0
1980-04-24,2030.0
1980-05-01,1970.0
1980-05-08,2095.0
1980-05-15,2015.0
1980-05-22,1875.0
1980-05-29,1960.0
1980-06-05,2335.0
1980-06-12,2185.0
1980-06-19,2115.0
1980-06-26,1815.0
1980-07-03,1915.0
1980-07-10,1980.0
1980-07-17,2105.0
1980-07-24,2505.0
1980-07-31,2620.0
1980-08-07,2660.0
1980-08-14,2810.0
1980-08-21,2745.0
1980-08-28,3485.0
1980-09-04,3705.0
1980-09-11,4345.0
1980-09-18,4715.0
1980-09-25,4515.0
1980-10-02,4030.0
1980-10-09,3650.0
1980-10-16,3520.0
1980-10-23,4110.0
1980-10-30,4105.0
1980-11-06,4025.0
1980-11-13,4240.0
