,LSZS
1970-01-02,8950.0
1970-01-09,9200.0
1970-01-16,9525.0
1970-01-23,9100.0
1970-01-30,9025.0
1970-02-06,10025.0
1970-02-27,11225.0
1970-03-06,6200.0
1970-03-13,6225.0
1970-03-20,5575.0
1970-03-27,5575.0
1970-04-03,5450.0
1970-04-10,5225.0
1970-04-17,5975.0
1970-04-24,5975.0
1970-05-01,5825.0
1970-05-08,5700.0
1970-05-15,6175.0
1970-05-22,6200.0
1970-05-29,6600.0
1970-06-05,550.0
1970-06-12,5775.0
1970-06-19,4900.0
1970-06-26,4850.0
1970-07-03,4525.0
1970-07-10,4475.0
1970-07-17,3725.0
1970-07-24,4675.0
1970-07-31,4700.0
1970-08-07,5725.0
1970-08-14,5950.0
1970-08-21,7150.0
1970-08-28,7475.0
1970-09-04,6875.0
1970-09-11,6900.0
1970-09-18,6825.0
1970-09-25,7100.0
1970-10-02,6675.0
1970-10-09,8125.0
1970-10-16,8625.0
1970-10-23,9300.0
1970-10-30,10000.0
1970-11-06,11125.0
1970-11-13,11225.0
1970-11-20,12200.0
1970-11-27,12975.0
1970-12-04,14050.0
1970-12-11,14275.0
1970-12-18,13775.0
1970-12-25,13475.0
1971-01-01,14175.0
1971-01-08,15200.0
1971-01-15,15525.0
1971-01-22,17400.0
1971-01-29,23075.0
1971-02-05,24450.0
1971-02-12,23700.0
1971-02-19,23975.0
1971-02-26,23925.0
1971-03-05,27650.0
1971-03-12,25000.0
1971-03-19,23750.0
1971-03-26,24375.0
1971-04-02,23475.0
1971-04-09,22350.0
1971-04-16,22200.0
1971-04-23,21200.0
1971-04-30,20225.0
1971-05-07,20925.0
1971-05-14,21500.0
1971-05-21,21600.0
1971-05-28,21275.0
1971-06-04,20925.0
1971-06-11,19275.0
1971-06-18,19150.0
1971-06-25,20975.0
1971-07-02,22175.0
1971-07-09,24825.0
1971-07-16,26200.0
1971-07-23,26250.0
1971-07-30,25925.0
1971-08-06,25450.0
1971-08-13,25025.0
1971-08-20,25475.0
1971-08-27,28200.0
1971-09-03,30500.0
1971-09-10,31150.0
1971-09-17,30925.0
1971-09-24,29825.0
1971-10-01,29275.0
1971-10-08,24600.0
1971-10-15,22775.0
1971-10-22,21650.0
1971-10-29,20425.0
1971-11-05,20100.0
1971-11-12,22975.0
1971-11-19,22775.0
1971-11-26,22375.0
1971-12-03,21000.0
1971-12-10,20250.0
1971-12-17,19875.0
1971-12-24,17525.0
1971-12-31,16150.0
1972-01-07,16425.0
1972-01-14,15575.0
1972-01-21,14800.0
1972-01-28,13825.0
1972-02-04,13775.0
1972-02-11,13825.0
1972-02-18,18425.0
1972-02-25,17525.0
