Index,LSAH
1978-12-29,3075
1979-01-05,3875
1979-01-12,7325
1979-01-19,9375
1979-01-26,12775
1979-02-02,12875
1979-02-09,13100
1979-02-16,13275
1979-02-23,13775
1979-03-02,13775
1979-03-09,12775
1979-03-16,12700
1979-03-23,12600
1979-03-30,13925
1979-04-06,14000
1979-04-13,14150
1979-04-20,13275
1979-04-27,14050
1979-05-04,17100
1979-05-11,19000
1979-05-18,18725
1979-05-25,20400
1979-06-01,22675
1979-06-08,23350
1979-06-15,23825
1979-06-22,24575
1979-06-29,23625
1979-07-06,22525
1979-07-13,21275
1979-07-20,18475
1979-07-27,18125
1979-08-03,20000
1979-08-10,18025
1979-08-17,17250
1979-08-24,15350
1979-08-31,14850
1979-09-07,14400
1979-09-14,13900
1979-09-21,13775
1979-09-28,12325
1979-10-05,10450
1979-10-12,11525
1979-10-19,11000
1979-10-26,13400
1979-11-02,14900
1979-11-09,13400
1979-11-16,11000
1979-11-23,10500
1979-11-30,9225
1979-12-07,13450
1979-12-14,10700
1979-12-21,14600
1979-12-28,17450
1980-01-04,19025
1980-01-11,21900
1980-01-18,25700
1980-01-25,30075
1980-02-01,29025
1980-02-08,30550
1980-02-15,33275
1980-02-22,33925
1980-02-29,34175
1980-03-06,35325
1980-03-13,36350
1980-03-20,37525
1980-03-27,39975
1980-04-03,43650
1980-04-10,35700
1980-04-17,34825
1980-04-24,30425
1980-05-01,29475
1980-05-08,28500
1980-05-15,27000
1980-05-22,27050
1980-05-29,24775
1980-06-05,24300
1980-06-12,22950
1980-06-19,17225
1980-06-26,17850
1980-07-03,16325
1980-07-10,17300
1980-07-17,17675
1980-07-24,13525
1980-07-31,10425
1980-08-07,11525
1980-08-14,11150
1980-08-21,12825
1980-08-28,16125
1980-09-04,23650
1980-09-11,33500
1980-09-18,37550
1980-09-25,39175
1980-10-02,38075
1980-10-09,41625
1980-10-16,43300
1980-10-23,42125
1980-10-30,44700
1980-11-06,51550
1980-11-13,50725
1980-11-20,64050
1980-11-27,65675
1980-12-04,66500
1980-12-11,70575
1980-12-18,68925
1980-12-25,67950
1981-01-02,63700
1981-01-09,61400
1981-01-16,59000
1981-01-23,57050
1981-01-30,55100
1981-02-06,50425
1981-02-13,47925
1981-02-20,47950
1981-02-27,46925
1981-03-06,46050
1981-03-13,45475
1981-03-20,45350
1981-03-27,46925
1981-04-03,42500
1981-04-10,51650
1981-04-17,51025
1981-04-24,52525
1981-05-01,47125
1981-05-08,50325
1981-05-15,52025
1981-05-22,50550
1981-05-29,56700
1981-06-05,58525
1981-06-12,60800
1981-06-19,65675
1981-06-26,69000
1981-07-03,69875
1981-07-10,71550
1981-07-17,75775
1981-07-24,73500
1981-07-31,74175
1981-08-07,78525
1981-08-14,83175
1981-08-21,84925
1981-08-28,86075
1981-09-04,88800
1981-09-11,90775
1981-09-18,95150
1981-09-25,100525
1981-10-02,100850
1981-10-09,101475
1981-10-16,104375
1981-10-23,112575
1981-10-30,119500
1981-11-06,123225
1981-11-13,124450
1981-11-20,134800
1981-11-27,139100
1981-12-04,150475
1981-12-11,150400
1981-12-18,154475
1981-12-25,154450
1982-01-01,155675
1982-01-01,155675
1982-01-08,159975
1982-01-15,164400
1982-01-22,167475
1982-01-29,167825
1982-02-05,170500
1982-02-12,174000
1982-02-19,176200
1982-02-26,180375
1982-03-05,182575
1982-03-12,188075
1982-03-19,191375
1982-03-26,199700
1982-04-02,200525
1982-04-09,199725
1982-04-16,208075
1982-04-23,220325
1982-04-30,220475
1982-05-07,224075
1982-05-14,222700
1982-05-21,221825
1982-05-28,217925
1982-06-04,218875
1982-06-11,223525
1982-06-18,221875
1982-06-25,221000
1982-07-02,216500
1982-07-09,216725
1982-07-16,217325
1982-07-23,215825
1982-07-30,213125
1982-08-06,213150
1982-08-13,214050
1982-08-20,216075
1982-08-27,219450
1982-09-03,215025
1982-09-10,216450
1982-09-17,215000
1982-09-24,219175
1982-10-01,217850
1982-10-08,221925
1982-10-15,221250
1982-10-22,223675
1982-10-29,218100
1982-11-05,217550
1982-11-12,221600
1982-11-19,219200
1982-11-26,227850
1982-12-03,231000
1982-12-10,225850
1982-12-17,235175
1982-12-24,236775
1982-12-31,248600
1983-01-07,258725
1983-01-14,258750
1983-01-21,263100
1983-01-28,262375
1983-02-04,262500
1983-02-11,265225
1983-02-18,262100
1983-02-25,262500
1983-03-04,262250
1983-03-11,264925
1983-03-18,263200
1983-03-25,260525
1983-04-01,263325
1983-04-08,267650
1983-04-15,264750
1983-04-22,263375
1983-04-29,263925
1983-05-06,266775
1983-05-13,271725
1983-05-20,274300
1983-05-27,275825
1983-06-03,274600
1983-06-10,276200
1983-06-17,278025
1983-06-24,273450
1983-07-01,269925
1983-07-08,264400
1983-07-15,266625
1983-07-22,264400
1983-07-29,271000
1983-08-05,271775
1983-08-12,267625
1983-08-19,260400
1983-08-26,261125
1983-09-02,259875
1983-09-09,257375
1983-09-16,256025
1983-09-23,249325
1983-09-30,246525
1983-10-07,245500
1983-10-14,242025
1983-10-21,236075
1983-10-28,230525
1983-11-04,231500
1983-11-11,228700
1983-11-18,230150
1983-11-25,230125
1983-12-02,229775
1983-12-09,227625
1983-12-16,227725
1983-12-23,226775
1983-12-30,224425
1984-01-06,223400
1984-01-13,225650
1984-01-20,221950
1984-01-27,223600
1984-02-03,217775
1984-02-10,212275
1984-02-17,208300
1984-02-24,205975
1984-03-01,206650
1984-03-08,203275
1984-03-15,199350
1984-03-22,200450
1984-03-29,199450
1984-04-05,183425
1984-04-12,182925
1984-04-19,182250
1984-04-26,178825
1984-05-03,166025
1984-05-10,155050
1984-05-17,148725
1984-05-24,147575
1984-05-31,146975
1984-06-07,147250
1984-06-14,145825
1984-06-21,143475
1984-06-28,144475
1984-07-05,142175
1984-07-12,144425
1984-07-19,144050
1984-07-26,141250
1984-08-02,139375
1984-08-09,139150
1984-08-16,136850
1984-08-23,136300
1984-08-30,142800
1984-09-06,140400
1984-09-13,144875
1984-09-20,144775
1984-09-27,141950
1984-10-04,141550
1984-10-11,138775
1984-10-18,140000
1984-10-25,143500
1984-11-01,142200
1984-11-08,140325
1984-11-15,137625
1984-11-22,137525
1984-11-29,138375
1984-12-06,133900
1984-12-13,132625
1984-12-20,137200
1984-12-27,141575
1985-01-04,143125
1985-01-11,143725
1985-01-18,144300
1985-01-25,142950
1985-02-01,140550
1985-02-08,135900
1985-02-15,133150
1985-02-22,130950
1985-03-01,128300
1985-03-08,122350
1985-03-15,120650
1985-03-22,119000
1985-03-29,116175
1985-04-05,113300
1985-04-12,111400
1985-04-19,108650
1985-04-26,106075
1985-05-03,103800
1985-05-10,105725
1985-05-17,104900
1985-05-24,101700
1985-05-31,100325
1985-06-07,98825
1985-06-14,96100
1985-06-21,122500
1985-06-28,121750
1985-07-05,122900
1985-07-12,125550
1985-07-19,129425
1985-07-26,139075
1985-08-02,140775
1985-08-09,146750
1985-08-16,146200
1985-08-23,150550
1985-08-30,180600
1985-09-06,184075
1985-09-13,188875
1985-09-20,189775
1985-09-27,191275
1985-10-04,197025
1985-10-11,200425
1985-10-18,202300
1985-10-25,206800
1985-11-01,212025
1985-11-08,207625
1985-11-15,206350
1985-11-22,214000
1985-11-29,215750
1985-12-06,220750
1985-12-13,220200
1985-12-20,223150
1985-12-27,222750
1986-01-03,222350
1986-01-10,221925
1986-01-17,216775
1986-01-24,214450
1986-01-31,213875
1986-02-07,210100
1986-02-14,200525
1986-02-21,197225
1986-02-28,195350
1986-03-07,186325
1986-03-14,172225
1986-03-21,171200
1986-03-28,167500
1986-04-04,161950
1986-04-11,161125
1986-04-18,153800
1986-04-25,150175
1986-05-02,148825
1986-05-09,145250
1986-05-16,143600
1986-05-23,137975
1986-05-30,137650
1986-06-06,132150
1986-06-13,133000
1986-06-20,133950
1986-06-27,137850
1986-07-04,136550
1986-07-11,135425
1986-07-18,135350
1986-07-25,134250
1986-08-01,130550
1986-08-08,126550
1986-08-15,128725
1986-08-22,127550
1986-08-29,131325
1986-09-05,130325
1986-09-12,127700
1986-09-19,125875
1986-09-26,124925
1986-10-03,121850
1986-10-10,122925
1986-10-17,122350
1986-10-24,125725
1986-10-31,122775
1986-11-07,119750
1986-11-14,117675
1986-11-21,115050
1986-11-28,110525
1986-12-05,107125
1986-12-12,112450
1986-12-19,112725
1986-12-26,111175
1987-01-09,110175
1987-01-16,115150
1987-01-23,121400
1987-01-30,115250
1987-02-06,112075
1987-02-13,109475
1987-02-20,105700
1987-02-27,97475
1987-03-06,91650
1987-03-13,90500
1987-03-20,96925
1987-03-27,116975
1987-04-01,107300
1987-04-08,111675
1987-04-15,113400
