Index,LSNI
7/13/1979,2394
7/20/1979,4104
7/27/1979,4722
8/3/1979,5340
8/10/1979,5472
8/17/1979,6150
8/24/1979,6240
8/31/1979,6354
9/7/1979,6384
9/14/1979,6408
9/21/1979,6348
9/28/1979,6096
10/5/1979,5844
10/12/1979,5958
10/19/1979,5736
10/26/1979,5574
11/2/1979,5538
11/9/1979,5802
11/16/1979,5682
11/23/1979,5562
11/30/1979,5832
12/7/1979,5148
12/14/1979,5442
12/21/1979,6036
12/28/1979,5700
1/4/1980,6462
1/11/1980,6414
1/18/1980,6318
1/25/1980,6324
2/1/1980,6330
2/8/1980,6420
2/15/1980,6390
2/22/1980,6858
2/29/1980,7224
3/6/1980,6810
3/13/1980,6672
3/20/1980,6948
3/27/1980,6672
4/3/1980,7278
4/10/1980,7278
4/17/1980,8310
4/24/1980,8436
5/1/1980,8382
5/8/1980,8118
5/15/1980,8124
5/22/1980,7896
5/29/1980,7482
6/5/1980,7080
6/12/1980,6642
6/19/1980,6312
6/26/1980,6114
7/3/1980,5994
7/10/1980,5874
7/17/1980,5610
7/24/1980,5340
7/31/1980,5400
8/7/1980,5406
8/14/1980,5454
8/21/1980,5418
8/28/1980,5304
9/4/1980,5070
9/11/1980,4890
9/18/1980,4788
9/25/1980,4764
10/2/1980,4884
10/9/1980,4782
10/16/1980,4722
10/23/1980,4698
10/30/1980,4602
11/6/1980,4536
11/13/1980,4674
11/20/1980,4584
11/27/1980,4500
12/4/1980,4386
12/11/1980,4428
12/18/1980,4446
12/25/1980,4554
1/2/1981,4494
1/9/1981,4386
1/16/1981,4176
1/23/1981,4200
1/30/1981,4050
2/6/1981,3942
2/13/1981,3954
2/20/1981,4020
2/27/1981,4068
3/6/1981,4158
3/13/1981,4002
3/20/1981,3696
3/27/1981,3630
4/3/1981,3390
4/10/1981,3216
4/17/1981,3186
4/24/1981,3036
5/1/1981,2832
5/8/1981,1950
5/15/1981,2418
5/22/1981,2382
5/29/1981,2430
6/5/1981,2352
6/12/1981,2310
6/19/1981,2364
6/26/1981,2574
7/3/1981,2412
7/10/1981,2268
7/17/1981,2406
7/24/1981,2406
7/31/1981,2412
8/7/1981,2598
8/14/1981,2460
8/21/1981,2490
8/28/1981,2544
9/4/1981,2484
9/11/1981,2916
9/18/1981,3120
9/25/1981,3222
10/2/1981,3096
10/9/1981,2754
10/16/1981,2664
10/23/1981,3210
10/30/1981,3018
11/6/1981,2640
11/13/1981,2556
11/20/1981,2412
11/27/1981,2142
12/4/1981,2010
12/11/1981,1974
12/18/1981,1842
12/25/1981,2214
1/1/1982,2742
1/1/1982,2742
1/8/1982,2688
1/15/1982,2340
1/22/1982,2094
1/29/1982,2196
2/5/1982,1908
2/12/1982,1752
2/19/1982,1734
2/26/1982,1722
3/5/1982,1302
3/12/1982,1326
3/19/1982,1410
3/26/1982,1476
4/2/1982,1560
4/9/1982,2268
4/16/1982,2190
4/23/1982,2886
4/30/1982,2832
5/7/1982,3696
5/14/1982,3936
5/21/1982,3930
5/28/1982,3366
6/4/1982,3132
6/11/1982,2994
6/18/1982,2376
6/25/1982,2016
7/2/1982,1794
7/9/1982,1560
7/16/1982,1794
7/23/1982,1626
7/30/1982,1338
8/6/1982,1386
8/13/1982,1320
8/20/1982,1302
8/27/1982,1368
