Index,LSPB
1970-01-02,4900
1970-01-09,2950
1970-01-16,4750
1970-01-23,4475
1970-01-30,4600
1970-02-06,4800
1970-02-27,6625
1970-03-06,6175
1970-03-13,5000
1970-03-20,5300
1970-03-27,6000
1970-04-03,6000
1970-04-10,6875
1970-04-17,7225
1970-04-24,7375
1970-05-01,7650
1970-05-08,8150
1970-05-15,8350
1970-05-22,8500
1970-05-29,8950
1970-06-05,10100
1970-06-12,11800
1970-06-19,12750
1970-06-26,12250
1970-07-03,12525
1970-07-10,14900
1970-07-17,15450
1970-07-24,14100
1970-07-31,15075
1970-08-07,15225
1970-08-14,15100
1970-08-21,15875
1970-08-28,17500
1970-09-04,19250
1970-09-11,19350
1970-09-18,19700
1970-09-25,18825
1970-10-02,19725
1970-10-09,19500
1970-10-16,18175
1970-10-23,17375
1970-10-30,18525
1970-11-06,20025
1970-11-13,21075
1970-11-20,20275
1970-11-27,21325
1970-12-04,22625
1970-12-11,23500
1970-12-18,23375
1970-12-25,24650
1971-01-01,24875
1971-01-08,24225
1971-01-15,23450
1971-01-22,22375
1971-01-29,21525
1971-02-05,22575
1971-02-12,22900
1971-02-19,25375
1971-02-26,24750
1971-03-05,22825
1971-03-12,22625
1971-03-19,21575
1971-03-26,22350
1971-04-02,22375
1971-04-09,21425
1971-04-16,22225
1971-04-23,22625
1971-04-30,22925
1971-05-07,21925
1971-05-14,23775
1971-05-21,25175
1971-05-28,26675
1971-06-04,25850
1971-06-11,26425
1971-06-18,28975
1971-06-25,30675
1971-07-02,35550
1971-07-09,34475
1971-07-16,33800
1971-07-23,33575
1971-07-30,34100
1971-08-06,35100
1971-08-13,35525
1971-08-20,35800
1971-08-27,37250
1971-09-03,40525
1971-09-10,41550
1971-09-17,42125
1971-09-24,43150
1971-10-01,44075
1971-10-08,44550
1971-10-15,46275
1971-10-22,47225
1971-10-29,48075
1971-11-05,48475
1971-11-12,48600
1971-11-19,49650
1971-11-26,50400
1971-12-03,51100
1971-12-10,52250
1971-12-17,52700
1971-12-24,53700
1971-12-31,55225
1972-01-07,52725
1972-01-14,51125
1972-01-21,52725
1972-01-28,52700
1972-02-04,52650
1972-02-11,44325
1972-02-18,42025
1972-02-25,39025
1972-03-02,36800
1972-03-09,32000
1972-03-16,28150
1972-03-23,28550
1972-03-30,28900
1972-04-06,28900
1972-04-13,29425
1972-04-20,25300
1972-04-27,25425
1972-05-04,26300
1972-05-11,27750
1972-05-18,27250
1972-05-25,25650
1972-06-01,26675
1972-06-08,27100
1972-06-15,27375
1972-06-22,27750
1972-06-29,26100
1972-07-06,26825
1972-07-13,22175
1972-07-20,21775
1972-07-27,21775
1972-08-03,21975
1972-08-10,22125
1972-08-17,22975
1972-08-24,23475
1972-08-31,24775
1972-09-07,21850
1972-09-14,21750
1972-09-21,22500
1972-09-28,21875
1972-10-05,19675
1972-10-12,19050
1972-10-19,19050
1972-10-26,18750
1972-11-02,20550
1972-11-09,20600
1972-11-16,20300
1972-11-23,20250
1972-11-30,20525
1972-12-07,18575
1972-12-14,18550
1972-12-21,17875
1972-12-28,17900
1973-01-05,18100
1973-01-12,18075
1973-01-19,18025
1973-01-26,19425
1973-02-02,18300
1973-02-09,18750
1973-02-16,18625
1973-02-23,18175
1973-03-02,18500
1973-03-09,19150
1973-03-16,17850
1973-03-23,18900
1973-03-30,20050
1973-04-06,18950
1973-04-13,19450
1973-04-20,19700
1973-04-27,20125
1973-05-04,20650
1973-05-11,20500
1973-05-18,21025
1973-05-25,20050
1973-06-01,21025
1973-06-08,19975
1973-06-15,20575
1973-06-22,21275
1973-06-29,20375
1973-07-06,21850
1973-07-13,22350
1973-07-20,22625
1973-07-27,23000
1973-08-03,23800
1973-08-10,24250
1973-08-17,24525
1973-08-24,24775
1973-08-31,24950
1973-09-07,25875
1973-09-14,27075
1973-09-21,27675
1973-09-28,28700
1973-10-05,29125
1973-10-12,29800
1973-10-19,30325
1973-10-26,28900
1973-11-02,29125
1973-11-09,27000
1973-11-16,25450
1973-11-23,24250
1973-11-30,21900
1973-12-07,22075
1973-12-14,21700
1973-12-21,22475
1973-12-28,21625
1974-01-04,22825
1974-01-11,22725
1974-01-18,22850
1974-01-25,22325
1974-02-01,22400
1974-02-08,23475
1974-02-15,24075
1974-02-22,23800
1974-03-01,20775
1974-03-08,21050
1974-03-15,20575
1974-03-22,21075
1974-03-29,20900
1974-04-05,22975
1974-04-12,23050
1974-04-19,22075
1974-04-26,23175
1974-05-03,22700
1974-05-10,23475
1974-05-17,23750
1974-05-24,23200
1974-05-31,22975
1974-06-07,22850
1974-06-14,22050
1974-06-21,22275
1974-06-28,21375
1974-07-05,20925
1974-07-12,20125
1974-07-19,18625
1974-07-26,18175
1974-08-02,17825
1974-08-09,17875
1974-08-16,18525
1974-08-23,15650
1974-08-30,14825
1974-09-06,13500
1974-09-13,14225
1974-09-20,14725
1974-09-27,14475
1974-10-04,13825
1974-10-11,14025
1974-10-18,13800
1974-10-25,14400
1974-11-01,15975
1974-11-08,17525
1974-11-15,18250
1974-11-22,18400
1974-11-29,19025
1974-12-06,19325
1974-12-13,19875
1974-12-20,19750
1974-12-27,19900
1975-01-03,19750
1975-01-10,20125
1975-01-17,22850
1975-01-24,23175
1975-01-31,25525
1975-02-07,26050
1975-02-14,26000
1975-02-21,26950
1975-02-28,27800
1975-03-07,27500
1975-03-14,28350
1975-03-21,32175
1975-03-28,31925
1975-04-04,30275
1975-04-11,31100
1975-04-18,36075
1975-04-25,34525
1975-05-02,37525
1975-05-09,36525
1975-05-16,36125
1975-05-23,36100
1975-05-30,40350
1975-06-06,41625
1975-06-13,40475
1975-06-20,41725
1975-06-27,46925
1975-07-04,53000
1975-07-11,55550
1975-07-18,57250
1975-07-25,57850
1975-08-01,63225
1975-08-08,63725
1975-08-15,65800
1975-08-22,66525
1975-08-29,68050
1975-09-05,68575
1975-09-12,69825
1975-09-19,70075
1975-09-26,74200
1975-10-03,74625
1975-10-10,76750
1975-10-17,79225
1975-10-24,79700
1975-10-31,81450
1975-11-07,81900
1975-11-14,81750
1975-11-21,81925
1975-11-28,81775
1975-12-05,81700
1975-12-12,84400
1975-12-19,85250
1975-12-26,85300
1976-01-02,85700
1976-01-09,86500
1976-01-16,88850
1976-01-23,88550
1976-01-30,89525
1976-02-06,87875
1976-02-13,88625
1976-02-20,87800
1976-02-27,87200
1976-03-04,86925
1976-03-11,86350
1976-03-18,85325
1976-03-25,86100
1976-04-01,85075
1976-04-08,83950
1976-04-15,83650
1976-04-22,83650
1976-04-29,83475
1976-05-06,77175
1976-05-13,76850
1976-05-20,76775
1976-05-27,77525
1976-06-03,78750
1976-06-10,78675
1976-06-17,80000
1976-06-24,80600
1976-07-01,80900
1976-07-08,80350
1976-07-15,81650
1976-07-22,82850
1976-07-29,81975
1976-08-05,79325
1976-08-12,80925
1976-08-19,78025
1976-08-26,75000
1976-09-02,76225
1976-09-09,74400
1976-09-16,70000
1976-09-23,65875
1976-09-30,64500
1976-10-07,65050
1976-10-14,64375
1976-10-21,64300
1976-10-28,65825
1976-11-04,65800
1976-11-11,66050
1976-11-18,67000
1976-11-25,67450
1976-12-02,68850
1976-12-09,69800
1976-12-16,69650
1976-12-23,69300
1976-12-30,65875
1977-01-07,66575
1977-01-14,66800
1977-01-21,66975
1977-01-28,67775
1977-02-04,69100
1977-02-11,68750
1977-02-18,68375
1977-02-25,68000
1977-03-04,69000
1977-03-11,70275
1977-03-18,70350
1977-03-25,68825
1977-04-01,68900
1977-04-08,64275
1977-04-15,61425
1977-04-22,62225
1977-04-29,64400
1977-05-06,66300
1977-05-13,68425
1977-05-20,66625
1977-05-27,67100
1977-06-03,67925
1977-06-10,67525
1977-06-17,66200
1977-06-24,65775
1977-07-01,64425
1977-07-08,63600
1977-07-15,63525
1977-07-22,63725
1977-07-29,63375
1977-08-05,62975
1977-08-12,65875
1977-08-19,65200
1977-08-26,63850
1977-09-02,63925
1977-09-09,61150
1977-09-16,61150
1977-09-23,61775
1977-09-30,62125
1977-10-07,61400
1977-10-14,61825
1977-10-21,62125
1977-10-28,62825
1977-11-04,62500
1977-11-11,62300
1977-11-18,62450
1977-11-25,63025
1977-12-02,64625
1977-12-09,64500
1977-12-16,65100
1977-12-23,65625
1977-12-30,66925
1978-01-06,66575
1978-01-13,66675
1978-01-20,67325
1978-01-27,68075
1978-02-03,68300
1978-02-10,69450
1978-02-17,68825
1978-02-24,68025
1978-03-03,63475
1978-03-10,62325
1978-03-17,62125
1978-03-24,63000
1978-03-31,63275
1978-04-07,63225
1978-04-14,62750
1978-04-21,62275
1978-04-28,61900
1978-05-05,61500
1978-05-12,59150
1978-05-19,58400
1978-05-26,57125
1978-06-02,56975
1978-06-09,58100
1978-06-16,57525
1978-06-23,56425
1978-06-30,55725
1978-07-07,55475
1978-07-14,54675
1978-07-21,53525
1978-07-28,51100
1978-08-04,48850
1978-08-11,47525
1978-08-18,46750
1978-08-25,47175
1978-09-01,46925
1978-09-08,45025
1978-09-15,42300
1978-09-22,42300
1978-09-29,42275
1978-10-06,39925
1978-10-13,35025
1978-10-20,32500
1978-10-27,32500
1978-11-03,30700
1978-11-10,27700
1978-11-17,26525
1978-11-24,26850
1978-12-01,19850
1978-12-08,17725
1978-12-15,16475
1978-12-22,16025
1978-12-29,15475
1979-01-05,15400
1979-01-12,15650
1979-01-19,14550
1979-01-26,15225
1979-02-02,14850
1979-02-09,15300
1979-02-16,16400
1979-02-23,15300
1979-03-02,15225
1979-03-09,14450
1979-03-16,16375
1979-03-23,16475
1979-03-30,17750
1979-04-06,18250
1979-04-13,18500
1979-04-20,19325
1979-04-27,18475
1979-05-04,17050
1979-05-11,15200
1979-05-18,16300
1979-05-25,15750
1979-06-01,15900
1979-06-08,16775
1979-06-15,17225
1979-06-22,18850
1979-06-29,20550
1979-07-06,21075
1979-07-13,22800
1979-07-20,22575
1979-07-27,22775
1979-08-03,23300
1979-08-10,24125
1979-08-17,24125
1979-08-24,24900
1979-08-31,26175
1979-09-07,26150
1979-09-14,27000
1979-09-21,26225
1979-09-28,26375
1979-10-05,24200
1979-10-12,21100
1979-10-19,21325
1979-10-26,20800
1979-11-02,20850
1979-11-09,21250
1979-11-16,18125
1979-11-23,18825
1979-11-30,19050
1979-12-07,18675
1979-12-14,18250
1979-12-21,17300
1979-12-28,17525
1980-01-04,17525
1980-01-11,17225
1980-01-18,16400
1980-01-25,15675
1980-02-01,15075
1980-02-08,12225
1980-02-15,11900
1980-02-22,11300
1980-02-29,8900
1980-03-06,7725
1980-03-13,8750
1980-03-20,9825
1980-03-27,12550
1980-04-03,13325
1980-04-10,15950
1980-04-17,17700
1980-04-24,21575
1980-05-01,20500
1980-05-08,20375
1980-05-15,21075
1980-05-22,19375
1980-05-29,19450
1980-06-05,20375
1980-06-12,24350
1980-06-19,25575
1980-06-26,25525
1980-07-03,27275
1980-07-10,35850
1980-07-17,34550
1980-07-24,40825
1980-07-31,29850
1980-08-07,47400
1980-08-14,47850
1980-08-21,49275
1980-08-28,52475
1980-09-04,53700
1980-09-11,63725
1980-09-18,70450
1980-09-25,76625
1980-10-02,76750
1980-10-09,78000
1980-10-16,79000
1980-10-23,79950
1980-10-30,78500
1980-11-06,76850
1980-11-13,76500
1980-11-20,76175
1980-11-27,74300
1980-12-04,73250
1980-12-11,73300
1980-12-18,73400
1980-12-25,73425
1981-01-02,73525
1981-01-09,74225
1981-01-16,71650
1981-01-23,69625
1981-01-30,70625
1981-02-06,70800
1981-02-13,66825
1981-02-20,64975
1981-02-27,61675
1981-03-06,60675
1981-03-13,55925
1981-03-20,53050
1981-03-27,50925
1981-04-03,50450
1981-04-10,47825
1981-04-17,47475
1981-04-24,46575
1981-05-01,47075
1981-05-08,47425
1981-05-15,48000
1981-05-22,50025
1981-05-29,49650
1981-06-05,48525
1981-06-12,47425
1981-06-19,47175
1981-06-26,46675
1981-07-03,44725
1981-07-10,45100
1981-07-17,43000
1981-07-24,43525
1981-07-31,44550
1981-08-07,43650
1981-08-14,41775
1981-08-21,42875
1981-08-28,44025
1981-09-04,44250
1981-09-11,43650
1981-09-18,43800
1981-09-25,45375
1981-10-02,46875
1981-10-09,47950
1981-10-16,48600
1981-10-23,47625
1981-10-30,48325
1981-11-06,49050
1981-11-13,49475
1981-11-20,50025
1981-11-27,50200
1981-12-04,49775
1981-12-11,50875
1981-12-18,49900
1981-12-25,49900
1982-01-01,49475
1982-01-01,49475
1982-01-08,52950
1982-01-15,54925
1982-01-22,59275
1982-01-29,60525
1982-02-05,61375
1982-02-12,63525
1982-02-19,64300
1982-02-26,64125
1982-03-05,66675
1982-03-12,68225
1982-03-19,68600
1982-03-26,72025
1982-04-02,72925
1982-04-09,79550
1982-04-16,83950
1982-04-23,83975
1982-04-30,85225
1982-05-07,85250
1982-05-14,85575
1982-05-21,87725
1982-05-28,88800
1982-06-04,90200
1982-06-11,93425
1982-06-18,98600
1982-06-25,100550
1982-07-02,100700
1982-07-09,102625
1982-07-16,104375
