Index,LSSN
1970-01-02,4270
1970-01-09,4045
1970-01-16,4035
1970-01-23,4050
1970-01-30,4120
1970-02-06,4140
1970-02-27,4245
1970-03-06,4170
1970-03-13,4175
1970-03-20,4285
1970-03-27,4355
1970-04-03,4660
1970-04-10,4740
1970-04-17,4510
1970-04-24,4330
1970-05-01,4365
1970-05-08,4470
1970-05-15,4155
1970-05-22,3975
1970-05-29,3780
1970-06-05,3090
1970-06-12,3005
1970-06-19,2890
1970-06-26,2880
1970-07-03,2975
1970-07-10,2690
1970-07-17,2535
1970-07-24,2405
1970-07-31,2435
1970-08-07,2190
1970-08-14,2295
1970-08-21,2380
1970-08-28,2365
1970-09-04,2380
1970-09-11,2380
1970-09-18,2265
1970-09-25,2180
1970-10-02,2170
1970-10-09,2050
1970-10-16,1955
1970-10-23,1825
1970-10-30,1995
1970-11-06,1970
1970-11-13,1885
1970-11-20,1960
1970-11-27,1790
1970-12-04,1810
1970-12-11,2080
1970-12-18,2005
1970-12-25,2130
1971-01-01,2635
1971-01-08,2685
1971-01-15,2820
1971-01-22,2720
1971-01-29,2725
1971-02-05,2740
1971-02-12,2640
1971-02-19,2600
1971-02-26,2770
1971-03-05,2925
1971-03-12,3000
1971-03-19,2820
1971-03-26,2845
1971-04-02,2775
1971-04-09,2750
1971-04-16,2890
1971-04-23,2840
1971-04-30,3180
1971-05-07,3315
1971-05-14,3300
1971-05-21,3430
1971-05-28,3515
1971-06-04,3685
1971-06-11,3850
1971-06-18,3840
1971-06-25,3830
1971-07-02,4070
1971-07-09,4450
1971-07-16,4570
1971-07-23,4625
1971-07-30,4595
1971-08-06,4660
1971-08-13,4740
1971-08-20,4735
1971-08-27,4825
1971-09-03,4855
1971-09-10,4845
1971-09-17,4875
1971-09-24,4810
1971-10-01,4750
1971-10-08,5020
1971-10-15,5285
1971-10-22,5570
1971-10-29,5740
1971-11-05,5795
1971-11-12,5880
1971-11-19,5920
1971-11-26,6000
1971-12-03,5810
1971-12-10,5840
1971-12-17,5965
1971-12-24,6065
1971-12-31,6060
1972-01-07,6000
1972-01-14,5975
1972-01-21,5940
1972-01-28,6035
1972-02-04,6000
1972-02-11,5865
1972-02-18,5800
1972-02-25,5715
1972-03-02,5710
1972-03-09,5500
1972-03-16,5425
1972-03-23,5420
1972-03-30,5530
1972-04-06,5600
1972-04-13,5675
1972-04-20,5905
1972-04-27,6000
1972-05-04,5990
1972-05-11,5960
1972-05-18,6010
1972-05-25,6155
1972-06-01,6255
1972-06-08,6250
1972-06-15,6500
1972-06-22,6505
1972-06-29,6560
1972-07-06,6650
1972-07-13,6620
1972-07-20,6730
1972-07-27,6810
1972-08-03,7135
1972-08-10,7575
1972-08-17,7545
1972-08-24,7535
1972-08-31,7520
1972-09-07,7440
1972-09-14,7295
1972-09-21,7220
1972-09-28,7180
1972-10-05,7260
1972-10-12,7210
1972-10-19,7285
1972-10-26,7310
1972-11-02,7335
1972-11-09,7240
1972-11-16,7140
1972-11-23,7080
1972-11-30,7035
1972-12-07,6965
1972-12-14,6745
1972-12-21,7010
1972-12-28,6850
1973-01-05,6820
1973-01-12,6725
1973-01-19,6660
1973-01-26,6620
1973-02-02,6655
1973-02-09,6810
1973-02-16,6785
1973-02-23,6675
1973-03-02,6630
1973-03-09,6470
1973-03-16,6105
1973-03-23,5975
1973-03-30,6010
1973-04-06,5600
1973-04-13,5910
1973-04-20,5915
1973-04-27,5820
1973-05-04,5605
1973-05-11,5485
1973-05-18,5475
1973-05-25,5425
1973-06-01,5385
1973-06-08,5405
1973-06-15,5355
1973-06-22,5190
1973-06-29,5110
1973-07-06,5046
1973-07-13,4620
1973-07-20,4670
1973-07-27,4680
1973-08-03,4615
1973-08-10,4615
1973-08-17,4625
1973-08-24,4620
1973-08-31,4660
1973-09-07,4605
1973-09-14,4590
1973-09-21,4275
1973-09-28,4035
1973-10-05,3820
1973-10-12,3845
1973-10-19,3815
1973-10-26,3780
1973-11-02,3610
1973-11-09,3390
1973-11-16,3215
1973-11-23,3185
1973-11-30,2920
1973-12-07,2935
1973-12-14,2715
1973-12-21,2580
1973-12-28,2580
1974-01-04,2500
1974-01-11,2670
1974-01-18,2585
1974-01-25,2525
1974-02-01,2505
1974-02-08,2685
1974-02-15,2720
1974-02-22,2225
1974-03-01,2165
1974-03-08,1875
1974-03-15,2335
1974-03-22,1925
1974-03-29,1700
1974-04-05,1600
1974-04-12,1725
1974-04-19,2225
1974-04-26,2695
1974-05-03,2905
1974-05-10,3315
1974-05-17,3565
1974-05-24,3355
1974-05-31,3790
1974-06-07,3585
1974-06-14,3410
1974-06-21,3115
1974-06-28,3240
1974-07-05,2955
1974-07-12,2290
1974-07-19,2155
1974-07-26,1770
1974-08-02,1735
1974-08-09,1640
1974-08-16,1440
1974-08-23,1385
1974-08-30,1430
1974-09-06,1450
1974-09-13,1795
1974-09-20,1765
1974-09-27,1785
1974-10-04,1975
1974-10-11,2760
1974-10-18,4460
1974-10-25,4975
1974-11-01,5120
1974-11-08,4790
1974-11-15,4115
1974-11-22,3890
1974-11-29,3080
1974-12-06,2650
1974-12-13,2300
1974-12-20,2040
1974-12-27,2190
1975-01-03,2340
1975-01-10,2095
1975-01-17,2110
1975-01-24,2615
1975-01-31,2650
1975-02-07,2880
1975-02-14,2560
1975-02-21,2980
1975-02-28,3670
1975-03-07,3845
1975-03-14,4405
1975-03-21,3740
1975-03-28,3485
1975-04-04,3415
1975-04-11,4655
1975-04-18,5355
1975-04-25,5735
1975-05-02,5655
1975-05-09,5710
1975-05-16,6020
1975-05-23,5625
1975-05-30,5915
1975-06-06,5905
1975-06-13,6070
1975-06-20,5590
1975-06-27,5375
1975-07-04,5745
1975-07-11,5545
1975-07-18,5520
1975-07-25,5435
1975-08-01,5480
1975-08-08,5395
1975-08-15,5455
1975-08-22,5860
1975-08-29,5930
1975-09-05,6000
1975-09-12,6320
1975-09-19,6045
1975-09-26,6075
1975-10-03,6235
1975-10-10,5705
1975-10-17,5795
