Index,LSZS
1/2/1970,8950
1/9/1970,9200
1/16/1970,9525
1/23/1970,9100
1/30/1970,9025
2/6/1970,10025
2/27/1970,11225
3/6/1970,6200
3/13/1970,6225
3/20/1970,5575
3/27/1970,5575
4/3/1970,5450
4/10/1970,5225
4/17/1970,5975
4/24/1970,5975
5/1/1970,5825
5/8/1970,5700
5/15/1970,6175
5/22/1970,6200
5/29/1970,6600
6/5/1970,550
6/12/1970,5775
6/19/1970,4900
6/26/1970,4850
7/3/1970,4525
7/10/1970,4475
7/17/1970,3725
7/24/1970,4675
7/31/1970,4700
8/7/1970,5725
8/14/1970,5950
8/21/1970,7150
8/28/1970,7475
9/4/1970,6875
9/11/1970,6900
9/18/1970,6825
9/25/1970,7100
10/2/1970,6675
10/9/1970,8125
10/16/1970,8625
10/23/1970,9300
10/30/1970,10000
11/6/1970,11125
11/13/1970,11225
11/20/1970,12200
11/27/1970,12975
12/4/1970,14050
12/11/1970,14275
12/18/1970,13775
12/25/1970,13475
1/1/1971,14175
1/8/1971,15200
1/15/1971,15525
1/22/1971,17400
1/29/1971,23075
2/5/1971,24450
2/12/1971,23700
2/19/1971,23975
2/26/1971,23925
3/5/1971,27650
3/12/1971,25000
3/19/1971,23750
3/26/1971,24375
4/2/1971,23475
4/9/1971,22350
4/16/1971,22200
4/23/1971,21200
4/30/1971,20225
5/7/1971,20925
5/14/1971,21500
5/21/1971,21600
5/28/1971,21275
6/4/1971,20925
6/11/1971,19275
6/18/1971,19150
6/25/1971,20975
7/2/1971,22175
7/9/1971,24825
7/16/1971,26200
7/23/1971,26250
7/30/1971,25925
8/6/1971,25450
8/13/1971,25025
8/20/1971,25475
8/27/1971,28200
9/3/1971,30500
9/10/1971,31150
9/17/1971,30925
9/24/1971,29825
10/1/1971,29275
10/8/1971,24600
10/15/1971,22775
10/22/1971,21650
10/29/1971,20425
11/5/1971,20100
11/12/1971,22975
11/19/1971,22775
11/26/1971,22375
12/3/1971,21000
12/10/1971,20250
12/17/1971,19875
12/24/1971,17525
12/31/1971,16150
1/7/1972,16425
1/14/1972,15575
1/21/1972,14800
1/28/1972,13825
2/4/1972,13775
2/11/1972,13825
2/18/1972,18425
2/25/1972,17525
3/2/1972,17650
3/9/1972,18025
3/16/1972,17650
3/23/1972,18625
3/30/1972,23475
4/6/1972,30125
4/13/1972,30325
4/20/1972,32025
4/27/1972,32750
5/4/1972,34500
5/11/1972,36800
5/18/1972,38325
5/25/1972,41425
6/1/1972,44150
6/8/1972,43525
6/15/1972,42425
6/22/1972,42325
6/29/1972,42175
7/6/1972,44275
7/13/1972,42350
7/20/1972,43425
7/27/1972,44225
8/3/1972,45450
8/10/1972,42675
8/17/1972,40175
8/24/1972,39425
8/31/1972,38950
9/7/1972,38825
9/14/1972,36900
9/21/1972,38325
9/28/1972,41800
10/5/1972,41150
10/12/1972,40800
10/19/1972,37350
10/26/1972,35675
11/2/1972,35650
11/9/1972,34675
11/16/1972,35600
11/23/1972,31150
11/30/1972,34725
12/7/1972,36650
12/14/1972,38175
12/21/1972,36225
12/28/1972,34800
1/5/1973,30475
1/12/1973,27550
1/19/1973,28575
1/26/1973,25050
2/2/1973,24250
2/9/1973,23300
2/16/1973,24800
2/23/1973,22850
3/2/1973,20100
3/9/1973,18850
3/16/1973,19925
3/23/1973,20875
3/30/1973,21250
4/6/1973,21000
4/13/1973,20275
4/20/1973,20425
4/27/1973,20275
5/4/1973,19750
5/11/1973,19125
5/18/1973,18500
5/25/1973,17825
6/1/1973,14775
6/8/1973,13250
6/15/1973,15400
6/22/1973,16800
6/29/1973,15200
7/6/1973,15575
7/13/1973,17225
7/20/1973,16675
7/27/1973,16600
